,Date,Open,High,Low,Close
344,2021-12-31,115.49,115.49,114.77,114.77
343,2021-12-30,116.32,117.55,116.32,116.6
342,2021-12-29,115.2,115.2,114.77,114.77
341,2021-12-28,116.56,116.56,116.56,116.56
340,2021-12-27,116.56,116.56,116.56,116.56
339,2021-12-23,116.56,116.56,116.56,116.56
338,2021-12-22,116.86,116.86,116.86,116.86
337,2021-12-21,105.05,105.05,105.05,105.05
336,2021-12-20,106.05,106.05,104.35,105.05
335,2021-12-17,106.49,108.32,106.49,108.32
334,2021-12-16,103.01,103.01,103.01,103.01
333,2021-12-15,102.99,103.66,101.6661,103.01
332,2021-12-14,110.4851,110.4851,110.4851,110.4851
331,2021-12-13,114.64,114.64,113.4,113.4
330,2021-12-10,116.98,117.36,116.98,117.14
329,2021-12-09,121.1,121.1,118.71,118.71
328,2021-12-08,122.43,122.68,122.43,122.68
327,2021-12-07,121.44,121.44,118.88,118.88
326,2021-12-06,116.86,116.86,116.86,116.86
325,2021-12-03,113.04,113.04,108.87,108.87
324,2021-12-02,107.0,113.27,107.0,113.27
323,2021-12-01,105.83,107.2,104.1769,104.1769
322,2021-11-30,104.915,104.96,100.25,102.52
321,2021-11-29,102.855,103.92,102.855,103.92
320,2021-11-26,99.35,100.49,98.07,100.0
319,2021-11-24,106.61,106.61,106.11,106.11
318,2021-11-23,109.24,109.31,108.22,108.22
317,2021-11-22,109.151,109.151,108.98,109.0
316,2021-11-19,111.58,113.77,111.58,112.64
315,2021-11-18,112.3,113.53,112.26,113.53
314,2021-11-17,117.6427,117.85,116.85,116.85
313,2021-11-16,118.25,118.37,118.25,118.37
312,2021-11-15,122.14,125.35,121.76,121.91
311,2021-11-12,126.09,126.09,122.65,122.93
310,2021-11-11,126.48,127.38,126.48,127.1738
309,2021-11-10,133.2,133.2,127.82,127.82
308,2021-11-09,134.32,134.32,133.31,133.31
307,2021-11-08,132.19,135.45,132.14,135.45
306,2021-11-05,127.79,132.49,125.71,131.29
305,2021-11-04,123.23,124.66,123.23,124.66
304,2021-11-03,122.83,123.71,120.98,121.45
303,2021-11-02,140.44,140.44,121.39,121.75
302,2021-11-01,136.62,141.475,136.62,141.01
301,2021-10-29,137.86,137.86,135.76,136.41
300,2021-10-28,134.95,134.95,134.75,134.75
299,2021-10-27,136.69,137.74,136.69,136.69
298,2021-10-26,138.64,138.64,138.12,138.5
297,2021-10-25,139.64,142.386,138.56,139.14
296,2021-10-22,144.44,144.44,144.44,144.44
295,2021-10-21,148.785,148.785,148.785,148.785
294,2021-10-20,148.785,148.785,148.785,148.785
293,2021-10-19,150.76,150.76,150.76,150.76
292,2021-10-18,157.16,157.16,157.05,157.05
291,2021-10-15,158.27,159.0,157.72,157.94
290,2021-10-14,152.52,155.59,152.52,155.59
289,2021-10-13,151.38,151.38,148.275,149.62
288,2021-10-12,146.55,149.73,146.51,149.73
287,2021-10-11,145.1,145.1,145.1,145.1
286,2021-10-08,146.93,148.52,145.42,145.42
285,2021-10-07,149.7907,149.7907,149.79,149.79
284,2021-10-06,148.83,150.53,148.57,150.53
283,2021-10-05,157.69,157.691,153.67,153.67
282,2021-10-04,159.045,159.045,156.53,156.53
281,2021-10-01,157.52,160.84,157.35,160.79
280,2021-09-30,151.46,152.67,151.46,152.67
279,2021-09-29,154.24,154.24,154.24,154.24
278,2021-09-28,156.12,156.12,154.24,154.24
277,2021-09-27,158.43,158.66,156.34,156.48
276,2021-09-24,149.33,149.33,149.33,149.33
275,2021-09-23,149.32,149.33,149.32,149.33
274,2021-09-22,147.93,148.35,147.4,147.4
273,2021-09-21,147.02,147.02,145.58,145.59
272,2021-09-20,144.58,144.58,142.86,142.86
271,2021-09-17,145.38,145.47,145.28,145.47
270,2021-09-16,145.31,145.91,145.14,145.14
269,2021-09-15,144.16,145.4,143.72,145.05
268,2021-09-14,146.27,146.49,144.5,144.85
267,2021-09-13,144.61,146.49,144.61,145.42
