,Date,Open,High,Low,Close
538,2021-12-31,25.25,25.25,25.25,25.25
537,2021-12-30,25.15,25.25,25.15,25.25
536,2021-12-29,25.21,25.2287,25.1735,25.2129
535,2021-12-28,25.12,25.21,25.07,25.21
534,2021-12-27,25.11,25.14,25.08,25.13
533,2021-12-23,25.1261,25.1261,25.11,25.11
532,2021-12-22,25.14,25.14,25.07,25.085
531,2021-12-21,25.06,25.13,25.06,25.13
530,2021-12-20,25.04,25.13,25.04,25.13
529,2021-12-17,25.06,25.1205,25.0,25.1205
528,2021-12-16,25.2,25.2,25.135,25.2
527,2021-12-15,25.1713,25.1713,25.051,25.12
526,2021-12-14,25.14,25.26,25.0,25.15
525,2021-12-13,25.55,25.55,25.54,25.54
524,2021-12-10,25.56,25.59,25.5333,25.5333
523,2021-12-09,25.48,25.59,25.48,25.57
522,2021-12-08,25.48,25.48,25.46,25.47
521,2021-12-07,25.4134,25.4699,25.34,25.46
520,2021-12-06,25.48,25.48,25.48,25.48
519,2021-12-03,25.4437,25.4437,25.375,25.3844
518,2021-12-02,25.45,25.45,25.45,25.45
517,2021-12-01,25.4268,25.45,25.41,25.45
516,2021-11-30,25.44,25.44,25.4,25.4102
515,2021-11-29,25.4001,25.45,25.4001,25.45
514,2021-11-26,25.4416,25.4416,25.4416,25.4416
513,2021-11-24,25.4416,25.4416,25.4416,25.4416
512,2021-11-23,25.4,25.4,25.4,25.4
511,2021-11-22,25.4339,25.458,25.4,25.4
510,2021-11-19,25.4184,25.45,25.4184,25.45
509,2021-11-18,25.32,25.32,25.32,25.32
508,2021-11-17,25.45,25.45,25.36,25.36
507,2021-11-16,25.52,25.52,25.36,25.37
506,2021-11-15,25.31,25.3534,25.31,25.3534
505,2021-11-12,25.25,25.396,25.25,25.32
504,2021-11-11,25.475,25.65,25.31,25.65
503,2021-11-10,25.32,25.32,25.32,25.32
502,2021-11-09,25.5,25.5,25.4,25.4437
501,2021-11-08,25.508,25.508,25.508,25.508
500,2021-11-05,25.5,25.65,25.4,25.508
499,2021-11-04,25.3599,25.43,25.3594,25.3864
498,2021-11-03,25.29,25.35,25.2866,25.35
497,2021-11-02,25.3401,25.3401,25.3401,25.3401
496,2021-11-01,25.28,25.3401,25.25,25.3401
495,2021-10-29,25.25,25.278,25.25,25.25
