,Date,Open,High,Low,Close
1878,2021-12-31,43.32,44.22,42.11,42.54
1877,2021-12-30,42.3,43.44,41.35,43.25
1876,2021-12-29,43.0,43.12,40.8,42.5
1875,2021-12-28,42.84,43.74,42.65,43.5
1874,2021-12-27,42.82,43.56,42.69,43.0
1873,2021-12-23,41.73,43.41,41.42,43.07
1872,2021-12-22,40.96,42.51,40.72,42.01
1871,2021-12-21,41.43,41.81,39.78,41.1
1870,2021-12-20,40.6,41.81,39.96,41.28
1869,2021-12-17,38.88,41.77,38.55,41.48
1868,2021-12-16,40.1,40.66,38.76,38.93
1867,2021-12-15,38.7,39.89,37.63,39.71
1866,2021-12-14,38.58,39.4,38.28,38.77
1865,2021-12-13,38.69,39.96,38.51,39.29
1864,2021-12-10,38.35,39.425,38.21,38.63
1863,2021-12-09,39.73,40.14,38.55,38.65
1862,2021-12-08,39.67,40.68,38.79,40.12
1861,2021-12-07,38.16,40.5,38.155,39.6
1860,2021-12-06,36.97,38.22,36.13,37.49
1859,2021-12-03,38.6,38.8102,36.69,37.06
1858,2021-12-02,37.01,38.46,36.53,38.37
1857,2021-12-01,39.28,39.48,37.05,37.15
1856,2021-11-30,38.6,39.15,37.42,38.91
1855,2021-11-29,39.64,39.88,38.41,38.53
1854,2021-11-26,39.46,40.08,38.35,39.32
1853,2021-11-24,39.66,40.3,39.08,40.01
1852,2021-11-23,39.94,39.94,38.4101,39.74
1851,2021-11-22,40.87,40.87,39.1,39.91
1850,2021-11-19,40.86,41.625,40.39,40.9
1849,2021-11-18,41.09,41.18,40.25,40.75
1848,2021-11-17,41.36,41.72,41.0,41.25
1847,2021-11-16,41.3,41.92,40.86,41.77
1846,2021-11-15,42.62,42.76,41.25,41.44
1845,2021-11-12,42.64,43.0,42.01,42.62
1844,2021-11-11,42.11,42.54,41.39,42.42
1843,2021-11-10,43.03,43.4433,41.7,42.0
1842,2021-11-09,44.38,44.69,43.2435,43.36
1841,2021-11-08,45.36,45.65,44.37,44.41
1840,2021-11-05,46.82,46.82,44.61,45.14
1839,2021-11-04,46.94,47.75,46.3301,46.67
1838,2021-11-03,43.19,47.23,42.58,47.11
1837,2021-11-02,41.4,43.67,39.12,43.57
1836,2021-11-01,40.51,42.59,40.51,42.37
1835,2021-10-29,41.17,41.37,40.21,40.36
1834,2021-10-28,40.27,41.18,39.52,41.16
1833,2021-10-27,41.29,41.42,40.27,40.27
1832,2021-10-26,41.62,41.95,40.9,41.35
1831,2021-10-25,41.15,41.845,40.75,41.43
1830,2021-10-22,41.35,41.905,40.74,41.42
1829,2021-10-21,40.79,41.54,40.4,41.23
1828,2021-10-20,40.5,41.5,40.24,40.9
1827,2021-10-19,44.02,44.72,40.1,40.29
1826,2021-10-18,44.96,45.1,43.88,44.07
1825,2021-10-15,46.47,46.47,44.9,44.94
1824,2021-10-14,45.73,46.48,45.4,45.89
1823,2021-10-13,45.41,45.54,44.47,45.36
