,Date,Open,High,Low,Close
5578,2021-12-31,48.89,49.75,48.41,49.45
5577,2021-12-30,48.76,49.55,48.42,48.98
5576,2021-12-29,48.34,49.01,47.855,48.58
5575,2021-12-28,48.15,49.03,47.96,48.58
5574,2021-12-27,48.52,48.63,47.3,48.36
5573,2021-12-23,48.2,48.535,47.01,48.34
5572,2021-12-22,47.92,48.69,47.155,47.92
5571,2021-12-21,47.22,47.8,46.1,47.77
5570,2021-12-20,46.91,46.91,45.16,46.74
5569,2021-12-17,48.0,48.59,46.92,47.31
5568,2021-12-16,49.1,49.92,47.595,47.75
5567,2021-12-15,47.86,49.5,46.89,48.97
5566,2021-12-14,47.39,50.08,47.18,47.64
5565,2021-12-13,50.35,50.49,47.28,47.75
5564,2021-12-10,49.96,50.48,48.28,50.33
5563,2021-12-09,48.47,49.79,47.95,49.48
5562,2021-12-08,50.33,50.71,48.23,48.88
5561,2021-12-07,50.93,51.0,49.625,50.16
5560,2021-12-06,48.38,51.525,48.27,50.14
5559,2021-12-03,46.29,48.025,45.06,47.61
5558,2021-12-02,44.36,47.05,44.06,46.25
5557,2021-12-01,46.13,46.31,43.97,44.0
5556,2021-11-30,45.49,46.76,44.55,44.91
5555,2021-11-29,47.06,47.72,45.8,46.08
5554,2021-11-26,45.45,46.99,45.24,46.84
5553,2021-11-24,47.48,48.23,47.09,47.09
5552,2021-11-23,48.32,48.9918,47.81,48.11
5551,2021-11-22,47.25,49.33,47.25,48.46
5550,2021-11-19,47.64,48.13,46.225,46.77
5549,2021-11-18,47.09,48.41,45.99,48.17
5548,2021-11-17,49.47,50.14,46.26,47.21
5547,2021-11-16,51.13,52.37,50.54,51.42
5546,2021-11-15,51.39,52.0,50.86,51.26
5545,2021-11-12,51.06,51.32,50.56,51.0
5544,2021-11-11,51.33,51.65,50.63,50.77
5543,2021-11-10,51.54,52.435,50.39,51.06
5542,2021-11-09,51.59,52.93,51.32,51.78
5541,2021-11-08,51.73,53.32,51.18,51.48
5540,2021-11-05,53.34,53.42,51.3,51.62
5539,2021-11-04,52.37,52.58,51.3,52.41
5538,2021-11-03,50.62,52.83,50.62,51.99
5537,2021-11-02,50.64,51.46,49.51,50.48
5536,2021-11-01,49.76,51.75,49.76,51.02
5535,2021-10-29,49.07,51.02,48.95,49.43
5534,2021-10-28,48.99,50.83,48.25,49.0
5533,2021-10-27,50.01,50.41,49.05,49.61
5532,2021-10-26,53.62,54.05,50.03,50.14
5531,2021-10-25,51.95,53.72,51.95,53.7
5530,2021-10-22,52.85,53.23,51.45,52.03
5529,2021-10-21,52.17,53.41,51.83,53.25
5528,2021-10-20,51.9,53.4,50.64,51.38
5527,2021-10-19,51.45,52.56,50.94,51.08
5526,2021-10-18,51.99,51.99,51.08,51.3
5525,2021-10-15,53.04,53.58,52.07,52.13
5524,2021-10-14,52.93,53.385,51.06,52.34
5523,2021-10-13,56.25,57.1599,52.39,52.66
5522,2021-10-12,55.43,56.3,55.14,56.17
5521,2021-10-11,54.93,56.35,54.2747,55.04
5520,2021-10-08,54.08,55.31,54.03,54.21
5519,2021-10-07,54.9,55.34,54.32,54.63
5518,2021-10-06,54.05,55.22,53.54,53.86
5517,2021-10-05,56.0,56.09,53.92,54.71
