,Date,Open,High,Low,Close
4860,2021-12-31,331.48,339.3,330.4468,337.03
4859,2021-12-30,336.0,340.81,332.63,332.84
4858,2021-12-29,330.82,336.97,328.53,335.41
4857,2021-12-28,333.05,336.8,327.77,330.19
4856,2021-12-27,323.8,335.35,323.8,333.05
4855,2021-12-23,315.37,325.175,315.37,323.53
4854,2021-12-22,315.02,317.39,310.04,313.76
4853,2021-12-21,304.2,315.975,302.555,315.02
4852,2021-12-20,299.5,303.98,288.23,301.48
4851,2021-12-17,310.09,313.85,301.35,305.03
4850,2021-12-16,336.42,337.96,309.07,310.98
4849,2021-12-15,321.77,327.99,316.01,327.59
4848,2021-12-14,321.38,328.15,315.9406,320.71
4847,2021-12-13,333.21,334.97,325.15,325.99
4846,2021-12-10,329.95,334.95,327.179,328.71
4845,2021-12-09,332.03,338.515,328.92,329.83
4844,2021-12-08,336.15,338.0,327.15,330.34
4843,2021-12-07,325.46,344.445,320.46,335.3
4842,2021-12-06,322.99,322.99,312.35,318.81
4841,2021-12-03,321.63,324.38,313.97,318.67
4840,2021-12-02,315.95,321.39,312.17,319.26
4839,2021-12-01,340.45,340.45,316.01,316.15
4838,2021-11-30,334.28,334.53,323.39,331.18
4837,2021-11-29,330.64,343.59,328.24,335.09
4836,2021-11-26,333.44,341.52,331.08,335.83
4835,2021-11-24,341.07,347.55,336.11,344.37
4834,2021-11-23,348.16,357.08,339.13,344.93
4833,2021-11-22,360.37,361.39,349.111,349.8
4832,2021-11-19,358.82,362.465,350.08,358.46
4831,2021-11-18,364.85,365.06,348.05,354.49
4830,2021-11-17,358.69,365.5,352.81,364.45
4829,2021-11-16,342.87,358.33,342.505,357.82
4828,2021-11-15,346.98,348.06,339.9,343.76
4827,2021-11-12,341.19,348.99,340.2672,344.66
4826,2021-11-11,335.25,339.68,333.62,339.6
4825,2021-11-10,336.34,340.56,328.26,332.97
4824,2021-11-09,348.47,352.3316,336.5,339.43
4823,2021-11-08,343.81,352.92,338.2,352.01
4822,2021-11-05,354.0,359.75,332.49,342.87
4821,2021-11-04,343.99,354.62,339.5,351.4
4820,2021-11-03,332.88,345.87,330.29,344.92
4819,2021-11-02,329.64,341.39,327.1567,334.56
4818,2021-11-01,315.41,329.12,311.79,328.12
4817,2021-10-29,314.32,315.83,308.11,312.64
4816,2021-10-28,296.8,316.985,291.5001,311.86
4815,2021-10-27,275.19,280.05,272.54,273.89
4814,2021-10-26,277.42,277.75,273.16,276.07
4813,2021-10-25,272.74,278.23,271.36,274.91
4812,2021-10-22,268.41,273.66,268.41,271.81
4811,2021-10-21,266.43,269.9699,266.12,267.11
4810,2021-10-20,261.97,267.08,259.52,266.49
4809,2021-10-19,266.6,266.6,260.26,260.87
4808,2021-10-18,261.5,266.06,260.465,263.63
4807,2021-10-15,257.2,264.42,256.33,261.56
4806,2021-10-14,250.36,253.39,248.43,253.25
4805,2021-10-13,251.96,252.5,246.55,247.37
4804,2021-10-12,254.81,255.265,250.97,251.28
4803,2021-10-11,254.5,255.87,251.8,253.84
4802,2021-10-08,253.62,255.69,249.51,254.39
4801,2021-10-07,250.9,256.3899,250.9,252.33
4800,2021-10-06,241.11,249.97,240.935,248.82
4799,2021-10-05,240.4,245.23,235.645,243.48
4798,2021-10-04,242.88,243.12,232.3,234.38
4797,2021-10-01,239.37,244.5,234.85,242.67
4796,2021-09-30,240.33,242.555,236.69,238.03
4795,2021-09-29,243.33,243.33,237.32,238.44
4794,2021-09-28,246.84,250.99,240.37,240.58
4793,2021-09-27,242.92,250.0305,242.92,248.0
4792,2021-09-24,241.58,244.36,239.98,243.27
4791,2021-09-23,244.89,246.63,240.665,243.32
4790,2021-09-22,246.0,247.98,242.98,243.33
4789,2021-09-21,245.94,246.16,237.46,245.65
4788,2021-09-20,238.75,243.35,235.14,242.96
4787,2021-09-17,249.22,249.36,242.71,244.81
4786,2021-09-16,246.04,248.67,245.22,247.14
4785,2021-09-15,242.7,245.69,238.1,245.13
4784,2021-09-14,244.98,244.98,239.22,240.67
4783,2021-09-13,243.32,246.98,238.14,244.42
4782,2021-09-10,241.33,244.56,238.54,241.46
4781,2021-09-09,241.33,242.65,235.725,238.88
4780,2021-09-08,246.32,246.32,238.53,241.34
4779,2021-09-07,248.7,251.0,246.21,246.59
4778,2021-09-03,245.25,251.45,244.08,249.17
4777,2021-09-02,246.11,248.78,245.07,246.39
4776,2021-09-01,241.35,246.65,237.03,244.32
4775,2021-08-31,245.83,245.83,239.615,240.13
4774,2021-08-30,240.2,245.38,237.19,245.06
