,Date,Open,High,Low,Close
2089,2021-12-31,84.15,84.94,83.54,83.59
2088,2021-12-30,84.38,85.1199,84.3,84.43
2087,2021-12-29,83.79,84.5699,83.55,84.39
2086,2021-12-28,83.25,84.45,83.08,83.71
2085,2021-12-27,82.52,83.45,82.12,83.3
2084,2021-12-23,81.92,82.86,81.8,82.44
2083,2021-12-22,81.98,82.81,81.745,81.86
2082,2021-12-21,81.72,83.29,81.485,82.15
2081,2021-12-20,82.22,82.62,80.28,81.39
2080,2021-12-17,84.21,85.69,82.73,82.9
2079,2021-12-16,82.81,84.47,82.81,84.16
2078,2021-12-15,83.89,84.44,82.82,83.1
2077,2021-12-14,83.17,84.34,82.49,82.76
2076,2021-12-13,82.43,84.06,81.67,83.38
2075,2021-12-10,83.36,83.618,82.108,82.73
2074,2021-12-09,84.57,84.89,82.76,83.34
2073,2021-12-08,84.33,85.54,84.08,84.84
2072,2021-12-07,85.72,86.5219,83.92,84.72
2071,2021-12-06,88.26,89.59,85.32,85.84
2070,2021-12-03,85.64,86.32,84.69,85.56
2069,2021-12-02,82.57,86.0,82.57,85.34
2068,2021-12-01,84.88,85.58,82.64,82.69
2067,2021-11-30,86.32,86.405,83.89,83.89
2066,2021-11-29,87.71,88.03,86.46,86.93
2065,2021-11-26,86.18,87.27,85.9,87.09
2064,2021-11-24,88.99,89.73,88.11,88.14
2063,2021-11-23,88.52,89.25,88.175,88.99
2062,2021-11-22,87.16,89.91,86.735,88.6
2061,2021-11-19,86.15,88.015,85.95,86.85
2060,2021-11-18,87.45,87.45,85.78,86.42
2059,2021-11-17,87.35,87.635,86.53,87.32
2058,2021-11-16,89.61,90.17,87.65,87.69
2057,2021-11-15,89.48,90.0,88.97,88.98
2056,2021-11-12,88.63,89.859,88.262,89.32
2055,2021-11-11,89.55,89.71,88.72,88.74
2054,2021-11-10,89.32,90.12,89.27,89.79
2053,2021-11-09,90.53,90.705,89.09,89.49
2052,2021-11-08,90.85,90.94,89.5,90.44
2051,2021-11-05,91.02,91.94,90.435,90.6
2050,2021-11-04,90.76,91.22,89.925,90.46
2049,2021-11-03,90.62,91.14,89.33,89.98
2048,2021-11-02,91.25,91.28,90.29,90.7
2047,2021-11-01,90.0,91.64,89.8,91.51
2046,2021-10-29,86.83,90.0,86.665,89.78
2045,2021-10-28,85.03,86.74,84.82,86.53
2044,2021-10-27,88.0,88.295,85.11,85.15
2043,2021-10-26,91.27,91.97,89.98,90.04
2042,2021-10-25,91.8,92.13,91.32,91.52
2041,2021-10-22,91.2,92.41,91.17,91.86
2040,2021-10-21,90.03,91.22,89.85,91.1
2039,2021-10-20,89.63,91.1,89.63,90.34
2038,2021-10-19,89.46,89.89,88.44,89.66
2037,2021-10-18,89.53,89.71,88.34,88.91
2036,2021-10-15,90.09,91.14,89.57,90.16
2035,2021-10-14,89.05,89.86,88.99,89.53
2034,2021-10-13,88.03,89.56,87.35,89.0
2033,2021-10-12,87.58,89.025,87.58,88.17
2032,2021-10-11,87.95,88.99,87.75,87.84
2031,2021-10-08,87.32,88.4,86.92,87.95
2030,2021-10-07,86.44,87.72,86.41,87.5
2029,2021-10-06,85.4,86.41,84.45,86.33
2028,2021-10-05,87.12,87.12,84.2401,85.75
2027,2021-10-04,85.89,87.88,85.52,86.51
2026,2021-10-01,85.84,86.42,85.06,85.94
2025,2021-09-30,86.67,87.34,85.51,85.56
2024,2021-09-29,86.13,87.32,85.7,86.65
2023,2021-09-28,86.35,87.33,85.98,86.2
2022,2021-09-27,85.87,87.26,85.87,86.79
2021,2021-09-24,85.17,86.0,84.81,85.74
2020,2021-09-23,84.18,85.17,84.18,84.82
2019,2021-09-22,83.56,84.58,82.76,84.0
2018,2021-09-21,84.27,84.59,82.65,82.99
2017,2021-09-20,83.48,84.47,82.84,83.88
2016,2021-09-17,84.24,85.17,84.135,84.41
2015,2021-09-16,85.9,86.07,84.45,84.47
2014,2021-09-15,84.75,85.9,84.03,85.84
2013,2021-09-14,87.33,88.49,84.2,84.63
2012,2021-09-13,85.25,87.65,84.64,86.68
2011,2021-09-10,86.05,86.18,84.09,84.26
2010,2021-09-09,86.17,86.36,85.33,85.51
2009,2021-09-08,84.92,86.3,84.8975,86.27
2008,2021-09-07,86.74,86.85,84.62,85.06
2007,2021-09-03,86.84,89.53,86.61,87.13
2006,2021-09-02,84.26,85.74,83.89,85.38
2005,2021-09-01,84.62,84.62,83.33,84.12
2004,2021-08-31,84.54,84.68,83.85,84.23
2003,2021-08-30,84.62,84.68,84.12,84.33
2002,2021-08-27,85.0,85.08,84.19,84.74
2001,2021-08-26,83.89,84.65,83.3,84.62
2000,2021-08-25,84.06,84.51,83.73,83.86
1999,2021-08-24,83.68,84.43,83.53,84.02
1998,2021-08-23,84.26,84.26,83.62,83.86
1997,2021-08-20,83.39,84.395,83.24,83.68
1996,2021-08-19,82.86,84.1,82.71,83.17
1995,2021-08-18,85.54,85.54,83.29,83.29
1994,2021-08-17,83.8,85.57,83.8,85.49
1993,2021-08-16,82.88,84.48,82.71,84.43
1992,2021-08-13,82.7,83.6,82.62,83.53
1991,2021-08-12,83.28,84.48,82.53,82.84
1990,2021-08-11,82.48,83.7099,82.265,83.16
1989,2021-08-10,82.71,82.71,81.31,82.39
1988,2021-08-09,82.82,83.14,81.54,82.24
1987,2021-08-06,82.44,83.34,82.28,82.52
1986,2021-08-05,82.64,83.73,82.13,82.4
1985,2021-08-04,83.17,83.95,81.99,82.36
1984,2021-08-03,87.14,87.355,83.45,83.69
1983,2021-08-02,87.43,89.04,87.09,87.1
1982,2021-07-30,87.72,88.22,87.12,87.3
1981,2021-07-29,88.44,89.45,88.15,88.16
1980,2021-07-28,87.36,88.45,87.1,87.77
1979,2021-07-27,87.66,88.21,87.36,87.47
1978,2021-07-26,87.83,88.66,87.69,87.76
1977,2021-07-23,87.4,88.14,87.34,88.11
1976,2021-07-22,88.16,88.24,86.86,87.08
1975,2021-07-21,88.04,88.8,87.45,88.11
1974,2021-07-20,86.31,88.8,86.19,88.02
1973,2021-07-19,88.04,88.3,85.46,86.09
1972,2021-07-16,88.92,89.52,88.4,89.23
1971,2021-07-15,87.63,88.575,87.63,88.38
1970,2021-07-14,88.43,88.63,87.65,88.23
1969,2021-07-13,88.74,89.27,88.09,88.36
1968,2021-07-12,88.76,89.58,88.14,88.98
1967,2021-07-09,88.84,89.65,88.585,88.9
1966,2021-07-08,87.63,88.68,86.925,88.13
1965,2021-07-07,86.98,88.52,86.79,88.52
1964,2021-07-06,87.02,87.12,85.415,87.0
1963,2021-07-02,88.45,89.01,87.18,87.29
1962,2021-07-01,87.95,88.87,87.935,88.26
1961,2021-06-30,87.99,88.24,87.5,87.73
1960,2021-06-29,89.19,89.765,87.32,87.76
1959,2021-06-28,91.81,91.81,88.64,89.03
1958,2021-06-25,90.29,91.97,90.13,91.85
1957,2021-06-24,91.63,91.8328,89.99,90.5
1956,2021-06-23,92.54,92.86,91.21,91.25
1955,2021-06-22,92.47,92.8,91.65,92.51
1954,2021-06-21,91.92,93.13,91.6,92.61
1953,2021-06-18,92.76,93.54,91.28,91.58
1952,2021-06-17,93.87,94.32,92.63,93.42
1951,2021-06-16,94.66,94.855,93.73,93.8
1950,2021-06-15,94.03,94.73,93.44,94.45
1949,2021-06-14,94.0,94.66,93.4,93.83
1948,2021-06-11,93.99,94.57,93.21,93.94
1947,2021-06-10,93.38,93.89,92.02,93.75
1946,2021-06-09,93.11,93.11,91.85,92.17
1945,2021-06-08,91.18,92.47,90.36,92.31
1944,2021-06-07,94.1,94.71,92.31,92.65
1943,2021-06-04,93.25,96.5,91.065,93.84
1942,2021-06-03,91.0,91.98,90.51,91.81
1941,2021-06-02,91.0,91.8375,90.34,91.59
1940,2021-06-01,90.47,90.79,89.77,90.67
1939,2021-05-28,89.21,89.96,88.76,89.86
1938,2021-05-27,89.76,90.5,88.92,88.95
1937,2021-05-26,89.19,89.54,88.745,89.16
1936,2021-05-25,90.5,90.5,88.89,88.96
1935,2021-05-24,88.98,90.24,88.88,89.78
1934,2021-05-21,88.27,89.05,88.2,88.68
1933,2021-05-20,86.91,88.29,86.795,87.81
1932,2021-05-19,87.99,87.99,85.91,86.83
1931,2021-05-18,88.8,90.285,88.26,88.68
1930,2021-05-17,87.78,89.18,87.64,88.64
1929,2021-05-14,88.37,89.05,87.73,88.21
1928,2021-05-13,86.98,88.4,86.84,87.73
1927,2021-05-12,88.31,88.72,87.39,87.41
1926,2021-05-11,89.84,90.1,88.49,88.91
1925,2021-05-10,90.52,91.62,90.13,90.31
1924,2021-05-07,88.48,90.46,87.58,90.3
1923,2021-05-06,89.53,89.53,87.98,88.62
1922,2021-05-05,90.28,90.6,87.2,89.24
1921,2021-05-04,90.2,90.79,89.865,90.68
1920,2021-05-03,89.7,91.45,89.02,90.08
1919,2021-04-30,89.22,89.71,88.74,89.42
