,Date,Open,High,Low,Close
230,2021-08-13,10.16,10.16,10.16,10.16
229,2021-08-12,10.16,10.16,10.16,10.16
228,2021-08-11,10.22,10.22,10.0,10.0
227,2021-08-10,10.5,10.5,10.5,10.5
226,2021-08-09,10.5,10.5,10.45,10.5
225,2021-08-06,10.26,10.2672,10.14,10.23
224,2021-08-05,10.35,10.35,10.32,10.32
223,2021-08-04,10.6,10.6,10.6,10.6
222,2021-08-03,10.65,10.65,10.65,10.65
221,2021-08-02,10.65,10.65,10.65,10.65
220,2021-07-30,10.65,10.65,10.65,10.65
219,2021-07-29,10.55,10.65,10.49,10.65
218,2021-07-28,10.69,10.7,10.57,10.57
217,2021-07-27,10.55,10.55,10.55,10.55
216,2021-07-26,10.55,10.55,10.55,10.55
215,2021-07-23,10.65,10.65,10.65,10.65
214,2021-07-22,10.65,10.65,10.65,10.65
213,2021-07-21,10.535,10.535,10.535,10.535
212,2021-07-20,10.53,10.53,10.53,10.53
211,2021-07-19,10.5595,10.5595,10.5595,10.5595
210,2021-07-16,10.5595,10.5595,10.5595,10.5595
209,2021-07-15,10.5595,10.5595,10.5595,10.5595
208,2021-07-14,10.5595,10.5595,10.5595,10.5595
207,2021-07-13,10.5595,10.5595,10.5595,10.5595
206,2021-07-12,10.5595,10.5595,10.5595,10.5595
205,2021-07-09,10.55,10.5595,10.55,10.5595
204,2021-07-08,10.65,10.65,10.555,10.555
203,2021-07-07,10.675,10.675,10.675,10.675
202,2021-07-06,10.675,10.675,10.675,10.675
201,2021-07-02,10.675,10.675,10.675,10.675
200,2021-07-01,10.675,10.675,10.675,10.675
199,2021-06-30,10.675,10.675,10.675,10.675
198,2021-06-29,10.675,10.675,10.675,10.675
197,2021-06-28,10.565,10.85,10.29,10.675
196,2021-06-25,10.6495,10.6495,10.6495,10.6495
195,2021-06-24,10.6495,10.6495,10.6495,10.6495
194,2021-06-23,10.6495,10.6495,10.6495,10.6495
193,2021-06-22,10.6495,10.6495,10.6495,10.6495
192,2021-06-21,10.6495,10.6495,10.6495,10.6495
191,2021-06-18,10.6495,10.6495,10.6495,10.6495
190,2021-06-17,10.6495,10.6495,10.6495,10.6495
189,2021-06-16,10.64,10.6495,10.64,10.6495
188,2021-06-15,10.77,10.77,10.77,10.77
187,2021-06-14,10.77,10.77,10.77,10.77
186,2021-06-11,10.6495,10.6495,10.6495,10.6495
185,2021-06-10,10.64,10.6495,10.64,10.6495
184,2021-06-09,10.64,10.6895,10.64,10.6895
183,2021-06-08,10.62,10.6295,10.62,10.6295
182,2021-06-07,10.3001,10.3001,10.3001,10.3001
181,2021-06-04,10.3001,10.3001,10.3001,10.3001
180,2021-06-03,10.3001,10.3001,10.3001,10.3001
179,2021-06-02,10.282,10.282,10.282,10.282
178,2021-06-01,10.282,10.282,10.282,10.282
177,2021-05-28,10.3,10.3,10.3,10.3
176,2021-05-27,10.3,10.3,10.3,10.3
175,2021-05-26,10.6195,10.6195,10.6195,10.6195
174,2021-05-25,10.6195,10.6195,10.6195,10.6195
173,2021-05-24,10.65,10.6595,10.6,10.6195
172,2021-05-21,10.57,10.64,10.57,10.64
171,2021-05-20,10.65,10.65,10.65,10.65
170,2021-05-19,10.535,10.535,10.535,10.535
169,2021-05-18,10.535,10.535,10.535,10.535
168,2021-05-17,10.6,10.6,10.6,10.6
167,2021-05-14,10.79,10.79,10.79,10.79
166,2021-05-13,10.3701,10.3701,10.3701,10.3701
165,2021-05-12,10.3701,10.3701,10.3701,10.3701
164,2021-05-11,10.29,10.3701,10.29,10.3701
163,2021-05-10,10.65,10.8,10.64,10.64
162,2021-05-07,10.855,10.855,10.65,10.65
161,2021-05-06,10.65,10.8,10.65,10.8
160,2021-05-05,10.81,10.81,10.81,10.81
159,2021-05-04,10.82,10.82,10.81,10.82
158,2021-05-03,10.82,10.82,10.82,10.82
157,2021-04-30,10.82,10.82,10.82,10.82
156,2021-04-29,10.86,11.05,10.82,10.82
155,2021-04-28,10.81,10.81,10.81,10.81
154,2021-04-27,10.82,10.86,10.81,10.81
153,2021-04-26,10.75,11.05,10.4901,10.81
152,2021-04-23,10.75,11.0,10.75,10.76
151,2021-04-22,10.4953,10.75,10.4953,10.75
150,2021-04-21,10.39,10.39,10.39,10.39
149,2021-04-20,11.05,11.05,10.39,10.39
148,2021-04-19,10.75,10.755,10.46,10.53
147,2021-04-16,10.48,10.61,10.48,10.61
146,2021-04-15,11.1,11.1,11.08,11.1
145,2021-04-14,10.7,11.0,10.7,11.0
144,2021-04-13,11.5,11.5,11.01,11.01
143,2021-04-12,11.05,11.05,10.99,10.99
