,Date,Open,High,Low,Close
215,2021-08-13,1.36,1.391,1.34,1.385
214,2021-08-12,1.32,1.4,1.32,1.4
213,2021-08-11,1.44,1.52,1.43,1.465
212,2021-08-10,1.32,1.5,1.25,1.45
211,2021-08-09,1.4,1.48,1.4,1.425
210,2021-08-06,1.3701,1.45,1.37,1.43
209,2021-08-05,1.36,1.46,1.36,1.45
208,2021-08-04,1.35,1.47,1.34,1.402
207,2021-08-03,1.41,1.41,1.35,1.39
206,2021-08-02,1.4642,1.4642,1.4642,1.4642
205,2021-07-30,1.454,1.47,1.45,1.4642
204,2021-07-29,1.43,1.45,1.41,1.45
203,2021-07-28,1.49,1.54,1.43,1.43
202,2021-07-27,1.47,1.48,1.43,1.4666
201,2021-07-26,1.46,1.487,1.45,1.47
200,2021-07-23,1.47,1.52,1.47,1.52
199,2021-07-22,1.45,1.55,1.45,1.55
198,2021-07-21,1.54,1.59,1.45,1.46
197,2021-07-20,1.6,1.64,1.45,1.46
196,2021-07-19,1.52,1.58,1.45,1.45
195,2021-07-16,1.56,1.56,1.46,1.48
194,2021-07-15,1.52,1.5204,1.5,1.5
193,2021-07-14,1.53,1.54,1.5262,1.5262
192,2021-07-13,1.48,1.53,1.48,1.53
191,2021-07-12,1.51,1.5701,1.3401,1.4799
190,2021-07-09,1.58,1.67,1.57,1.57
189,2021-07-08,1.53,1.6,1.41,1.6
188,2021-07-07,1.62,1.6322,1.6,1.6
187,2021-07-06,1.67,1.67,1.58,1.6
186,2021-07-02,1.6003,1.63,1.58,1.6298
185,2021-07-01,1.615,1.63,1.61,1.61
184,2021-06-30,1.61,1.63,1.61,1.63
183,2021-06-29,1.59,1.63,1.59,1.61
182,2021-06-28,1.62,1.63,1.61,1.61
181,2021-06-25,1.6,1.62,1.6,1.61
180,2021-06-24,1.61,1.6199,1.5998,1.6
179,2021-06-23,1.63,1.63,1.61,1.61
178,2021-06-22,1.61,1.6378,1.61,1.63
177,2021-06-21,1.68,1.7305,1.61,1.63
176,2021-06-18,1.63,1.7,1.63,1.68
