,Date,Open,High,Low,Close
217,2021-08-18,8.98,8.98,8.98,8.98
216,2021-08-17,8.98,8.98,8.98,8.98
215,2021-08-13,9.18,9.2683,8.95,8.98
214,2021-08-12,9.36,9.6899,9.36,9.55
213,2021-08-11,9.87,9.97,9.15,9.2
212,2021-08-10,9.78,9.97,9.7304,9.93
211,2021-08-09,9.87,9.94,9.68,9.78
210,2021-08-06,9.97,9.99,9.97,9.98
209,2021-08-05,9.97,9.99,9.97,9.97
208,2021-08-04,9.97,9.98,9.96,9.96
207,2021-08-03,9.96,9.98,9.96,9.97
206,2021-08-02,9.97,9.97,9.96,9.96
205,2021-07-30,9.95,9.97,9.95,9.96
204,2021-07-29,9.96,9.965,9.95,9.95
203,2021-07-28,9.96,9.98,9.95,9.96
202,2021-07-27,9.97,9.97,9.95,9.96
201,2021-07-26,9.96,9.98,9.96,9.96
200,2021-07-23,9.97,9.98,9.96,9.98
199,2021-07-22,9.96,9.975,9.96,9.97
198,2021-07-21,9.92,9.99,9.92,9.97
197,2021-07-20,9.93,9.96,9.93,9.95
196,2021-07-19,9.95,9.96,9.91,9.96
195,2021-07-16,9.93,9.96,9.93,9.96
194,2021-07-15,9.94,9.95,9.93,9.95
193,2021-07-14,9.95,9.95,9.93,9.95
192,2021-07-13,9.93,9.95,9.92,9.95
191,2021-07-12,9.96,9.96,9.92,9.94
190,2021-07-09,9.95,9.96,9.95,9.96
189,2021-07-08,9.94,9.96,9.94,9.96
188,2021-07-07,10.0,10.0,9.94,9.96
187,2021-07-06,9.94,9.96,9.94,9.96
186,2021-07-02,9.9301,9.95,9.93,9.95
185,2021-07-01,9.93,9.95,9.93,9.95
184,2021-06-30,9.94,9.95,9.93,9.95
183,2021-06-29,9.92,9.95,9.92,9.95
182,2021-06-28,9.93,9.94,9.92,9.94
181,2021-06-25,9.93,9.95,9.92,9.95
180,2021-06-24,9.93,9.95,9.92,9.94
179,2021-06-23,9.92,9.95,9.92,9.94
178,2021-06-22,9.93,9.94,9.92,9.94
177,2021-06-21,9.92,9.95,9.92,9.94
176,2021-06-18,9.92,9.96,9.92,9.96
175,2021-06-17,10.0,10.0,9.93,9.96
174,2021-06-16,9.93,10.0,9.93,9.97
173,2021-06-15,9.97,10.0,9.916,9.93
172,2021-06-14,10.02,10.04,9.93,9.98
171,2021-06-11,10.02,10.02,9.95,10.01
170,2021-06-10,10.0084,10.02,9.98,10.0
169,2021-06-09,10.02,10.05,9.95,9.98
168,2021-06-08,9.94,10.05,9.94,10.01
167,2021-06-07,9.95,9.9586,9.925,9.94
166,2021-06-04,9.968,10.0,9.905,9.96
165,2021-06-03,9.89,9.97,9.89,9.92
164,2021-06-02,9.92,9.94,9.92,9.92
163,2021-06-01,9.89,9.99,9.88,9.92
162,2021-05-28,9.9,9.98,9.9,9.91
161,2021-05-27,9.88,9.9177,9.88,9.9
160,2021-05-26,9.9486,9.95,9.9,9.92
159,2021-05-25,9.91,9.95,9.9,9.95
158,2021-05-24,9.99,9.99,9.9,9.9
157,2021-05-21,9.88,10.0,9.88,9.94
156,2021-05-20,9.89,9.9,9.87,9.88
155,2021-05-19,9.87,9.9,9.85,9.9
154,2021-05-18,9.8901,9.9222,9.86,9.9
153,2021-05-17,9.91,9.93,9.825,9.9
152,2021-05-14,9.93,9.97,9.91,9.93
