,Date,Open,High,Low,Close
5578,2021-12-31,54.96,54.96,54.96,54.96
5577,2021-12-30,51.9,51.9,51.9,51.9
5576,2021-12-29,51.81,53.8328,51.81,51.9
5575,2021-12-28,53.533,53.533,53.533,53.533
5574,2021-12-27,53.533,53.533,53.533,53.533
5573,2021-12-23,51.8501,53.533,51.8501,53.533
5572,2021-12-22,51.69,52.51,51.4444,51.4444
5571,2021-12-21,51.48,51.48,51.48,51.48
5570,2021-12-20,50.0,51.0,50.0,51.0
5569,2021-12-17,51.0,51.0,50.79,50.79
5568,2021-12-16,51.35,51.35,51.35,51.35
5567,2021-12-15,51.09,51.35,50.91,51.35
5566,2021-12-14,50.65,50.95,50.65,50.93
5565,2021-12-13,50.3,51.05,50.3,50.79
5564,2021-12-10,50.3,50.3,50.3,50.3
5563,2021-12-09,49.9,50.34,49.9,50.34
5562,2021-12-08,50.11,50.5,49.67,49.67
5561,2021-12-07,50.46,51.66,49.6,51.66
5560,2021-12-06,50.4575,50.4575,50.4575,50.4575
5559,2021-12-03,50.5,50.5,50.5,50.5
5558,2021-12-02,48.76,50.96,48.76,50.81
5557,2021-12-01,50.05,53.05,47.66,47.66
5556,2021-11-30,51.0,53.01,50.1523,51.56
5555,2021-11-29,51.41,52.1326,51.41,51.4207
5554,2021-11-26,51.184,51.9996,51.0,51.8872
5553,2021-11-24,52.23,52.23,52.23,52.23
5552,2021-11-23,52.68,53.35,51.66,52.23
5551,2021-11-22,51.17,53.15,51.17,53.15
5550,2021-11-19,52.0776,53.48,52.0776,53.48
5549,2021-11-18,53.35,53.8957,53.35,53.8957
5548,2021-11-17,54.1,54.1,54.1,54.1
5547,2021-11-16,53.76,54.1,53.75,54.1
5546,2021-11-15,55.0,55.3,55.0,55.13
5545,2021-11-12,56.9999,56.9999,56.9999,56.9999
5544,2021-11-11,55.35,56.9,55.35,56.8999
5543,2021-11-10,54.11,54.48,52.73,54.48
5542,2021-11-09,55.5021,55.5021,55.5021,55.5021
5541,2021-11-08,52.83,55.5021,52.83,55.5021
5540,2021-11-05,52.1161,52.1161,52.1161,52.1161
5539,2021-11-04,53.0,53.22,52.91,53.0
5538,2021-11-03,53.2,53.24,52.12,52.95
