,Date,Open,High,Low,Close
58,2021-12-31,10.19,10.19,10.19,10.19
57,2021-12-30,10.07,10.07,10.07,10.07
56,2021-12-29,10.0,10.07,10.0,10.07
55,2021-12-28,10.07,10.07,10.03,10.04
54,2021-12-27,10.05,10.05,10.0,10.0
53,2021-12-23,10.01,10.09,10.01,10.09
52,2021-12-22,10.1,10.1,10.09,10.09
51,2021-12-21,10.19,10.19,10.06,10.06
50,2021-12-20,10.12,10.215,10.0986,10.12
49,2021-12-17,10.04,10.3,10.04,10.12
48,2021-12-16,9.99,9.99,9.99,9.99
47,2021-12-15,9.97,9.99,9.94,9.99
46,2021-12-14,10.03,10.03,10.03,10.03
45,2021-12-13,10.05,10.05,10.05,10.05
44,2021-12-10,9.99,10.06,9.99,10.05
43,2021-12-09,9.98,10.04,9.98,10.04
42,2021-12-08,9.99,10.02,9.99,10.02
41,2021-12-07,9.98,9.99,9.97,9.99
40,2021-12-06,10.0,10.0,10.0,10.0
39,2021-12-03,10.0,10.0,10.0,10.0
38,2021-12-02,10.14,10.14,10.0,10.0
37,2021-12-01,10.0,10.02,10.0,10.02
36,2021-11-30,10.03,10.03,10.0,10.02
35,2021-11-29,10.05,10.1,10.0,10.02
34,2021-11-26,10.0,10.02,10.0,10.02
33,2021-11-24,9.95,10.1,9.95,10.03
32,2021-11-23,10.0,10.0,10.0,10.0
31,2021-11-22,10.0,10.02,10.0,10.02
30,2021-11-19,10.0,10.0,10.0,10.0
29,2021-11-18,10.01,10.0214,10.0,10.0
28,2021-11-17,9.9224,10.01,9.9224,10.01
27,2021-11-16,9.98,10.005,9.98,10.005
26,2021-11-15,10.0,10.0,10.0,10.0
25,2021-11-12,10.0,10.0,9.96,10.0
24,2021-11-11,10.0,10.0,10.0,10.0
23,2021-11-10,10.0,10.0,9.97,10.0
22,2021-11-09,10.0,10.005,9.99,10.0
21,2021-11-08,10.0,10.0,9.96,10.0
20,2021-11-05,9.9522,10.0,9.9522,10.0
19,2021-11-04,10.0,10.0,10.0,10.0
18,2021-11-03,9.97,9.97,9.97,9.97
17,2021-11-02,9.97,9.97,9.97,9.97
16,2021-11-01,9.99,9.99,9.97,9.97
15,2021-10-29,9.97,10.0,9.9237,9.97
14,2021-10-28,9.95,9.98,9.95,9.97
13,2021-10-27,9.95,9.96,9.95,9.95
12,2021-10-26,9.96,9.99,9.95,9.95
11,2021-10-25,9.93,9.96,9.93,9.95
10,2021-10-22,9.96,9.96,9.9,9.92
9,2021-10-21,9.9,9.9,9.9,9.9
8,2021-10-20,9.94,9.94,9.92,9.92
7,2021-10-19,9.96,9.96,9.92,9.92
6,2021-10-18,9.93,9.94,9.9,9.94
5,2021-10-15,9.94,9.94,9.9,9.91
4,2021-10-14,9.94,9.9499,9.94,9.94
3,2021-10-13,9.95,9.96,9.93,9.96
2,2021-10-12,9.95,9.96,9.94,9.95
1,2021-10-11,9.92,9.95,9.92,9.95
0,2021-10-08,9.93,9.95,9.91,9.92
