,Date,Open,High,Low,Close
23,2021-12-31,0.52,0.52,0.5101,0.5101
22,2021-12-30,0.5,0.5,0.5,0.5
21,2021-12-29,0.5,0.5,0.5,0.5
20,2021-12-28,0.5,0.5,0.5,0.5
19,2021-12-27,0.52,0.52,0.52,0.52
18,2021-12-23,0.45,0.52,0.45,0.52
17,2021-12-22,0.49,0.49,0.49,0.49
16,2021-12-21,0.43,0.475,0.43,0.475
15,2021-12-20,0.4989,0.4994,0.43,0.4307
14,2021-12-17,0.5005,0.5005,0.45,0.45
13,2021-12-16,0.5249,0.5249,0.5249,0.5249
12,2021-12-15,0.5101,0.55,0.5005,0.502
11,2021-12-14,0.55,0.55,0.55,0.55
10,2021-12-13,0.55,0.55,0.55,0.55
9,2021-12-10,0.5501,0.5501,0.55,0.55
8,2021-12-09,0.5501,0.5801,0.55,0.5801
7,2021-12-08,0.551,0.551,0.55,0.55
6,2021-12-07,0.55,0.55,0.55,0.55
5,2021-12-06,0.55,0.55,0.55,0.55
4,2021-12-03,0.5,0.5001,0.5,0.5001
3,2021-12-02,0.49,0.5,0.48,0.5
2,2021-12-01,0.53,0.5555,0.4811,0.4811
1,2021-11-30,0.52,0.5399,0.52,0.5399
0,2021-11-29,0.63,0.63,0.55,0.5501
