,Date,Open,High,Low,Close
23,2021-12-31,9.84,9.84,9.84,9.84
22,2021-12-30,9.83,9.83,9.83,9.83
21,2021-12-29,9.83,9.83,9.83,9.83
20,2021-12-28,9.84,9.84,9.83,9.83
19,2021-12-27,9.93,9.93,9.93,9.93
18,2021-12-23,9.8539,9.8539,9.8539,9.8539
17,2021-12-22,9.8,9.8923,9.8,9.88
16,2021-12-21,9.91,9.91,9.87,9.87
15,2021-12-20,10.05,10.05,9.9,9.95
14,2021-12-17,9.787,10.47,9.787,10.2
13,2021-12-16,9.76,9.79,9.76,9.77
12,2021-12-15,9.75,9.75,9.74,9.74
11,2021-12-14,9.8,9.8,9.8,9.8
10,2021-12-13,9.8,9.8,9.79,9.8
9,2021-12-10,9.79,9.82,9.78,9.8
8,2021-12-09,9.76,9.89,9.71,9.79
7,2021-12-08,9.73,9.79,9.72,9.76
6,2021-12-07,9.8299,9.8299,9.71,9.75
5,2021-12-06,9.71,9.75,9.7,9.7059
4,2021-12-03,9.7217,9.87,9.7217,9.83
3,2021-12-02,9.9291,9.9291,9.76,9.78
2,2021-12-01,9.85,9.85,9.85,9.85
1,2021-11-30,9.67,10.0,9.67,9.84
0,2021-11-29,15.9999,16.8,9.71,9.81
