,Date,Open,High,Low,Close
397,2021-12-31,24.65,24.7,24.65,24.7
396,2021-12-30,24.5606,24.7,24.56,24.7
395,2021-12-29,24.58,24.6,24.5501,24.6
394,2021-12-28,24.61,24.64,24.5406,24.58
393,2021-12-27,24.78,24.78,24.607,24.65
392,2021-12-23,24.72,24.78,24.72,24.74
391,2021-12-22,24.7176,24.78,24.66,24.66
390,2021-12-21,24.65,24.69,24.6018,24.6018
389,2021-12-20,24.77,24.77,24.7,24.7
388,2021-12-17,24.71,24.72,24.6944,24.71
387,2021-12-16,24.6,24.72,24.6,24.72
386,2021-12-15,24.584,24.6,24.55,24.5901
385,2021-12-14,24.59,24.66,24.49,24.56
384,2021-12-13,24.88,24.9165,24.88,24.89
383,2021-12-10,24.9,24.9708,24.86,24.91
382,2021-12-09,24.9,24.9282,24.8001,24.9282
381,2021-12-08,24.96,24.96,24.86,24.9
380,2021-12-07,24.94,24.99,24.8001,24.86
379,2021-12-06,24.98,25.03,24.84,24.84
378,2021-12-03,24.98,24.98,24.85,24.88
377,2021-12-02,25.0,25.0,24.76,24.8
376,2021-12-01,24.7,25.0,24.7,24.79
375,2021-11-30,24.89,24.89,24.8,24.8
374,2021-11-29,24.918,24.918,24.814,24.82
373,2021-11-26,24.84,24.84,24.75,24.83
372,2021-11-24,24.99,24.99,24.84,24.85
371,2021-11-23,24.97,25.05,24.86,25.0
370,2021-11-22,25.0,25.0097,24.9745,24.98
369,2021-11-19,25.0,25.0,24.965,24.98
368,2021-11-18,25.01,25.01,24.951,25.0
367,2021-11-17,25.02,25.03,24.99,24.99
366,2021-11-16,25.05,25.0598,25.0,25.02
365,2021-11-15,25.04,25.12,25.04,25.05
364,2021-11-12,25.04,25.1,25.02,25.05
363,2021-11-11,25.13,25.13,25.02,25.09
362,2021-11-10,25.17,25.17,25.03,25.03
361,2021-11-09,25.03,25.08,25.03,25.08
360,2021-11-08,25.18,25.18,25.06,25.11
359,2021-11-05,25.0301,25.25,25.0301,25.18
358,2021-11-04,25.12,25.12,25.02,25.08
357,2021-11-03,25.15,25.15,25.11,25.125
356,2021-11-02,25.12,25.205,25.059,25.09
355,2021-11-01,25.1,25.26,25.0,25.0
354,2021-10-29,25.0,25.09,25.0,25.05
353,2021-10-28,25.04,25.05,25.0,25.04
352,2021-10-27,24.9,25.0999,24.84,25.04
351,2021-10-26,25.05,25.065,24.92,24.95
350,2021-10-25,24.92,25.09,24.92,25.09
349,2021-10-22,24.95,24.99,24.91,24.98
348,2021-10-21,24.9,25.0,24.86,24.97
347,2021-10-20,24.81,24.9,24.81,24.85
346,2021-10-19,24.88,24.9,24.8,24.88
345,2021-10-18,24.825,24.85,24.76,24.85
344,2021-10-15,24.7,24.8199,24.66,24.66
343,2021-10-14,24.71,24.8,24.7,24.7
342,2021-10-13,24.8,24.82,24.71,24.72
341,2021-10-12,24.85,24.8619,24.7,24.71
340,2021-10-11,24.9,24.9,24.82,24.85
339,2021-10-08,24.8,24.82,24.6601,24.7
338,2021-10-07,24.78,24.86,24.7,24.7
337,2021-10-06,24.8725,24.875,24.66,24.7005
336,2021-10-05,24.86,24.9499,24.78,24.8
335,2021-10-04,24.82,24.9,24.8,24.8
334,2021-10-01,24.95,24.95,24.8,24.83
333,2021-09-30,24.8,24.85,24.8,24.85
