,Date,Open,High,Low,Close
579,2021-12-31,19.02,19.71,18.91,19.05
578,2021-12-30,17.76,19.73,17.71,19.33
577,2021-12-29,18.535,18.62,17.52,17.76
576,2021-12-28,19.22,19.2699,18.56,18.68
575,2021-12-27,18.86,19.3,18.69,19.2
574,2021-12-23,18.62,19.2,18.16,19.05
573,2021-12-22,18.7,18.8899,18.3182,18.62
572,2021-12-21,18.06,18.825,17.96,18.74
571,2021-12-20,18.215,18.77,17.92,18.01
570,2021-12-17,18.91,19.23,18.125,19.03
569,2021-12-16,20.02,20.26,19.1,19.13
568,2021-12-15,19.91,20.25,18.94,19.89
567,2021-12-14,20.21,20.74,19.24,19.5
566,2021-12-13,20.0,21.11,19.9,20.89
565,2021-12-10,20.7,21.29,19.45,20.2
564,2021-12-09,21.21,22.13,20.59,20.69
563,2021-12-08,20.755,21.32,19.64,20.98
562,2021-12-07,21.8,22.18,21.3,21.78
561,2021-12-06,21.0,21.349,19.72,20.74
560,2021-12-03,23.25,23.4399,21.0,21.57
559,2021-12-02,23.63,24.455,22.88,23.29
558,2021-12-01,25.62,25.79,23.5,23.52
557,2021-11-30,25.785,26.75,24.46,25.52
556,2021-11-29,26.055,26.23,25.05,26.06
555,2021-11-26,25.02,25.99,25.0,25.82
554,2021-11-24,25.6,26.34,24.74,26.17
553,2021-11-23,26.98,27.9,25.51,25.85
552,2021-11-22,27.47,28.53,26.5701,27.3
551,2021-11-19,25.93,27.199,25.83,26.9
550,2021-11-18,27.3,27.47,25.68,26.13
549,2021-11-17,27.45,28.72,26.82,27.69
548,2021-11-16,26.95,27.48,25.34,27.45
547,2021-11-15,27.04,27.16,26.18,26.93
546,2021-11-12,26.1,27.37,25.91,26.82
545,2021-11-11,24.84,25.98,24.64,25.68
544,2021-11-10,25.5,25.68,24.08,24.52
543,2021-11-09,28.16,28.24,25.26,25.82
542,2021-11-08,27.57,28.29,26.5114,27.6
541,2021-11-05,24.99,25.41,24.195,24.69
540,2021-11-04,25.05,25.29,24.32,24.59
539,2021-11-03,23.97,24.9599,23.68,24.81
538,2021-11-02,25.4,25.52,23.835,24.26
537,2021-11-01,25.05,26.1,24.825,25.66
536,2021-10-29,23.91,24.89,23.88,24.78
535,2021-10-28,22.84,24.3599,22.72,24.16
534,2021-10-27,23.15,23.52,22.6,22.72
533,2021-10-26,23.1,23.5299,22.45,22.84
532,2021-10-25,21.62,23.09,21.52,22.99
531,2021-10-22,21.885,21.9,20.95,21.35
530,2021-10-21,21.0,22.37,21.0,22.02
529,2021-10-20,21.18,21.26,20.74,21.18
528,2021-10-19,20.4,21.259,20.26,21.19
527,2021-10-18,19.68,19.94,19.4605,19.91
526,2021-10-15,19.66,20.035,19.4151,19.71
525,2021-10-14,20.16,20.16,19.71,19.92
524,2021-10-13,20.03,20.13,19.52,20.0
523,2021-10-12,19.2,20.0,19.15,19.99
522,2021-10-11,18.43,19.36,18.3834,19.07
521,2021-10-08,18.71,19.095,18.38,18.4
520,2021-10-07,18.035,18.98,17.7901,18.66
519,2021-10-06,17.87,18.13,17.6,17.92
518,2021-10-05,18.09,18.35,17.77,17.99
517,2021-10-04,19.16,19.18,17.9233,18.01
516,2021-10-01,19.91,20.05,18.77,19.31
515,2021-09-30,20.39,20.4087,19.56,19.99
514,2021-09-29,20.91,21.51,20.35,20.43
513,2021-09-28,20.36,21.425,20.15,20.83
512,2021-09-27,19.93,20.85,19.88,20.47
