,Date,Open,High,Low,Close
5578,2021-12-31,19.6115,19.69,19.58,19.67
5577,2021-12-30,19.65,19.68,19.47,19.68
5576,2021-12-29,19.305,19.74,19.305,19.65
5575,2021-12-28,19.18,19.5,19.18,19.5
5574,2021-12-27,18.9072,19.37,18.85,18.85
5573,2021-12-23,18.765,18.95,18.765,18.95
5572,2021-12-22,18.75,18.85,18.73,18.73
5571,2021-12-21,18.94,18.95,18.73,18.95
5570,2021-12-20,18.68,18.95,18.68,18.95
5569,2021-12-17,18.9,18.95,18.53,18.95
5568,2021-12-16,18.83,18.95,18.7499,18.95
5567,2021-12-15,18.92,18.95,18.8066,18.83
5566,2021-12-14,19.27,19.3617,18.7,18.7
5565,2021-12-13,18.93,19.4399,18.8,18.8
5564,2021-12-10,18.75,19.04,18.74,19.04
5563,2021-12-09,18.899,18.95,18.53,18.79
5562,2021-12-08,18.62,18.94,18.62,18.94
5561,2021-12-07,18.8698,18.88,18.8698,18.88
5560,2021-12-06,18.91,18.95,18.88,18.88
5559,2021-12-03,18.7875,18.95,18.7802,18.95
5558,2021-12-02,18.54,18.95,18.5001,18.95
5557,2021-12-01,18.73,18.95,18.57,18.57
5556,2021-11-30,18.5,18.92,18.5,18.56
5555,2021-11-29,18.96,19.0,18.6478,18.85
5554,2021-11-26,18.73,19.34,18.72,19.12
5553,2021-11-24,18.74,18.95,18.74,18.92
5552,2021-11-23,19.0,19.0,18.84,18.84
5551,2021-11-22,19.02,19.19,18.91,18.925
5550,2021-11-19,19.08,19.17,18.915,19.04
5549,2021-11-18,19.05,19.2177,18.93,19.01
5548,2021-11-17,19.11,19.24,19.05,19.06
5547,2021-11-16,19.05,19.24,19.0373,19.24
5546,2021-11-15,19.09,19.2,19.09,19.17
5545,2021-11-12,19.11,19.11,19.11,19.11
5544,2021-11-11,18.89,18.9951,18.88,18.9951
5543,2021-11-10,19.27,19.27,19.27,19.27
5542,2021-11-09,19.16,19.27,19.16,19.27
5541,2021-11-08,18.81,19.1383,18.81,18.99
5540,2021-11-05,18.5368,18.9,18.5368,18.9
5539,2021-11-04,18.8,18.995,18.8,18.995
5538,2021-11-03,18.8744,19.03,18.81,18.98
5537,2021-11-02,19.16,19.28,18.95,19.28
5536,2021-11-01,18.7,19.15,18.7,18.96
5535,2021-10-29,18.41,18.73,18.41,18.7
5534,2021-10-28,18.32,18.53,18.32,18.53
5533,2021-10-27,18.32,18.3645,18.32,18.32
5532,2021-10-26,18.31,18.32,18.22,18.32
5531,2021-10-25,18.26,18.3,18.26,18.3
5530,2021-10-22,18.45,18.45,18.21,18.22
5529,2021-10-21,18.26,18.5229,18.17,18.36
5528,2021-10-20,18.5399,18.55,18.17,18.5432
