,Date,Open,High,Low,Close
290,2021-12-31,2.55,2.73,2.51,2.67
289,2021-12-30,2.44,2.6884,2.43,2.58
288,2021-12-29,2.73,2.79,2.535,2.61
287,2021-12-28,2.87,2.9,2.66,2.71
286,2021-12-27,2.9,2.93,2.82,2.87
285,2021-12-23,2.81,2.98,2.785,2.91
284,2021-12-22,2.75,2.885,2.685,2.82
283,2021-12-21,3.02,3.02,2.67,2.7
282,2021-12-20,3.01,3.015,2.86,2.94
281,2021-12-17,3.04,3.14,3.01,3.01
280,2021-12-16,3.25,3.31,2.96,3.02
279,2021-12-15,3.37,3.42,3.03,3.33
278,2021-12-14,3.62,3.62,3.33,3.35
277,2021-12-13,3.85,3.9,3.62,3.62
276,2021-12-10,3.81,3.93,3.76,3.8
275,2021-12-09,3.99,4.07,3.78,3.78
274,2021-12-08,3.97,4.1501,3.9071,3.98
273,2021-12-07,3.88,4.1299,3.8535,4.03
272,2021-12-06,3.91,3.95,3.65,3.85
271,2021-12-03,4.07,4.085,3.83,3.95
270,2021-12-02,4.205,4.21,4.03,4.07
269,2021-12-01,4.57,4.67,4.095,4.11
268,2021-11-30,4.35,4.5884,4.35,4.53
267,2021-11-29,4.5,4.52,4.24,4.29
266,2021-11-26,4.27,4.575,4.21,4.54
265,2021-11-24,3.88,4.325,3.87,4.32
264,2021-11-23,3.99,4.01,3.76,3.91
263,2021-11-22,4.03,4.03,3.77,3.99
262,2021-11-19,4.13,4.24,4.0,4.0
261,2021-11-18,4.43,4.4899,4.075,4.11
260,2021-11-17,4.45,4.62,4.23,4.49
259,2021-11-16,4.71,4.71,4.34,4.52
258,2021-11-15,4.9,4.9311,4.5201,4.67
257,2021-11-12,4.43,5.025,4.25,5.0
256,2021-11-11,4.29,4.49,3.81,4.42
255,2021-11-10,3.75,4.3299,3.692,4.3
254,2021-11-09,3.71,3.81,3.63,3.81
253,2021-11-08,3.77,3.82,3.6001,3.81
252,2021-11-05,4.18,4.18,3.69,3.71
251,2021-11-04,3.9,4.13,3.86,4.02
250,2021-11-03,3.55,3.88,3.48,3.77
249,2021-11-02,3.75,3.75,3.48,3.57
248,2021-11-01,3.79,3.8,3.69,3.73
247,2021-10-29,3.61,3.63,3.53,3.58
246,2021-10-28,3.63,3.6425,3.52,3.61
245,2021-10-27,3.55,3.73,3.53,3.64
244,2021-10-26,3.68,3.7038,3.54,3.59
243,2021-10-25,3.72,3.79,3.46,3.69
242,2021-10-22,3.79,3.84,3.7,3.76
241,2021-10-21,3.81,3.88,3.77,3.84
240,2021-10-20,3.83,3.86,3.7,3.8
239,2021-10-19,3.92,3.94,3.8,3.84
238,2021-10-18,3.85,3.96,3.78,3.91
237,2021-10-15,3.98,4.05,3.82,3.85
236,2021-10-14,4.07,4.07,3.95,3.97
235,2021-10-13,4.1,4.13,3.9,3.99
234,2021-10-12,4.13,4.17,3.87,3.98
233,2021-10-11,4.25,4.25,4.05,4.07
232,2021-10-08,4.37,4.38,4.2,4.26
231,2021-10-07,4.2,4.43,4.14,4.37
230,2021-10-06,4.06,4.39,3.89,4.32
229,2021-10-05,4.22,4.34,4.05,4.11
228,2021-10-04,4.25,5.45,3.756,4.19
227,2021-10-01,5.64,5.78,5.46,5.48
226,2021-09-30,5.8,5.86,5.53,5.59
225,2021-09-29,5.73,5.9699,5.63,5.69
224,2021-09-28,5.74,5.83,5.58,5.67
223,2021-09-27,5.53,5.67,5.4131,5.64
222,2021-09-24,5.62,5.65,5.47,5.53
221,2021-09-23,5.63,5.83,5.5,5.64
220,2021-09-22,5.6,5.71,5.41,5.62
219,2021-09-21,5.85,5.98,5.55,5.56
218,2021-09-20,5.18,6.255,5.18,6.01
217,2021-09-17,5.37,5.51,5.22,5.43
216,2021-09-16,5.54,5.56,5.14,5.38
215,2021-09-15,5.4,5.54,5.26,5.51
214,2021-09-14,5.62,5.64,5.2,5.38
213,2021-09-13,5.95,5.95,5.54,5.59
212,2021-09-10,6.03,6.0866,5.65,5.94
211,2021-09-09,6.15,6.38,6.0,6.01
210,2021-09-08,6.75,7.1,6.11,6.14
209,2021-09-07,6.6,6.95,6.5,6.6
208,2021-09-03,6.23,6.6,6.23,6.45
207,2021-09-02,6.23,6.3694,6.14,6.22
206,2021-09-01,6.14,6.41,6.02,6.13
205,2021-08-31,6.37,6.4999,6.07,6.14
204,2021-08-30,6.34,7.35,6.25,6.35
203,2021-08-27,6.53,6.61,5.95,6.09
202,2021-08-26,6.75,6.9,6.3,6.59
201,2021-08-25,8.73,8.8,6.45,6.55
200,2021-08-24,9.14,9.235,8.88,9.02
199,2021-08-23,9.65,9.65,8.95,9.16
198,2021-08-20,9.75,9.97,9.35,9.65
197,2021-08-19,9.68,9.95,9.53,9.9
196,2021-08-18,9.33,9.64,9.33,9.64
195,2021-08-17,9.0,9.28,8.74,9.24
194,2021-08-16,10.26,10.26,8.5,9.0
193,2021-08-13,10.55,10.57,10.18,10.32
192,2021-08-12,10.0,10.28,9.8701,10.08
191,2021-08-11,10.12,10.12,9.63,9.96
190,2021-08-10,9.04,10.28,8.89,9.88
189,2021-08-09,9.41,9.475,9.115,9.19
188,2021-08-06,9.4,9.61,9.35,9.5
187,2021-08-05,8.83,9.48,8.76,9.2
186,2021-08-04,9.49,9.49,9.0,9.04
185,2021-08-03,9.79,9.8775,9.5,9.6
184,2021-08-02,9.88,9.97,9.72,9.9
183,2021-07-30,9.85,9.93,9.8,9.91
182,2021-07-29,9.72,9.98,9.67,9.93
181,2021-07-28,9.43,9.59,9.38,9.56
180,2021-07-27,9.53,9.57,9.29,9.42
179,2021-07-26,8.85,9.39,8.845,9.3
178,2021-07-23,8.0,8.8,7.9903,8.62
177,2021-07-22,8.08,8.2001,7.9,8.02
176,2021-07-21,8.96,8.96,7.7601,8.0
175,2021-07-20,9.38,9.4895,7.8735,8.87
174,2021-07-19,9.69,11.425,9.23,9.25
173,2021-07-16,8.95,9.83,8.91,9.1
172,2021-07-15,8.37,9.1,8.37,8.84
171,2021-07-14,9.05,9.1,8.27,8.32
170,2021-07-13,9.74,9.74,9.03,9.08
169,2021-07-12,9.8,9.93,9.725,9.74
168,2021-07-09,9.94,9.94,9.65,9.77
167,2021-07-08,9.97,9.98,9.96,9.97
166,2021-07-07,9.97,9.99,9.97,9.97
165,2021-07-06,9.97,9.98,9.97,9.97
164,2021-07-02,9.98,9.99,9.97,9.97
163,2021-07-01,9.97,9.995,9.97,9.98
162,2021-06-30,10.0,10.01,9.97,9.98
161,2021-06-29,9.98,10.01,9.97,10.0
160,2021-06-28,10.0,10.0,9.97,9.98
159,2021-06-25,9.97,10.0,9.97,9.97
158,2021-06-24,10.0,10.0,9.97,9.97
157,2021-06-23,9.97,10.0,9.97,9.98
156,2021-06-22,9.98,10.0,9.97,9.98
155,2021-06-21,9.98,10.01,9.977,9.98
154,2021-06-18,9.98,10.0,9.98,9.98
153,2021-06-17,10.05,10.05,9.97,9.98
152,2021-06-16,9.99,10.02,9.99,10.0
151,2021-06-15,9.97,10.02,9.97,10.01
150,2021-06-14,10.0,10.01,9.98,9.98
149,2021-06-11,10.0,10.04,9.99,9.99
148,2021-06-10,10.0,10.02,9.97,10.01
147,2021-06-09,9.99,10.0,9.9701,10.0
146,2021-06-08,9.95,9.98,9.95,9.98
145,2021-06-07,9.95,9.96,9.95,9.96
144,2021-06-04,9.95,9.98,9.95,9.96
143,2021-06-03,9.95,9.96,9.95,9.96
142,2021-06-02,9.96,9.9741,9.95,9.96
141,2021-06-01,9.97,10.0,9.94,10.0
140,2021-05-28,9.97,9.97,9.94,9.94
139,2021-05-27,9.97,9.98,9.91,9.93
138,2021-05-26,9.96,9.99,9.96,9.98
137,2021-05-25,9.97,10.0,9.96,9.99
136,2021-05-24,9.97,10.0,9.96,9.99
135,2021-05-21,9.97,10.02,9.97,10.02
134,2021-05-20,9.94,10.0,9.94,9.97
133,2021-05-19,9.99,10.0,9.95,10.0
132,2021-05-18,9.98,10.0,9.94,9.99
131,2021-05-17,9.92,9.99,9.9101,9.97
130,2021-05-14,9.92,9.96,9.92,9.93
129,2021-05-13,9.91,9.95,9.9,9.94
128,2021-05-12,9.95,9.98,9.94,9.94
127,2021-05-11,9.95,9.97,9.93,9.95
126,2021-05-10,9.98,10.01,9.95,10.0
125,2021-05-07,9.97,9.98,9.955,9.98
124,2021-05-06,9.98,10.0,9.94,9.99
123,2021-05-05,9.99,9.99,9.95,9.98
122,2021-05-04,9.92,9.99,9.91,9.98
121,2021-05-03,9.96,9.99,9.93,9.95
120,2021-04-30,9.905,9.97,9.88,9.96
119,2021-04-29,9.92,9.96,9.9,9.91
118,2021-04-28,9.95,9.96,9.91,9.93
117,2021-04-27,9.9,9.94,9.9,9.93
116,2021-04-26,9.91,9.94,9.87,9.93
115,2021-04-23,9.84,9.94,9.84,9.93
114,2021-04-22,9.87,9.9099,9.81,9.87
113,2021-04-21,9.87,9.88,9.87,9.88
112,2021-04-20,9.89,9.9,9.87,9.87
111,2021-04-19,9.91,9.9199,9.89,9.89
110,2021-04-16,9.91,9.93,9.91,9.93
109,2021-04-15,9.92,9.95,9.91,9.92
108,2021-04-14,9.93,9.94,9.91,9.93
107,2021-04-13,9.92,9.93,9.9,9.93
106,2021-04-12,9.92,9.94,9.92,9.925
105,2021-04-09,9.92,9.94,9.91,9.925
104,2021-04-08,9.92,9.9599,9.92,9.92
103,2021-04-07,9.97,9.97,9.91,9.93
102,2021-04-06,9.92,9.96,9.89,9.94
101,2021-04-05,9.9,9.97,9.89,9.9
100,2021-04-01,9.9,9.93,9.9,9.9
99,2021-03-31,9.91,9.94,9.9,9.91
98,2021-03-30,9.9,9.96,9.89,9.95
97,2021-03-29,9.91,9.95,9.87,9.93
96,2021-03-26,9.85,9.93,9.85,9.87
