,Date,Open,High,Low,Close
5578,2021-12-31,115.67,117.48,115.6049,116.97
5577,2021-12-30,116.38,117.34,116.08,116.24
5576,2021-12-29,115.3959,116.96,115.3103,116.38
5575,2021-12-28,114.0,116.2801,113.81,115.57
5574,2021-12-27,112.6,114.37,112.39,114.22
5573,2021-12-23,112.23,112.91,111.99,112.37
5572,2021-12-22,110.2,111.783,110.0,111.74
5571,2021-12-21,109.0,110.9,108.87,110.37
5570,2021-12-20,107.07,108.12,106.61,108.09
5569,2021-12-17,111.27,111.8,108.22,108.63
5568,2021-12-16,115.0,115.4,113.22,113.59
5567,2021-12-15,114.81,115.2,112.755,114.68
5566,2021-12-14,114.57,115.3,114.03,114.71
5565,2021-12-13,116.16,116.83,115.22,115.56
5564,2021-12-10,115.82,117.09,115.78,116.73
5563,2021-12-09,115.8,116.41,115.24,115.35
5562,2021-12-08,115.78,116.65,115.15,116.25
5561,2021-12-07,115.0577,117.19,114.79,116.26
5560,2021-12-06,112.01,114.17,111.71,113.36
5559,2021-12-03,111.85,112.8463,110.08,111.24
5558,2021-12-02,109.17,112.08,109.17,111.42
5557,2021-12-01,110.96,113.35,108.55,108.66
5556,2021-11-30,109.55,111.09,109.05,109.64
5555,2021-11-29,111.36,111.69,109.62,110.73
5554,2021-11-26,110.01,110.83,109.251,110.66
5553,2021-11-24,113.41,114.26,113.08,113.97
5552,2021-11-23,112.0,114.1102,111.78,113.58
5551,2021-11-22,111.11,112.59,110.67,111.45
5550,2021-11-19,112.729,112.9,109.77,110.78
5549,2021-11-18,112.12,113.2299,111.34,112.9
5548,2021-11-17,112.22,113.1086,111.66,112.52
5547,2021-11-16,112.28,113.11,111.505,112.23
5546,2021-11-15,112.12,113.65,111.58,111.87
5545,2021-11-12,111.74,112.24,111.09,111.72
5544,2021-11-11,113.25,113.25,110.535,111.44
5543,2021-11-10,112.905,114.46,112.6,113.25
5542,2021-11-09,114.65,115.6,113.37,114.13
5541,2021-11-08,116.52,117.47,114.5718,115.16
5540,2021-11-05,113.24,117.33,113.14,116.91
5539,2021-11-04,111.6,112.42,110.93,112.16
5538,2021-11-03,111.33,112.92,110.11,112.61
5537,2021-11-02,110.25,111.82,109.79,111.45
5536,2021-11-01,107.225,110.15,107.2,109.8
5535,2021-10-29,107.5,107.99,104.02,106.07
5534,2021-10-28,113.74,114.6,112.46,113.2
5533,2021-10-27,115.57,115.57,113.08,113.51
5532,2021-10-26,114.92,115.28,114.25,114.92
5531,2021-10-25,114.74,114.88,113.355,114.71
5530,2021-10-22,114.41,114.98,114.07,114.55
5529,2021-10-21,113.93,114.56,113.61,114.44
5528,2021-10-20,113.0635,115.1127,112.71,113.86
5527,2021-10-19,113.74,114.54,112.76,113.49
5526,2021-10-18,111.44,113.57,110.96,113.37
5525,2021-10-15,112.45,112.92,110.95,111.45
5524,2021-10-14,111.08,112.61,111.01,111.87
5523,2021-10-13,111.39,111.48,109.41,110.76
5522,2021-10-12,111.72,111.873,110.655,111.0
5521,2021-10-11,112.89,113.56,110.92,110.94
5520,2021-10-08,112.58,112.655,111.13,111.22
5519,2021-10-07,112.38,112.98,112.05,112.21
5518,2021-10-06,110.18,112.02,109.48,111.64
5517,2021-10-05,111.125,111.48,110.03,110.85
5516,2021-10-04,112.43,113.08,111.0165,111.46
5515,2021-10-01,110.89,113.46,110.54,112.92
5514,2021-09-30,111.52,112.16,110.31,110.31
5513,2021-09-29,111.9,112.52,111.57,112.17
5512,2021-09-28,112.675,113.0,111.08,111.71
5511,2021-09-27,113.612,114.67,112.91,113.68
5510,2021-09-24,114.13,114.86,113.76,114.11
5509,2021-09-23,113.39,114.71,113.1,114.14
5508,2021-09-22,113.06,114.03,112.32,113.07
5507,2021-09-21,111.92,113.6,111.75,112.22
5506,2021-09-20,111.3542,112.27,110.38,111.82
5505,2021-09-17,114.54,114.85,113.12,113.41
5504,2021-09-16,114.79,115.2699,113.193,114.67
5503,2021-09-15,116.955,117.02,113.12,114.64
5502,2021-09-14,119.7239,119.86,118.36,118.86
5501,2021-09-13,119.89,120.15,118.555,119.18
5500,2021-09-10,119.35,120.76,118.89,119.34
5499,2021-09-09,117.98,120.07,117.8,118.79
5498,2021-09-08,116.1,118.19,115.51,118.04
5497,2021-09-07,117.09,117.13,115.47,115.79
5496,2021-09-03,116.8376,117.58,116.34,117.19
5495,2021-09-02,118.29,118.36,116.9,117.37
5494,2021-09-01,118.01,118.33,117.275,117.45
5493,2021-08-31,115.77,117.6,115.65,117.49
5492,2021-08-30,115.61,115.82,114.63,115.61
5491,2021-08-27,114.605,115.39,114.18,115.12
5490,2021-08-26,115.62,115.77,113.86,114.32
5489,2021-08-25,115.59,115.99,115.0,115.57
5488,2021-08-24,115.39,115.85,114.94,115.08
5487,2021-08-23,114.71,115.46,114.71,115.15
5486,2021-08-20,113.98,115.0,113.66,114.63
5485,2021-08-19,114.51,115.0689,113.61,114.32
5484,2021-08-18,116.28,116.735,115.6,115.68
5483,2021-08-17,116.62,116.94,115.56,116.57
