,Date,Open,High,Low,Close
827,2021-02-11,25.265,25.35,25.25,25.34
826,2021-02-10,25.3,25.32,25.3,25.32
825,2021-02-09,25.25,25.32,25.25,25.32
824,2021-02-08,25.33,25.33,25.33,25.33
823,2021-02-05,25.33,25.33,25.33,25.33
822,2021-02-04,25.24,25.35,25.2399,25.35
821,2021-02-03,25.24,25.24,25.24,25.24
820,2021-02-02,25.23,25.23,25.23,25.23
819,2021-02-01,25.23,25.23,25.2,25.23
818,2021-01-29,25.22,25.22,25.22,25.22
817,2021-01-28,25.23,25.23,25.22,25.22
816,2021-01-27,25.2,25.23,25.2,25.23
815,2021-01-26,25.21,25.2207,25.21,25.22
814,2021-01-25,25.21,25.2155,25.2,25.2
813,2021-01-22,25.23,25.23,25.21,25.22
812,2021-01-21,25.21,25.2109,25.21,25.2109
811,2021-01-20,25.24,25.24,25.24,25.24
810,2021-01-19,25.19,25.22,25.19,25.2
809,2021-01-15,25.15,25.15,25.15,25.15
808,2021-01-14,25.16,25.18,25.16,25.17
807,2021-01-13,25.16,25.18,25.16,25.16
806,2021-01-12,25.34,25.34,25.34,25.34
805,2021-01-11,25.19,25.19,25.16,25.16
804,2021-01-08,25.25,25.25,25.25,25.25
803,2021-01-07,25.2341,25.3,25.195,25.3
802,2021-01-06,25.263,25.3,25.195,25.3
801,2021-01-05,25.2,25.2,25.2,25.2
800,2021-01-04,25.15,25.15,25.15,25.15
799,2020-12-31,25.15,25.15,25.15,25.15
798,2020-12-30,25.15,25.3,25.15,25.15
797,2020-12-29,25.25,25.36,25.25,25.36
796,2020-12-28,25.255,25.34,25.16,25.34
795,2020-12-24,25.1904,25.259,25.09,25.09
794,2020-12-23,25.31,25.31,25.31,25.31
793,2020-12-22,25.06,25.31,25.06,25.31
792,2020-12-21,25.2,25.2,25.2,25.2
791,2020-12-18,25.15,25.16,25.15,25.15
790,2020-12-17,25.1,25.1,25.1,25.1
789,2020-12-16,25.24,25.2549,25.155,25.25
788,2020-12-15,25.24,25.24,25.16,25.19
787,2020-12-14,25.1177,25.24,25.08,25.24
786,2020-12-11,25.1129,25.15,25.1129,25.15
785,2020-12-10,25.15,25.15,25.15,25.15
784,2020-12-09,25.14,25.15,25.14,25.15
783,2020-12-08,25.1,25.1,25.1,25.1
782,2020-12-07,25.05,25.2485,25.05,25.12
781,2020-12-04,25.15,25.15,25.15,25.15
780,2020-12-03,25.0501,25.0501,25.0501,25.0501
779,2020-12-02,25.05,25.1,25.04,25.05
778,2020-12-01,25.05,25.19,25.05,25.1
777,2020-11-30,25.0,25.06,25.0,25.0399
776,2020-11-27,25.14,25.185,25.14,25.185
775,2020-11-25,25.2124,25.2124,25.2124,25.2124
774,2020-11-24,25.15,25.24,25.12,25.22
773,2020-11-23,25.13,25.13,25.12,25.12
772,2020-11-20,25.11,25.2382,25.05,25.12
771,2020-11-19,25.02,25.2048,25.02,25.02
770,2020-11-18,25.01,25.29,25.0005,25.29
769,2020-11-17,25.19,25.2,25.05,25.05
768,2020-11-16,25.0,25.15,25.0,25.15
767,2020-11-13,25.07,25.1,25.07,25.1
