,Date,Open,High,Low,Close
633,2021-12-31,25.2,25.2,25.2,25.2
632,2021-12-30,25.16,25.2,25.1566,25.2
631,2021-12-29,25.16,25.17,25.16,25.1645
630,2021-12-28,25.16,25.16,25.149,25.16
629,2021-12-27,25.166,25.166,25.1524,25.1524
628,2021-12-23,25.16,25.1699,25.135,25.163
627,2021-12-22,25.13,25.17,25.13,25.15
626,2021-12-21,25.14,25.1699,25.1,25.14
625,2021-12-20,25.13,25.1499,25.1,25.1391
624,2021-12-17,25.1203,25.13,25.1203,25.13
623,2021-12-16,25.13,25.13,25.1,25.1
622,2021-12-15,25.11,25.11,25.06,25.0601
621,2021-12-14,25.23,25.24,25.02,25.12
620,2021-12-13,25.6,25.6,25.59,25.59
619,2021-12-10,25.7,25.7,25.5101,25.5101
618,2021-12-09,25.5399,25.5399,25.52,25.52
617,2021-12-08,25.4999,25.5169,25.475,25.5066
616,2021-12-07,25.4606,25.49,25.4606,25.49
615,2021-12-06,25.5,25.5,25.39,25.39
614,2021-12-03,25.45,25.52,25.4384,25.52
613,2021-12-02,25.4218,25.45,25.415,25.45
612,2021-12-01,25.39,25.47,25.39,25.45
611,2021-11-30,25.5,25.5,25.5,25.5
610,2021-11-29,25.48,25.49,25.36,25.38
609,2021-11-26,25.44,25.5,25.4,25.5
608,2021-11-24,25.5,25.5,25.32,25.38
607,2021-11-23,25.4999,25.5,25.4806,25.5
606,2021-11-22,25.5,25.5,25.5,25.5
605,2021-11-19,25.4001,25.4001,25.4,25.4
604,2021-11-18,25.28,25.4,25.28,25.4
603,2021-11-17,25.38,25.4367,25.38,25.42
602,2021-11-16,25.3656,25.3656,25.3656,25.3656
601,2021-11-15,25.34,25.4,25.31,25.3656
600,2021-11-12,25.3999,25.3999,25.3999,25.3999
599,2021-11-11,25.4,25.4,25.3999,25.4
598,2021-11-10,25.3721,25.3745,25.3,25.31
597,2021-11-09,25.35,25.35,25.35,25.35
596,2021-11-08,25.3699,25.4,25.31,25.35
595,2021-11-05,25.35,25.37,25.3,25.31
594,2021-11-04,25.275,25.3,25.25,25.25
593,2021-11-03,25.35,25.35,25.35,25.35
592,2021-11-02,25.35,25.35,25.265,25.265
591,2021-11-01,25.25,25.34,25.25,25.26
590,2021-10-29,25.28,25.28,25.25,25.25
589,2021-10-28,25.21,25.28,25.21,25.24
588,2021-10-27,25.1801,25.28,25.1801,25.24
587,2021-10-26,25.2605,25.34,25.2605,25.33
586,2021-10-25,25.5,25.5,25.17,25.17
585,2021-10-22,25.3077,25.37,25.3077,25.36
584,2021-10-21,25.235,25.305,25.235,25.305
583,2021-10-20,25.2513,25.26,25.21,25.21
582,2021-10-19,25.256,25.256,25.256,25.256
581,2021-10-18,25.2,25.49,25.18,25.37
580,2021-10-15,25.22,25.22,25.16,25.16
579,2021-10-14,25.27,25.27,25.2292,25.2292
578,2021-10-13,25.225,25.225,25.225,25.225
577,2021-10-12,25.16,25.225,25.15,25.225
576,2021-10-11,25.13,25.259,25.13,25.259
575,2021-10-08,25.2688,25.2688,25.2688,25.2688
574,2021-10-07,25.22,25.2688,25.22,25.2688
573,2021-10-06,25.205,25.205,25.1,25.1537
572,2021-10-05,25.25,25.25,25.229,25.229
571,2021-10-04,25.21,25.23,25.2002,25.2002
570,2021-10-01,25.27,25.27,25.27,25.27
569,2021-09-30,25.245,25.245,25.245,25.245
568,2021-09-29,25.13,25.1899,25.125,25.18
567,2021-09-28,25.08,25.12,25.08,25.115
566,2021-09-27,25.102,25.102,25.08,25.0975
565,2021-09-24,25.18,25.18,25.18,25.18
564,2021-09-23,25.06,25.17,25.06,25.17
563,2021-09-22,25.06,25.17,25.06,25.17
562,2021-09-21,25.15,25.16,25.07,25.07
561,2021-09-20,25.13,25.1397,25.06,25.138
560,2021-09-17,25.15,25.18,25.12,25.12
559,2021-09-16,25.1769,25.2,25.1,25.19
558,2021-09-15,25.14,25.21,25.14,25.18
557,2021-09-14,25.22,25.22,25.07,25.14
556,2021-09-13,25.48,25.54,25.48,25.52
555,2021-09-10,25.54,25.54,25.5,25.525
554,2021-09-09,25.45,25.5132,25.45,25.51
553,2021-09-08,25.43,25.4999,25.42,25.47
552,2021-09-07,25.81,25.97,25.38,25.54
551,2021-09-03,25.82,25.82,25.72,25.72
550,2021-09-02,25.845,25.845,25.845,25.845
549,2021-09-01,25.78,25.9878,25.78,25.9878
548,2021-08-31,25.99,25.99,25.77,25.82
547,2021-08-30,26.0,26.0,25.99,25.99
546,2021-08-27,26.1,26.1,26.1,26.1
545,2021-08-26,25.87,25.95,25.87,25.95
544,2021-08-25,25.87,25.8701,25.77,25.77
543,2021-08-24,25.75,25.77,25.7415,25.7415
542,2021-08-23,25.91,25.94,25.86,25.86
541,2021-08-20,25.71,25.91,25.71,25.9083
540,2021-08-19,25.7,25.71,25.7,25.71
539,2021-08-18,25.6,25.7,25.6,25.7
538,2021-08-17,25.7099,25.7099,25.7099,25.7099
537,2021-08-16,25.655,25.71,25.6292,25.7099
536,2021-08-13,25.68,25.695,25.68,25.695
535,2021-08-12,25.7,25.7,25.68,25.7
534,2021-08-11,25.69,25.7,25.68,25.68
533,2021-08-10,25.6784,25.7,25.62,25.7
532,2021-08-09,25.69,25.6922,25.69,25.6922
531,2021-08-06,25.69,25.69,25.69,25.69
530,2021-08-05,25.68,25.68,25.68,25.68
529,2021-08-04,25.5287,25.68,25.5287,25.68
528,2021-08-03,25.65,25.69,25.6199,25.6199
527,2021-08-02,25.61,25.64,25.5855,25.5855
526,2021-07-30,25.4714,25.555,25.4714,25.555
525,2021-07-29,25.47,25.47,25.47,25.47
524,2021-07-28,25.47,25.47,25.47,25.47
523,2021-07-27,25.64,25.64,25.5635,25.5635
522,2021-07-26,25.58,25.65,25.58,25.65
521,2021-07-23,25.5999,25.5999,25.59,25.59
520,2021-07-22,25.53,25.65,25.5,25.6
519,2021-07-21,25.5394,25.62,25.5394,25.6199
518,2021-07-20,25.539,25.54,25.4716,25.5242
517,2021-07-19,25.5395,25.5395,25.5395,25.5395
516,2021-07-16,25.5,25.62,25.5,25.5358
515,2021-07-15,25.5122,25.5122,25.5122,25.5122
514,2021-07-14,25.5101,25.5122,25.5,25.5122
513,2021-07-13,25.49,25.49,25.49,25.49
512,2021-07-12,25.65,25.65,25.4801,25.63
511,2021-07-09,25.65,25.65,25.65,25.65
510,2021-07-08,25.61,25.61,25.61,25.61
509,2021-07-07,25.54,25.54,25.54,25.54
508,2021-07-06,25.61,25.61,25.46,25.46
507,2021-07-02,25.6,25.6,25.6,25.6
506,2021-07-01,25.57,25.605,25.5,25.59
505,2021-06-30,25.5,25.5,25.47,25.47
504,2021-06-29,25.48,25.54,25.411,25.54
503,2021-06-28,25.6,25.6,25.22,25.5505
502,2021-06-25,25.52,25.64,25.5,25.64
501,2021-06-24,25.64,25.64,25.51,25.57
500,2021-06-23,25.69,25.7,25.49,25.5112
499,2021-06-22,25.75,25.848,25.6863,25.6863
498,2021-06-21,25.6299,25.76,25.62,25.7599
497,2021-06-18,25.67,25.67,25.67,25.67
496,2021-06-17,25.67,25.67,25.67,25.67
495,2021-06-16,25.67,25.67,25.67,25.67
494,2021-06-15,25.4577,25.67,25.4577,25.67
493,2021-06-14,25.41,25.55,25.41,25.52
492,2021-06-11,25.95,25.95,25.95,25.95
491,2021-06-10,25.8,25.81,25.7985,25.81
490,2021-06-09,25.82,25.82,25.82,25.82
489,2021-06-08,26.0,26.0,26.0,26.0
488,2021-06-07,26.0,26.0,26.0,26.0
487,2021-06-04,26.0,26.01,25.99,26.01
486,2021-06-03,25.8,25.97,25.77,25.88
485,2021-06-02,26.01,26.01,25.885,25.885
484,2021-06-01,25.756,25.756,25.756,25.756
483,2021-05-28,25.647,25.8,25.57,25.756
482,2021-05-27,25.64,25.64,25.6,25.6
481,2021-05-26,25.78,25.78,25.72,25.74
480,2021-05-25,25.56,25.635,25.56,25.635
479,2021-05-24,25.695,25.77,25.63,25.77
478,2021-05-21,25.7688,25.7688,25.7688,25.7688
477,2021-05-20,25.62,25.62,25.62,25.62
476,2021-05-19,25.6152,25.6152,25.6152,25.6152
475,2021-05-18,25.57,25.57,25.57,25.57
474,2021-05-17,25.68,25.81,25.68,25.77
