,Date,Open,High,Low,Close
330,2021-12-31,25.75,25.75,25.7086,25.75
329,2021-12-30,25.675,25.72,25.675,25.72
328,2021-12-29,25.585,25.6734,25.585,25.6685
327,2021-12-28,25.6,25.6,25.57,25.57
326,2021-12-27,25.6,25.6,25.5,25.527
325,2021-12-23,25.6,25.6,25.49,25.575
324,2021-12-22,25.47,25.6,25.47,25.56
323,2021-12-21,25.55,25.68,25.4213,25.545
322,2021-12-20,25.65,25.65,25.54,25.575
321,2021-12-17,25.56,25.77,25.52,25.65
320,2021-12-16,25.6,25.68,25.55,25.6
319,2021-12-15,25.65,25.65,25.59,25.6
318,2021-12-14,25.88,25.88,25.53,25.76
317,2021-12-13,26.08,26.09,26.0,26.09
316,2021-12-10,25.89,26.0722,25.89,26.0722
315,2021-12-09,26.0313,26.0516,26.0313,26.0516
314,2021-12-08,26.05,26.08,26.0,26.0001
313,2021-12-07,26.0297,26.05,26.0,26.0
312,2021-12-06,25.91,26.0,25.91,25.9999
311,2021-12-03,25.89,25.9,25.89,25.9
310,2021-12-02,25.9058,25.9999,25.86,25.91
309,2021-12-01,25.8996,25.94,25.895,25.94
308,2021-11-30,25.96,25.97,25.85,25.9599
307,2021-11-29,25.985,25.99,25.9,25.92
306,2021-11-26,25.9212,25.94,25.85,25.85
305,2021-11-24,25.99,25.99,25.88,25.8801
304,2021-11-23,25.92,25.98,25.92,25.96
303,2021-11-22,25.99,25.99,25.92,25.94
302,2021-11-19,25.96,25.9997,25.92,25.96
301,2021-11-18,25.95,25.98,25.91,25.95
300,2021-11-17,25.95,25.96,25.94,25.95
299,2021-11-16,25.95,26.0,25.88,25.88
298,2021-11-15,25.95,25.95,25.9359,25.9455
297,2021-11-12,25.87,25.9306,25.87,25.88
296,2021-11-11,25.89,25.9399,25.89,25.9223
295,2021-11-10,25.94,25.965,25.8801,25.8801
294,2021-11-09,25.92,26.0,25.92,25.93
293,2021-11-08,25.94,26.015,25.93,25.95
292,2021-11-05,25.9,25.94,25.9,25.92
291,2021-11-04,25.85,25.93,25.85,25.92
290,2021-11-03,25.91,25.9269,25.88,25.8845
289,2021-11-02,25.8601,25.92,25.8301,25.91
288,2021-11-01,25.8799,25.935,25.85,25.9
287,2021-10-29,25.88,25.88,25.85,25.85
286,2021-10-28,25.87,25.88,25.85,25.8592
285,2021-10-27,25.82,25.82,25.82,25.82
284,2021-10-26,25.82,25.855,25.82,25.82
283,2021-10-25,25.77,25.85,25.77,25.8
282,2021-10-22,25.789,25.79,25.789,25.79
281,2021-10-21,25.87,25.87,25.7817,25.8
280,2021-10-20,25.875,25.875,25.8233,25.84
279,2021-10-19,25.75,25.87,25.75,25.87
278,2021-10-18,25.75,25.8,25.75,25.8
277,2021-10-15,25.83,25.885,25.71,25.72
276,2021-10-14,25.875,25.88,25.82,25.82
275,2021-10-13,25.88,25.88,25.88,25.88
274,2021-10-12,25.86,25.95,25.81,25.81
273,2021-10-11,25.88,25.88,25.855,25.86
272,2021-10-08,25.89,25.89,25.88,25.88
271,2021-10-07,25.815,25.88,25.815,25.8796
270,2021-10-06,25.76,25.855,25.76,25.855
269,2021-10-05,25.85,25.85,25.815,25.8275
268,2021-10-04,25.85,25.85,25.845,25.85
267,2021-10-01,25.85,25.85,25.78,25.78
266,2021-09-30,25.85,25.85,25.775,25.775
265,2021-09-29,25.74,25.85,25.74,25.8
