,Date,Open,High,Low,Close
5578,2021-12-31,35.25,35.41,34.74,35.08
5577,2021-12-30,35.7,35.9,35.34,35.38
5576,2021-12-29,35.28,35.7596,35.1486,35.62
5575,2021-12-28,34.99,35.51,34.95,35.31
5574,2021-12-27,34.49,35.21,34.065,35.21
5573,2021-12-23,34.01,34.72,34.01,34.55
5572,2021-12-22,33.54,34.23,33.36,34.13
5571,2021-12-21,32.54,33.6,32.54,33.6
5570,2021-12-20,32.77,32.78,31.17,32.05
5569,2021-12-17,32.56,34.03,32.33,33.21
5568,2021-12-16,34.05,34.1,32.71,32.91
5567,2021-12-15,32.8,33.78,32.255,33.77
5566,2021-12-14,32.94,34.04,32.69,32.89
5565,2021-12-13,33.85,33.85,32.85,33.14
5564,2021-12-10,33.93,34.74,33.22,34.03
5563,2021-12-09,33.59,34.16,33.43,33.51
5562,2021-12-08,34.61,35.06,33.91,33.96
5561,2021-12-07,33.82,35.3,33.82,34.67
5560,2021-12-06,31.99,34.12,31.99,33.35
5559,2021-12-03,32.22,32.46,31.56,31.72
5558,2021-12-02,30.86,32.26,30.53,32.07
5557,2021-12-01,32.14,32.3,30.46,30.46
5556,2021-11-30,31.73,32.105,30.94,31.25
5555,2021-11-29,32.97,32.97,31.92,32.06
5554,2021-11-26,32.46,32.99,31.48,32.4
5553,2021-11-24,32.9,34.16,32.9,33.8
5552,2021-11-23,33.37,33.9625,32.82,33.29
5551,2021-11-22,34.35,34.65,33.4,33.42
5550,2021-11-19,34.08,34.56,33.5,33.66
5549,2021-11-18,35.19,35.31,33.32,34.26
5548,2021-11-17,35.1,35.44,34.56,35.26
5547,2021-11-16,36.095,36.095,34.82,35.1
5546,2021-11-15,36.14,36.18,34.73,35.69
5545,2021-11-12,35.69,36.63,35.175,36.07
5544,2021-11-11,34.52,35.78,34.52,35.41
5543,2021-11-10,40.06,40.825,34.5304,34.83
5542,2021-11-09,39.34,39.76,36.9109,39.5
5541,2021-11-08,40.26,40.26,39.03,39.32
5540,2021-11-05,38.9,39.94,38.69,39.75
5539,2021-11-04,39.23,39.23,37.7907,38.43
5538,2021-11-03,37.66,39.32,37.475,38.99
5537,2021-11-02,37.08,38.07,36.83,37.86
5536,2021-11-01,35.9,37.09,35.5,36.92
5535,2021-10-29,36.19,36.19,35.42,35.78
5534,2021-10-28,36.61,37.0099,35.6101,36.28
5533,2021-10-27,36.99,37.14,36.1,36.24
5532,2021-10-26,37.91,37.91,36.91,37.05
5531,2021-10-25,36.95,38.205,36.7542,37.76
5530,2021-10-22,37.1,37.5,36.7,36.86
5529,2021-10-21,36.37,37.01,36.31,36.82
5528,2021-10-20,36.5,36.8343,35.88,36.52
5527,2021-10-19,37.05,37.05,35.81,36.47
5526,2021-10-18,36.64,37.485,35.6,36.71
5525,2021-10-15,38.1,38.23,37.01,37.07
5524,2021-10-14,36.9,38.38,36.557,37.59
5523,2021-10-13,36.35,36.86,36.17,36.46
5522,2021-10-12,36.55,36.84,33.5472,36.41
5521,2021-10-11,36.9,38.3699,36.65,36.92
5520,2021-10-08,36.7,36.89,36.28,36.68
5519,2021-10-07,35.91,36.91,35.91,36.69
5518,2021-10-06,35.88,36.12,34.91,35.51
5517,2021-10-05,35.99,36.8899,35.4401,36.5
5516,2021-10-04,36.02,36.51,35.74,35.79
5515,2021-10-01,35.04,36.5,34.84,36.04
5514,2021-09-30,36.12,36.74,34.75,34.79
5513,2021-09-29,35.61,36.26,35.2,35.95
5512,2021-09-28,36.65,37.43,35.48,35.55
5511,2021-09-27,36.09,37.47,36.09,37.08
5510,2021-09-24,36.84,37.09,35.1623,36.16
5509,2021-09-23,35.25,37.05,35.19,37.0
5508,2021-09-22,33.9,35.365,33.41,35.22
5507,2021-09-21,34.12,34.43,33.1,33.75
5506,2021-09-20,33.45,34.03,33.01,33.92
5505,2021-09-17,34.08,34.3,33.56,34.25
5504,2021-09-16,34.26,34.48,33.27,34.34
5503,2021-09-15,34.39,34.39,33.48,34.06
5502,2021-09-14,35.53,35.53,34.05,34.24
5501,2021-09-13,35.76,36.4699,35.01,35.29
5500,2021-09-10,37.17,37.23,35.26,35.38
5499,2021-09-09,37.34,37.6,36.7,36.8
5498,2021-09-08,38.12,38.4851,37.22,37.37
5497,2021-09-07,38.2,38.4663,37.06,37.97
5496,2021-09-03,37.0,37.56,36.305,37.56
5495,2021-09-02,34.72,37.2599,34.65,36.76
5494,2021-09-01,35.58,36.18,34.3342,34.6
5493,2021-08-31,36.13,36.19,34.7849,35.58
5492,2021-08-30,36.44,36.84,35.29,36.16
5491,2021-08-27,35.69,36.349,33.28,36.05
5490,2021-08-26,35.5,36.37,34.1161,35.28
5489,2021-08-25,33.62,37.66,33.2852,35.4
5488,2021-08-24,29.24,30.8406,28.65,30.705
5487,2021-08-23,29.74,29.85,28.77,29.09
5486,2021-08-20,28.88,29.87,28.84,29.54
5485,2021-08-19,28.48,29.23,28.4,29.09
5484,2021-08-18,28.64,29.64,28.64,28.82
5483,2021-08-17,28.75,29.14,27.8966,28.79
5482,2021-08-16,28.67,29.26,28.05,28.89
5481,2021-08-13,29.3,29.48,28.58,28.84
5480,2021-08-12,29.18,29.34,28.58,29.23
5479,2021-08-11,29.255,29.305,28.22,29.21
5478,2021-08-10,27.75,28.66,27.61,28.65
5477,2021-08-09,27.93,28.195,27.76,27.78
5476,2021-08-06,27.78,28.8202,27.39,28.18
5475,2021-08-05,26.79,27.8,26.7429,27.47
5474,2021-08-04,27.27,27.2911,26.385,26.75
5473,2021-08-03,27.26,27.7,26.39,27.53
5472,2021-08-02,27.67,29.16,27.0,27.14
5471,2021-07-30,27.01,30.1,26.5,27.59
5470,2021-07-29,26.03,29.28,26.03,27.3
5469,2021-07-28,27.71,27.845,26.1842,26.67
5468,2021-07-27,25.84,26.03,25.39,25.89
5467,2021-07-26,25.76,26.31,25.76,26.1
5466,2021-07-23,25.97,25.97,25.45,25.65
5465,2021-07-22,26.38,26.44,25.33,25.68
5464,2021-07-21,26.17,26.95,25.8,26.56
5463,2021-07-20,25.29,26.53,25.16,25.94
5462,2021-07-19,24.93,25.635,24.8878,25.14
5461,2021-07-16,25.87,26.21,25.47,25.47
5460,2021-07-15,25.9,25.9,25.1599,25.74
5459,2021-07-14,26.25,26.6842,25.48,25.63
5458,2021-07-13,27.06,27.06,25.8,26.06
5457,2021-07-12,26.21,26.6,25.93,26.54
5456,2021-07-09,26.05,26.96,25.7857,26.45
5455,2021-07-08,25.56,26.155,25.13,25.61
5454,2021-07-07,26.43,26.99,25.85,26.12
5453,2021-07-06,27.985,27.985,26.58,26.62
5452,2021-07-02,28.59,28.59,27.59,27.61
5451,2021-07-01,28.39,28.79,27.99,28.46
5450,2021-06-30,27.38,28.36,27.2,28.13
5449,2021-06-29,27.92,28.215,27.33,27.37
5448,2021-06-28,28.23,28.23,27.565,27.78
5447,2021-06-25,28.08,28.725,27.945,28.22
5446,2021-06-24,28.16,28.41,27.71,28.14
5445,2021-06-23,28.23,28.58,27.93,27.95
5444,2021-06-22,29.215,29.215,27.74,28.23
5443,2021-06-21,28.24,28.73,27.92,28.72
5442,2021-06-18,28.31,28.6,27.59,27.9
5441,2021-06-17,30.49,30.49,28.79,28.87
