,Date,Open,High,Low,Close
3557,2021-12-31,21.24,21.56,20.96,21.35
3556,2021-12-30,21.51,21.83,21.24,21.24
3555,2021-12-29,21.3,21.68,21.26,21.47
3554,2021-12-28,21.35,21.5976,21.2,21.44
3553,2021-12-27,21.14,21.54,20.96,21.4
3552,2021-12-23,20.66,20.97,20.62,20.97
3551,2021-12-22,19.65,20.49,19.47,20.48
3550,2021-12-21,19.15,20.0,18.91,19.89
3549,2021-12-20,19.74,19.98,18.33,18.78
3548,2021-12-17,20.79,20.79,19.5,20.02
3547,2021-12-16,20.82,20.99,20.5,20.83
3546,2021-12-15,20.35,20.74,19.79,20.51
3545,2021-12-14,20.12,20.88,20.08,20.34
3544,2021-12-13,19.85,20.6,19.825,20.11
3543,2021-12-10,20.22,20.49,19.86,19.86
3542,2021-12-09,19.8,20.35,19.7208,20.07
3541,2021-12-08,19.73,20.23,19.67,19.95
3540,2021-12-07,19.4,20.06,19.39,19.76
3539,2021-12-06,18.74,19.33,18.5,19.22
3538,2021-12-03,18.42,18.77,18.35,18.68
3537,2021-12-02,18.53,18.77,18.2,18.45
3536,2021-12-01,18.55,18.869,18.24,18.26
3535,2021-11-30,18.76,18.8807,18.12,18.12
3534,2021-11-29,19.2,19.3,18.72,18.89
3533,2021-11-26,18.88,19.23,18.64,19.18
3532,2021-11-24,18.72,19.45,18.72,19.39
3531,2021-11-23,19.44,19.56,18.78,18.97
3530,2021-11-22,19.4,19.819,19.12,19.4
3529,2021-11-19,19.37,19.5547,18.9,19.1
3528,2021-11-18,19.88,20.22,19.65,19.71
3527,2021-11-17,20.16,20.36,19.635,20.15
3526,2021-11-16,21.74,21.75,20.29,20.31
3525,2021-11-15,22.4,22.735,21.78,21.84
3524,2021-11-12,22.47,22.64,22.18,22.37
3523,2021-11-11,22.53,22.85,22.46,22.71
3522,2021-11-10,22.65,23.27,22.46,22.53
3521,2021-11-09,22.58,23.13,22.52,22.73
3520,2021-11-08,25.03,25.22,22.5206,22.69
3519,2021-11-05,26.0,26.0,25.0,25.09
3518,2021-11-04,26.91,27.0,24.59,25.69
3517,2021-11-03,26.85,27.63,26.85,27.55
3516,2021-11-02,26.94,26.99,26.27,26.86
3515,2021-11-01,26.7,27.15,26.39,26.94
3514,2021-10-29,26.0,27.15,25.94,26.5
3513,2021-10-28,24.72,25.98,24.72,25.96
3512,2021-10-27,24.36,25.24,24.16,24.66
3511,2021-10-26,24.71,24.88,24.27,24.36
3510,2021-10-25,24.95,25.1036,24.57,24.65
3509,2021-10-22,24.83,25.34,24.83,24.95
3508,2021-10-21,25.66,25.8,24.52,24.83
3507,2021-10-20,26.25,26.38,25.2,25.64
3506,2021-10-19,27.1,27.1,26.38,26.45
3505,2021-10-18,27.2,27.27,26.72,26.84
3504,2021-10-15,27.55,27.81,27.21,27.24
3503,2021-10-14,27.43,27.49,26.87,27.1
3502,2021-10-13,26.62,26.91,26.05,26.9
3501,2021-10-12,26.19,26.64,25.71,26.55
3500,2021-10-11,27.96,28.09,25.95,26.1
3499,2021-10-08,28.01,28.21,27.74,27.97
3498,2021-10-07,28.19,28.4799,27.795,28.04
3497,2021-10-06,28.0,28.265,26.82,27.88
3496,2021-10-05,28.21,28.3892,28.01,28.19
3495,2021-10-04,28.75,28.75,27.9,28.14
3494,2021-10-01,28.07,28.775,28.03,28.45
3493,2021-09-30,28.29,28.55,27.81,27.89
3492,2021-09-29,27.65,28.025,27.5,27.99
3491,2021-09-28,27.93,28.09,27.55,27.65
3490,2021-09-27,27.4,28.18,27.15,27.8
3489,2021-09-24,27.38,27.58,27.22,27.32
3488,2021-09-23,27.39,27.715,27.31,27.47
3487,2021-09-22,27.26,28.16,27.1,27.28
3486,2021-09-21,26.6,27.08,26.29,27.02
3485,2021-09-20,27.88,27.88,25.57,26.09
3484,2021-09-17,28.15,28.4399,28.1,28.34
3483,2021-09-16,28.03,28.64,27.82,28.39
3482,2021-09-15,27.56,27.95,27.41,27.88
3481,2021-09-14,27.98,28.015,27.23,27.52
3480,2021-09-13,27.62,27.94,27.55,27.73
3479,2021-09-10,27.69,27.8876,27.21,27.3
3478,2021-09-09,27.83,27.86,27.48,27.5
3477,2021-09-08,28.1,28.45,27.77,27.88
3476,2021-09-07,28.54,28.5999,27.94,28.09
3475,2021-09-03,28.25,28.38,27.75,28.37
3474,2021-09-02,28.57,28.57,28.03,28.14
3473,2021-09-01,28.41,28.57,27.85,28.35
3472,2021-08-31,28.18,28.35,27.81,28.3
3471,2021-08-30,28.9,28.9,28.1,28.19
3470,2021-08-27,27.99,28.76,27.94,28.7
3469,2021-08-26,28.42,28.5,27.8,27.97
3468,2021-08-25,27.83,28.5,27.55,28.31
3467,2021-08-24,27.24,27.89,26.99,27.71
3466,2021-08-23,27.09,27.4,26.7,27.39
3465,2021-08-20,25.68,26.59,25.59,26.54
3464,2021-08-19,25.93,26.19,25.5114,25.78
3463,2021-08-18,26.7,26.96,26.25,26.28
3462,2021-08-17,27.28,27.47,26.87,26.95
3461,2021-08-16,27.42,27.76,26.92,27.6
3460,2021-08-13,28.46,28.5399,27.85,28.18
3459,2021-08-12,27.74,28.38,27.0,28.36
3458,2021-08-11,26.53,27.75,26.06,27.65
3457,2021-08-10,25.4,26.54,25.24,26.3
3456,2021-08-09,24.75,25.34,24.725,25.24
3455,2021-08-06,24.73,25.08,24.4,24.64
3454,2021-08-05,24.08,24.33,23.71,24.1
3453,2021-08-04,24.25,24.78,23.8,23.94
3452,2021-08-03,23.53,24.49,23.2,24.43
3451,2021-08-02,23.4,23.88,23.08,23.33
3450,2021-07-30,23.64,23.64,23.13,23.22
3449,2021-07-29,23.36,24.13,23.36,23.79
3448,2021-07-28,23.28,23.365,22.685,23.13
3447,2021-07-27,22.88,23.405,22.54,23.1
3446,2021-07-26,23.04,23.43,22.86,23.05
3445,2021-07-23,23.09,23.1158,22.75,23.04
3444,2021-07-22,23.09,23.09,22.7,22.81
3443,2021-07-21,23.01,23.41,22.8,23.28
3442,2021-07-20,22.25,23.07,21.97,22.78
3441,2021-07-19,23.0,23.15,21.639,21.98
3440,2021-07-16,23.72,23.72,23.0,23.2
3439,2021-07-15,23.2,23.65,22.89,23.57
3438,2021-07-14,23.755,24.16,23.2,23.22
3437,2021-07-13,24.09,24.09,23.67,23.71
3436,2021-07-12,23.865,24.4,23.67,24.18
3435,2021-07-09,23.28,24.0,23.25,23.92
3434,2021-07-08,23.29,23.5,22.52,23.06
3433,2021-07-07,24.02,24.39,23.3,23.51
3432,2021-07-06,24.73,24.76,24.2,24.27
3431,2021-07-02,24.8,24.97,24.53,24.71
3430,2021-07-01,24.72,24.96,24.43,24.89
3429,2021-06-30,23.82,24.69,23.71,24.59
3428,2021-06-29,24.69,24.69,23.89,23.97
3427,2021-06-28,24.935,25.0857,24.11,24.57
3426,2021-06-25,25.52,26.2,24.89,24.89
3425,2021-06-24,24.96,25.37,24.82,25.29
3424,2021-06-23,25.0,25.2099,24.82,24.88
3423,2021-06-22,25.0,25.13,24.66,25.12
3422,2021-06-21,25.22,25.22,24.75,25.0
3421,2021-06-18,24.4,25.015,24.215,24.97
3420,2021-06-17,25.12,25.1599,24.1,24.57
3419,2021-06-16,24.96,25.17,24.81,25.05
3418,2021-06-15,24.7,25.03,24.3,24.94
3417,2021-06-14,25.0,25.105,24.6001,24.73
3416,2021-06-11,24.81,25.14,24.75,25.02
3415,2021-06-10,25.1,25.1,24.6801,24.75
3414,2021-06-09,25.1,25.1,24.76,24.81
3413,2021-06-08,25.4,25.41,24.98,25.19
3412,2021-06-07,25.3,25.47,24.93,25.3
3411,2021-06-04,25.58,25.73,25.17,25.41
3410,2021-06-03,25.4,25.52,25.09,25.45
3409,2021-06-02,25.89,25.9599,25.46,25.54
3408,2021-06-01,26.41,26.9866,25.74,25.9
3407,2021-05-28,26.15,26.15,25.45,26.13
3406,2021-05-27,24.87,26.15,24.86,25.93
3405,2021-05-26,24.99,25.22,24.43,24.95
3404,2021-05-25,25.43,25.78,24.53,24.55
3403,2021-05-24,25.39,25.46,24.62,25.23
3402,2021-05-21,24.74,25.4783,24.2601,25.19
3401,2021-05-20,24.18,24.61,23.66,24.51
3400,2021-05-19,24.51,24.5366,23.55,24.2
