,Date,Open,High,Low,Close
5578,2021-12-31,39.7,39.7,38.87,39.08
5577,2021-12-30,40.19,40.72,39.64,39.7
5576,2021-12-29,39.84,40.6475,39.84,40.03
5575,2021-12-28,40.48,41.03,39.6401,39.74
5574,2021-12-27,39.6,40.51,38.77,40.49
5573,2021-12-23,39.09,39.6,38.29,39.27
5572,2021-12-22,39.32,39.49,38.61,39.06
5571,2021-12-21,39.0,39.82,38.52,39.48
5570,2021-12-20,38.0,38.865,36.55,38.7
5569,2021-12-17,36.76,38.19,36.27,37.97
5568,2021-12-16,39.3,39.605,36.785,37.23
5567,2021-12-15,38.5,39.37,37.6,38.97
5566,2021-12-14,37.56,39.17,37.04,38.6
5565,2021-12-13,39.26,39.49,37.18,37.75
5564,2021-12-10,39.17,39.48,37.8691,39.13
5563,2021-12-09,39.62,40.1891,38.55,38.56
5562,2021-12-08,40.29,40.7189,39.54,39.8
5561,2021-12-07,39.44,41.19,39.39,40.29
5560,2021-12-06,39.35,39.79,38.6265,38.93
5559,2021-12-03,39.06,40.03,37.6352,38.63
5558,2021-12-02,37.8,39.37,37.76,38.81
5557,2021-12-01,40.3,41.09,37.66,37.73
5556,2021-11-30,40.0,40.38,38.06,39.1
5555,2021-11-29,41.55,42.7295,40.29,40.39
5554,2021-11-26,41.6,41.6,40.09,40.53
5553,2021-11-24,43.05,43.58,41.7659,43.06
5552,2021-11-23,44.31,44.61,42.75,43.9
5551,2021-11-22,42.45,44.72,41.795,44.41
5550,2021-11-19,43.55,43.6409,41.3,41.78
5549,2021-11-18,44.57,46.2071,43.9493,44.27
5548,2021-11-17,45.11,45.3,40.87,43.72
5547,2021-11-16,41.94,44.33,41.74,43.82
5546,2021-11-15,39.2113,42.22,39.2113,42.09
5545,2021-11-12,39.95,40.13,39.46,39.63
5544,2021-11-11,39.4,40.17,38.86,39.89
5543,2021-11-10,39.78,40.1,38.9311,39.23
5542,2021-11-09,39.25,40.7899,39.0792,40.15
5541,2021-11-08,40.29,40.29,39.0,39.25
5540,2021-11-05,39.0,40.39,38.74,40.12
5539,2021-11-04,37.48,38.5,37.245,38.44
5538,2021-11-03,35.45,37.68,34.56,37.58
5537,2021-11-02,35.1,35.88,34.59,35.7
5536,2021-11-01,33.9,35.075,33.54,34.91
5535,2021-10-29,33.68,34.0,33.09,33.87
