,Date,Open,High,Low,Close
450,2021-12-31,9.98,10.0,9.98,9.99
449,2021-12-30,9.98,9.985,9.98,9.985
448,2021-12-29,9.9901,9.995,9.98,9.98
447,2021-12-28,9.99,9.99,9.98,9.99
446,2021-12-27,9.99,9.99,9.97,9.98
445,2021-12-23,9.98,9.985,9.98,9.9802
444,2021-12-22,9.98,9.985,9.98,9.98
443,2021-12-21,9.98,9.99,9.98,9.98
442,2021-12-20,9.98,9.99,9.98,9.98
441,2021-12-17,9.99,9.99,9.97,9.98
440,2021-12-16,9.97,9.98,9.97,9.98
439,2021-12-15,9.97,9.98,9.97,9.97
438,2021-12-14,9.973,9.98,9.96,9.97
437,2021-12-13,9.97,9.99,9.965,9.97
436,2021-12-10,9.95,9.98,9.95,9.97
435,2021-12-09,9.9789,9.98,9.97,9.97
434,2021-12-08,9.97,9.98,9.9602,9.97
433,2021-12-07,9.97,9.98,9.97,9.97
432,2021-12-06,9.96,9.97,9.96,9.97
431,2021-12-03,9.97,9.98,9.9493,9.97
430,2021-12-02,9.96,9.97,9.96,9.97
429,2021-12-01,9.97,9.98,9.96,9.96
428,2021-11-30,9.97,9.98,9.97,9.98
427,2021-11-29,9.97,9.9715,9.96,9.97
426,2021-11-26,9.96,9.97,9.96,9.97
425,2021-11-24,9.96,9.9601,9.96,9.96
424,2021-11-23,9.97,9.98,9.96,9.96
423,2021-11-22,9.99,9.99,9.97,9.97
422,2021-11-19,9.975,9.98,9.97,9.98
421,2021-11-18,9.9713,9.98,9.97,9.97
420,2021-11-17,9.98,9.98,9.975,9.98
419,2021-11-16,9.9702,9.98,9.9701,9.9701
418,2021-11-15,9.97,9.98,9.97,9.97
417,2021-11-12,9.9635,9.97,9.9635,9.97
416,2021-11-11,9.97,9.98,9.96,9.97
415,2021-11-10,9.977,9.98,9.975,9.98
414,2021-11-09,9.97,9.99,9.97,9.98
413,2021-11-08,9.97,9.98,9.97,9.98
412,2021-11-05,9.98,9.98,9.96,9.9602
411,2021-11-04,9.96,9.98,9.96,9.98
410,2021-11-03,9.95,9.98,9.95,9.9701
409,2021-11-02,9.975,9.98,9.95,9.98
408,2021-11-01,9.99,9.99,9.96,9.9798
407,2021-10-29,9.9633,9.98,9.963,9.98
406,2021-10-28,9.97,9.99,9.97,9.98
405,2021-10-27,9.95,9.9767,9.95,9.975
404,2021-10-26,9.95,9.98,9.95,9.97
403,2021-10-25,9.9699,9.97,9.95,9.95
402,2021-10-22,9.9426,9.9784,9.94,9.96
401,2021-10-21,9.94,9.96,9.94,9.955
400,2021-10-20,9.94,9.957,9.94,9.94
399,2021-10-19,9.95,9.96,9.94,9.95
398,2021-10-18,9.94,9.96,9.94,9.9599
397,2021-10-15,9.96,9.96,9.95,9.96
396,2021-10-14,9.96,9.96,9.95,9.95
395,2021-10-13,9.9401,9.96,9.94,9.96
394,2021-10-12,9.93,9.95,9.93,9.95
393,2021-10-11,9.94,9.96,9.94,9.95
392,2021-10-08,9.94,9.9511,9.94,9.9511
391,2021-10-07,9.94,9.96,9.94,9.95
390,2021-10-06,9.94,9.96,9.93,9.95
389,2021-10-05,9.95,9.96,9.95,9.95
388,2021-10-04,9.93,9.965,9.93,9.9516
387,2021-10-01,9.91,9.96,9.91,9.94
386,2021-09-30,9.94,9.94,9.91,9.93
385,2021-09-29,9.91,9.95,9.91,9.945
384,2021-09-28,9.9475,9.97,9.93,9.95
383,2021-09-27,9.92,9.97,9.92,9.96
382,2021-09-24,9.91,9.93,9.91,9.92
381,2021-09-23,9.95,9.95,9.9262,9.94
380,2021-09-22,9.91,9.925,9.91,9.92
379,2021-09-21,9.91,9.94,9.91,9.93
378,2021-09-20,9.9,9.93,9.9,9.92
377,2021-09-17,9.92,9.93,9.92,9.93
376,2021-09-16,9.9,9.94,9.9,9.94
375,2021-09-15,9.9,9.9045,9.9,9.9
374,2021-09-14,9.91,9.91,9.9,9.9
373,2021-09-13,9.9,9.94,9.9,9.91
372,2021-09-10,9.92,9.9298,9.9,9.9
371,2021-09-09,9.88,9.92,9.88,9.92
370,2021-09-08,9.9,9.91,9.9,9.9
369,2021-09-07,9.9,9.92,9.9,9.915
368,2021-09-03,9.91,9.93,9.9,9.9
367,2021-09-02,9.91,9.95,9.91,9.91
366,2021-09-01,9.92,9.92,9.91,9.91
365,2021-08-31,9.9,9.95,9.9,9.95
364,2021-08-30,9.88,9.92,9.88,9.9
363,2021-08-27,9.9,9.92,9.9,9.9
362,2021-08-26,9.9,9.92,9.9,9.9
361,2021-08-25,9.9,9.91,9.89,9.9
360,2021-08-24,9.89,9.92,9.89,9.91
359,2021-08-23,9.9,9.92,9.8901,9.91
358,2021-08-20,9.9,9.9,9.89,9.9
357,2021-08-19,9.9,9.91,9.9,9.91
356,2021-08-18,9.9,9.91,9.9,9.91
355,2021-08-17,9.895,9.91,9.89,9.91
