,Date,Open,High,Low,Close
2000,2021-12-31,42.265,42.44,41.97,42.02
1999,2021-12-30,42.54,42.67,42.12,42.34
1998,2021-12-29,42.14,42.71,42.07,42.58
1997,2021-12-28,42.01,42.33,41.95,42.28
1996,2021-12-27,42.24,42.54,41.89,42.2
1995,2021-12-23,42.26,42.425,42.22,42.24
1994,2021-12-22,42.09,42.28,41.86,42.18
1993,2021-12-21,42.11,42.34,41.96,41.97
1992,2021-12-20,41.74,42.06,41.6,41.92
1991,2021-12-17,41.87,42.0556,41.6,41.7
1990,2021-12-16,42.28,42.3,41.8,41.89
1989,2021-12-15,41.93,42.18,41.83,42.11
1988,2021-12-14,41.79,42.26,41.66,41.74
1987,2021-12-13,42.23,42.87,41.71,41.73
1986,2021-12-10,42.11,42.59,42.02,42.39
1985,2021-12-09,42.2,42.3008,41.99,42.14
1984,2021-12-08,42.5,42.7737,42.15,42.17
1983,2021-12-07,42.05,42.61,42.05,42.47
1982,2021-12-06,42.34,42.47,41.96,42.03
1981,2021-12-03,41.86,42.48,41.81,42.4
1980,2021-12-02,41.93,41.99,41.72,41.8
1979,2021-12-01,42.03,42.07,41.78,41.86
1978,2021-11-30,41.87,41.98,41.75,41.75
1977,2021-11-29,42.15,42.2,41.635,41.83
1976,2021-11-26,42.0,42.14,41.84,41.97
1975,2021-11-24,42.3,42.55,42.3,42.37
1974,2021-11-23,42.05,42.45,42.05,42.35
1973,2021-11-22,42.0,42.19,41.95,42.11
1972,2021-11-19,41.73,41.96,41.72,41.92
1971,2021-11-18,42.05,42.4184,41.75,41.76
1970,2021-11-17,41.88,42.01,41.87,41.99
1969,2021-11-16,41.91,41.96,41.73,41.96
1968,2021-11-15,41.85,41.97,41.76,41.86
1967,2021-11-12,41.82,41.85,41.71,41.8
1966,2021-11-11,41.86,41.95,41.77,41.84
1965,2021-11-10,41.72,41.88,41.72,41.83
1964,2021-11-09,41.68,41.83,41.66,41.8
1963,2021-11-08,41.8,41.84,41.61,41.7
1962,2021-11-05,41.68,41.94,41.68,41.73
1961,2021-11-04,41.73,41.85,41.65,41.66
1960,2021-11-03,41.68,41.75,41.65,41.65
1959,2021-11-02,41.68,41.75,41.665,41.72
1958,2021-11-01,41.74,41.77,41.65,41.68
1957,2021-10-29,41.7,41.79,41.66,41.7
1956,2021-10-28,41.67,41.83,41.66,41.75
1955,2021-10-27,41.7,41.74,41.65,41.71
1954,2021-10-26,41.75,41.75,41.65,41.71
1953,2021-10-25,41.74,41.9,41.685,41.75
1952,2021-10-22,41.78,41.91,41.65,41.65
1951,2021-10-21,41.81,41.91,41.65,41.7
1950,2021-10-20,41.67,42.1,41.67,41.81
1949,2021-10-19,42.0,42.2,41.64,41.66
1948,2021-10-18,41.62,42.12,41.62,42.08
1947,2021-10-15,41.68,41.76,41.61,41.63
1946,2021-10-14,41.6,41.75,41.6,41.68
1945,2021-10-13,41.61,41.69,41.59,41.66
1944,2021-10-12,41.68,41.7,41.6,41.6
1943,2021-10-11,41.7,41.74,41.59,41.6
1942,2021-10-08,41.65,41.7,41.6,41.65
1941,2021-10-07,41.74,41.78,41.62,41.65
1940,2021-10-06,41.65,41.82,41.6,41.63
1939,2021-10-05,41.75,41.79,41.63,41.7
1938,2021-10-04,41.58,41.87,41.51,41.58
1937,2021-10-01,41.65,41.69,41.54,41.6
1936,2021-09-30,41.55,41.81,41.55,41.7
1935,2021-09-29,41.45,41.57,41.45,41.55
1934,2021-09-28,41.48,41.555,41.48,41.5
1933,2021-09-27,41.55,41.57,41.48,41.53
1932,2021-09-24,41.48,41.6308,41.44,41.52
1931,2021-09-23,41.47,41.53,41.44,41.51
1930,2021-09-22,41.45,41.49,41.4,41.44
1929,2021-09-21,41.42,41.46,41.37,41.42
1928,2021-09-20,41.31,41.44,41.3,41.41
1927,2021-09-17,41.42,41.48,41.3,41.41
1926,2021-09-16,41.43,41.5,41.4,41.41
1925,2021-09-15,41.48,41.55,41.42,41.42
1924,2021-09-14,41.45,41.5,41.37,41.43
1923,2021-09-13,41.4,41.545,41.4,41.51
1922,2021-09-10,41.45,41.49,41.38,41.4
1921,2021-09-09,41.4,41.6,41.361,41.39
1920,2021-09-08,41.32,41.45,41.3,41.4
1919,2021-09-07,41.23,41.36,41.2,41.31
1918,2021-09-03,41.27,41.3,41.1984,41.23
1917,2021-09-02,41.15,41.3,41.0,41.26
1916,2021-09-01,41.78,41.9,39.33,41.09
1915,2021-08-31,41.69,41.985,41.65,41.73
1914,2021-08-30,41.7,41.7,41.61,41.66
1913,2021-08-27,41.57,41.72,41.56,41.7
1912,2021-08-26,41.64,41.64,41.52,41.57
1911,2021-08-25,41.6,41.69,41.52,41.59
1910,2021-08-24,41.45,41.66,41.3,41.63
1909,2021-08-23,41.4,41.53,41.17,41.31
1908,2021-08-20,41.2,41.54,41.11,41.25
1907,2021-08-19,41.31,41.555,41.0,41.17
1906,2021-08-18,41.45,41.74,41.4,41.45
1905,2021-08-17,41.36,41.69,41.24,41.55
1904,2021-08-16,41.81,41.98,41.33,41.42
1903,2021-08-13,42.2,42.39,41.96,41.99
1902,2021-08-12,42.09,42.29,41.8701,42.29
1901,2021-08-11,41.75,42.2,41.55,42.06
1900,2021-08-10,41.5,41.86,41.4696,41.8
1899,2021-08-09,41.545,41.73,41.23,41.5
1898,2021-08-06,41.36,41.77,41.24,41.58
1897,2021-08-05,41.39,41.61,41.11,41.4
1896,2021-08-04,41.27,41.82,41.0,41.31
1895,2021-08-03,41.05,41.58,40.75,41.57
1894,2021-08-02,41.15,41.45,40.79,40.81
1893,2021-07-30,40.88,41.26,40.85,41.03
