,Date,Open,High,Low,Close
581,2021-12-31,2.42,2.5115,2.33,2.35
580,2021-12-30,2.31,2.56,2.29,2.44
579,2021-12-29,2.53,2.53,2.3,2.32
578,2021-12-28,2.58,2.64,2.455,2.52
577,2021-12-27,2.83,2.85,2.59,2.61
576,2021-12-23,2.68,2.8788,2.6704,2.85
575,2021-12-22,2.72,2.75,2.64,2.69
574,2021-12-21,2.65,2.84,2.61,2.72
573,2021-12-20,2.648,2.652,2.52,2.56
572,2021-12-17,2.53,2.77,2.46,2.73
571,2021-12-16,2.81,2.83,2.5,2.54
570,2021-12-15,2.56,2.77,2.495,2.7
569,2021-12-14,2.6,2.7,2.51,2.53
568,2021-12-13,2.68,2.7,2.485,2.62
567,2021-12-10,2.91,2.9199,2.63,2.71
566,2021-12-09,2.96,2.98,2.81,2.85
565,2021-12-08,3.0706,3.12,2.94,2.96
564,2021-12-07,2.93,3.22,2.92,3.11
563,2021-12-06,2.63,2.92,2.54,2.85
562,2021-12-03,3.0,3.0,2.67,2.71
561,2021-12-02,2.81,3.0,2.76,2.99
560,2021-12-01,3.08,3.14,2.76,2.81
559,2021-11-30,3.06,3.1218,2.89,3.07
558,2021-11-29,3.23,3.2399,3.01,3.13
557,2021-11-26,3.215,3.3,3.13,3.2
556,2021-11-24,3.22,3.4,3.14,3.39
555,2021-11-23,3.33,3.35,3.13,3.3
554,2021-11-22,3.63,3.63,3.29,3.31
553,2021-11-19,3.67,3.72,3.59,3.63
552,2021-11-18,3.78,3.7964,3.61,3.69
551,2021-11-17,4.0,4.035,3.79,3.81
550,2021-11-16,4.0,4.08,3.84,4.03
549,2021-11-15,4.27,4.29,3.97,4.05
548,2021-11-12,4.15,4.28,4.08,4.21
547,2021-11-11,4.25,4.37,4.14,4.19
546,2021-11-10,4.1,4.45,4.1,4.32
545,2021-11-09,4.04,4.33,3.9,4.17
544,2021-11-08,5.3,5.42,5.19,5.25
543,2021-11-05,5.35,5.5,5.2,5.25
542,2021-11-04,5.49,5.56,5.27,5.38
541,2021-11-03,5.37,5.775,5.37,5.51
540,2021-11-02,5.32,5.42,5.16,5.42
539,2021-11-01,5.2,5.455,5.1601,5.38
538,2021-10-29,5.26,5.28,5.08,5.15
537,2021-10-28,5.25,5.32,5.13,5.3
536,2021-10-27,5.29,5.4153,5.12,5.14
535,2021-10-26,5.3,5.52,5.17,5.37
534,2021-10-25,5.45,5.54,5.25,5.29
533,2021-10-22,5.65,5.73,5.31,5.39
532,2021-10-21,5.8,5.99,5.66,5.81
531,2021-10-20,6.0,6.17,5.78,5.81
530,2021-10-19,5.52,6.24,5.42,5.99
529,2021-10-18,5.52,5.66,5.43,5.61
528,2021-10-15,5.722,5.91,5.5,5.54
527,2021-10-14,5.88,5.89,5.7,5.73
526,2021-10-13,6.07,6.1,5.68,5.85
525,2021-10-12,6.15,6.38,5.92,6.05
524,2021-10-11,6.65,6.76,6.12,6.12
523,2021-10-08,6.5735,7.09,6.41,6.6
522,2021-10-07,6.82,6.83,6.24,6.59
521,2021-10-06,5.7,6.76,5.63,6.75
520,2021-10-05,5.2664,5.94,5.21,5.87
519,2021-10-04,5.45,5.53,5.02,5.08
518,2021-10-01,5.47,5.55,5.24,5.5
517,2021-09-30,5.232,5.43,5.15,5.32
516,2021-09-29,5.73,5.77,5.22,5.25
515,2021-09-28,5.84,5.9199,5.32,5.66
514,2021-09-27,5.715,6.11,5.62,5.95
513,2021-09-24,6.0,6.08,5.65,5.68
512,2021-09-23,6.32,6.54,6.02,6.1
511,2021-09-22,6.458,6.68,6.22,6.26
510,2021-09-21,6.5,6.74,6.13,6.47
509,2021-09-20,7.03,7.36,6.12,6.49
508,2021-09-17,6.47,7.42,6.35,6.7
507,2021-09-16,5.63,6.05,5.62,6.0
506,2021-09-15,5.6805,5.95,5.4,5.68
505,2021-09-14,6.2,6.6491,5.58,5.76
504,2021-09-13,5.24,6.32,5.19,5.98
503,2021-09-10,5.38,5.4051,5.12,5.15
502,2021-09-09,5.32,5.48,5.27,5.36
501,2021-09-08,5.58,5.62,5.3,5.34
500,2021-09-07,5.7071,5.91,5.475,5.59
499,2021-09-03,5.81,6.03,5.56,5.66
498,2021-09-02,5.55,5.86,5.45,5.73
497,2021-09-01,5.62,5.8,5.4,5.47
496,2021-08-31,5.34,5.64,5.22,5.5
495,2021-08-30,5.23,6.23,5.15,5.34
494,2021-08-27,4.91,5.2863,4.89,5.18
493,2021-08-26,4.99,5.14,4.87,4.91
492,2021-08-25,5.11,5.14,4.96,5.02
491,2021-08-24,4.9,5.21,4.84,5.13
490,2021-08-23,4.86,4.9,4.63,4.89
489,2021-08-20,4.67,4.9,4.6401,4.84
488,2021-08-19,4.8,4.935,4.665,4.69
487,2021-08-18,4.8,5.085,4.71,4.83
486,2021-08-17,4.75,4.97,4.64,4.81
485,2021-08-16,5.02,5.03,4.84,4.87
484,2021-08-13,5.14,5.2,4.985,5.03
483,2021-08-12,5.3015,5.49,5.17,5.2
482,2021-08-11,5.2,5.71,5.17,5.33
481,2021-08-10,5.4112,5.46,4.93,5.08
480,2021-08-09,6.83,6.86,6.63,6.7
479,2021-08-06,6.91,7.0199,6.78,6.83
478,2021-08-05,6.81,7.01,6.68,6.95
477,2021-08-04,6.87,6.995,6.715,6.77
476,2021-08-03,7.21,7.21,6.81,6.98
475,2021-08-02,7.05,7.36,7.01,7.23
474,2021-07-30,6.9,7.135,6.88,7.06
473,2021-07-29,6.97,7.13,6.8783,7.02
