,Date,Open,High,Low,Close
480,2021-12-31,34.46,35.87,34.4,34.83
479,2021-12-30,32.9834,35.63,32.9834,34.39
478,2021-12-29,33.97,33.99,32.7001,33.38
477,2021-12-28,35.15,36.11,33.83,33.96
476,2021-12-27,35.9,35.9,34.19,35.02
475,2021-12-23,35.46,36.45,34.57,35.9
474,2021-12-22,36.58,36.9,35.31,35.43
473,2021-12-21,36.96,37.27,35.89,36.69
472,2021-12-20,37.35,38.22,36.21,36.86
471,2021-12-17,35.01,38.4,34.12,38.19
470,2021-12-16,37.62,37.97,34.735,35.04
469,2021-12-15,35.34,37.9,33.88,36.91
468,2021-12-14,36.16,36.82,34.82,35.32
467,2021-12-13,36.89,37.11,35.55,36.63
466,2021-12-10,38.8,39.75,36.58,36.83
465,2021-12-09,40.61,41.23,38.02,38.53
464,2021-12-08,39.02,41.89,38.0,41.12
463,2021-12-07,37.0,39.74,37.0,38.77
462,2021-12-06,36.01,36.57,34.4776,36.18
461,2021-12-03,38.2973,38.395,35.23,36.33
460,2021-12-02,37.09,38.68,36.91,38.23
459,2021-12-01,39.72,40.35,37.08,37.15
458,2021-11-30,38.98,40.0899,37.91,39.18
457,2021-11-29,40.34,40.64,38.4001,39.01
456,2021-11-26,38.94,40.5428,38.801,39.54
455,2021-11-24,38.05,40.3299,37.5301,39.31
454,2021-11-23,38.27,38.75,36.93,38.26
453,2021-11-22,40.9,40.94,38.22,38.33
452,2021-11-19,41.25,42.09,39.85,40.8
451,2021-11-18,44.5,44.53,41.26,41.66
450,2021-11-17,45.52,46.7393,43.97,44.45
449,2021-11-16,45.35,45.59,44.23,45.55
448,2021-11-15,48.16,48.57,45.35,45.45
447,2021-11-12,45.65,47.95,45.02,47.11
446,2021-11-11,47.07,48.44,44.0001,45.16
445,2021-11-10,52.53,54.06,51.1,51.16
444,2021-11-09,55.8,55.8,53.5,53.84
443,2021-11-08,57.24,57.5084,55.72,56.0
442,2021-11-05,59.35,59.645,56.36,57.28
441,2021-11-04,59.54,59.87,57.92,58.92
440,2021-11-03,57.77,59.87,56.92,59.25
439,2021-11-02,56.69,58.43,55.6,57.81
438,2021-11-01,54.74,57.86,54.6,57.33
437,2021-10-29,54.85,55.5,54.52,54.58
436,2021-10-28,53.87,55.51,53.7712,55.12
435,2021-10-27,54.91,55.075,52.355,53.73
434,2021-10-26,54.61,56.08,54.5624,54.77
433,2021-10-25,52.79,55.34,52.79,54.88
432,2021-10-22,55.98,55.98,52.255,52.67
431,2021-10-21,56.19,56.865,55.63,56.0
430,2021-10-20,55.8393,56.335,55.21,55.98
429,2021-10-19,53.62,56.35,53.62,55.71
428,2021-10-18,55.0,55.15,53.17,53.24
427,2021-10-15,55.75,55.75,54.365,55.36
426,2021-10-14,54.6,56.0,54.5,55.01
425,2021-10-13,52.59,54.5,52.06,54.0
424,2021-10-12,51.37,52.28,51.05,51.37
423,2021-10-11,50.0,52.27,49.69,50.95
422,2021-10-08,51.7,51.76,50.11,50.2
421,2021-10-07,51.31,52.68,51.26,51.69
420,2021-10-06,51.37,52.655,50.89,51.09
419,2021-10-05,51.98,53.3894,51.2201,52.29
418,2021-10-04,53.5,54.0,51.09,51.9
417,2021-10-01,54.9,54.9,53.34,53.99
416,2021-09-30,55.09,55.8,54.5401,54.68
415,2021-09-29,55.95,56.24,54.2876,54.64
414,2021-09-28,58.05,58.05,55.39,55.59
413,2021-09-27,57.64,59.2,56.43,58.89
412,2021-09-24,59.82,60.39,57.83,57.95
411,2021-09-23,60.45,60.811,59.73,60.51
410,2021-09-22,60.7,61.0,59.61,60.24
409,2021-09-21,58.95,60.83,58.8,60.33
408,2021-09-20,60.7,61.36,57.4,58.58
407,2021-09-17,61.74,62.555,60.915,62.42
406,2021-09-16,60.32,61.855,60.27,61.15
405,2021-09-15,61.13,61.4,59.85,60.97
404,2021-09-14,62.48,62.92,60.88,61.52
403,2021-09-13,62.63,63.08,60.52,62.45
402,2021-09-10,63.81,64.0,62.26,62.76
401,2021-09-09,62.81,64.2,62.51,63.13
400,2021-09-08,62.87,63.78,61.54,63.03
399,2021-09-07,65.74,65.75,62.77,62.87
398,2021-09-03,65.0,66.49,64.0,65.25
397,2021-09-02,63.4959,65.95,62.9,64.62
396,2021-09-01,62.17,64.815,61.71,62.73
395,2021-08-31,58.7,59.85,58.645,59.69
394,2021-08-30,58.76,59.97,58.2819,58.71
393,2021-08-27,56.26,58.75,56.01,58.61
392,2021-08-26,58.5,59.13,55.75,55.82
391,2021-08-25,59.76,59.76,58.28,58.77
390,2021-08-24,58.173,59.37,57.3101,59.24
389,2021-08-23,55.26,57.7,55.11,57.63
388,2021-08-20,53.55,55.17,53.35,54.64
387,2021-08-19,54.68,55.095,53.55,53.75
386,2021-08-18,56.62,56.74,54.6,54.78
385,2021-08-17,56.59,56.61,54.42,55.25
384,2021-08-16,59.1,59.25,56.75,57.4
383,2021-08-13,59.69,60.275,58.66,59.66
382,2021-08-12,58.6721,60.5,57.13,59.37
381,2021-08-11,64.71,64.71,62.13,62.85
380,2021-08-10,66.58,66.58,63.05,64.11
379,2021-08-09,65.02,66.75,64.7,66.0
378,2021-08-06,69.77,69.91,64.24,64.56
377,2021-08-05,68.0,70.04,67.9094,69.0
376,2021-08-04,65.95,69.0824,65.95,68.43
375,2021-08-03,67.62,67.82,65.585,66.4
374,2021-08-02,68.01,69.41,66.7101,67.96
373,2021-07-30,67.62,69.2559,67.3706,67.67
372,2021-07-29,70.5,70.86,68.18,68.33
371,2021-07-28,67.47,71.22,67.47,70.12
370,2021-07-27,67.84,67.89,65.2914,67.02
369,2021-07-26,69.21,70.0,67.23,68.24
368,2021-07-23,70.11,70.555,68.03,69.88
367,2021-07-22,71.16,71.89,69.21,70.08
366,2021-07-21,69.93,71.35,68.95,71.26
365,2021-07-20,68.76,70.23,67.37,69.65
364,2021-07-19,65.66,69.6,65.33,68.56
363,2021-07-16,67.93,68.38,65.5,67.18
362,2021-07-15,66.69,67.5899,65.2,67.46
361,2021-07-14,69.92,70.01,66.95,67.28
360,2021-07-13,73.06,73.8,69.1,69.19
359,2021-07-12,76.28,76.8136,73.74,74.07
358,2021-07-09,74.76,76.1951,74.41,76.18
357,2021-07-08,70.53,76.4,70.0,75.47
356,2021-07-07,75.76,75.98,71.77,72.58
355,2021-07-06,75.72,76.45,74.06,75.51
354,2021-07-02,76.53,77.39,74.62,75.85
353,2021-07-01,76.0,77.5262,75.01,76.55
352,2021-06-30,77.27,77.29,75.52,75.61
351,2021-06-29,78.5,79.6,77.08,77.69
350,2021-06-28,78.98,79.75,77.56,78.8
349,2021-06-25,78.81,79.71,76.4283,77.64
348,2021-06-24,77.22,79.0,77.22,78.46
347,2021-06-23,76.72,77.9731,76.11,76.87
346,2021-06-22,74.16,77.27,74.0085,76.84
345,2021-06-21,74.01,76.12,71.75,75.06
344,2021-06-18,74.9,76.135,73.1,74.01
343,2021-06-17,73.44,76.87,73.0,76.08
342,2021-06-16,73.6,75.49,72.6,74.49
341,2021-06-15,75.86,75.86,72.65,74.6
340,2021-06-14,77.595,78.77,76.15,76.34
339,2021-06-11,76.74,77.99,76.29,77.51
338,2021-06-10,74.77,76.97,74.07,76.41
337,2021-06-09,75.6,76.6,75.08,75.15
336,2021-06-08,75.54,76.34,72.98,75.16
335,2021-06-07,72.1,75.28,71.51,74.66
334,2021-06-04,71.05,72.255,70.32,71.84
333,2021-06-03,70.91,71.5,68.66,70.89
332,2021-06-02,70.83,73.99,70.59,71.7
331,2021-06-01,70.79,71.78,68.71,71.52
330,2021-05-28,71.52,73.33,70.0,70.18
329,2021-05-27,70.535,71.405,68.55,71.2
328,2021-05-26,68.51,70.97,67.8,70.84
327,2021-05-25,66.63,69.09,66.33,68.41
326,2021-05-24,64.73,66.135,63.85,65.36
325,2021-05-21,65.26,65.8,63.68,64.07
324,2021-05-20,63.42,65.25,62.5,64.47
323,2021-05-19,61.34,63.8834,61.04,63.38
322,2021-05-18,61.76,65.38,61.3,63.41
321,2021-05-17,61.19,61.68,59.0,61.45
320,2021-05-14,59.79,61.5,57.82,61.24
319,2021-05-13,60.33,62.46,57.32,59.02
318,2021-05-12,61.01,62.5,58.93,59.68
317,2021-05-11,59.48,63.16,57.5,61.74
316,2021-05-10,67.4625,67.56,63.36,64.01
315,2021-05-07,68.09,71.545,67.87,68.37
314,2021-05-06,69.36,69.93,65.3254,67.2
313,2021-05-05,71.17,71.46,67.94,68.82
312,2021-05-04,72.8,73.0,68.16,70.23
311,2021-05-03,76.27,77.09,73.25,74.18
310,2021-04-30,74.52,78.4723,74.015,76.24
309,2021-04-29,77.8,77.88,73.51,76.13
308,2021-04-28,75.98,77.4,74.81,76.76
307,2021-04-27,77.99,78.72,76.4159,77.11
306,2021-04-26,76.42,77.455,75.0,77.34
305,2021-04-23,73.08,76.58,73.08,75.68
304,2021-04-22,73.79,75.37,72.21,73.26
303,2021-04-21,69.77,72.91,68.6557,72.43
302,2021-04-20,72.82,72.82,69.26,70.03
301,2021-04-19,76.52,77.24,72.3,72.52
300,2021-04-16,78.3,78.56,76.3509,77.9
299,2021-04-15,79.0,79.07,77.26,78.36
298,2021-04-14,76.02,79.95,76.02,78.15
297,2021-04-13,74.5,76.47,73.35,75.53
296,2021-04-12,73.51,75.64,71.55,73.88
295,2021-04-09,76.76,77.02,72.77,73.9
294,2021-04-08,76.76,77.85,75.5001,76.92
293,2021-04-07,78.5,79.0,74.4335,75.3
292,2021-04-06,77.91,80.65,77.77,78.57
291,2021-04-05,80.1886,80.97,76.17,77.51
290,2021-04-01,78.34,81.4868,78.05,78.53
289,2021-03-31,73.25,77.29,73.23,76.29
288,2021-03-30,70.57,72.49,68.06,71.9
287,2021-03-29,73.49,74.2499,70.2,71.33
286,2021-03-26,70.1,71.94,68.77,71.48
285,2021-03-25,64.99,69.69,64.57,69.43
284,2021-03-24,72.41,72.83,67.0,67.01
283,2021-03-23,79.0,79.0,70.31,70.99
282,2021-03-22,80.55,83.65,79.35,81.28
281,2021-03-19,76.81,80.56,76.63,80.06
280,2021-03-18,79.1,79.86,75.56,76.29
279,2021-03-17,77.5,81.99,76.59,81.25
278,2021-03-16,80.66,82.0,77.45,79.48
277,2021-03-15,81.21,81.4,77.34,79.9
276,2021-03-12,79.5,81.66,77.1936,80.87
275,2021-03-11,76.0,82.01,75.29,81.75
274,2021-03-10,73.0,74.7288,71.4,72.28
273,2021-03-09,67.21,70.72,67.21,69.74
272,2021-03-08,69.51,70.05,64.0,64.61
271,2021-03-05,74.96,75.8,62.56,69.54
270,2021-03-04,72.04,80.64,69.03,72.59
269,2021-03-03,106.55,107.8,99.0,99.14
268,2021-03-02,112.79,114.1,106.47,106.73
267,2021-03-01,106.57,114.0,104.27,113.09
266,2021-02-26,104.0,105.81,99.2,102.48
265,2021-02-25,111.4,115.26,103.83,104.5
264,2021-02-24,109.7,115.99,106.68,111.02
263,2021-02-23,106.7,109.415,100.03,108.87
262,2021-02-22,111.22,117.0,108.2,112.38
261,2021-02-19,102.0,107.51,101.5,105.03
260,2021-02-18,103.0,103.2,99.1,101.09
259,2021-02-17,109.61,110.4,102.56,105.0
258,2021-02-16,111.1,113.3742,109.33,110.89
257,2021-02-12,108.49,110.33,107.505,110.18
256,2021-02-11,106.07,110.81,104.81,108.7
255,2021-02-10,105.46,106.8,101.0,104.51
254,2021-02-09,104.81,108.17,104.77,105.46
