,Date,Open,High,Low,Close
276,2021-12-31,18.39,18.44,18.31,18.43
275,2021-12-30,18.38,18.44,18.31,18.41
274,2021-12-29,18.34,18.34,18.27,18.31
273,2021-12-28,18.34,18.46,18.25,18.3
272,2021-12-27,18.32,18.5,18.32,18.35
271,2021-12-23,18.41,18.54,18.41,18.48
270,2021-12-22,18.35,18.41,18.2553,18.41
269,2021-12-21,18.15,18.31,18.0863,18.28
268,2021-12-20,18.08,18.15,17.9975,18.11
267,2021-12-17,18.28,18.28,18.1,18.15
266,2021-12-16,18.16,18.37,18.16,18.24
265,2021-12-15,18.22,18.28,18.01,18.26
264,2021-12-14,18.18,18.24,18.09,18.22
263,2021-12-13,18.2,18.25,18.14,18.19
262,2021-12-10,18.17,18.25,18.12,18.15
261,2021-12-09,18.1,18.2,18.1,18.18
260,2021-12-08,18.21,18.25,18.05,18.1
259,2021-12-07,18.14,18.415,18.14,18.16
258,2021-12-06,18.17,18.22,18.07,18.09
257,2021-12-03,18.14,18.14,18.02,18.04
256,2021-12-02,18.03,18.16,18.01,18.12
255,2021-12-01,18.01,18.22,17.99,18.01
254,2021-11-30,18.07,18.11,17.95,17.97
253,2021-11-29,18.08,18.23,18.03,18.07
252,2021-11-26,18.17,18.17,18.0002,18.1
251,2021-11-24,18.25,18.25,18.14,18.2
250,2021-11-23,18.23,18.28,18.19,18.22
249,2021-11-22,18.43,18.43,18.15,18.25
248,2021-11-19,18.49,18.6008,18.4,18.42
247,2021-11-18,18.57,18.65,18.52,18.52
246,2021-11-17,18.67,18.7,18.58,18.62
245,2021-11-16,18.58,18.72,18.58,18.7
244,2021-11-15,18.6,18.6766,18.55,18.58
243,2021-11-12,18.75,18.75,18.58,18.64
242,2021-11-11,18.6236,18.64,18.58,18.64
241,2021-11-10,18.68,18.73,18.61,18.65
240,2021-11-09,18.82,18.82,18.73,18.78
239,2021-11-08,18.76,18.8,18.76,18.8
238,2021-11-05,18.82,18.82,18.75,18.77
237,2021-11-04,18.83,18.83,18.7009,18.79
236,2021-11-03,18.76,18.8138,18.74,18.8
235,2021-11-02,18.75,18.76,18.72,18.76
234,2021-11-01,18.67,18.7697,18.67,18.7
233,2021-10-29,18.75,18.766,18.58,18.66
232,2021-10-28,18.68,18.7852,18.68,18.7
231,2021-10-27,18.85,18.85,18.62,18.68
230,2021-10-26,18.65,18.83,18.65,18.8
229,2021-10-25,18.82,18.85,18.69,18.69
228,2021-10-22,18.74,18.85,18.6901,18.85
227,2021-10-21,18.75,18.8,18.65,18.73
226,2021-10-20,18.73,18.86,18.7172,18.76
225,2021-10-19,18.755,18.7763,18.71,18.75
224,2021-10-18,18.78,18.78,18.7,18.72
223,2021-10-15,18.7,18.73,18.61,18.67
222,2021-10-14,18.66,18.96,18.6,18.65
221,2021-10-13,18.69,18.8232,18.68,18.74
220,2021-10-12,18.94,18.95,18.69,18.69
219,2021-10-11,18.97,18.9828,18.9001,18.95
