,Date,Open,High,Low,Close
2192,2021-12-31,64.25,65.79,64.03,64.86
2191,2021-12-30,65.32,66.49,64.61,64.71
2190,2021-12-29,65.06,65.815,64.45,65.19
2189,2021-12-28,66.7,67.82,65.52,65.6
2188,2021-12-27,66.75,67.45,65.85,67.27
2187,2021-12-23,67.92,68.5,66.11,66.91
2186,2021-12-22,65.57,67.68,65.03,67.31
2185,2021-12-21,62.26,65.7,62.26,65.6
2184,2021-12-20,59.49,61.53,59.27,61.28
2183,2021-12-17,59.66,62.16,59.2,61.56
2182,2021-12-16,60.61,61.86,59.62,59.87
2181,2021-12-15,62.11,62.19,59.65,60.96
2180,2021-12-14,62.43,63.335,61.2,61.38
2179,2021-12-13,65.14,65.14,62.1,63.06
2178,2021-12-10,64.77,65.84,63.48,65.82
2177,2021-12-09,63.0,65.2,62.75,64.2
2176,2021-12-08,62.24,65.09,61.565,64.43
2175,2021-12-07,63.0,63.55,60.43,60.96
2174,2021-12-06,60.95,63.13,60.0101,61.79
2173,2021-12-03,61.99,62.06,59.25,59.51
2172,2021-12-02,58.57,62.05,57.49,61.44
2171,2021-12-01,61.08,62.15,57.54,57.6
2170,2021-11-30,59.95,61.21,56.6,58.99
2169,2021-11-29,63.56,63.97,60.42,61.08
2168,2021-11-26,62.58,62.58,58.7401,61.58
2167,2021-11-24,65.4,67.15,64.905,66.34
2166,2021-11-23,65.87,66.15,63.41,66.1
2165,2021-11-22,67.02,67.55,64.0606,65.41
2164,2021-11-19,64.55,67.49,64.5237,66.45
2163,2021-11-18,63.94,66.29,63.04,65.82
2162,2021-11-17,63.26,64.03,62.12,63.35
2161,2021-11-16,63.61,64.53,62.35,62.94
2160,2021-11-15,64.16,64.73,62.54,64.02
2159,2021-11-12,64.5,65.28,63.36,63.48
2158,2021-11-11,64.42,65.34,63.49,64.61
2157,2021-11-10,66.5,67.35,64.3,64.64
2156,2021-11-09,65.5,68.725,64.8,66.36
2155,2021-11-08,69.23,70.38,68.0,68.78
2154,2021-11-05,69.13,70.48,68.25,69.0
2153,2021-11-04,66.09,66.92,65.16,66.39
2152,2021-11-03,64.74,66.46,64.39,65.5
2151,2021-11-02,64.77,65.26,63.55,64.75
2150,2021-11-01,63.72,65.55,63.72,65.23
2149,2021-10-29,62.7,63.89,62.3,63.5
2148,2021-10-28,62.92,63.4,62.1,62.88
2147,2021-10-27,65.79,65.845,61.54,62.51
2146,2021-10-26,67.35,68.03,64.5,65.84
2145,2021-10-25,64.7,66.86,63.8,66.71
2144,2021-10-22,62.87,64.87,62.3,64.74
2143,2021-10-21,60.28,62.28,60.18,62.24
2142,2021-10-20,58.33,60.45,58.27,60.31
2141,2021-10-19,59.49,59.51,58.16,58.26
2140,2021-10-18,58.74,60.18,57.95,59.69
2139,2021-10-15,59.95,60.93,59.2,59.23
2138,2021-10-14,57.8,59.31,57.54,59.07
2137,2021-10-13,58.99,58.99,56.6,57.75
2136,2021-10-12,57.94,58.6,57.44,58.57
2135,2021-10-11,58.78,59.63,57.4,57.44
2134,2021-10-08,60.31,61.85,58.84,59.02
2133,2021-10-07,60.0,60.8702,59.38,59.82
2132,2021-10-06,57.49,59.79,57.335,59.72
2131,2021-10-05,59.83,60.04,58.275,58.54
2130,2021-10-04,58.49,59.71,58.37,59.35
2129,2021-10-01,56.17,59.235,56.01,58.78
2128,2021-09-30,55.96,56.24,54.87,55.32
2127,2021-09-29,57.46,57.6,55.595,55.97
2126,2021-09-28,58.1,58.64,56.76,56.82
2125,2021-09-27,59.52,60.18,58.3,58.33
2124,2021-09-24,57.37,59.61,57.2,59.2
2123,2021-09-23,56.02,57.56,55.95,57.4
2122,2021-09-22,54.59,55.835,54.36,55.52
2121,2021-09-21,55.0,55.7,54.23,54.36
