,Date,Open,High,Low,Close
5578,2021-12-31,3979.79,3989.0,3919.7215,3935.01
5577,2021-12-30,3912.78,3966.76,3910.01,3964.04
5576,2021-12-29,3953.0,4000.0,3907.02,3915.01
5575,2021-12-28,3934.57,3999.0,3905.01,3961.32
5574,2021-12-27,3918.88,3960.0,3879.0,3911.27
5573,2021-12-23,3840.88,3931.36,3825.21,3930.99
5572,2021-12-22,3826.54,3899.96,3776.0,3840.89
5571,2021-12-21,3889.89,3898.03,3826.4174,3839.03
5570,2021-12-20,3920.49,3920.49,3760.02,3825.01
5569,2021-12-17,3769.69,3901.5,3696.59,3901.49
5568,2021-12-16,3771.28,3790.0,3647.0,3738.79
5567,2021-12-15,3820.74,3836.23,3727.4,3728.33
5566,2021-12-14,3841.22,3918.98,3763.72,3801.81
5565,2021-12-13,3853.45,3869.99,3756.0,3862.8
5564,2021-12-10,3904.05,3942.715,3830.0,3845.99
5563,2021-12-09,3913.51,3916.99,3860.0,3899.99
5562,2021-12-08,3902.86,3949.65,3826.0,3884.44
5561,2021-12-07,3857.69,4020.0,3812.8,3879.11
5560,2021-12-06,3832.09,3883.5,3755.0,3812.79
5559,2021-12-03,3812.0,3925.0,3775.66,3819.99
5558,2021-12-02,3866.81,3900.0,3755.0,3794.99
5557,2021-12-01,3951.26,3978.99,3835.75,3854.87
5556,2021-11-30,3954.19,3997.871,3852.0,3890.02
5555,2021-11-29,3943.37,3975.81,3837.34,3946.2
5554,2021-11-26,3952.0,3960.0,3890.0,3901.64
5553,2021-11-24,3985.06,4000.0,3936.03,3940.01
5552,2021-11-23,3997.0,4012.495,3913.01,3989.97
5551,2021-11-22,3923.56,3980.0,3890.0,3951.01
5550,2021-11-19,3959.59,4019.0,3890.01,3925.01
5549,2021-11-18,3946.65,3989.97,3875.0,3944.01
5548,2021-11-17,3980.01,4000.0,3934.5,3943.05
5547,2021-11-16,4015.5,4030.0,3943.11,3970.04
5546,2021-11-15,4025.0,4078.96,3999.0,4014.99
5545,2021-11-12,4029.58,4083.64,3982.2684,4013.02
5544,2021-11-11,4005.0,4048.8,3954.6,4006.13
5543,2021-11-10,4043.0,4100.0,3974.76,4000.01
5542,2021-11-09,4060.8,4070.0,3989.95,4046.01
5541,2021-11-08,4063.1,4088.93,3976.0,4052.99
5540,2021-11-05,4058.65,4070.0,4000.02,4041.85
5539,2021-11-04,4044.37,4092.5,3997.099,4020.01
5538,2021-11-03,3995.0,4084.0,3966.0,4011.59
5537,2021-11-02,3983.34,4038.51,3940.0,4000.0
5536,2021-11-01,3878.14,4046.45,3847.15,4000.82
5535,2021-10-29,3931.78,3979.85,3850.0,3850.02
5534,2021-10-28,3900.04,3989.99,3850.0,3937.39
5533,2021-10-27,3969.85,4007.64,3865.905,3883.95
5532,2021-10-26,4035.18,4085.6992,3938.59,3968.95
5531,2021-10-25,4123.43,4150.0,4033.9104,4035.16
5530,2021-10-22,4145.42,4176.0,4085.01,4126.03
5529,2021-10-21,4221.54,4221.54,4103.15,4119.01
5528,2021-10-20,4218.18,4267.15,4159.5,4195.02
5527,2021-10-19,4193.0,4225.57,4163.83,4219.99
5526,2021-10-18,4101.45,4199.98,4082.0,4182.0
5525,2021-10-15,4114.0,4213.615,4082.01,4130.03
5524,2021-10-14,4300.0,4341.75,4176.0,4179.02
5523,2021-10-13,4171.06,4294.89,4132.0,4279.41
5522,2021-10-12,4149.49,4400.0,4114.0,4166.99
5521,2021-10-11,4190.15,4249.97,4114.51,4114.52
5520,2021-10-08,4207.98,4249.99,4149.65,4214.99
5519,2021-10-07,4155.0,4244.75,4085.0,4216.3
5518,2021-10-06,4101.5,4168.99,4044.4714,4155.0
5517,2021-10-05,4073.98,4103.76,4017.0,4097.99
5516,2021-10-04,4083.67,4085.0,3977.83,4081.61
5515,2021-10-01,4107.0,4109.0,4005.0,4083.69
5514,2021-09-30,4137.61,4143.8764,4042.5007,4099.99
5513,2021-09-29,4000.0,4138.79,3972.0,4129.99
5512,2021-09-28,4085.99,4103.7,3942.38,3990.01
5511,2021-09-27,4093.3,4169.0,4026.9597,4085.22
5510,2021-09-24,4051.55,4090.0,4003.03,4070.21
5509,2021-09-23,4029.29,4119.98,3981.0,4030.21
5508,2021-09-22,4022.55,4098.05,3969.0,4008.75
5507,2021-09-21,3998.97,4020.0,3925.0,4010.96
5506,2021-09-20,4006.12,4067.9549,3911.12,3998.97
5505,2021-09-17,3942.91,4097.0,3886.855,4078.99
5504,2021-09-16,3973.25,4000.0,3919.0,3975.06
5503,2021-09-15,4014.99,4025.0,3931.715,3981.71
5502,2021-09-14,4049.49,4049.49,3950.0,4013.43
5501,2021-09-13,4055.81,4069.0,3960.0,4039.39
5500,2021-09-10,4067.89,4075.995,3977.83,3991.59
5499,2021-09-09,4127.99,4127.99,4052.56,4052.56
5498,2021-09-08,4141.95,4166.6809,4065.0,4128.57
5497,2021-09-07,4194.0,4194.0,4064.5,4126.43
5496,2021-09-03,4183.0,4192.0,4095.0,4163.53
5495,2021-09-02,4237.37,4237.37,4143.68,4143.68
5494,2021-09-01,4253.7,4265.005,4196.0,4200.0
5493,2021-08-31,4189.89,4255.0,4142.505,4254.6
5492,2021-08-30,4116.33,4246.0,4055.02,4190.28
5491,2021-08-27,4069.96,4181.0,4044.0,4072.78
5490,2021-08-26,4115.0,4115.0,4031.0,4056.19
5489,2021-08-25,4072.85,4150.0,4023.0,4078.0
5488,2021-08-24,4043.01,4121.56,4043.01,4113.98
5487,2021-08-23,4089.89,4090.0,4023.02,4030.91
5486,2021-08-20,4085.0,4150.59,4000.01,4002.02
5485,2021-08-19,4005.05,4099.14,4000.02,4077.73
5484,2021-08-18,4163.89,4176.8321,4031.12,4054.55
5483,2021-08-17,4161.0,4247.5,4107.18,4133.59
5482,2021-08-16,4269.69,4315.05,4120.25,4155.0
5481,2021-08-13,4184.0,4247.5,4157.4487,4247.0
5480,2021-08-12,4152.29,4261.0,4115.05,4150.53
5479,2021-08-11,4160.05,4175.0,4092.26,4154.54
5478,2021-08-10,4059.12,4175.0,4050.0,4157.0
5477,2021-08-09,4000.0,4084.0,3965.01,4056.0
5476,2021-08-06,3919.19,3962.67,3837.2,3960.99
5475,2021-08-05,3899.0,3929.61,3822.0,3892.99
5474,2021-08-04,3830.0,3898.99,3792.0,3868.29
5473,2021-08-03,4031.93,4055.0,3803.0,3820.66
5472,2021-08-02,4189.89,4199.95,3981.78,4035.0
5471,2021-07-30,4198.98,4200.03,4095.0,4110.0
5470,2021-07-29,4390.5,4390.5,4047.13,4140.05
5469,2021-07-28,3977.82,3980.98,3923.01,3932.03
5468,2021-07-27,3964.51,3980.98,3931.75,3977.82
5467,2021-07-26,3939.79,3982.0,3893.0,3943.94
5466,2021-07-23,3933.0,3940.0,3879.02,3937.0
5465,2021-07-22,3930.84,3934.716,3870.0,3912.4
5464,2021-07-21,3917.0,3947.0,3866.01,3892.48
5463,2021-07-20,3901.08,3947.0,3875.0,3881.65
5462,2021-07-19,3933.0,3949.0,3851.12,3895.24
5461,2021-07-16,3925.78,3949.0,3837.59,3930.01
5460,2021-07-15,3827.98,3928.45,3800.0,3906.28
5459,2021-07-14,3779.0,3842.93,3741.16,3804.89
5458,2021-07-13,3866.0,3867.74,3750.0,3779.0
5457,2021-07-12,3900.0,3970.0,3831.0,3867.2
5456,2021-07-09,4175.0,4175.0,3891.0,3948.85
5455,2021-07-08,3909.09,4199.99,3810.24,4189.95
5454,2021-07-07,4050.29,4050.29,3901.05,3912.97
5453,2021-07-06,3989.78,4064.77,3979.82,4024.62
5452,2021-07-02,4029.29,4050.0,3926.05,3969.93
5451,2021-07-01,3909.99,4068.73,3865.01,3999.99
5450,2021-06-30,3869.91,3928.0,3840.0,3868.73
5449,2021-06-29,3988.99,4000.0,3850.0,3873.33
5448,2021-06-28,4129.0,4189.96,3944.01,3956.86
5447,2021-06-25,3842.0,4143.46,3782.26,4143.46
5446,2021-06-24,3743.79,3837.94,3743.79,3824.99
