,Date,Open,High,Low,Close
1076,2021-12-31,0.47,0.485,0.4333,0.48
1075,2021-12-30,0.3853,0.5,0.3853,0.49
1074,2021-12-29,0.3922,0.4219,0.38,0.3886
1073,2021-12-28,0.44,0.46,0.3886,0.3886
1072,2021-12-27,0.385,0.4819,0.385,0.4599
1071,2021-12-23,0.42,0.4206,0.4142,0.42
1070,2021-12-22,0.4014,0.425,0.3996,0.4199
1069,2021-12-21,0.3882,0.425,0.371,0.3995
1068,2021-12-20,0.4283,0.4395,0.3826,0.39
1067,2021-12-17,0.386,0.45,0.3803,0.4297
1066,2021-12-16,0.39,0.414,0.375,0.3811
1065,2021-12-15,0.4009,0.4119,0.355,0.3964
1064,2021-12-14,0.388,0.47,0.3801,0.4001
1063,2021-12-13,0.518,0.518,0.3612,0.4196
1062,2021-12-10,0.5085,0.51,0.4705,0.473
1061,2021-12-09,0.5046,0.545,0.5,0.5035
1060,2021-12-08,0.5,0.5486,0.4533,0.5001
1059,2021-12-07,0.385,0.51,0.37,0.5
1058,2021-12-06,0.469,0.469,0.333,0.385
1057,2021-12-03,0.53,0.53,0.4501,0.4552
1056,2021-12-02,0.54,0.5624,0.48,0.51
1055,2021-12-01,0.654,0.654,0.58,0.59
1054,2021-11-30,0.6811,0.6812,0.6331,0.645
1053,2021-11-29,0.715,0.715,0.6811,0.6833
1052,2021-11-26,0.71,0.74,0.6811,0.699
1051,2021-11-24,0.74,0.75,0.7218,0.74
1050,2021-11-23,0.74,0.7597,0.711,0.7302
1049,2021-11-22,0.781,0.8033,0.738,0.74
1048,2021-11-19,0.8514,0.8514,0.78,0.7901
1047,2021-11-18,0.9389,0.95,0.8295,0.8564
1046,2021-11-17,0.91,0.94,0.91,0.9389
1045,2021-11-16,0.9405,0.9405,0.92,0.9343
1044,2021-11-15,0.93,0.99,0.93,0.9402
1043,2021-11-12,0.95,0.9899,0.9302,0.9308
1042,2021-11-11,0.94,0.9729,0.94,0.9502
1041,2021-11-10,0.94,0.9599,0.9388,0.9401
1040,2021-11-09,0.99,0.999,0.93,0.9448
1039,2021-11-08,0.94,0.9599,0.9302,0.95
1038,2021-11-05,0.97,0.985,0.93,0.935
1037,2021-11-04,1.01,1.0199,0.94,0.9702
1036,2021-11-03,1.07,1.07,0.99,1.0
1035,2021-11-02,1.1138,1.14,1.04,1.05
1034,2021-11-01,1.15,1.19,1.13,1.13
1033,2021-10-29,1.2,1.2,1.12,1.14
1032,2021-10-28,1.17,1.19,1.15,1.17
1031,2021-10-27,1.2,1.2499,1.17,1.17
1030,2021-10-26,1.24,1.3001,1.17,1.26
1029,2021-10-25,1.17,1.3441,1.1598,1.23
1028,2021-10-22,1.18,1.22,1.12,1.12
1027,2021-10-21,1.15,1.27,1.15,1.17
1026,2021-10-20,1.14,1.18,1.13,1.13
1025,2021-10-19,1.17,1.17,1.12,1.14
1024,2021-10-18,1.242,1.29,1.12,1.14
1023,2021-10-15,1.14,1.24,1.14,1.16
1022,2021-10-14,1.2,1.2299,1.12,1.15
1021,2021-10-13,1.23,1.29,1.17,1.19
1020,2021-10-12,1.27,1.2803,1.21,1.23
1019,2021-10-11,1.29,1.3399,1.18,1.31
1018,2021-10-08,1.32,1.37,1.29,1.34
1017,2021-10-07,1.26,1.38,1.24,1.36
1016,2021-10-06,1.21,1.25,1.21,1.23
1015,2021-10-05,1.2176,1.24,1.2089,1.22
1014,2021-10-04,1.2,1.26,1.2,1.22
1013,2021-10-01,1.25,1.26,1.2,1.25
1012,2021-09-30,1.21,1.25,1.2,1.24
1011,2021-09-29,1.2927,1.314,1.22,1.22
1010,2021-09-28,1.35,1.3601,1.27,1.27
1009,2021-09-27,1.34,1.43,1.34,1.34
1008,2021-09-24,1.41,1.42,1.34,1.368
1007,2021-09-23,1.39,1.43,1.3,1.42
1006,2021-09-22,1.42,1.43,1.38,1.41
1005,2021-09-21,1.45,1.47,1.3334,1.42
1004,2021-09-20,1.6,1.6,1.36,1.45
1003,2021-09-17,1.63,1.65,1.6,1.6
1002,2021-09-16,1.66,1.66,1.58,1.63
1001,2021-09-15,1.67,1.7,1.67,1.68
1000,2021-09-14,1.7,1.72,1.6839,1.69
999,2021-09-13,1.71,1.72,1.688,1.72
998,2021-09-10,1.75,1.75,1.7,1.72
997,2021-09-09,1.74,1.74,1.7,1.7298
996,2021-09-08,1.72,1.75,1.72,1.74
995,2021-09-07,1.74,1.75,1.72,1.7242
994,2021-09-03,1.77,1.78,1.6356,1.73
993,2021-09-02,1.92,1.92,1.79,1.8
992,2021-09-01,1.9465,1.948,1.89,1.94
991,2021-08-31,1.82,1.99,1.75,1.99
990,2021-08-30,1.7401,1.84,1.74,1.82
989,2021-08-27,1.78,1.81,1.7583,1.8
988,2021-08-26,1.71,1.78,1.69,1.78
987,2021-08-25,1.75,1.75,1.68,1.71
986,2021-08-24,1.7,1.76,1.68,1.75
985,2021-08-23,1.6858,1.7,1.65,1.68
984,2021-08-20,1.69,1.69,1.64,1.68
983,2021-08-19,1.78,1.78,1.65,1.69
982,2021-08-18,1.7,1.8,1.7,1.8
981,2021-08-17,1.74,1.77,1.63,1.66
980,2021-08-16,1.83,1.84,1.77,1.78
979,2021-08-13,1.81,1.88,1.75,1.83
978,2021-08-12,1.8799,1.8899,1.82,1.84
977,2021-08-11,1.875,1.94,1.85,1.87
976,2021-08-10,1.89,1.93,1.84,1.9
975,2021-08-09,1.82,1.94,1.81,1.9
974,2021-08-06,1.8,1.86,1.78,1.83
973,2021-08-05,1.94,1.94,1.78,1.79
972,2021-08-04,1.78,1.94,1.76,1.8
971,2021-08-03,1.87,1.9,1.755,1.77
970,2021-08-02,1.9,1.92,1.86,1.87
969,2021-07-30,1.94,2.06,1.87,1.9
968,2021-07-29,1.908,1.97,1.88,1.92
967,2021-07-28,1.8,1.91,1.8,1.86
966,2021-07-27,1.9322,1.95,1.78,1.79
965,2021-07-26,2.05,2.09,1.96,1.96
964,2021-07-23,2.1,2.18,2.0,2.09
963,2021-07-22,2.21,2.21,2.15,2.16
962,2021-07-21,2.19,2.22,2.15,2.2
961,2021-07-20,2.17,2.205,2.14,2.1799
960,2021-07-19,2.16,2.1942,2.13,2.18
959,2021-07-16,2.2399,2.2399,2.2,2.2
958,2021-07-15,2.27,2.3,2.21,2.24
957,2021-07-14,2.2735,2.2956,2.26,2.28
956,2021-07-13,2.29,2.33,2.25,2.27
955,2021-07-12,2.31,2.31,2.26,2.3
954,2021-07-09,2.26,2.3099,2.26,2.29
953,2021-07-08,2.32,2.32,2.24,2.27
952,2021-07-07,2.38,2.39,2.31,2.34
951,2021-07-06,2.38,2.4,2.35,2.3599
950,2021-07-02,2.42,2.44,2.38,2.38
949,2021-07-01,2.45,2.46,2.42,2.42
948,2021-06-30,2.4709,2.48,2.45,2.46
947,2021-06-29,2.5,2.5005,2.465,2.47
946,2021-06-28,2.54,2.54,2.49,2.5
945,2021-06-25,2.52,2.53,2.52,2.53
944,2021-06-24,2.51,2.52,2.49,2.5
943,2021-06-23,2.51,2.52,2.4901,2.5
942,2021-06-22,2.46,2.5,2.46,2.49
941,2021-06-21,2.46,2.52,2.46,2.49
940,2021-06-18,2.52,2.52,2.45,2.48
939,2021-06-17,2.49,2.52,2.48,2.51
938,2021-06-16,2.5,2.52,2.48,2.49
937,2021-06-15,2.52,2.55,2.49,2.52
936,2021-06-14,2.53,2.55,2.47,2.505
935,2021-06-11,2.5,2.5,2.48,2.5
934,2021-06-10,2.52,2.52,2.49,2.49
933,2021-06-09,2.48,2.52,2.47,2.5
932,2021-06-08,2.49,2.53,2.45,2.49
931,2021-06-07,2.45,2.49,2.45,2.49
930,2021-06-04,2.5,2.52,2.48,2.5
929,2021-06-03,2.49,2.53,2.47,2.53
928,2021-06-02,2.51,2.58,2.47,2.5
927,2021-06-01,2.56,2.57,2.47,2.505
926,2021-05-28,2.59,2.59,2.52,2.53
925,2021-05-27,2.54,2.63,2.53,2.59
924,2021-05-26,2.54,2.56,2.5,2.52
923,2021-05-25,2.51,2.58,2.495,2.56
