,Date,Open,High,Low,Close
1705,2021-12-31,281.03,286.5,280.33,280.57
1704,2021-12-30,279.64,286.68,276.305,282.35
1703,2021-12-29,279.72,280.54,272.28,278.04
1702,2021-12-28,287.05,287.5,277.85,278.82
1701,2021-12-27,283.85,287.555,279.01,285.6
1700,2021-12-23,286.97,289.5899,280.47,283.29
1699,2021-12-22,280.5,286.2,276.79,284.01
1698,2021-12-21,265.45,283.42,265.45,281.1
1697,2021-12-20,268.73,273.69,257.32,258.36
1696,2021-12-17,283.05,289.36,273.97,288.85
1695,2021-12-16,310.97,311.83,284.08,287.03
1694,2021-12-15,296.68,305.83,287.8,305.5
1693,2021-12-14,292.76,300.97,282.24,298.3
1692,2021-12-13,310.32,314.3,302.14,303.67
1691,2021-12-10,317.98,321.98,303.42,309.09
1690,2021-12-09,329.5,338.472,312.29,313.38
1689,2021-12-08,331.51,344.785,327.8,330.56
1688,2021-12-07,319.52,328.86,318.9,325.83
1687,2021-12-06,306.19,309.92,289.2,307.63
1686,2021-12-03,321.58,323.1,299.3,307.0
1685,2021-12-02,311.01,322.32,309.74,318.54
1684,2021-12-01,335.01,336.7456,314.5,315.05
1683,2021-11-30,332.86,342.8,324.73,327.76
1682,2021-11-29,343.01,348.415,336.76,347.21
1681,2021-11-26,336.31,351.0,335.5701,341.44
1680,2021-11-24,345.2,349.8691,333.37,348.49
1679,2021-11-23,354.45,363.48,340.1,350.02
1678,2021-11-22,368.0,389.71,348.83,353.65
1677,2021-11-19,355.42,369.29,352.22,365.13
1676,2021-11-18,364.49,364.72,352.59,355.42
1675,2021-11-17,361.14,368.84,360.0,365.0
1674,2021-11-16,360.97,366.96,356.01,360.5
1673,2021-11-15,366.2,369.12,359.46,368.33
1672,2021-11-12,358.5,363.65,352.75,362.41
1671,2021-11-11,348.8,364.37,345.7,358.25
1670,2021-11-10,342.86,349.315,338.13,343.3
1669,2021-11-09,350.45,353.62,341.632,351.14
1668,2021-11-08,345.89,352.59,342.62,349.9
1667,2021-11-05,347.47,350.86,337.42,344.07
1666,2021-11-04,347.0,354.56,340.0,349.83
1665,2021-11-03,337.41,353.565,325.5,352.99
1664,2021-11-02,363.73,363.73,348.2401,355.16
1663,2021-11-01,360.0,371.08,356.75,360.93
1662,2021-10-29,351.4349,359.17,348.6,354.68
1661,2021-10-28,344.1,353.08,338.22,351.58
1660,2021-10-27,335.35,357.88,335.35,342.54
1659,2021-10-26,321.51,321.93,307.19,313.88
1658,2021-10-25,307.25,313.19,304.75,311.92
1657,2021-10-22,309.65,310.3,300.85,303.25
1656,2021-10-21,306.1,312.32,304.21,309.03
1655,2021-10-20,310.76,311.98,303.0,307.36
1654,2021-10-19,310.0,324.06,307.8,317.22
1653,2021-10-18,299.5,307.07,299.1572,306.08
1652,2021-10-15,307.25,308.0,298.89,299.49
1651,2021-10-14,309.99,312.88,300.99,305.53
1650,2021-10-13,304.37,312.14,296.19,303.72
1649,2021-10-12,282.08,301.7377,277.96,298.41
1648,2021-10-11,264.46,285.8999,263.115,276.82
1647,2021-10-08,264.73,268.59,259.46,261.87
1646,2021-10-07,264.5,270.8,263.16,263.61
1645,2021-10-06,254.94,263.63,252.695,260.42
1644,2021-10-05,258.0,264.7033,256.73,258.7
1643,2021-10-04,268.47,268.49,253.54,255.27
1642,2021-10-01,270.88,274.97,263.67,272.12
1641,2021-09-30,264.79,269.99,262.5,265.22
1640,2021-09-29,272.94,276.6,261.84,261.87
1639,2021-09-28,273.35,275.4399,269.575,272.83
1638,2021-09-27,272.25,282.285,268.01,280.52
1637,2021-09-24,280.0,282.17,273.97,275.36
1636,2021-09-23,284.43,287.99,281.64,284.11
1635,2021-09-22,270.9,282.33,269.15,282.0
1634,2021-09-21,272.33,273.69,266.0,269.46
1633,2021-09-20,269.94,274.92,262.54,268.72
1632,2021-09-17,273.2,283.99,270.96,281.45
1631,2021-09-16,276.22,276.73,270.1,270.4
1630,2021-09-15,271.47,278.49,265.49,277.78
1629,2021-09-14,275.04,279.5,270.67,272.51
1628,2021-09-13,270.0,276.72,262.41,273.84
1627,2021-09-10,278.04,284.62,268.53,268.54
1626,2021-09-09,273.0,280.32,272.55,275.95
1625,2021-09-08,283.79,287.42,273.41,274.2
1624,2021-09-07,282.04,284.73,276.07,278.83
1623,2021-09-03,289.24,294.079,283.66,285.8
1622,2021-09-02,291.98,296.695,289.7672,291.54
1621,2021-09-01,294.75,299.21,289.305,289.79
1620,2021-08-31,294.84,296.59,288.195,289.78
1619,2021-08-30,293.53,298.494,291.98,295.7
1618,2021-08-27,281.58,293.35,281.29,291.25
1617,2021-08-26,280.75,286.74,280.13,280.82
1616,2021-08-25,279.03,282.35,277.41,281.44
1615,2021-08-24,282.74,287.665,276.67,279.75
1614,2021-08-23,272.66,282.645,271.66,281.01
1613,2021-08-20,262.82,270.46,262.6,269.88
1612,2021-08-19,261.78,267.0,260.2001,262.3
1611,2021-08-18,270.04,272.853,265.02,266.22
1610,2021-08-17,272.28,274.63,259.4,268.35
1609,2021-08-16,282.88,282.99,275.27,277.81
1608,2021-08-13,290.56,291.2,283.24,284.37
1607,2021-08-12,287.96,292.171,285.29,291.17
1606,2021-08-11,299.065,299.065,284.18,289.3
1605,2021-08-10,296.67,301.78,293.94,296.4
1604,2021-08-09,295.98,299.67,290.12,294.94
1603,2021-08-06,286.39,295.3,283.2,295.28
1602,2021-08-05,291.05,293.69,285.383,286.39
1601,2021-08-04,300.0,303.7769,286.845,292.73
1600,2021-08-03,298.49,308.9699,290.0001,299.81
1599,2021-08-02,261.98,263.05,255.835,257.72
1598,2021-07-30,258.45,266.27,257.01,259.48
1597,2021-07-29,254.12,263.59,254.0,261.13
1596,2021-07-28,242.1,257.23,237.22,254.14
1595,2021-07-27,243.13,243.82,234.23,240.0
1594,2021-07-26,246.87,252.26,243.86,245.62
1593,2021-07-23,257.19,257.19,247.3,248.63
1592,2021-07-22,260.2,263.79,255.2446,257.39
1591,2021-07-21,247.0,260.15,247.0,258.96
1590,2021-07-20,243.43,250.12,238.81,245.76
1589,2021-07-19,229.8,240.38,225.155,240.16
1588,2021-07-16,242.95,244.41,236.14,236.56
1587,2021-07-15,243.77,251.2764,237.2,241.21
1586,2021-07-14,268.75,269.55,244.245,245.46
1585,2021-07-13,270.36,273.37,265.22,265.37
1584,2021-07-12,269.14,273.0,265.1,268.65
1583,2021-07-09,261.54,268.0,258.0,267.68
1582,2021-07-08,255.55,265.0,253.53,261.14
1581,2021-07-07,277.0,282.98,263.54,265.2
1580,2021-07-06,277.0,280.6218,271.28,274.79
1579,2021-07-02,277.39,283.0,275.02,276.23
1578,2021-07-01,275.17,276.3436,268.54,274.88
1577,2021-06-30,283.29,283.29,274.57,276.37
1576,2021-06-29,287.39,291.18,281.35,283.57
1575,2021-06-28,274.0165,285.66,269.6044,284.66
1574,2021-06-25,271.0,278.25,266.39,267.71
1573,2021-06-24,266.91,271.87,261.97,267.28
1572,2021-06-23,261.52,267.25,260.45,265.08
1571,2021-06-22,258.55,263.63,257.1633,260.44
1570,2021-06-21,259.01,261.16,252.47,258.61
1569,2021-06-18,259.5,266.56,259.5,264.23
1568,2021-06-17,243.84,264.33,243.84,263.18
1567,2021-06-16,238.1008,250.77,238.1008,247.56
1566,2021-06-15,241.19,242.38,233.34,238.86
1565,2021-06-14,244.93,248.23,240.94,242.87
1564,2021-06-11,241.47,244.44,238.81,243.17
1563,2021-06-10,235.0,240.97,234.0,239.69
1562,2021-06-09,241.0,245.61,234.77,235.24
1561,2021-06-08,237.64,245.83,234.2219,238.7
1560,2021-06-07,238.18,239.62,230.15,233.27
1559,2021-06-04,240.99,246.12,239.72,241.84
1558,2021-06-03,243.9,245.66,237.72,238.49
1557,2021-06-02,248.84,250.14,245.0,247.48
1556,2021-06-01,260.89,263.09,247.82,248.47
1555,2021-05-28,258.89,263.3925,256.43,258.01
1554,2021-05-27,259.46,262.47,255.4,256.56
1553,2021-05-26,252.43,260.5,252.0175,259.05
1552,2021-05-25,256.99,257.868,247.01,251.75
1551,2021-05-24,255.6,258.89,249.42,254.77
1550,2021-05-21,252.0,256.51,246.47,252.31
1549,2021-05-20,241.9,251.915,238.31,249.52
1548,2021-05-19,215.96,234.76,215.48,233.49
1547,2021-05-18,220.16,227.16,215.1778,221.72
1546,2021-05-17,215.6,218.69,211.21,218.01
1545,2021-05-14,208.8671,220.5389,207.0,218.87
1544,2021-05-13,209.25,213.43,199.33,204.01
1543,2021-05-12,211.82,217.2582,207.72,208.24
1542,2021-05-11,202.0,221.6264,200.45,217.94
1541,2021-05-10,222.61,223.7413,211.0,213.34
1540,2021-05-07,218.4,224.88,215.65,220.4
1539,2021-05-06,217.23,219.73,208.61,214.13
1538,2021-05-05,223.17,228.4533,215.41,219.23
1537,2021-05-04,241.03,241.8,212.18,218.57
1536,2021-05-03,266.31,267.49,257.215,260.06
1535,2021-04-30,270.88,273.455,260.785,263.54
1534,2021-04-29,283.65,285.05,269.5,275.76
1533,2021-04-28,278.6,286.99,270.72,282.5
