,Date,Open,High,Low,Close
4446,2021-12-31,7.47,7.77,7.11,7.17
4445,2021-12-30,7.5,7.7234,7.4,7.4
4444,2021-12-29,7.95,7.95,7.3796,7.5
4443,2021-12-28,8.24,8.6,7.8,8.0
4442,2021-12-27,8.61,8.79,8.0657,8.32
4441,2021-12-23,8.38,8.67,8.15,8.49
4440,2021-12-22,8.45,9.0,8.07,8.2
4439,2021-12-21,7.82,8.59,7.78,8.47
4438,2021-12-20,7.74,8.0,7.51,7.62
4437,2021-12-17,7.2,8.04,6.8586,8.04
4436,2021-12-16,7.72,7.96,7.25,7.25
4435,2021-12-15,8.0,8.03,7.19,7.7
4434,2021-12-14,8.13,8.55,8.02,8.06
4433,2021-12-13,8.36,8.5,8.0052,8.3
4432,2021-12-10,8.76,8.76,8.33,8.46
4431,2021-12-09,8.8776,9.269,8.4,8.63
4430,2021-12-08,8.66,8.99,8.3,8.7
4429,2021-12-07,8.5,8.722,8.3201,8.64
4428,2021-12-06,7.69,8.46,7.27,8.17
4427,2021-12-03,8.67,8.72,7.72,7.8
4426,2021-12-02,8.79,8.9605,8.33,8.61
4425,2021-12-01,9.8,9.8,8.51,8.71
4424,2021-11-30,9.62,9.83,9.1501,9.56
4423,2021-11-29,10.26,10.26,9.6,9.6
4422,2021-11-26,9.23,10.2,9.2,10.15
4421,2021-11-24,9.24,9.8,9.24,9.68
4420,2021-11-23,9.46,9.74,9.04,9.3
4419,2021-11-22,10.11,10.37,9.24,9.46
4418,2021-11-19,9.59,10.97,9.53,9.94
4417,2021-11-18,10.15,10.35,9.27,9.63
4416,2021-11-17,10.15,10.35,9.8,10.11
4415,2021-11-16,10.35,10.3685,9.79,10.21
4414,2021-11-15,9.8,10.35,9.52,10.35
4413,2021-11-12,10.25,10.488,9.3101,9.74
4412,2021-11-11,9.16,9.9999,9.16,9.81
4411,2021-11-10,9.32,9.41,9.03,9.18
4410,2021-11-09,9.14,9.5923,9.03,9.54
4409,2021-11-08,8.82,9.48,8.82,9.45
4408,2021-11-05,9.39,9.442,8.74,8.74
4407,2021-11-04,9.13,9.59,9.0,9.29
4406,2021-11-03,8.88,9.17,8.76,9.17
4405,2021-11-02,9.09,9.15,8.65,8.92
4404,2021-11-01,8.53,9.2,8.5101,9.2
4403,2021-10-29,8.48,8.7397,8.295,8.42
4402,2021-10-28,8.41,8.83,8.34,8.65
4401,2021-10-27,8.44,8.52,8.01,8.35
4400,2021-10-26,8.55,9.89,8.0,8.44
4399,2021-10-25,8.56,8.8899,8.26,8.5
4398,2021-10-22,9.19,9.19,8.5,8.56
4397,2021-10-21,9.1501,9.49,9.0301,9.21
4396,2021-10-20,9.37,9.6,9.12,9.3
4395,2021-10-19,9.93,10.04,9.37,9.55
4394,2021-10-18,9.27,9.85,9.18,9.63
4393,2021-10-15,9.35,9.35,9.13,9.25
4392,2021-10-14,9.65,9.65,9.1005,9.24
4391,2021-10-13,9.28,9.739,9.16,9.535
4390,2021-10-12,9.52,9.62,9.11,9.15
4389,2021-10-11,10.01,10.33,9.35,9.61
4388,2021-10-08,9.0,11.7,9.0,10.03
4387,2021-10-07,9.25,9.45,8.8978,9.02
4386,2021-10-06,8.97,9.27,8.7815,9.08
4385,2021-10-05,8.51,9.4,8.5,9.21
4384,2021-10-04,8.78,8.78,8.14,8.45
4383,2021-10-01,8.21,8.85,8.0,8.76
4382,2021-09-30,8.34,8.44,8.02,8.18
4381,2021-09-29,8.28,8.5,7.91,8.29
4380,2021-09-28,8.49,8.66,8.0,8.05
4379,2021-09-27,7.97,8.83,7.85,8.74
4378,2021-09-24,7.73,8.04,7.6501,7.96
4377,2021-09-23,7.64,7.95,7.5007,7.86
4376,2021-09-22,7.72,7.78,7.45,7.66
4375,2021-09-21,7.81,8.99,7.39,7.8
4374,2021-09-20,8.03,8.03,7.37,7.75
4373,2021-09-17,7.49,8.16,7.4117,8.16
4372,2021-09-16,7.41,7.5,7.1822,7.47
4371,2021-09-15,7.35,7.6756,7.2501,7.32
4370,2021-09-14,8.065,8.25,7.15,7.34
4369,2021-09-13,8.45,8.55,7.94,8.06
4368,2021-09-10,8.54,8.84,8.22,8.46
4367,2021-09-09,8.73,8.93,8.4,8.5
4366,2021-09-08,8.8,9.34,8.2,8.9
4365,2021-09-07,8.72,8.8979,8.4,8.55
4364,2021-09-03,8.45,8.9,8.38,8.8
4363,2021-09-02,8.47,8.81,8.44,8.5
4362,2021-09-01,9.1,9.2148,8.38,8.47
4361,2021-08-31,8.53,9.5,8.49,9.13
4360,2021-08-30,8.64,8.67,8.22,8.37
4359,2021-08-27,8.62,8.9999,8.61,8.67
4358,2021-08-26,9.16,9.43,8.56,8.71
4357,2021-08-25,9.01,9.42,8.721,9.07
4356,2021-08-24,9.25,9.57,8.89,8.97
4355,2021-08-23,8.91,9.35,8.5901,9.25
4354,2021-08-20,7.9,9.09,7.78,8.96
4353,2021-08-19,8.63,8.6999,7.67,7.93
4352,2021-08-18,8.9,8.9,8.36,8.68
4351,2021-08-17,9.11,9.3,8.3379,8.81
4350,2021-08-16,10.175,10.35,8.68,8.83
4349,2021-08-13,10.59,10.7857,10.0101,10.03
4348,2021-08-12,11.5,11.7999,10.23,10.8
4347,2021-08-11,11.69,12.03,10.22,11.45
4346,2021-08-10,13.53,13.7,11.2691,11.83
4345,2021-08-09,12.91,14.35,12.76,13.52
4344,2021-08-06,12.26,13.04,12.04,12.91
4343,2021-08-05,12.3,13.1199,11.8274,12.42
4342,2021-08-04,12.58,13.0,11.53,12.15
4341,2021-08-03,11.13,12.79,10.75,12.72
4340,2021-08-02,10.64,11.14,10.36,10.64
4339,2021-07-30,10.26,11.25,10.0784,10.58
4338,2021-07-29,10.34,10.99,9.83,10.61
4337,2021-07-28,9.6098,11.4,9.3,10.41
4336,2021-07-27,9.81,9.81,8.6601,9.08
4335,2021-07-26,9.5,9.94,9.3562,9.77
