,Date,Open,High,Low,Close
5578,2021-12-31,66.95,67.66,66.815,67.47
5577,2021-12-30,67.6,68.01,67.04,67.14
5576,2021-12-29,67.36,67.84,67.0,67.55
5575,2021-12-28,67.0,67.54,66.99,67.43
5574,2021-12-27,65.69,67.14,65.56,67.1
5573,2021-12-23,65.08,65.842,64.87,65.39
5572,2021-12-22,65.13,65.43,64.37,65.02
5571,2021-12-21,64.82,65.59,64.34,65.13
5570,2021-12-20,63.9,64.17,62.18,64.1
5569,2021-12-17,65.77,66.14,64.4,64.63
5568,2021-12-16,65.65,66.2,65.19,65.94
5567,2021-12-15,64.67,65.19,63.93,65.14
5566,2021-12-14,65.11,66.24,63.94,64.15
5565,2021-12-13,64.82,65.43,64.375,65.18
5564,2021-12-10,64.4,65.36,64.2,65.1
5563,2021-12-09,64.46,64.94,63.96,63.99
5562,2021-12-08,64.44,65.08,64.24,64.49
5561,2021-12-07,63.88,65.03,63.765,64.42
5560,2021-12-06,62.35,63.79,62.1,63.36
5559,2021-12-03,62.98,63.78,61.13,61.6
5558,2021-12-02,61.13,63.59,61.03,63.18
5557,2021-12-01,63.01,63.19,60.8,60.8
5556,2021-11-30,63.54,64.08,61.95,62.12
5555,2021-11-29,63.67,64.48,63.29,64.2
5554,2021-11-26,63.44,64.055,62.67,63.15
5553,2021-11-24,65.62,65.74,64.68,64.8
5552,2021-11-23,65.03,65.94,64.84,65.78
5551,2021-11-22,64.6,65.45,64.25,65.03
5550,2021-11-19,64.72,65.15,64.202,64.5
5549,2021-11-18,65.6,66.0,64.23,64.67
5548,2021-11-17,65.36,65.87,64.63,65.76
5547,2021-11-16,66.02,66.68,65.37,65.44
5546,2021-11-15,66.23,66.62,65.7,65.98
5545,2021-11-12,64.72,66.43,64.53,66.12
5544,2021-11-11,63.92,64.63,63.48,64.61
5543,2021-11-10,64.61,64.91,63.71,63.93
5542,2021-11-09,63.1,64.79,62.91,64.62
5541,2021-11-08,63.37,63.37,62.125,63.12
5540,2021-11-05,62.12,63.025,60.98,62.92
5539,2021-11-04,62.88,63.98,61.505,61.72
5538,2021-11-03,60.92,62.11,60.71,61.96
5537,2021-11-02,59.85,61.77,58.94,60.67
5536,2021-11-01,59.41,59.6,58.22,58.99
5535,2021-10-29,58.86,59.34,58.84,59.32
5534,2021-10-28,58.26,59.06,58.22,59.01
5533,2021-10-27,58.7,58.775,57.94,58.03
5532,2021-10-26,59.29,59.5,58.81,58.89
5531,2021-10-25,59.29,60.0,58.995,59.29
5530,2021-10-22,59.47,60.23,59.22,59.36
5529,2021-10-21,59.02,59.23,58.49,59.22
5528,2021-10-20,58.12,59.02,58.0,59.0
5527,2021-10-19,57.51,58.06,57.01,58.0
5526,2021-10-18,57.17,57.685,56.78,57.39
5525,2021-10-15,56.95,57.84,56.54,57.5
5524,2021-10-14,56.22,56.8081,55.8,56.64
5523,2021-10-13,56.88,56.99,55.641,55.88
5522,2021-10-12,57.13,57.52,56.65,56.79
5521,2021-10-11,57.19,57.86,57.04,57.15
5520,2021-10-08,57.41,57.94,57.16,57.2
5519,2021-10-07,57.21,58.44,57.085,57.55
5518,2021-10-06,56.46,57.41,56.04,56.68
5517,2021-10-05,55.96,57.33,55.72,56.8
5516,2021-10-04,55.19,56.545,55.19,55.96
5515,2021-10-01,54.85,55.825,54.51,55.2
5514,2021-09-30,56.16,56.25,54.79,54.79
5513,2021-09-29,56.43,56.76,55.61,55.87
5512,2021-09-28,57.44,57.53,56.25,56.41
5511,2021-09-27,57.3,58.005,57.14,57.38
5510,2021-09-24,56.92,57.68,56.92,57.3
5509,2021-09-23,56.71,57.76,56.63,57.13
5508,2021-09-22,56.26,56.845,55.84,56.37
5507,2021-09-21,56.5,56.59,55.76,55.87
5506,2021-09-20,55.47,56.545,55.3,56.19
5505,2021-09-17,57.57,57.91,56.055,56.27
5504,2021-09-16,58.22,58.52,57.76,57.85
5503,2021-09-15,58.27,58.58,58.07,58.27
5502,2021-09-14,58.16,58.93,57.85,58.15
5501,2021-09-13,58.44,58.6,57.54,57.82
5500,2021-09-10,58.4,58.72,57.99,58.08
5499,2021-09-09,59.47,59.6313,58.12,58.19
5498,2021-09-08,59.45,59.81,59.2,59.52
5497,2021-09-07,60.97,61.0,59.67,59.75
5496,2021-09-03,61.72,61.72,61.2,61.22
5495,2021-09-02,61.65,61.8,61.18,61.72
5494,2021-09-01,60.91,62.04,60.91,61.55
5493,2021-08-31,61.17,61.66,60.65,61.03
5492,2021-08-30,61.25,61.63,60.75,61.11
5491,2021-08-27,60.71,61.37,60.65,61.07
5490,2021-08-26,61.24,61.27,60.64,60.67
5489,2021-08-25,59.93,61.25,59.6,61.17
5488,2021-08-24,59.98,60.145,59.52,60.04
5487,2021-08-23,59.96,60.15,59.59,59.65
5486,2021-08-20,59.09,59.64,58.925,59.36
5485,2021-08-19,58.77,59.37,58.5,59.09
5484,2021-08-18,59.49,59.802,59.2,59.25
5483,2021-08-17,60.41,60.46,59.32,59.65
5482,2021-08-16,60.41,60.6,59.33,60.46
5481,2021-08-13,60.22,60.74,60.1,60.42
5480,2021-08-12,60.71,60.75,59.73,60.32
5479,2021-08-11,60.26,60.69,60.0,60.65
5478,2021-08-10,59.05,60.21,59.05,60.09
5477,2021-08-09,58.74,59.185,58.235,59.12
5476,2021-08-06,58.21,58.8,58.16,58.71
5475,2021-08-05,58.5,58.835,57.605,58.11
5474,2021-08-04,58.5,59.1,57.29,57.98
5473,2021-08-03,55.68,58.605,55.32,58.47
5472,2021-08-02,56.88,57.44,56.25,56.31
5471,2021-07-30,56.29,56.94,56.075,56.75
5470,2021-07-29,56.01,56.42,55.64,56.13
5469,2021-07-28,55.56,55.88,55.15,55.67
5468,2021-07-27,55.12,55.62,54.57,55.58
5467,2021-07-26,55.01,55.52,54.84,55.49
5466,2021-07-23,54.81,55.1162,53.87,54.94
5465,2021-07-22,54.53,54.63,53.91,54.54
5464,2021-07-21,54.95,55.16,54.41,54.54
5463,2021-07-20,55.16,55.79,54.475,54.49
5462,2021-07-19,55.49,55.67,54.64,55.03
5461,2021-07-16,57.21,57.21,55.955,55.99
5460,2021-07-15,57.07,57.54,56.84,57.11
5459,2021-07-14,56.75,57.34,56.58,57.21
5458,2021-07-13,58.02,58.07,56.66,56.83
5457,2021-07-12,58.0,58.16,57.63,57.99
5456,2021-07-09,58.93,59.08,58.12,58.4
5455,2021-07-08,58.15,58.62,57.48,58.29
5454,2021-07-07,57.88,58.78,57.86,58.55
5453,2021-07-06,59.39,59.62,57.85,58.23
5452,2021-07-02,59.2,59.59,58.65,59.31
5451,2021-07-01,59.34,59.7,59.01,59.14
5450,2021-06-30,58.45,59.38,58.45,59.25
5449,2021-06-29,58.73,58.88,58.32,58.4
5448,2021-06-28,58.59,58.595,57.84,58.56
5447,2021-06-25,58.41,59.03,58.19,58.54
5446,2021-06-24,58.67,58.67,58.01,58.27
5445,2021-06-23,58.72,59.01,58.39,58.42
5444,2021-06-22,58.53,58.84,58.15,58.65
5443,2021-06-21,58.36,58.71,58.08,58.49
5442,2021-06-18,56.73,58.3185,56.53,57.79
5441,2021-06-17,58.39,58.39,56.75,57.41
5440,2021-06-16,58.73,58.82,57.89,58.4
5439,2021-06-15,58.66,59.1,58.11,58.73
5438,2021-06-14,58.36,58.83,58.23,58.6
5437,2021-06-11,58.37,58.74,58.08,58.69
5436,2021-06-10,58.22,58.42,57.87,58.02
5435,2021-06-09,57.61,58.23,57.52,57.88
5434,2021-06-08,57.48,57.7,57.025,57.55
