,Date,Open,High,Low,Close
5578,2021-12-31,46.8743,47.99,46.83,47.95
5577,2021-12-30,46.8,47.53,46.8,47.38
5576,2021-12-29,47.63,48.04,47.06,47.34
5575,2021-12-28,47.43,47.89,46.94,47.49
5574,2021-12-27,47.9,47.97,47.29,47.64
5573,2021-12-23,48.27,48.61,47.29,48.02
5572,2021-12-22,46.24,48.55,45.96,48.3
5571,2021-12-21,46.14,46.605,45.49,46.22
5570,2021-12-20,44.95,46.37,44.85,45.53
5569,2021-12-17,47.33,48.03,45.01,45.01
5568,2021-12-16,47.02,48.01,46.33,47.28
5567,2021-12-15,45.36,47.0,45.21,46.64
5566,2021-12-14,45.9,46.31,44.915,45.0
5565,2021-12-13,45.21,46.44,44.8,45.94
5564,2021-12-10,45.21,45.67,44.76,45.28
5563,2021-12-09,45.64,45.67,44.52,45.11
5562,2021-12-08,46.96,47.76,46.03,46.17
5561,2021-12-07,47.71,48.62,46.96,47.51
5560,2021-12-06,46.27,47.38,46.065,47.16
5559,2021-12-03,45.57,46.05,44.705,45.68
5558,2021-12-02,44.06,45.55,44.06,45.29
5557,2021-12-01,43.53,44.51,43.15,44.22
5556,2021-11-30,42.7,43.93,41.54,42.71
5555,2021-11-29,45.31,45.31,42.76,42.93
5554,2021-11-26,45.15,46.188,44.01,45.0
5553,2021-11-24,46.38,46.39,45.63,45.95
5552,2021-11-23,46.29,47.04,46.29,46.37
5551,2021-11-22,45.68,47.3398,45.11,46.69
5550,2021-11-19,45.3,45.8646,44.7,45.53
5549,2021-11-18,47.72,48.025,45.28,45.55
5548,2021-11-17,47.93,47.94,47.21,47.94
5547,2021-11-16,47.55,48.825,47.275,47.69
5546,2021-11-15,51.41,51.41,47.575,47.64
5545,2021-11-12,52.55,53.12,51.84,51.94
5544,2021-11-11,53.805,53.805,53.07,53.41
5543,2021-11-10,54.74,55.42,53.94,54.06
5542,2021-11-09,54.8,55.15,54.3101,55.05
5541,2021-11-08,53.42,54.98,52.805,54.85
5540,2021-11-05,52.42,53.91,52.42,53.46
5539,2021-11-04,52.65,53.47,51.24,51.94
5538,2021-11-03,51.22,53.12,51.04,52.65
5537,2021-11-02,51.71,51.985,50.4421,51.22
5536,2021-11-01,51.63,51.63,50.26,51.38
5535,2021-10-29,53.53,53.53,51.12,51.63
5534,2021-10-28,52.0,53.84,51.97,53.3
5533,2021-10-27,52.28,52.77,51.58,51.65
5532,2021-10-26,52.44,52.69,52.0409,52.29
5531,2021-10-25,52.35,52.95,52.0695,52.58
5530,2021-10-22,52.4,52.83,51.81,51.81
5529,2021-10-21,52.5325,53.21,52.5325,52.75
5528,2021-10-20,52.5,53.02,52.0,53.02
5527,2021-10-19,52.3,52.47,51.87,52.47
5526,2021-10-18,52.08,52.46,51.571,52.3
5525,2021-10-15,52.92,53.1313,51.75,51.95
5524,2021-10-14,52.49,52.775,52.03,52.07
5523,2021-10-13,52.16,52.16,51.6,51.86
5522,2021-10-12,52.24,52.65,51.58,52.65
5521,2021-10-11,53.48,53.48,51.81,51.99
5520,2021-10-08,53.5,54.2055,52.2,53.12
5519,2021-10-07,51.41,53.85,51.41,53.69
5518,2021-10-06,50.775,51.56,49.9175,51.35
5517,2021-10-05,50.66,51.54,50.66,51.14
5516,2021-10-04,49.73,50.67,49.235,50.34
5515,2021-10-01,48.68,50.325,48.66,49.8
5514,2021-09-30,48.77,49.0,48.0,48.22
5513,2021-09-29,48.07,49.26,47.61,48.69
5512,2021-09-28,49.8299,49.8299,47.6,47.81
5511,2021-09-27,47.43,49.335,47.43,48.86
5510,2021-09-24,46.4,48.105,46.4,47.69
5509,2021-09-23,45.32,46.66,45.32,46.53
5508,2021-09-22,45.75,45.75,44.53,45.21
5507,2021-09-21,45.99,46.0,45.23,45.32
5506,2021-09-20,46.97,46.97,44.7701,45.62
5505,2021-09-17,46.75,48.98,45.92,47.7
5504,2021-09-16,47.33,47.59,45.71,46.71
5503,2021-09-15,46.95,47.22,46.08,47.07
5502,2021-09-14,48.23,48.835,46.215,46.87
5501,2021-09-13,48.82,48.82,47.65,47.98
5500,2021-09-10,46.77,48.74,46.51,48.68
5499,2021-09-09,47.59,47.59,46.85,46.85
