,Date,Open,High,Low,Close
5578,2021-12-31,47.1,47.1,47.1,47.1
5577,2021-12-30,47.06,47.1,47.06,47.1
5576,2021-12-29,48.3,48.3,48.3,48.3
5575,2021-12-28,48.3,48.3,48.3,48.3
5574,2021-12-27,48.3,48.3,48.3,48.3
5573,2021-12-23,46.64,46.64,46.64,46.64
5572,2021-12-22,46.64,46.64,46.64,46.64
5571,2021-12-21,46.705,46.705,46.705,46.705
5570,2021-12-20,46.705,46.705,46.705,46.705
5569,2021-12-17,47.75,48.13,45.08,47.98
5568,2021-12-16,46.0,46.0,46.0,46.0
5567,2021-12-15,46.0,46.0,46.0,46.0
5566,2021-12-14,46.0,46.0,46.0,46.0
5565,2021-12-13,46.0,46.0,46.0,46.0
5564,2021-12-10,46.0,46.0,46.0,46.0
5563,2021-12-09,45.1,45.6522,44.8201,44.8201
5562,2021-12-08,48.0,48.0,46.15,46.15
5561,2021-12-07,47.853,47.853,47.853,47.853
5560,2021-12-06,47.0,47.0,47.0,47.0
5559,2021-12-03,46.0,47.0,46.0,47.0
5558,2021-12-02,44.0,46.0,44.0,46.0
5557,2021-12-01,45.54,45.54,45.54,45.54
5556,2021-11-30,45.54,45.54,45.54,45.54
5555,2021-11-29,45.54,45.54,45.54,45.54
5554,2021-11-26,45.54,45.54,45.54,45.54
5553,2021-11-24,45.54,45.54,45.54,45.54
5552,2021-11-23,45.54,45.54,45.54,45.54
5551,2021-11-22,45.54,45.54,45.54,45.54
5550,2021-11-19,45.54,45.54,45.54,45.54
5549,2021-11-18,45.54,45.54,45.54,45.54
5548,2021-11-17,50.01,50.01,50.01,50.01
5547,2021-11-16,50.01,50.01,50.01,50.01
5546,2021-11-15,50.01,50.01,50.01,50.01
5545,2021-11-12,54.43,54.43,54.43,54.43
5544,2021-11-11,54.43,54.43,54.43,54.43
5543,2021-11-10,54.43,54.43,54.43,54.43
5542,2021-11-09,54.43,54.43,54.43,54.43
5541,2021-11-08,54.43,54.43,54.43,54.43
5540,2021-11-05,54.43,54.43,54.0,54.0
5539,2021-11-04,53.55,53.55,53.55,53.55
5538,2021-11-03,53.55,53.55,53.55,53.55
5537,2021-11-02,51.65,51.65,51.65,51.65
5536,2021-11-01,51.65,51.65,51.65,51.65
5535,2021-10-29,51.65,51.65,51.65,51.65
5534,2021-10-28,51.65,51.65,51.65,51.65
5533,2021-10-27,51.65,51.65,51.65,51.65
5532,2021-10-26,51.65,51.65,51.65,51.65
5531,2021-10-25,51.65,51.65,51.65,51.65
5530,2021-10-22,51.65,51.65,51.65,51.65
5529,2021-10-21,51.65,51.65,51.65,51.65
5528,2021-10-20,51.65,51.65,51.65,51.65
5527,2021-10-19,51.65,51.65,51.65,51.65
5526,2021-10-18,51.65,51.65,51.65,51.65
5525,2021-10-15,51.25,51.25,51.25,51.25
5524,2021-10-14,51.25,51.25,51.25,51.25
5523,2021-10-13,51.25,51.25,51.25,51.25
5522,2021-10-12,51.25,51.25,51.25,51.25
5521,2021-10-11,51.25,51.25,51.25,51.25
5520,2021-10-08,51.25,51.25,51.25,51.25
5519,2021-10-07,51.25,51.25,51.25,51.25
