,Date,Open,High,Low,Close
1459,2021-12-31,2.74,2.7999,2.64,2.67
1458,2021-12-30,2.7,2.82,2.7,2.75
1457,2021-12-29,2.65,2.73,2.62,2.72
1456,2021-12-28,2.83,2.835,2.67,2.67
1455,2021-12-27,2.95,2.95,2.8,2.83
1454,2021-12-23,2.87,2.96,2.82,2.95
1453,2021-12-22,2.78,2.86,2.75,2.86
1452,2021-12-21,2.69,2.86,2.69,2.78
1451,2021-12-20,2.66,2.72,2.56,2.61
1450,2021-12-17,2.58,2.88,2.5,2.72
1449,2021-12-16,2.84,2.85,2.545,2.58
1448,2021-12-15,2.68,2.79,2.57,2.75
1447,2021-12-14,2.74,2.78,2.65,2.68
1446,2021-12-13,2.81,2.89,2.69,2.79
1445,2021-12-10,2.97,3.03,2.78,2.8
1444,2021-12-09,3.05,3.12,2.88,2.9
1443,2021-12-08,3.07,3.22,2.935,3.12
1442,2021-12-07,2.86,3.1,2.8477,3.01
1441,2021-12-06,2.61,2.77,2.41,2.73
1440,2021-12-03,2.9,2.9,2.62,2.69
1439,2021-12-02,2.85,2.94,2.7,2.86
1438,2021-12-01,3.15,3.16,2.85,2.85
1437,2021-11-30,3.14,3.2191,2.88,3.14
1436,2021-11-29,3.28,3.32,3.18,3.18
1435,2021-11-26,3.18,3.29,3.14,3.23
1434,2021-11-24,3.35,3.41,3.25,3.27
1433,2021-11-23,3.36,3.46,3.23,3.38
1432,2021-11-22,3.52,3.53,3.36,3.38
1431,2021-11-19,3.39,3.51,3.39,3.48
1430,2021-11-18,3.6,3.63,3.36,3.44
1429,2021-11-17,3.71,3.75,3.58,3.6
1428,2021-11-16,3.75,3.8,3.68,3.75
1427,2021-11-15,3.67,3.83,3.65,3.8
1426,2021-11-12,3.69,3.72,3.61,3.63
1425,2021-11-11,3.9,3.91,3.67,3.7
1424,2021-11-10,3.62,4.28,3.58,3.73
1423,2021-11-09,3.85,3.87,3.68,3.75
1422,2021-11-08,3.8,3.91,3.79,3.89
1421,2021-11-05,3.83,3.875,3.76,3.83
1420,2021-11-04,3.99,4.02,3.71,3.89
1419,2021-11-03,3.92,3.99,3.79,3.91
1418,2021-11-02,3.75,3.91,3.65,3.91
1417,2021-11-01,3.57,3.77,3.55,3.73
1416,2021-10-29,3.49,3.53,3.4,3.5
1415,2021-10-28,3.32,3.54,3.31,3.54
1414,2021-10-27,3.44,3.447,3.33,3.33
1413,2021-10-26,3.44,3.47,3.33,3.42
1412,2021-10-25,3.44,3.57,3.4,3.47
1411,2021-10-22,3.47,3.54,3.42,3.49
1410,2021-10-21,3.55,3.69,3.53,3.58
1409,2021-10-20,3.5,3.65,3.44,3.56
1408,2021-10-19,3.3,3.52,3.2882,3.5
1407,2021-10-18,3.26,3.32,3.23,3.29
1406,2021-10-15,3.49,3.49,3.3,3.3
1405,2021-10-14,3.39,3.54,3.38,3.43
1404,2021-10-13,3.4,3.4,3.3,3.36
1403,2021-10-12,3.22,3.36,3.21,3.35
1402,2021-10-11,3.2,3.2685,3.17,3.2
1401,2021-10-08,3.33,3.37,3.2,3.2
1400,2021-10-07,3.24,3.35,3.23,3.3
1399,2021-10-06,3.18,3.2799,3.15,3.21
1398,2021-10-05,3.26,3.33,3.23,3.27
1397,2021-10-04,3.37,3.38,3.23,3.25
1396,2021-10-01,3.41,3.47,3.26,3.45
1395,2021-09-30,3.27,3.43,3.27,3.39
1394,2021-09-29,3.46,3.48,3.21,3.27
1393,2021-09-28,3.54,3.55,3.41,3.41
1392,2021-09-27,3.53,3.69,3.5201,3.6
1391,2021-09-24,3.63,3.68,3.56,3.57
1390,2021-09-23,3.6,3.75,3.515,3.73
1389,2021-09-22,3.48,3.59,3.47,3.54
1388,2021-09-21,3.56,3.6,3.43,3.44
1387,2021-09-20,3.65,3.6835,3.38,3.46
1386,2021-09-17,3.82,3.8503,3.74,3.81
1385,2021-09-16,3.84,3.92,3.74,3.82
1384,2021-09-15,3.84,3.89,3.77,3.87
1383,2021-09-14,3.88,4.02,3.77,3.77
1382,2021-09-13,3.95,3.99,3.78,3.82
1381,2021-09-10,3.87,4.1,3.82,3.91
1380,2021-09-09,3.77,3.92,3.74,3.8
1379,2021-09-08,3.88,3.9,3.63,3.77
1378,2021-09-07,3.92,4.08,3.88,3.88
1377,2021-09-03,4.04,4.1,3.85,3.92
1376,2021-09-02,4.0,4.17,3.94,4.02
1375,2021-09-01,3.99,4.08,3.86,4.03
1374,2021-08-31,3.8,4.04,3.7501,4.01
1373,2021-08-30,4.02,4.07,3.64,3.81
1372,2021-08-27,3.99,4.09,3.89,4.05
1371,2021-08-26,3.74,3.95,3.7135,3.88
1370,2021-08-25,3.59,3.77,3.465,3.72
1369,2021-08-24,3.67,3.72,3.5,3.66
1368,2021-08-23,3.54,3.7,3.46,3.62
1367,2021-08-20,3.25,3.52,3.21,3.48
1366,2021-08-19,3.24,3.44,3.13,3.17
1365,2021-08-18,3.04,3.22,3.02,3.12
1364,2021-08-17,2.99,3.14,2.98,3.04
1363,2021-08-16,3.02,3.11,2.98,3.02
1362,2021-08-13,3.28,3.28,3.01,3.03
1361,2021-08-12,3.01,3.39,2.97,3.32
1360,2021-08-11,3.0,3.02,2.91,3.0
1359,2021-08-10,2.95,3.12,2.89,3.04
1358,2021-08-09,3.33,3.36,3.23,3.25
1357,2021-08-06,3.14,3.3,3.06,3.22
1356,2021-08-05,3.01,3.145,3.0,3.14
1355,2021-08-04,3.09,3.11,2.99,3.03
1354,2021-08-03,3.17,3.17,3.02,3.09
1353,2021-08-02,3.1,3.23,3.065,3.12
1352,2021-07-30,3.04,3.14,3.02,3.07
1351,2021-07-29,3.06,3.22,3.03,3.05
1350,2021-07-28,2.96,3.11,2.96,3.08
1349,2021-07-27,2.95,3.0,2.82,2.97
1348,2021-07-26,3.0,3.17,2.95,2.99
1347,2021-07-23,3.07,3.09,2.96,3.02
1346,2021-07-22,3.18,3.25,3.06,3.07
1345,2021-07-21,3.24,3.26,3.11,3.23
1344,2021-07-20,3.01,3.24,2.93,3.18
1343,2021-07-19,2.85,3.09,2.81,3.0
1342,2021-07-16,2.77,3.27,2.75,2.91
1341,2021-07-15,2.81,2.95,2.69,2.77
1340,2021-07-14,2.95,3.08,2.85,2.85
1339,2021-07-13,3.07,3.13,2.98,3.01
1338,2021-07-12,3.22,3.2399,3.06,3.17
1337,2021-07-09,3.27,3.36,3.21,3.26
1336,2021-07-08,2.93,3.36,2.83,3.36
1335,2021-07-07,3.38,3.38,3.1,3.12
1334,2021-07-06,3.47,3.51,3.36,3.38
1333,2021-07-02,3.61,3.7,3.38,3.51
1332,2021-07-01,3.8,3.84,3.48,3.5
1331,2021-06-30,3.87,3.94,3.72,3.84
1330,2021-06-29,4.01,4.05,3.81,3.95
1329,2021-06-28,4.07,4.14,3.88,4.14
1328,2021-06-25,3.66,3.9,3.61,3.83
1327,2021-06-24,3.65,3.79,3.56,3.61
1326,2021-06-23,3.39,3.63,3.35,3.59
1325,2021-06-22,3.11,3.52,3.05,3.48
1324,2021-06-21,3.43,3.44,3.13,3.23
1323,2021-06-18,3.48,3.66,3.41,3.46
1322,2021-06-17,3.56,3.82,3.55,3.62
1321,2021-06-16,3.5,3.78,3.36,3.66
1320,2021-06-15,3.74,3.885,3.5,3.69
1319,2021-06-14,4.36,4.58,3.9,3.96
1318,2021-06-11,4.03,4.2,3.69,4.01
1317,2021-06-10,3.11,3.75,3.04,3.62
1316,2021-06-09,3.45,3.51,3.06,3.07
1315,2021-06-08,2.94,3.45,2.85,3.43
1314,2021-06-07,3.08,3.1,2.73,2.98
1313,2021-06-04,2.69,3.2,2.52,2.91
1312,2021-06-03,2.04,2.15,2.04,2.05
1311,2021-06-02,2.14,2.15,2.025,2.09
1310,2021-06-01,2.05,2.2,2.015,2.14
1309,2021-05-28,2.06,2.17,2.03,2.06
1308,2021-05-27,2.0,2.07,1.93,2.07
