,Date,Open,High,Low,Close
336,2021-12-31,32.2929,32.2929,32.2929,32.2929
335,2021-12-30,32.3421,32.3421,32.3421,32.3421
334,2021-12-29,32.4187,32.4187,32.4187,32.4187
333,2021-12-28,32.3684,32.3684,32.3684,32.3684
332,2021-12-27,32.4107,32.4107,32.4107,32.4107
331,2021-12-23,32.1065,32.1065,32.1065,32.1065
330,2021-12-22,31.9352,31.9352,31.9352,31.9352
329,2021-12-21,31.42,31.701,31.42,31.701
328,2021-12-20,31.3121,31.3121,31.3121,31.3121
327,2021-12-17,31.5861,31.5861,31.5861,31.5861
326,2021-12-16,31.8311,31.8311,31.8311,31.8311
325,2021-12-15,31.61,31.9988,31.53,31.9988
324,2021-12-14,31.47,31.6312,31.47,31.603
323,2021-12-13,31.83,31.83,31.8063,31.8063
322,2021-12-10,31.88,32.0039,31.88,32.0039
321,2021-12-09,31.91,31.91,31.8,31.8205
320,2021-12-08,31.87,31.9675,31.87,31.9675
319,2021-12-07,31.8647,31.8647,31.8647,31.8647
318,2021-12-06,31.2845,31.3891,31.2845,31.3891
317,2021-12-03,31.01,31.0959,31.01,31.0959
316,2021-12-02,31.14,31.2964,31.14,31.2964
315,2021-12-01,31.57,31.68,31.0471,31.0471
314,2021-11-30,31.35,31.35,31.2764,31.2764
313,2021-11-29,31.75,31.8,31.7,31.7595
312,2021-11-26,31.4246,31.4246,31.4246,31.4246
311,2021-11-24,31.9891,31.9891,31.9891,31.9891
310,2021-11-23,31.9296,31.9296,31.9296,31.9296
309,2021-11-22,31.9125,31.9125,31.9125,31.9125
308,2021-11-19,31.98,31.98,31.9543,31.9543
307,2021-11-18,31.986,31.986,31.986,31.986
306,2021-11-17,31.91,31.9139,31.91,31.9139
305,2021-11-16,31.96,31.9788,31.95,31.9788
304,2021-11-15,31.8133,31.857,31.8133,31.857
303,2021-11-12,31.78,31.8839,31.78,31.8839
302,2021-11-11,31.7191,31.7191,31.7191,31.7191
301,2021-11-10,31.6654,31.6654,31.6654,31.6654
300,2021-11-09,31.9,31.9,31.78,31.8589
299,2021-11-08,31.949,31.949,31.949,31.949
298,2021-11-05,31.8974,31.8974,31.8974,31.8974
297,2021-11-04,31.8179,31.8179,31.8179,31.8179
296,2021-11-03,31.7653,31.83,31.7653,31.7669
295,2021-11-02,31.53,31.66,31.53,31.6013
294,2021-11-01,31.5238,31.5238,31.5238,31.5238
293,2021-10-29,31.5043,31.5043,31.5043,31.5043
292,2021-10-28,31.41,31.4439,31.4,31.4439
291,2021-10-27,31.41,31.42,31.23,31.2384
290,2021-10-26,31.49,31.49,31.3605,31.3605
289,2021-10-25,31.33,31.38,31.296,31.296
288,2021-10-22,31.13,31.31,31.13,31.2252
287,2021-10-21,31.2,31.2139,31.17,31.2139
286,2021-10-20,31.18,31.22,31.1338,31.1338
285,2021-10-19,31.0529,31.12,31.0528,31.0528
284,2021-10-18,30.8,30.95,30.8,30.8966
283,2021-10-15,30.85,30.9,30.829,30.8558
282,2021-10-14,30.64,30.6639,30.6353,30.6639
281,2021-10-13,30.3306,30.3306,30.28,30.3113
280,2021-10-12,30.26,30.26,30.2407,30.2437
279,2021-10-11,30.49,30.49,30.2971,30.2971
278,2021-10-08,30.44,30.495,30.432,30.432
277,2021-10-07,30.66,30.66,30.4668,30.4668
276,2021-10-06,30.06,30.2696,30.06,30.2696
275,2021-10-05,30.25,30.348,30.2102,30.2102
274,2021-10-04,30.2,30.2,29.9506,29.9604
273,2021-10-01,30.0711,30.2638,30.0711,30.2502
272,2021-09-30,30.27,30.33,30.0358,30.0358
271,2021-09-29,30.33,30.39,30.2524,30.2524
270,2021-09-28,30.48,30.48,30.22,30.26
269,2021-09-27,30.72,30.76,30.6614,30.6614
268,2021-09-24,30.73,30.8,30.7001,30.7353
267,2021-09-23,30.6906,30.83,30.6906,30.7133
266,2021-09-22,30.4207,30.4207,30.4207,30.4207
265,2021-09-21,30.28,30.39,30.2375,30.2539
264,2021-09-20,30.635,33.3299,29.955,30.204
263,2021-09-17,30.74,30.74,30.635,30.635
262,2021-09-16,30.76,30.91,30.75,30.8161
261,2021-09-15,30.7,30.93,30.7,30.9
260,2021-09-14,30.91,30.91,30.6,30.71
259,2021-09-13,30.8077,30.82,30.6898,30.82
258,2021-09-10,30.98,30.98,30.7623,30.7623
257,2021-09-09,31.04,31.06,30.895,30.96
256,2021-09-08,30.92,31.1468,30.9,31.0143
255,2021-09-07,31.15,31.15,31.05,31.0794
