,Date,Open,High,Low,Close
1056,2021-12-31,224.0,227.43,219.59,223.71
1055,2021-12-30,214.4,227.585,214.4,224.31
1054,2021-12-29,216.01,217.395,210.86,213.91
1053,2021-12-28,219.17,223.3799,216.27,216.89
1052,2021-12-27,224.58,226.4599,217.51,219.6
1051,2021-12-23,222.1,224.68,215.56,222.05
1050,2021-12-22,224.22,228.0,219.01,222.88
1049,2021-12-21,211.41,228.79,210.59,227.93
1048,2021-12-20,205.0,210.24,202.58,205.68
1047,2021-12-17,206.52,214.17,201.13,212.8
1046,2021-12-16,232.0,232.59,207.49,214.52
1045,2021-12-15,224.33,228.6,213.1,226.5
1044,2021-12-14,224.08,226.29,218.89,224.72
1043,2021-12-13,232.22,241.22,226.62,231.04
1042,2021-12-10,252.37,256.8,233.26,237.94
1041,2021-12-09,263.5,267.5799,250.0,254.8
1040,2021-12-08,256.04,265.31,249.4,263.01
1039,2021-12-07,257.0,263.43,248.53,252.14
1038,2021-12-06,248.44,251.7,235.53,246.87
1037,2021-12-03,256.21,256.71,242.65,253.44
1036,2021-12-02,261.99,265.99,251.9488,261.11
1035,2021-12-01,287.38,294.0,260.39,261.81
1034,2021-11-30,295.0,301.35,281.53,288.07
1033,2021-11-29,302.67,307.86,289.6,297.96
1032,2021-11-26,290.0,301.04,289.51,296.82
1031,2021-11-24,282.6,292.91,278.44,289.59
1030,2021-11-23,295.0,297.67,272.58,287.52
1029,2021-11-22,309.0,312.83,291.0,299.13
1028,2021-11-19,311.47,317.3031,307.76,309.99
1027,2021-11-18,316.0,320.1373,306.935,310.74
1026,2021-11-17,323.21,324.0,296.29,314.41
1025,2021-11-16,350.3,355.99,323.0,329.91
1024,2021-11-15,345.0,354.0,337.0,343.02
1023,2021-11-12,340.0,344.5698,333.0,341.29
1022,2021-11-11,337.75,339.95,330.19,333.3
1021,2021-11-10,338.9,343.3799,330.54,335.3
1020,2021-11-09,348.9,349.92,338.13,340.91
1019,2021-11-08,358.41,363.81,338.73,344.09
1018,2021-11-05,360.28,361.5,355.0,357.78
1017,2021-11-04,357.0,361.2199,350.4117,356.95
1016,2021-11-03,362.0,366.32,351.185,353.66
1015,2021-11-02,354.0,361.14,353.905,360.23
1014,2021-11-01,345.02,354.89,342.74,354.04
1013,2021-10-29,349.325,349.325,340.985,343.57
1012,2021-10-28,347.77,353.22,341.265,352.73
1011,2021-10-27,343.91,349.15,338.0,340.17
1010,2021-10-26,354.01,354.93,335.72,343.57
1009,2021-10-25,354.59,354.92,335.44,348.32
1008,2021-10-22,362.8,364.87,352.13,355.3
1007,2021-10-21,361.0,367.43,359.88,363.3
1006,2021-10-20,370.0,371.64,356.58,360.6
1005,2021-10-19,360.69,372.6999,360.52,366.99
1004,2021-10-18,353.75,361.63,352.23,357.09
1003,2021-10-15,348.83,357.48,347.11,354.5
1002,2021-10-14,354.12,354.6504,344.88,345.37
