,Date,Open,High,Low,Close
5578,2021-12-31,70.34,71.07,70.3032,70.42
5577,2021-12-30,71.83,72.2786,70.53,70.64
5576,2021-12-29,71.48,71.83,71.3,71.48
5575,2021-12-28,70.74,71.855,70.74,71.48
5574,2021-12-27,69.4,71.09,69.01,71.04
5573,2021-12-23,68.77,69.62,68.64,69.16
5572,2021-12-22,68.44,68.8,67.97,68.6
5571,2021-12-21,66.69,68.26,66.31,68.12
5570,2021-12-20,66.59,66.74,64.79,65.84
5569,2021-12-17,69.26,69.26,67.41,68.04
5568,2021-12-16,70.4,70.82,68.855,69.42
5567,2021-12-15,69.16,69.98,68.2,69.59
5566,2021-12-14,68.03,69.4,67.86,69.06
5565,2021-12-13,69.31,69.31,67.9,68.32
5564,2021-12-10,70.84,71.11,68.6,69.62
5563,2021-12-09,71.22,71.84,70.41,70.47
5562,2021-12-08,72.9,72.9,71.36,71.78
5561,2021-12-07,72.5,73.93,72.33,72.79
5560,2021-12-06,71.63,72.49,70.38,71.56
5559,2021-12-03,73.0,73.07,69.52,70.19
5558,2021-12-02,70.21,72.72,69.62,72.41
5557,2021-12-01,72.94,73.73,69.67,69.7
5556,2021-11-30,72.5,72.7,70.7,71.01
5555,2021-11-29,74.15,74.41,72.71,73.4
5554,2021-11-26,73.5,73.7,72.16,72.95
5553,2021-11-24,75.47,76.57,75.36,76.46
5552,2021-11-23,75.49,76.16,75.06,76.07
5551,2021-11-22,75.05,76.18,74.431,75.19
5550,2021-11-19,74.24,74.59,73.175,73.99
5549,2021-11-18,75.21,75.7,74.44,74.96
5548,2021-11-17,75.74,75.74,74.235,75.15
5547,2021-11-16,75.75,76.34,74.935,75.78
5546,2021-11-15,77.17,77.17,75.77,76.1
5545,2021-11-12,76.74,77.33,76.21,76.63
5544,2021-11-11,75.21,76.84,74.97,76.66
5543,2021-11-10,75.83,75.88,74.36,74.98
5542,2021-11-09,76.24,76.74,75.11,75.82
5541,2021-11-08,75.92,76.98,75.5,76.73
5540,2021-11-05,75.02,76.35,74.755,75.22
5539,2021-11-04,76.28,76.47,73.79,74.53
5538,2021-11-03,74.41,76.6,74.41,76.24
5537,2021-11-02,74.56,75.18,74.16,74.83
5536,2021-11-01,73.46,74.675,73.34,74.49
5535,2021-10-29,74.02,74.77,72.82,72.87
5534,2021-10-28,73.4,74.15,72.8,73.8
5533,2021-10-27,76.52,77.26,72.51,72.54
5532,2021-10-26,77.89,78.6,77.27,77.39
5531,2021-10-25,77.5,77.92,76.84,77.66
5530,2021-10-22,75.9,77.65,75.521,77.26
5529,2021-10-21,75.78,76.29,74.58,75.66
5528,2021-10-20,74.61,76.45,74.221,76.19
5527,2021-10-19,75.36,75.5,74.57,74.81
5526,2021-10-18,74.31,75.51,74.21,75.17
5525,2021-10-15,74.32,75.09,74.06,74.41
5524,2021-10-14,72.96,73.2429,72.33,73.12
5523,2021-10-13,73.13,73.3,71.36,71.98
5522,2021-10-12,72.52,73.42,72.3,72.98
5521,2021-10-11,73.46,74.17,72.65,72.66
5520,2021-10-08,72.41,73.62,72.175,73.02
5519,2021-10-07,71.53,73.19,71.5,72.52
5518,2021-10-06,69.93,71.06,69.09,70.66
5517,2021-10-05,70.07,71.33,69.36,70.73
5516,2021-10-04,69.77,70.82,68.93,69.25
5515,2021-10-01,68.17,70.41,67.625,69.84
5514,2021-09-30,69.51,69.79,67.95,67.96
5513,2021-09-29,69.15,69.31,68.12,69.06
5512,2021-09-28,70.51,71.14,68.61,68.72
5511,2021-09-27,70.0,71.16,69.87,70.38
5510,2021-09-24,68.02,69.51,68.02,69.3
5509,2021-09-23,66.77,68.38,66.105,68.22
5508,2021-09-22,65.29,66.5,65.03,65.9
5507,2021-09-21,66.01,66.01,64.1,64.62
5506,2021-09-20,65.56,66.045,64.1,65.22
5505,2021-09-17,66.84,67.75,66.525,67.58
5504,2021-09-16,67.06,67.08,66.04,66.56
5503,2021-09-15,65.55,66.81,65.37,66.7
5502,2021-09-14,68.0,68.0,65.555,65.68
5501,2021-09-13,67.3,67.6,66.61,67.57
5500,2021-09-10,68.42,68.42,66.66,66.78
5499,2021-09-09,66.77,68.67,66.77,68.14
5498,2021-09-08,67.23,67.75,66.78,67.13
5497,2021-09-07,67.89,68.72,67.51,67.72
5496,2021-09-03,69.03,69.66,68.0,68.05
5495,2021-09-02,69.21,69.53,68.78,69.3
5494,2021-09-01,69.18,69.29,68.01,69.22
5493,2021-08-31,68.96,69.82,68.4,69.1
5492,2021-08-30,70.9,70.9,69.16,69.16
5491,2021-08-27,68.61,70.86,68.61,70.78
5490,2021-08-26,69.85,69.85,68.64,68.73
5489,2021-08-25,69.03,70.38,68.59,69.48
5488,2021-08-24,68.28,68.98,68.28,68.71
5487,2021-08-23,67.26,68.13,66.84,67.81
5486,2021-08-20,65.6,66.69,65.375,66.64
5485,2021-08-19,66.05,67.04,65.2,65.62
5484,2021-08-18,67.55,68.47,66.93,67.07
5483,2021-08-17,67.71,68.08,66.43,67.57
5482,2021-08-16,68.36,68.86,67.28,68.32
5481,2021-08-13,69.34,69.5,68.5,68.88
5480,2021-08-12,69.23,69.515,68.66,69.37
5479,2021-08-11,68.59,68.96,68.17,68.9
5478,2021-08-10,67.88,68.86,67.26,68.38
5477,2021-08-09,67.6,68.53,66.98,68.04
5476,2021-08-06,67.39,68.12,67.04,67.68
5475,2021-08-05,65.45,66.64,65.2801,66.62
5474,2021-08-04,65.04,65.91,64.83,65.24
5473,2021-08-03,66.26,66.26,64.11,65.77
5472,2021-08-02,67.2,68.355,65.93,65.97
5471,2021-07-30,66.97,68.15,66.21,66.54
5470,2021-07-29,67.94,68.26,67.08,67.34
5469,2021-07-28,64.76,67.36,64.68,66.62
5468,2021-07-27,64.65,65.44,64.08,64.99
5467,2021-07-26,65.03,66.105,65.03,65.67
5466,2021-07-23,64.97,65.31,64.5,65.17
5465,2021-07-22,65.08,65.08,64.05,64.41
5464,2021-07-21,64.46,65.49,63.99,65.22
5463,2021-07-20,60.91,64.04,60.8,63.63
5462,2021-07-19,62.21,62.49,60.8,61.25
5461,2021-07-16,65.86,65.86,63.8,63.97
5460,2021-07-15,64.34,65.79,64.34,65.28
5459,2021-07-14,66.1,66.93,64.97,65.13
5458,2021-07-13,66.81,67.23,66.04,66.11
5457,2021-07-12,65.07,66.95,64.73,66.68
5456,2021-07-09,64.37,65.38,63.53,65.36
5455,2021-07-08,62.89,63.93,61.96,63.18
5454,2021-07-07,63.88,64.67,63.035,64.48
5453,2021-07-06,65.16,65.39,63.811,64.52
5452,2021-07-02,65.86,65.86,64.8,65.18
5451,2021-07-01,65.53,65.875,64.92,65.69
5450,2021-06-30,64.32,65.19,64.11,64.86
5449,2021-06-29,64.85,65.35,64.15,64.59
5448,2021-06-28,65.98,65.98,63.63,64.09
5447,2021-06-25,65.4,66.72,64.97,65.93
5446,2021-06-24,64.79,65.24,63.86,64.95
5445,2021-06-23,63.3,64.47,62.95,64.22
5444,2021-06-22,61.98,62.61,60.77,62.25
