,Date,Open,High,Low,Close
267,2021-12-31,1.0,1.04,0.93,1.04
266,2021-12-30,0.93,1.01,0.9032,1.01
265,2021-12-29,0.9598,0.96,0.88,0.93
264,2021-12-28,1.13,1.13,0.95,1.03
263,2021-12-27,1.12,1.12,0.9501,1.015
262,2021-12-23,1.17,1.17,0.85,1.03
261,2021-12-22,1.235,1.3545,1.1517,1.2
260,2021-12-21,1.2,1.25,1.1455,1.2
259,2021-12-20,1.17,1.21,1.03,1.18
258,2021-12-17,1.2,1.31,1.2,1.2
257,2021-12-16,1.477,1.477,1.23,1.26
256,2021-12-15,1.425,1.43,1.29,1.3507
255,2021-12-14,1.4104,1.45,1.37,1.3801
254,2021-12-13,1.4289,1.46,1.3607,1.45
253,2021-12-10,1.41,1.55,1.36,1.54
252,2021-12-09,1.5,1.6,1.4,1.4297
251,2021-12-08,1.47,1.65,1.47,1.54
250,2021-12-07,1.41,1.49,1.3301,1.4499
249,2021-12-06,1.45,1.45,1.25,1.31
248,2021-12-03,1.82,1.82,1.32,1.39
247,2021-12-02,1.715,1.7599,1.5101,1.58
246,2021-12-01,1.85,1.88,1.63,1.63
245,2021-11-30,1.81,1.9,1.7,1.83
244,2021-11-29,1.89,1.89,1.64,1.69
243,2021-11-26,1.94,1.95,1.7701,1.8999
242,2021-11-24,2.01,2.07,1.91,1.94
241,2021-11-23,2.1926,2.22,2.0,2.025
240,2021-11-22,2.18,2.4,2.12,2.145
239,2021-11-19,2.23,2.2499,2.05,2.12
238,2021-11-18,2.3399,2.3399,2.07,2.19
237,2021-11-17,2.35,2.35,2.15,2.2
236,2021-11-16,2.28,2.43,2.18,2.21
235,2021-11-15,2.11,2.49,2.11,2.3001
234,2021-11-12,2.16,2.2094,2.1,2.155
233,2021-11-11,2.39,2.39,2.1,2.16
232,2021-11-10,2.45,2.6,2.2,2.27
231,2021-11-09,2.57,2.659,2.27,2.56
230,2021-11-08,2.7,2.89,2.45,2.45
229,2021-11-05,2.77,3.24,2.5,2.66
228,2021-11-04,2.03,3.16,1.84,2.79
227,2021-11-03,1.93,2.26,1.93,2.03
226,2021-11-02,2.19,2.19,1.93,1.98
225,2021-11-01,2.22,2.55,2.19,2.24
224,2021-10-29,2.16,2.2399,2.03,2.209
223,2021-10-28,2.32,2.7,2.18,2.338
222,2021-10-27,3.03,3.05,2.33,2.33
221,2021-10-26,3.43,4.4,2.03,2.44
220,2021-10-25,1.81,2.46,1.4,1.66
219,2021-10-22,1.3,1.49,1.1501,1.25
218,2021-10-21,1.0,1.82,0.9,1.44
217,2021-10-20,0.9,0.95,0.87,0.94
216,2021-10-19,0.8501,0.8899,0.8157,0.85
215,2021-10-18,0.88,0.8802,0.8501,0.8597
214,2021-10-15,0.8799,0.88,0.855,0.861
213,2021-10-14,0.8612,0.8851,0.8501,0.8849
212,2021-10-13,0.9,0.9,0.8621,0.87
211,2021-10-12,0.899,0.9,0.857,0.8702
210,2021-10-11,0.85,0.86,0.843,0.8502
209,2021-10-08,0.9296,0.9296,0.85,0.9
208,2021-10-07,0.92,0.92,0.8285,0.89
207,2021-10-06,0.94,0.9401,0.89,0.8967
206,2021-10-05,0.9401,0.9401,0.88,0.89
205,2021-10-04,0.9201,0.9401,0.85,0.89
204,2021-10-01,0.95,0.95,0.853,0.91
203,2021-09-30,0.895,0.94,0.85,0.94
202,2021-09-29,0.88,0.89,0.85,0.87
201,2021-09-28,0.89,0.89,0.85,0.88
200,2021-09-27,0.89,0.89,0.831,0.89
199,2021-09-24,0.89,0.89,0.83,0.85
198,2021-09-23,0.8312,0.89,0.8312,0.89
197,2021-09-22,0.7701,0.83,0.7701,0.83
196,2021-09-21,0.74,0.77,0.73,0.77
195,2021-09-20,0.7001,0.77,0.7001,0.75
194,2021-09-17,0.6789,0.7874,0.6787,0.73
193,2021-09-16,0.65,0.6789,0.65,0.65
192,2021-09-15,0.6112,0.644,0.6112,0.6432
191,2021-09-14,0.61,0.62,0.61,0.611
190,2021-09-13,0.6105,0.6115,0.6104,0.6104
189,2021-09-10,0.61,0.669,0.61,0.62
188,2021-09-09,0.62,0.65,0.61,0.62
187,2021-09-08,0.5695,0.65,0.5601,0.65
186,2021-09-07,0.5998,0.6001,0.59,0.6001
185,2021-09-03,0.5502,0.5882,0.5501,0.56
184,2021-09-02,0.58,0.5812,0.5603,0.561
183,2021-09-01,0.64,0.64,0.562,0.58
182,2021-08-31,0.551,0.5999,0.551,0.5998
181,2021-08-30,0.5603,0.6,0.5603,0.6
180,2021-08-27,0.6,0.61,0.5998,0.6
179,2021-08-26,0.65,0.67,0.6,0.61
178,2021-08-25,0.5699,0.61,0.5677,0.6
177,2021-08-24,0.6,0.6,0.5612,0.5765
176,2021-08-23,0.6,0.6229,0.5758,0.6
175,2021-08-20,0.5803,0.6,0.57,0.6
174,2021-08-19,0.6201,0.6802,0.6199,0.6202
173,2021-08-18,0.651,0.6899,0.6212,0.6501
172,2021-08-17,0.651,0.6999,0.65,0.651
171,2021-08-16,0.661,0.715,0.651,0.651
170,2021-08-13,0.66,0.6945,0.66,0.661
169,2021-08-12,0.68,0.7049,0.62,0.68
168,2021-08-11,0.7018,0.7018,0.6801,0.6901
167,2021-08-10,0.736,0.7398,0.65,0.6601
166,2021-08-09,0.73,0.8,0.73,0.8
165,2021-08-06,0.76,0.7877,0.76,0.7877
164,2021-08-05,0.7617,0.7768,0.7609,0.761
163,2021-08-04,0.815,0.815,0.79,0.79
162,2021-08-03,0.8226,0.8226,0.804,0.804
161,2021-08-02,0.7825,0.875,0.782,0.85
160,2021-07-30,0.85,0.85,0.85,0.85
159,2021-07-29,0.85,0.8725,0.85,0.8603
158,2021-07-28,0.86,0.86,0.86,0.86
157,2021-07-27,0.841,0.87,0.83,0.86
156,2021-07-26,0.8489,0.8489,0.8444,0.8445
155,2021-07-23,0.852,0.852,0.852,0.852
154,2021-07-22,0.855,0.859,0.8299,0.852
153,2021-07-21,0.8649,0.8649,0.8099,0.8351
152,2021-07-20,0.8207,0.87,0.8207,0.8649
151,2021-07-19,0.8405,0.858,0.8055,0.8055
150,2021-07-16,0.8799,0.8799,0.8304,0.878
149,2021-07-15,0.9,0.9,0.8301,0.8799
148,2021-07-14,0.8851,0.9,0.8751,0.885
147,2021-07-13,0.8451,0.9,0.8451,0.9
146,2021-07-12,0.88,0.88,0.8404,0.8404
145,2021-07-09,0.855,0.859,0.835,0.8499
144,2021-07-08,0.85,0.875,0.84,0.855
143,2021-07-07,0.8499,0.8505,0.831,0.8499
142,2021-07-06,0.86,0.8602,0.82,0.8553
141,2021-07-02,0.86,0.88,0.85,0.88
140,2021-07-01,0.86,0.86,0.8201,0.86
139,2021-06-30,0.86,0.86,0.83,0.86
138,2021-06-29,0.88,0.88,0.8501,0.86
137,2021-06-28,0.8894,0.8898,0.822,0.88
136,2021-06-25,0.9,0.9,0.85,0.8894
135,2021-06-24,0.9,0.9,0.85,0.89
134,2021-06-23,0.89,0.89,0.805,0.85
133,2021-06-22,0.85,0.85,0.7903,0.836
132,2021-06-21,0.825,0.825,0.787,0.8
131,2021-06-18,0.89,0.89,0.82,0.85
130,2021-06-17,0.9,0.9,0.831,0.8899
129,2021-06-16,0.8103,0.8389,0.791,0.829
128,2021-06-15,0.9,0.9,0.7814,0.81
127,2021-06-14,0.9,0.9,0.7712,0.9
126,2021-06-11,0.87,0.93,0.84,0.84
125,2021-06-10,0.7898,0.83,0.77,0.83
124,2021-06-09,0.7501,0.7698,0.72,0.7599
123,2021-06-08,0.7399,0.74,0.7,0.703
122,2021-06-07,0.7399,0.7399,0.72,0.73
121,2021-06-04,0.72,0.73,0.72,0.73
120,2021-06-03,0.695,0.74,0.695,0.72
119,2021-06-02,0.7,0.7201,0.69,0.69
118,2021-06-01,0.732,0.732,0.66,0.6801
117,2021-05-28,0.652,0.7,0.652,0.68
116,2021-05-27,0.7079,0.7079,0.65,0.68
115,2021-05-26,0.6851,0.71,0.6851,0.7
114,2021-05-25,0.75,0.75,0.6777,0.7
113,2021-05-24,0.72,0.73,0.6999,0.7
112,2021-05-21,0.69,0.72,0.66,0.7
111,2021-05-20,0.611,0.698,0.611,0.6455
110,2021-05-19,0.649,0.7,0.63,0.636
109,2021-05-18,0.68,0.7,0.6524,0.678
108,2021-05-17,0.701,0.7448,0.66,0.69
107,2021-05-14,0.6097,0.644,0.6097,0.644
106,2021-05-13,0.5927,0.6199,0.576,0.6042
105,2021-05-12,0.5601,0.6399,0.56,0.5798
104,2021-05-11,0.6438,0.6438,0.615,0.615
103,2021-05-10,0.6001,0.6399,0.57,0.6399
102,2021-05-07,0.62,0.644,0.5601,0.63
101,2021-05-06,0.5802,0.6299,0.5802,0.6299
100,2021-05-05,0.6164,0.6164,0.6164,0.6164
99,2021-05-04,0.6052,0.63,0.57,0.6164
98,2021-05-03,0.6052,0.644,0.5701,0.59
97,2021-04-30,0.6052,0.6434,0.5701,0.6052
96,2021-04-29,0.6,0.6282,0.5999,0.6
95,2021-04-28,0.6244,0.6398,0.615,0.615
94,2021-04-27,0.58,0.6399,0.58,0.6399
93,2021-04-26,0.6399,0.64,0.6199,0.62
92,2021-04-23,0.5699,0.62,0.5699,0.62
91,2021-04-22,0.6198,0.6198,0.6198,0.6198
90,2021-04-21,0.575,0.6198,0.575,0.6198
89,2021-04-20,0.6021,0.6599,0.5629,0.62
88,2021-04-19,0.6201,0.66,0.62,0.66
87,2021-04-16,0.6501,0.69,0.625,0.6896
86,2021-04-15,0.67,0.74,0.5951,0.7155
85,2021-04-14,0.7362,0.7599,0.65,0.7249
84,2021-04-13,0.7,0.7299,0.7,0.7299
83,2021-04-12,0.72,0.7699,0.66,0.7399
82,2021-04-09,0.7005,0.72,0.7,0.72
81,2021-04-08,0.6,0.73,0.6,0.72
80,2021-04-07,0.61,0.64,0.59,0.6325
79,2021-04-06,0.6195,0.69,0.5781,0.68
78,2021-04-05,0.69,0.69,0.562,0.65
77,2021-04-01,0.6,0.8,0.5062,0.6703
76,2021-03-31,0.5827,0.6214,0.51,0.55
75,2021-03-30,0.6501,0.6501,0.4831,0.5751
74,2021-03-29,0.69,0.84,0.67,0.7
73,2021-03-26,0.61,0.693,0.61,0.693
72,2021-03-25,0.61,0.68,0.6,0.657
71,2021-03-24,0.67,0.67,0.61,0.63
70,2021-03-23,0.85,0.85,0.7,0.7
69,2021-03-22,0.85,0.85,0.73,0.7355
68,2021-03-19,0.765,0.81,0.7571,0.8
67,2021-03-18,0.79,0.79,0.73,0.74
66,2021-03-17,0.755,0.8099,0.7211,0.7904
65,2021-03-16,0.835,0.835,0.721,0.7584
64,2021-03-15,0.85,0.85,0.75,0.7999
63,2021-03-12,0.7801,0.85,0.7801,0.825
62,2021-03-11,0.89,0.89,0.77,0.85
61,2021-03-10,0.8,0.864,0.77,0.864
60,2021-03-09,0.9,0.92,0.7601,0.8
59,2021-03-08,0.89,0.9637,0.76,0.795
58,2021-03-05,0.78,0.925,0.73,0.865
57,2021-03-04,0.8,0.88,0.67,0.67
56,2021-03-03,1.0,1.0,0.8,0.8521
55,2021-03-02,0.95,1.02,0.9,0.93
54,2021-03-01,1.02,1.09,0.98,0.99
53,2021-02-26,1.05,1.077,0.92,1.03
52,2021-02-25,1.1499,1.1499,1.01,1.04
51,2021-02-24,1.21,1.21,1.11,1.14
50,2021-02-23,1.19,1.245,1.115,1.2
49,2021-02-22,1.1653,1.335,1.15,1.28
48,2021-02-19,1.23,1.23,1.16,1.21
47,2021-02-18,1.2,1.2201,1.15,1.19
46,2021-02-17,1.165,1.18,1.155,1.1658
45,2021-02-16,1.24,1.24,1.1,1.1199
44,2021-02-12,1.24,1.24,1.16,1.2001
43,2021-02-11,1.21,1.2499,1.15,1.23
42,2021-02-10,1.1999,1.25,1.13,1.1701
41,2021-02-09,1.1301,1.2,1.13,1.16
40,2021-02-08,1.15,1.24,1.13,1.17
39,2021-02-05,1.2,1.2,1.12,1.14
38,2021-02-04,1.16,1.2,1.11,1.15
37,2021-02-03,1.1156,1.2,1.06,1.1995
36,2021-02-02,1.07,1.1701,1.05,1.11
35,2021-02-01,1.0,1.07,1.0,1.05
34,2021-01-29,0.98,1.0,0.9773,0.98
33,2021-01-28,1.0,1.05,0.97,1.0
32,2021-01-27,1.11,1.1102,0.921,0.9999
31,2021-01-26,1.19,1.19,1.1,1.12
30,2021-01-25,1.2,1.25,1.15,1.16
29,2021-01-22,1.13,1.18,1.12,1.18
28,2021-01-21,1.12,1.18,1.07,1.18
27,2021-01-20,1.15,1.16,1.05,1.12
26,2021-01-19,1.15,1.15,1.08,1.15
25,2021-01-15,1.18,1.24,1.0599,1.0998
24,2021-01-14,1.1429,1.15,1.06,1.06
23,2021-01-13,1.09,1.13,1.075,1.12
22,2021-01-12,0.9901,1.1,0.9901,1.08
21,2021-01-11,0.97,1.0,0.9499,0.95
20,2021-01-08,1.03,1.04,0.9,0.99
19,2021-01-07,1.0,1.03,0.97,1.02
18,2021-01-06,1.01,1.03,1.0,1.01
17,2021-01-05,1.0,1.04,0.96,0.98
16,2021-01-04,0.9501,1.02,0.95,1.02
15,2020-12-31,1.01,1.05,0.994,1.0179
14,2020-12-30,1.05,1.05,0.95,0.99
13,2020-12-29,1.1,1.1,1.02,1.05
12,2020-12-28,1.15,1.1737,1.03,1.03
11,2020-12-24,0.95,1.2,0.941,1.0
10,2020-12-23,0.85,1.0,0.85,0.98
9,2020-12-22,0.85,0.85,0.82,0.83
8,2020-12-21,0.875,0.875,0.79,0.82
7,2020-12-18,0.85,0.85,0.8199,0.85
6,2020-12-17,0.83,0.85,0.82,0.85
5,2020-12-16,0.85,0.85,0.8,0.8225
4,2020-12-15,1.0,1.0,0.81,0.81
3,2020-12-14,0.9005,0.9005,0.7701,0.7701
2,2020-12-11,0.9005,1.06,0.845,0.845
1,2020-12-10,0.8,1.25,0.8,0.9
0,2020-12-09,1.0,1.0,0.8,0.8035
