,Date,Open,High,Low,Close
1140,2021-12-31,1.92,2.0149,1.88,1.88
1139,2021-12-30,1.89,2.04,1.89,1.95
1138,2021-12-29,2.04,2.05,1.91,1.92
1137,2021-12-28,2.13,2.18,1.97,2.0
1136,2021-12-27,2.24,2.24,2.1,2.13
1135,2021-12-23,2.15,2.31,2.1401,2.2
1134,2021-12-22,2.07,2.26,2.07,2.17
1133,2021-12-21,2.12,2.24,2.03,2.11
1132,2021-12-20,2.0738,2.13,2.03,2.08
1131,2021-12-17,2.09,2.1799,2.02,2.13
1130,2021-12-16,2.17,2.2196,2.08,2.13
1129,2021-12-15,2.16,2.22,1.96,2.17
1128,2021-12-14,2.29,2.29,2.15,2.17
1127,2021-12-13,2.23,2.369,2.1401,2.3
1126,2021-12-10,2.25,2.3266,2.1801,2.23
1125,2021-12-09,2.33,2.38,2.13,2.25
1124,2021-12-08,2.39,2.4473,2.26,2.38
1123,2021-12-07,2.16,2.45,2.1201,2.36
1122,2021-12-06,2.07,2.3,1.88,2.27
1121,2021-12-03,2.24,2.24,2.03,2.1
1120,2021-12-02,2.06,2.24,1.98,2.19
1119,2021-12-01,2.13,2.14,1.93,2.02
1118,2021-11-30,2.2,2.29,1.98,2.11
1117,2021-11-29,2.3,2.335,2.1489,2.2
1116,2021-11-26,2.23,2.47,2.19,2.3
1115,2021-11-24,2.35,2.38,2.25,2.34
1114,2021-11-23,2.27,2.38,2.22,2.35
1113,2021-11-22,2.4,2.437,2.22,2.31
1112,2021-11-19,2.4,2.4354,2.35,2.42
1111,2021-11-18,2.52,2.5399,2.36,2.45
1110,2021-11-17,2.46,2.82,2.45,2.53
1109,2021-11-16,2.69,2.6938,2.45,2.5
1108,2021-11-15,2.85,2.85,2.69,2.71
1107,2021-11-12,2.85,2.95,2.7495,2.79
1106,2021-11-11,2.9,2.97,2.79,2.85
1105,2021-11-10,3.02,3.0663,2.845,2.88
1104,2021-11-09,3.19,3.24,3.0,3.04
1103,2021-11-08,3.052,3.47,3.0219,3.21
1102,2021-11-05,3.03,3.0899,2.96,3.0
1101,2021-11-04,3.08,3.18,2.99,3.05
1100,2021-11-03,3.14,3.24,3.08,3.11
1099,2021-11-02,3.21,3.28,3.06,3.17
1098,2021-11-01,3.0,3.32,2.95,3.22
1097,2021-10-29,2.99,3.2,2.86,3.03
1096,2021-10-28,3.29,3.32,2.9,3.04
1095,2021-10-27,3.3437,3.375,3.1548,3.19
1094,2021-10-26,3.82,3.96,3.24,3.35
1093,2021-10-25,4.121,4.1948,3.55,3.65
1092,2021-10-22,3.33,4.8,3.16,4.8
1091,2021-10-21,3.17,3.5783,3.17,3.37
1090,2021-10-20,3.24,3.25,3.15,3.17
1089,2021-10-19,3.25,3.25,3.18,3.21
1088,2021-10-18,3.18,3.2554,3.155,3.25
1087,2021-10-15,3.29,3.29,3.13,3.18
1086,2021-10-14,3.2,3.2605,3.16,3.17
1085,2021-10-13,3.25,3.31,3.15,3.23
1084,2021-10-12,3.16,3.28,3.141,3.28
1083,2021-10-11,3.19,3.28,3.1,3.13
1082,2021-10-08,3.26,3.32,3.15,3.25
1081,2021-10-07,3.25,3.3408,3.15,3.3
1080,2021-10-06,3.17,3.28,3.1272,3.23
1079,2021-10-05,3.24,3.4,3.15,3.2
1078,2021-10-04,3.32,3.37,3.2,3.22
1077,2021-10-01,3.28,3.44,3.25,3.38
1076,2021-09-30,3.21,3.29,3.16,3.27
1075,2021-09-29,3.37,3.4328,3.2,3.21
1074,2021-09-28,3.51,3.51,3.35,3.38
1073,2021-09-27,3.61,3.6575,3.5,3.56
1072,2021-09-24,3.8319,3.8319,3.55,3.62
1071,2021-09-23,3.8805,3.8805,3.64,3.75
1070,2021-09-22,3.46,3.7799,3.31,3.67
1069,2021-09-21,3.42,3.5,3.35,3.48
1068,2021-09-20,3.7,3.82,3.31,3.35
1067,2021-09-17,3.71,3.88,3.68,3.88
1066,2021-09-16,3.78,3.8399,3.51,3.7
1065,2021-09-15,3.89,3.9895,3.7201,3.74
1064,2021-09-14,4.17,4.17,3.88,3.9378
1063,2021-09-13,4.08,4.1906,3.92,4.1
1062,2021-09-10,4.23,4.28,4.06,4.09
1061,2021-09-09,4.15,4.22,4.01,4.18
1060,2021-09-08,4.37,4.37,4.0,4.17
1059,2021-09-07,4.27,4.4899,4.26,4.43
1058,2021-09-03,4.2,4.28,4.06,4.26
1057,2021-09-02,4.13,4.2441,4.09,4.19
1056,2021-09-01,4.11,4.23,4.035,4.16
1055,2021-08-31,3.82,4.15,3.81,4.15
1054,2021-08-30,3.68,4.6,3.6,3.925
1053,2021-08-27,3.64,3.7399,3.5171,3.68
1052,2021-08-26,3.62,3.8,3.47,3.6
1051,2021-08-25,3.35,3.629,3.35,3.61
1050,2021-08-24,3.38,3.5741,3.29,3.35
1049,2021-08-23,3.3,3.5,3.3,3.41
1048,2021-08-20,3.25,3.35,3.17,3.27
1047,2021-08-19,3.3,3.3557,2.92,3.22
1046,2021-08-18,3.28,3.4882,3.23,3.37
1045,2021-08-17,3.46,3.549,3.2,3.34
1044,2021-08-16,3.4,3.5627,3.4,3.46
1043,2021-08-13,3.7,3.704,3.3701,3.47
1042,2021-08-12,3.83,3.96,3.66,3.68
1041,2021-08-11,3.96,4.01,3.7,3.81
1040,2021-08-10,3.9,4.0499,3.81,3.96
1039,2021-08-09,3.76,4.1199,3.76,3.83
1038,2021-08-06,3.88,3.88,3.7347,3.78
1037,2021-08-05,3.71,3.9,3.71,3.89
1036,2021-08-04,3.8361,3.9,3.57,3.75
1035,2021-08-03,4.1,4.19,3.71,3.85
1034,2021-08-02,4.25,4.275,4.07,4.09
1033,2021-07-30,4.26,4.48,4.2,4.31
1032,2021-07-29,4.27,4.405,4.25,4.35
1031,2021-07-28,4.18,4.5776,4.18,4.32
1030,2021-07-27,4.37,4.37,4.07,4.19
1029,2021-07-26,4.45,4.5372,4.3228,4.4
1028,2021-07-23,4.4,4.4832,4.27,4.43
1027,2021-07-22,4.71,4.75,4.3305,4.42
1026,2021-07-21,4.39,4.74,4.39,4.69
1025,2021-07-20,4.3,4.42,4.2,4.37
1024,2021-07-19,4.31,4.39,4.15,4.29
1023,2021-07-16,4.33,4.55,4.22,4.38
1022,2021-07-15,4.38,4.4137,4.0747,4.335
1021,2021-07-14,4.62,4.62,4.23,4.42
1020,2021-07-13,4.63,4.67,4.54,4.59
1019,2021-07-12,4.42,4.697,4.37,4.63
1018,2021-07-09,4.51,4.55,4.35,4.48
1017,2021-07-08,4.2,4.6235,4.15,4.49
1016,2021-07-07,5.1,5.1,4.16,4.35
1015,2021-07-06,5.25,5.28,4.85,5.0
1014,2021-07-02,5.41,5.4349,5.2592,5.31
1013,2021-07-01,5.47,5.58,5.23,5.48
1012,2021-06-30,5.31,5.63,5.1771,5.5
1011,2021-06-29,5.09,5.25,4.85,5.2
1010,2021-06-28,5.13,5.5917,4.92,5.03
1009,2021-06-25,5.21,5.2999,5.02,5.04
1008,2021-06-24,5.07,5.42,5.01,5.2
1007,2021-06-23,4.88,5.14,4.8032,5.07
1006,2021-06-22,4.9,4.91,4.67,4.91
1005,2021-06-21,4.93,4.99,4.5877,4.9
1004,2021-06-18,4.79,4.99,4.7093,4.93
1003,2021-06-17,4.92,4.93,4.7,4.8
1002,2021-06-16,4.62,4.9864,4.501,4.93
1001,2021-06-15,4.55,4.61,4.37,4.61
1000,2021-06-14,4.08,4.67,4.07,4.58
999,2021-06-11,4.27,4.3752,4.15,4.18
998,2021-06-10,4.38,4.5,4.14,4.265
997,2021-06-09,4.2,4.49,4.17,4.42
996,2021-06-08,3.78,4.29,3.75,4.11
995,2021-06-07,3.56,3.84,3.52,3.72
994,2021-06-04,3.61,3.7,3.4,3.5
993,2021-06-03,3.61,3.75,3.55,3.61
992,2021-06-02,3.51,3.65,3.45,3.6
991,2021-06-01,3.54,3.64,3.45,3.48
990,2021-05-28,3.68,3.7098,3.5301,3.55
989,2021-05-27,3.69,3.74,3.61,3.68
988,2021-05-26,3.53,3.71,3.5,3.69
987,2021-05-25,3.58,3.7,3.46,3.54
986,2021-05-24,3.75,3.79,3.55,3.6
985,2021-05-21,3.655,3.8,3.5,3.77
984,2021-05-20,3.25,3.55,3.185,3.55
983,2021-05-19,3.02,3.13,3.0,3.09
982,2021-05-18,3.18,3.25,3.04,3.14
981,2021-05-17,3.1,3.18,3.05,3.05
980,2021-05-14,3.02,3.18,3.0,3.07
979,2021-05-13,3.2,3.28,2.96,2.99
978,2021-05-12,3.12,3.2,3.0025,3.18
977,2021-05-11,3.05,3.14,2.94,3.14
976,2021-05-10,3.29,3.35,3.085,3.12
975,2021-05-07,3.17,3.87,3.1252,3.31
974,2021-05-06,3.34,3.36,3.05,3.13
973,2021-05-05,3.45,3.65,3.32,3.36
972,2021-05-04,3.43,3.5414,3.35,3.46
971,2021-05-03,3.69,3.715,3.46,3.5
970,2021-04-30,3.71,3.8,3.62,3.68
969,2021-04-29,3.93,3.94,3.6833,3.79
968,2021-04-28,3.7,3.99,3.645,3.87
967,2021-04-27,3.7,3.8799,3.63,3.72
966,2021-04-26,3.38,3.72,3.3335,3.7
965,2021-04-23,3.21,3.45,3.2,3.39
964,2021-04-22,3.33,3.51,3.17,3.22
963,2021-04-21,3.03,3.25,2.97,3.25
962,2021-04-20,3.22,3.72,3.0,3.1
961,2021-04-19,3.7,3.76,3.18,3.24
960,2021-04-16,3.93,4.11,3.6,3.77
959,2021-04-15,4.35,4.56,4.16,4.54
958,2021-04-14,4.25,4.44,4.13,4.27
957,2021-04-13,3.98,4.33,3.86,4.21
956,2021-04-12,4.1,4.1427,3.92,3.97
955,2021-04-09,4.45,4.5849,4.08,4.1
954,2021-04-08,4.31,4.4555,4.27,4.42
953,2021-04-07,4.58,4.67,4.22,4.23
952,2021-04-06,4.33,5.7399,4.3,4.73
951,2021-04-05,4.98,5.1,4.43,4.51
950,2021-04-01,4.7881,4.925,4.5787,4.86
949,2021-03-31,4.2,4.74,4.1,4.66
948,2021-03-30,3.9673,4.1061,3.92,4.08
947,2021-03-29,4.14,4.28,3.94,3.94
