,Date,Open,High,Low,Close
5578,2021-12-31,21.83,22.2399,21.76,21.94
5577,2021-12-30,22.07,22.1,21.6,21.93
5576,2021-12-29,21.87,22.15,21.87,22.1
5575,2021-12-28,22.11,22.31,21.84,22.03
5574,2021-12-27,21.83,22.48,21.83,22.4
5573,2021-12-23,21.6,21.8767,21.05,21.73
5572,2021-12-22,21.38,21.38,20.76,21.07
5571,2021-12-21,20.82,21.377,20.65,20.98
5570,2021-12-20,20.93,20.93,20.11,20.54
5569,2021-12-17,21.34,21.63,21.0,21.02
5568,2021-12-16,21.57,21.8899,20.6545,21.59
5567,2021-12-15,21.15,21.76,20.86,21.56
5566,2021-12-14,20.75,21.17,20.5,20.89
5565,2021-12-13,21.94,21.95,20.53,20.93
5564,2021-12-10,22.09,22.48,21.8,22.01
5563,2021-12-09,21.83,22.3,21.83,22.09
5562,2021-12-08,21.92,22.26,21.58,22.1
5561,2021-12-07,22.57,22.89,21.93,22.0
5560,2021-12-06,22.36,22.54,22.13,22.23
5559,2021-12-03,22.48,22.92,21.8,22.16
5558,2021-12-02,22.04,22.74,22.04,22.59
5557,2021-12-01,22.89,23.35,21.82,22.08
5556,2021-11-30,23.52,23.52,21.8901,22.36
5555,2021-11-29,23.3,23.5,22.88,22.94
5554,2021-11-26,23.92,23.92,22.95,23.26
5553,2021-11-24,23.8565,24.11,23.8565,24.11
5552,2021-11-23,24.205,24.435,23.54,24.17
5551,2021-11-22,24.95,25.14,24.12,24.28
5550,2021-11-19,25.14,25.15,24.75,24.84
5549,2021-11-18,25.335,25.445,25.05,25.24
5548,2021-11-17,25.79,25.79,25.08,25.39
5547,2021-11-16,25.3,26.26,25.3,25.95
5546,2021-11-15,25.23,25.7,25.205,25.5
5545,2021-11-12,25.2109,25.51,25.17,25.3
5544,2021-11-11,25.8,26.0,25.1,25.44
5543,2021-11-10,25.3,25.99,25.24,25.75
5542,2021-11-09,25.04,25.415,24.66,25.28
5541,2021-11-08,25.27,25.48,24.84,25.11
5540,2021-11-05,25.67,25.72,25.06,25.16
5539,2021-11-04,25.515,25.7,25.06,25.51
5538,2021-11-03,26.0,26.38,24.905,25.53
5537,2021-11-02,27.09,27.09,26.58,27.01
5536,2021-11-01,26.21,27.255,26.12,27.02
5535,2021-10-29,25.7,26.14,25.67,25.99
5534,2021-10-28,25.62,25.8,25.58,25.73
5533,2021-10-27,26.09,26.19,25.7,25.72
5532,2021-10-26,26.2,26.26,25.83,26.16
5531,2021-10-25,25.95,26.26,25.5,26.25
5530,2021-10-22,25.75,26.0,25.6,25.94
5529,2021-10-21,25.41,25.9117,25.41,25.75
5528,2021-10-20,24.93,25.7499,24.9265,25.56
5527,2021-10-19,24.57,24.89,24.5,24.78
5526,2021-10-18,24.5,24.74,24.31,24.64
5525,2021-10-15,24.91,24.95,24.46,24.47
5524,2021-10-14,24.51,24.9199,24.44,24.63
5523,2021-10-13,24.49,24.6294,24.1043,24.47
5522,2021-10-12,24.17,24.33,24.01,24.23
5521,2021-10-11,24.53,24.53,23.87,23.95
5520,2021-10-08,24.46,24.75,24.25,24.53
5519,2021-10-07,24.12,24.75,24.05,24.47
5518,2021-10-06,23.91,24.355,23.76,23.85
5517,2021-10-05,24.04,24.5,23.765,24.15
5516,2021-10-04,23.7,24.16,23.7,23.9
5515,2021-10-01,23.28,23.7,23.2,23.62
5514,2021-09-30,23.92,23.92,23.25,23.29
5513,2021-09-29,23.84,24.01,23.62,23.78
5512,2021-09-28,24.44,24.71,23.7146,23.86
5511,2021-09-27,24.09,24.63,23.9,24.42
5510,2021-09-24,24.1,24.13,23.9,23.96
5509,2021-09-23,24.08,24.59,23.52,24.01
5508,2021-09-22,23.83,24.235,23.74,24.09
5507,2021-09-21,24.03,24.4,23.63,23.7
5506,2021-09-20,24.31,24.47,23.71,23.81
5505,2021-09-17,24.12,24.65,24.12,24.51
5504,2021-09-16,24.02,24.5,23.83,24.04
5503,2021-09-15,24.0,24.39,23.92,24.04
5502,2021-09-14,24.16,24.43,23.82,23.96
5501,2021-09-13,24.12,24.23,23.76,24.08
5500,2021-09-10,24.6,24.7,23.8,23.86
5499,2021-09-09,24.1,24.55,23.98,24.28
5498,2021-09-08,23.9,24.11,23.88,24.11
5497,2021-09-07,23.99,24.43,23.85,24.03
5496,2021-09-03,24.03,24.21,23.91,24.09
5495,2021-09-02,24.07,24.25,23.74,24.21
5494,2021-09-01,23.96,24.174,23.78,24.05
5493,2021-08-31,23.7,24.25,23.57,23.84
5492,2021-08-30,23.38,23.73,23.38,23.67
5491,2021-08-27,23.11,23.58,23.11,23.43
5490,2021-08-26,23.52,23.52,22.845,22.94
5489,2021-08-25,22.98,23.74,22.7233,23.7
5488,2021-08-24,23.08,23.18,22.76,22.87
5487,2021-08-23,23.28,23.28,22.74,22.84
5486,2021-08-20,22.89,23.31,22.89,23.1
5485,2021-08-19,22.61,23.26,22.5485,23.01
5484,2021-08-18,23.11,23.52,22.77,22.89
5483,2021-08-17,23.67,23.67,22.785,23.15
5482,2021-08-16,24.66,24.66,23.82,24.0
5481,2021-08-13,25.09,25.22,24.53,24.65
5480,2021-08-12,24.96,25.3,24.6,25.09
5479,2021-08-11,24.62,25.02,24.28,24.95
5478,2021-08-10,24.42,24.9599,24.1357,24.61
5477,2021-08-09,24.1049,25.035,23.23,24.6
5476,2021-08-06,22.1,22.2,21.73,21.98
5475,2021-08-05,21.63,22.237,21.63,21.94
5474,2021-08-04,21.72,21.94,21.57,21.65
5473,2021-08-03,22.0,22.09,21.41,21.94
5472,2021-08-02,23.59,24.5,21.9601,22.04
5471,2021-07-30,23.54,23.8999,23.12,23.41
5470,2021-07-29,24.84,24.99,23.71,23.74
5469,2021-07-28,24.89,25.32,24.28,24.99
5468,2021-07-27,23.48,23.58,23.06,23.43
5467,2021-07-26,23.42,23.785,23.35,23.63
5466,2021-07-23,23.31,23.36,23.07,23.36
5465,2021-07-22,23.26,23.28,22.89,23.18
5464,2021-07-21,22.79,23.49,22.7848,23.39
5463,2021-07-20,22.51,22.855,22.48,22.59
5462,2021-07-19,22.18,22.36,21.88,22.12
5461,2021-07-16,22.83,22.9457,22.45,22.54
5460,2021-07-15,22.945,22.945,22.5,22.65
5459,2021-07-14,22.88,22.9499,22.61,22.71
5458,2021-07-13,22.58,22.87,22.58,22.72
5457,2021-07-12,22.83,22.98,22.7187,22.79
5456,2021-07-09,22.95,23.11,22.83,23.01
5455,2021-07-08,22.6,22.86,22.11,22.72
5454,2021-07-07,23.55,23.7521,22.82,23.02
5453,2021-07-06,24.17,24.17,23.3,23.74
5452,2021-07-02,24.25,24.316,24.06,24.11
5451,2021-07-01,24.05,24.37,24.0,24.31
5450,2021-06-30,23.72,24.1,23.72,23.91
5449,2021-06-29,23.82,23.97,23.62,23.77
5448,2021-06-28,23.47,23.989,23.25,23.73
5447,2021-06-25,24.22,24.4,23.29,23.47
5446,2021-06-24,24.0,24.355,24.0,24.22
5445,2021-06-23,24.24,24.44,23.91,24.0
5444,2021-06-22,24.28,24.39,24.05,24.19
5443,2021-06-21,23.64,24.78,23.23,24.26
5442,2021-06-18,24.59,24.79,23.51,23.56
5441,2021-06-17,25.1,25.22,24.8,24.97
5440,2021-06-16,25.44,25.44,25.06,25.15
5439,2021-06-15,25.08,25.76,25.0,25.4
5438,2021-06-14,25.24,25.24,24.85,25.12
5437,2021-06-11,25.06,25.2,24.855,25.1
5436,2021-06-10,25.17,25.26,24.95,25.07
5435,2021-06-09,25.04,25.13,24.88,25.07
5434,2021-06-08,25.23,25.31,24.95,25.13
5433,2021-06-07,25.05,25.4,24.94,25.18
5432,2021-06-04,25.13,25.27,24.63,24.95
5431,2021-06-03,25.71,25.8227,25.04,25.16
5430,2021-06-02,25.89,26.0987,25.515,25.74
5429,2021-06-01,25.73,26.2023,25.71,25.97
5428,2021-05-28,25.77,25.77,25.2201,25.53
5427,2021-05-27,25.72,25.94,25.23,25.61
5426,2021-05-26,25.14,25.9,25.12,25.65
5425,2021-05-25,25.68,25.68,25.0,25.0
5424,2021-05-24,25.76,25.98,25.35,25.56
5423,2021-05-21,25.94,25.96,25.4701,25.79
5422,2021-05-20,25.86,25.96,25.35,25.72
5421,2021-05-19,25.65,25.93,25.15,25.78
5420,2021-05-18,26.41,26.41,25.79,25.9
5419,2021-05-17,26.05,26.4699,26.012,26.32
5418,2021-05-14,25.89,26.15,25.86,26.13
5417,2021-05-13,25.55,26.11,25.3,25.79
5416,2021-05-12,25.63,26.14,24.94,25.36
5415,2021-05-11,24.8,26.05,24.51,25.91
