,Date,Open,High,Low,Close
5237,2021-12-31,157.14,158.73,154.03,154.6
5236,2021-12-30,159.0,161.0,156.75,157.19
5235,2021-12-29,158.12,159.96,157.08,158.92
5234,2021-12-28,157.11,160.39,156.41,157.66
5233,2021-12-27,158.37,159.365,156.12,157.67
5232,2021-12-23,157.02,159.96,155.75,158.54
5231,2021-12-22,156.02,157.195,154.665,156.78
5230,2021-12-21,155.72,158.54,154.98,156.67
5229,2021-12-20,149.85,155.71,148.7165,154.76
5228,2021-12-17,147.47,153.24,146.52,150.15
5227,2021-12-16,150.95,152.73,147.54,148.67
5226,2021-12-15,144.18,150.87,143.44,150.08
5225,2021-12-14,143.37,148.0,142.85,144.46
5224,2021-12-13,142.4,146.035,141.2375,144.17
5223,2021-12-10,144.22,145.52,141.6317,142.57
5222,2021-12-09,148.97,153.14,144.94,144.96
5221,2021-12-08,147.28,150.73,144.19,149.55
5220,2021-12-07,147.57,151.5,145.99,146.44
5219,2021-12-06,150.21,150.74,145.85,146.01
5218,2021-12-03,158.65,159.5175,148.04,150.74
5217,2021-12-02,158.25,161.1136,157.0901,158.67
5216,2021-12-01,160.37,162.177,158.24,158.25
5215,2021-11-30,165.06,166.95,159.09,160.0
5214,2021-11-29,170.9,171.895,164.82,165.31
5213,2021-11-26,176.63,178.89,169.055,169.5
5212,2021-11-24,173.0,174.05,167.01,173.2
5211,2021-11-23,175.35,175.92,171.01,173.82
5210,2021-11-22,182.31,182.8,175.38,176.12
5209,2021-11-19,184.95,187.35,181.293,183.62
5208,2021-11-18,183.79,186.52,181.535,184.21
5207,2021-11-17,183.14,184.94,181.11,183.83
5206,2021-11-16,182.1,182.47,176.875,182.41
5205,2021-11-15,178.07,186.37,177.72,182.68
5204,2021-11-12,178.14,179.32,174.505,179.01
5203,2021-11-11,179.84,179.84,175.93,177.38
5202,2021-11-10,184.16,187.65,179.89,180.5
5201,2021-11-09,190.66,190.685,185.42,185.86
5200,2021-11-08,190.16,192.7867,187.74,190.36
5199,2021-11-05,188.26,190.99,185.4,190.86
5198,2021-11-04,186.67,189.59,184.81,189.15
5197,2021-11-03,180.43,186.98,179.68,186.71
5196,2021-11-02,178.6,180.82,175.9519,180.49
5195,2021-11-01,174.44,179.66,172.5,178.61
5194,2021-10-29,180.0,181.46,171.41,176.33
5193,2021-10-28,173.56,179.73,173.17,177.79
5192,2021-10-27,179.34,179.34,174.27,174.61
5191,2021-10-26,175.29,179.35,174.13,177.7
5190,2021-10-25,171.27,176.4,169.81,175.52
5189,2021-10-22,174.47,175.0,170.79,171.43
5188,2021-10-21,176.1,176.1,171.59,173.9
5187,2021-10-20,175.12,176.0,173.38,174.85
5186,2021-10-19,172.54,174.48,169.645,174.19
5185,2021-10-18,172.97,174.08,169.08,171.97
5184,2021-10-15,170.6,174.97,168.06,172.73
5183,2021-10-14,169.67,172.09,168.17,170.19
5182,2021-10-13,165.77,169.05,165.77,167.86
5181,2021-10-12,162.5,166.185,161.55,164.69
5180,2021-10-11,162.14,164.41,161.0,162.15
5179,2021-10-08,161.78,162.33,158.87,161.86
5178,2021-10-07,165.77,166.0,161.84,162.21
5177,2021-10-06,172.37,172.95,164.98,165.76
5176,2021-10-05,172.8,177.75,172.25,172.69
5175,2021-10-04,172.74,176.29,171.09,173.18
5174,2021-10-01,169.98,174.93,166.5,173.21
5173,2021-09-30,165.53,171.87,164.89,169.8
5172,2021-09-29,163.26,167.14,161.78,164.25
5171,2021-09-28,160.22,162.26,156.965,161.4
5170,2021-09-27,160.98,162.8,159.09,162.51
5169,2021-09-24,165.14,165.935,159.95,161.34
5168,2021-09-23,168.98,170.53,165.48,166.22
5167,2021-09-22,165.01,169.85,162.92,169.16
5166,2021-09-21,159.48,170.88,159.48,165.01
5165,2021-09-20,154.82,160.155,154.82,159.06
