,Date,Open,High,Low,Close
1160,2021-12-31,70.88,72.0,70.75,70.99
1159,2021-12-30,71.67,72.41,69.94,70.7
1158,2021-12-29,70.58,72.155,69.83,71.52
1157,2021-12-28,72.27,72.42,69.36,70.36
1156,2021-12-27,68.0,71.51,67.6,71.44
1155,2021-12-23,65.58,67.86,65.17,66.73
1154,2021-12-22,62.66,65.3,62.47,65.29
1153,2021-12-21,62.14,63.0662,61.1,63.0
1152,2021-12-20,57.74,61.03,57.2,60.72
1151,2021-12-17,57.32,60.4718,57.295,58.88
1150,2021-12-16,61.0,62.0381,57.5924,58.55
1149,2021-12-15,58.09,59.92,55.65,59.9
1148,2021-12-14,58.77,59.175,57.111,58.47
1147,2021-12-13,61.65,61.7,59.54,59.66
1146,2021-12-10,62.5,62.5,59.48,61.15
1145,2021-12-09,62.32,63.355,61.3301,61.49
1144,2021-12-08,62.09,63.6,60.73,62.94
1143,2021-12-07,60.0,62.75,59.89,62.19
1142,2021-12-06,58.52,58.7,55.01,58.1
1141,2021-12-03,59.68,63.15,56.75,57.89
1140,2021-12-02,58.3,59.155,56.18,58.6
1139,2021-12-01,58.19,60.6,58.01,58.4
1138,2021-11-30,57.75,58.58,55.82,57.02
1137,2021-11-29,59.45,59.755,57.57,58.29
1136,2021-11-26,58.27,59.39,55.22,57.67
1135,2021-11-24,58.4935,60.41,57.08,60.34
1134,2021-11-23,57.39,59.515,55.66,58.51
1133,2021-11-22,58.31,59.86,56.99,57.48
1132,2021-11-19,58.42,59.65,57.98,58.07
1131,2021-11-18,58.63,60.09,57.6,58.41
1130,2021-11-17,59.57,59.57,57.81,58.18
1129,2021-11-16,58.19,59.9,57.52,59.54
1128,2021-11-15,60.51,60.62,58.19,58.36
1127,2021-11-12,60.3,60.749,59.21,59.86
1126,2021-11-11,58.4,60.33,58.2,60.03
1125,2021-11-10,59.4,60.04,57.31,57.41
1124,2021-11-09,58.51,59.68,57.28,59.21
1123,2021-11-08,58.87,59.44,57.84,58.24
1122,2021-11-05,56.82,59.56,56.61,58.02
1121,2021-11-04,56.22,57.29,55.62,56.42
1120,2021-11-03,55.33,56.64,55.04,56.22
1119,2021-11-02,55.76,56.14,54.71,55.69
1118,2021-11-01,53.59,56.09,53.34,55.7
1117,2021-10-29,53.0,53.76,52.24,53.46
1116,2021-10-28,51.46,53.66,51.09,53.63
1115,2021-10-27,50.77,51.2,50.02,50.68
1114,2021-10-26,51.86,52.17,50.31,50.99
1113,2021-10-25,50.5,52.48,50.02,51.48
1112,2021-10-22,50.01,51.3,49.55,49.86
1111,2021-10-21,50.1,50.75,49.24,50.31
1110,2021-10-20,51.25,52.1038,50.52,50.59
1109,2021-10-19,51.48,52.63,50.68,51.94
1108,2021-10-18,53.12,53.52,50.895,50.97
1107,2021-10-15,54.09,54.19,53.22,53.53
1106,2021-10-14,52.48,54.2483,51.4901,53.9
1105,2021-10-13,49.705,52.3706,45.49,51.72
1104,2021-10-12,43.75,44.6,42.42,43.81
1103,2021-10-11,43.75,44.81,43.45,43.47
1102,2021-10-08,45.41,45.82,43.27,44.07
1101,2021-10-07,43.99,45.2,43.99,44.71
1100,2021-10-06,43.0,43.78,42.43,43.37
1099,2021-10-05,44.35,44.775,43.44,43.76
1098,2021-10-04,44.78,44.88,43.73,44.08
1097,2021-10-01,44.71,45.49,43.965,45.28
1096,2021-09-30,45.36,46.0,44.35,44.5
1095,2021-09-29,46.67,46.68,44.62,44.95
1094,2021-09-28,47.71,48.26,46.54,46.62
1093,2021-09-27,48.03,49.49,47.62,48.92
1092,2021-09-24,48.91,49.17,48.27,48.6
1091,2021-09-23,48.99,50.05,48.85,49.37
1090,2021-09-22,48.91,49.4781,48.51,48.86
1089,2021-09-21,48.54,48.99,47.53,48.51
1088,2021-09-20,47.31,48.0,45.95,47.97
1087,2021-09-17,49.9,50.25,48.77,48.78
1086,2021-09-16,49.18,50.3,48.73,49.83
1085,2021-09-15,48.99,49.9,48.3222,49.68
1084,2021-09-14,49.35,50.075,48.785,48.95
1083,2021-09-13,48.4,50.22,48.36,49.14
1082,2021-09-10,48.49,49.77,48.0589,48.4
1081,2021-09-09,47.08,49.11,46.69,48.23
1080,2021-09-08,49.4,49.4,46.63,47.1
1079,2021-09-07,48.1,50.25,48.095,49.81
1078,2021-09-03,47.52,48.32,47.37,47.87
1077,2021-09-02,48.47,48.755,47.71,47.74
1076,2021-09-01,48.65,48.95,47.81,48.38
1075,2021-08-31,48.07,48.83,47.4301,48.46
1074,2021-08-30,48.1,48.77,47.1,48.02
1073,2021-08-27,45.79,47.84,45.42,47.69
1072,2021-08-26,45.27,45.86,44.755,45.67
1071,2021-08-25,44.06,46.19,43.975,45.35
1070,2021-08-24,43.45,44.29,43.12,43.93
1069,2021-08-23,42.94,43.62,42.2,43.38
1068,2021-08-20,41.86,42.63,41.42,42.62
1067,2021-08-19,42.16,42.36,40.72,41.77
1066,2021-08-18,42.18,43.03,41.6605,42.27
1065,2021-08-17,43.06,43.06,41.71,42.43
1064,2021-08-16,43.61,44.14,43.24,43.59
1063,2021-08-13,44.29,45.21,44.005,44.41
1062,2021-08-12,46.74,46.85,44.13,44.44
1061,2021-08-11,48.91,48.91,46.09,47.38
1060,2021-08-10,49.96,50.0,47.77,48.88
1059,2021-08-09,50.25,50.755,49.27,50.12
1058,2021-08-06,49.12,50.31,48.8546,50.1
1057,2021-08-05,49.03,49.69,48.67,49.15
1056,2021-08-04,48.61,49.63,48.41,48.85
1055,2021-08-03,48.43,48.89,47.39,48.66
1054,2021-08-02,47.27,48.48,46.87,48.09
1053,2021-07-30,45.67,46.93,45.48,46.84
1052,2021-07-29,46.5,46.71,45.4,46.33
1051,2021-07-28,45.0,46.4,44.56,45.85
1050,2021-07-27,45.43,45.9997,43.21,44.93
1049,2021-07-26,44.5,47.11,43.191,46.27
1048,2021-07-23,47.38,47.78,46.0679,47.07
1047,2021-07-22,48.3,48.4,46.14,46.94
1046,2021-07-21,47.0,49.015,46.86,48.55
1045,2021-07-20,48.12,48.12,46.3644,46.91
1044,2021-07-19,48.63,49.4,47.17,48.16
1043,2021-07-16,53.55,53.81,49.74,49.9
1042,2021-07-15,55.0,55.0,52.13,53.42
1041,2021-07-14,54.0,55.83,53.94,55.08
1040,2021-07-13,52.5,53.86,52.34,53.69
1039,2021-07-12,51.11,53.35,51.03,52.79
1038,2021-07-09,50.32,51.05,49.61,50.99
1037,2021-07-08,54.26,55.66,52.67,53.31
1036,2021-07-07,51.13,58.39,51.05,56.02
1035,2021-07-06,49.0,49.3314,46.45,47.55
1034,2021-07-02,47.71,48.2,47.14,48.1
1033,2021-07-01,47.78,48.15,47.0,47.19
1032,2021-06-30,47.83,47.83,47.04,47.68
1031,2021-06-29,47.61,48.1,47.0916,47.85
1030,2021-06-28,46.65,47.71,46.65,47.57
1029,2021-06-25,46.18,46.83,46.16,46.31
1028,2021-06-24,45.28,46.07,45.02,45.86
1027,2021-06-23,44.62,45.18,44.335,44.71
1026,2021-06-22,43.79,44.52,43.12,44.49
1025,2021-06-21,44.15,44.63,43.61,43.82
1024,2021-06-18,45.57,45.57,42.99,44.11
1023,2021-06-17,47.43,47.825,46.02,46.09
1022,2021-06-16,47.61,47.8,46.93,47.57
1021,2021-06-15,48.02,48.3,47.43,47.66
1020,2021-06-14,47.64,48.45,47.19,48.09
1019,2021-06-11,46.28,47.59,45.97,47.46
1018,2021-06-10,46.32,46.6,45.49,46.01
1017,2021-06-09,46.73,46.97,45.79,46.06
1016,2021-06-08,47.75,47.85,46.27,46.61
1015,2021-06-07,47.67,47.92,46.73,47.4
1014,2021-06-04,46.26,48.16,45.55,47.79
1013,2021-06-03,46.37,46.37,45.61,45.83
1012,2021-06-02,47.2,47.35,46.22,46.65
1011,2021-06-01,48.0,48.24,46.79,47.24
1010,2021-05-28,47.19,47.59,46.92,47.4
1009,2021-05-27,46.09,47.33,46.01,46.93
1008,2021-05-26,45.4,46.2,44.73,45.87
1007,2021-05-25,46.3,47.15,45.13,45.16
1006,2021-05-24,45.75,46.5908,45.75,46.08
1005,2021-05-21,46.05,46.25,45.38,45.52
