,Date,Open,High,Low,Close
887,2021-12-31,0.0406,0.055,0.02,0.0384
886,2021-12-30,0.053,0.053,0.0405,0.0405
885,2021-12-29,0.0459,0.0549,0.0458,0.0549
884,2021-12-28,0.055,0.055,0.05,0.0502
883,2021-12-27,0.06,0.065,0.0506,0.065
882,2021-12-23,0.066,0.066,0.066,0.066
881,2021-12-22,0.05,0.067,0.0411,0.0669
880,2021-12-21,0.0688,0.0688,0.055,0.055
879,2021-12-20,0.0531,0.0531,0.0499,0.05
878,2021-12-17,0.0533,0.074,0.05,0.0531
877,2021-12-16,0.1,0.1,0.0525,0.0689
876,2021-12-15,0.07,0.1,0.07,0.1
875,2021-12-14,0.0925,0.0948,0.0714,0.0939
874,2021-12-13,0.0945,0.0948,0.09,0.0901
873,2021-12-10,0.0954,0.0954,0.0948,0.0949
872,2021-12-09,0.0965,0.0965,0.0899,0.09
871,2021-12-08,0.0702,0.093,0.0702,0.0898
870,2021-12-07,0.0975,0.1,0.07,0.0958
869,2021-12-06,0.07,0.07,0.039,0.0515
868,2021-12-03,0.1201,0.1488,0.0516,0.0835
867,2021-12-02,0.1022,0.1022,0.1022,0.1022
866,2021-12-01,0.1208,0.13,0.1011,0.1022
865,2021-11-30,0.139,0.139,0.139,0.139
864,2021-11-29,0.16,0.16,0.1012,0.139
863,2021-11-26,0.15,0.16,0.1301,0.133
862,2021-11-24,0.0803,0.1469,0.0803,0.1299
861,2021-11-23,0.11,0.11,0.11,0.11
860,2021-11-22,0.16,0.16,0.086,0.1
859,2021-11-19,0.1745,0.1745,0.15,0.1501
858,2021-11-18,0.1709,0.1893,0.1708,0.1893
857,2021-11-17,0.1924,0.1951,0.1708,0.1708
856,2021-11-16,0.208,0.208,0.1704,0.1924
855,2021-11-15,0.1703,0.1803,0.1703,0.1803
854,2021-11-12,0.2099,0.2099,0.2099,0.2099
853,2021-11-11,0.1699,0.21,0.1688,0.2099
852,2021-11-10,0.185,0.185,0.16,0.16
851,2021-11-09,0.162,0.21,0.162,0.17
850,2021-11-08,0.1897,0.1897,0.1602,0.1896
849,2021-11-05,0.2096,0.2096,0.1986,0.2096
848,2021-11-04,0.1605,0.17,0.16,0.17
847,2021-11-03,0.1679,0.1753,0.1604,0.1604
846,2021-11-02,0.2199,0.2199,0.1678,0.185
845,2021-11-01,0.1998,0.1998,0.16,0.16
844,2021-10-29,0.1863,0.1863,0.186,0.186
843,2021-10-28,0.2051,0.2051,0.1827,0.1827
842,2021-10-27,0.1855,0.23,0.1636,0.23
841,2021-10-26,0.21,0.2108,0.1855,0.1855
840,2021-10-25,0.23,0.23,0.1981,0.2194
839,2021-10-22,0.22,0.22,0.1776,0.2
838,2021-10-21,0.1897,0.2462,0.1706,0.2462
837,2021-10-20,0.17,0.1936,0.17,0.18
836,2021-10-19,0.1791,0.1791,0.17,0.17
835,2021-10-18,0.17,0.2171,0.1511,0.17
834,2021-10-15,0.1699,0.1699,0.1509,0.1593
833,2021-10-14,0.1508,0.1508,0.1508,0.1508
832,2021-10-13,0.1506,0.1508,0.1506,0.1508
831,2021-10-12,0.151,0.151,0.1506,0.1506
830,2021-10-11,0.196,0.196,0.1606,0.1698
829,2021-10-08,0.1701,0.1701,0.1701,0.1701
828,2021-10-07,0.1817,0.1817,0.1817,0.1817
827,2021-10-06,0.18,0.18,0.18,0.18
826,2021-10-05,0.18,0.18,0.18,0.18
825,2021-10-04,0.17,0.18,0.17,0.18
824,2021-10-01,0.181,0.181,0.181,0.181
823,2021-09-30,0.1651,0.181,0.165,0.181
822,2021-09-29,0.209,0.209,0.209,0.209
821,2021-09-28,0.2099,0.2099,0.1981,0.209
820,2021-09-27,0.2191,0.2191,0.2191,0.2191
819,2021-09-24,0.2191,0.2191,0.2191,0.2191
818,2021-09-23,0.1753,0.1853,0.1707,0.1852
817,2021-09-22,0.2176,0.2199,0.1702,0.1825
816,2021-09-21,0.1699,0.225,0.1667,0.225
815,2021-09-20,0.225,0.225,0.1516,0.1602
814,2021-09-17,0.1508,0.1508,0.1508,0.1508
813,2021-09-16,0.16,0.16,0.1508,0.1508
812,2021-09-15,0.1501,0.1505,0.1501,0.1505
811,2021-09-14,0.2296,0.2296,0.2296,0.2296
810,2021-09-13,0.2296,0.2296,0.2296,0.2296
809,2021-09-10,0.2298,0.2298,0.2298,0.2298
808,2021-09-09,0.175,0.1999,0.1435,0.1795
807,2021-09-08,0.21,0.21,0.21,0.21
806,2021-09-07,0.1898,0.21,0.1898,0.21
805,2021-09-03,0.18,0.18,0.15,0.1749
804,2021-09-02,0.1834,0.1834,0.1701,0.1701
803,2021-09-01,0.2,0.2,0.1833,0.1833
802,2021-08-31,0.2454,0.2454,0.1979,0.1979
801,2021-08-30,0.18,0.2188,0.18,0.1949
800,2021-08-27,0.19,0.2388,0.1899,0.2388
799,2021-08-26,0.1503,0.1999,0.1503,0.1793
798,2021-08-25,0.2499,0.2499,0.2,0.2
797,2021-08-24,0.2001,0.2001,0.2001,0.2001
796,2021-08-23,0.1981,0.2499,0.1981,0.2298
795,2021-08-20,0.1316,0.2,0.1316,0.2
794,2021-08-19,0.193,0.1957,0.1714,0.1957
793,2021-08-18,0.229,0.229,0.229,0.229
792,2021-08-17,0.21,0.229,0.21,0.229
791,2021-08-16,0.22,0.2299,0.22,0.2298
790,2021-08-13,0.1934,0.1934,0.1934,0.1934
789,2021-08-12,0.1934,0.1934,0.1934,0.1934
788,2021-08-11,0.2217,0.2217,0.2217,0.2217
787,2021-08-10,0.2216,0.2216,0.2216,0.2216
786,2021-08-09,0.3,0.3,0.279,0.279
785,2021-08-06,0.26,0.28,0.205,0.2595
784,2021-08-05,0.1999,0.2121,0.1998,0.2121
783,2021-08-04,0.2394,0.2394,0.2,0.2
782,2021-08-03,0.36,0.36,0.1933,0.1999
781,2021-08-02,0.3535,0.3535,0.3535,0.3535
780,2021-07-30,0.3998,0.3998,0.3115,0.3115
779,2021-07-29,0.35,0.55,0.3101,0.4009
778,2021-07-28,0.3011,0.3011,0.3011,0.3011
777,2021-07-27,0.3011,0.3011,0.3011,0.3011
776,2021-07-26,0.3696,0.3696,0.3696,0.3696
775,2021-07-23,0.3699,0.3699,0.3699,0.3699
774,2021-07-22,0.3699,0.3699,0.3699,0.3699
773,2021-07-21,0.3699,0.3699,0.3699,0.3699
772,2021-07-20,0.3499,0.3699,0.3499,0.3699
771,2021-07-19,0.3011,0.3013,0.3011,0.3013
770,2021-07-16,0.3001,0.3001,0.3001,0.3001
769,2021-07-15,0.3199,0.3244,0.3,0.3001
768,2021-07-14,0.3204,0.3204,0.3204,0.3204
767,2021-07-13,0.3204,0.3204,0.3204,0.3204
766,2021-07-12,0.3204,0.3204,0.3204,0.3204
765,2021-07-09,0.3203,0.3997,0.3203,0.3204
764,2021-07-08,0.3197,0.3694,0.3196,0.35
763,2021-07-07,0.368,0.3899,0.3198,0.3206
762,2021-07-06,0.3195,0.3989,0.3195,0.328
761,2021-07-02,0.3398,0.3398,0.3398,0.3398
760,2021-07-01,0.3212,0.3404,0.3212,0.34
759,2021-06-30,0.32,0.3563,0.32,0.3562
758,2021-06-29,0.3195,0.3195,0.3195,0.3195
757,2021-06-28,0.3999,0.3999,0.3195,0.3195
756,2021-06-25,0.3003,0.3003,0.3003,0.3003
755,2021-06-24,0.3101,0.3786,0.3101,0.3786
754,2021-06-23,0.4,0.4,0.3001,0.3002
753,2021-06-22,0.3002,0.354,0.3002,0.354
752,2021-06-21,0.35,0.35,0.3,0.3001
751,2021-06-18,0.3701,0.3702,0.3185,0.3185
750,2021-06-17,0.37,0.3701,0.37,0.37
749,2021-06-16,0.37,0.385,0.37,0.3707
748,2021-06-15,0.385,0.385,0.37,0.3702
747,2021-06-14,0.3701,0.38,0.37,0.3765
746,2021-06-11,0.4049,0.4049,0.37,0.37
745,2021-06-10,0.3701,0.405,0.37,0.3849
744,2021-06-09,0.2919,0.4159,0.2919,0.371
743,2021-06-08,0.3099,0.3099,0.2993,0.2993
742,2021-06-07,0.298,0.3532,0.2729,0.2786
741,2021-06-04,0.2794,0.2794,0.276,0.276
740,2021-06-03,0.2697,0.3097,0.2552,0.2981
739,2021-06-02,0.2699,0.2699,0.2699,0.2699
738,2021-06-01,0.2356,0.2875,0.2356,0.2599
737,2021-05-28,0.2501,0.2566,0.232,0.2399
736,2021-05-27,0.29,0.29,0.24,0.2455
735,2021-05-26,0.2599,0.2599,0.2599,0.2599
734,2021-05-25,0.29,0.29,0.2599,0.2599
733,2021-05-24,0.255,0.255,0.255,0.255
732,2021-05-21,0.2601,0.2611,0.2498,0.255
731,2021-05-20,0.2201,0.2415,0.22,0.2415
730,2021-05-19,0.2189,0.2189,0.2189,0.2189
729,2021-05-18,0.2488,0.28,0.2099,0.2189
728,2021-05-17,0.2011,0.2011,0.1995,0.1995
727,2021-05-14,0.1947,0.2034,0.1753,0.2028
726,2021-05-13,0.1869,0.196,0.1866,0.1954
725,2021-05-12,0.2025,0.2025,0.1567,0.1885
724,2021-05-11,0.2031,0.2051,0.2031,0.2051
723,2021-05-10,0.2131,0.229,0.2006,0.2021
