,Date,Open,High,Low,Close
2841,2021-12-31,1.84,1.87,1.8,1.84
2840,2021-12-30,1.88,1.91,1.77,1.83
2839,2021-12-29,1.76,1.86,1.75,1.86
2838,2021-12-28,1.98,1.98,1.78,1.79
2837,2021-12-27,1.96,1.99,1.9,1.96
2836,2021-12-23,1.96,2.02,1.915,1.915
2835,2021-12-22,1.84,1.87,1.79,1.85
2834,2021-12-21,1.9,1.9,1.7601,1.83
2833,2021-12-20,1.87,1.97,1.77,1.81
2832,2021-12-17,1.81,1.92,1.7901,1.92
2831,2021-12-16,1.97,1.97,1.77,1.81
2830,2021-12-15,1.94,1.94,1.7,1.92
2829,2021-12-14,1.81,1.89,1.75,1.77
2828,2021-12-13,2.08,2.109,1.86,1.86
2827,2021-12-10,2.17,2.17,2.02,2.06
2826,2021-12-09,2.22,2.38,2.11,2.14
2825,2021-12-08,2.18,2.29,2.15,2.26
2824,2021-12-07,1.99,2.19,1.99,2.14
2823,2021-12-06,2.06,2.06,1.92,1.99
2822,2021-12-03,2.17,2.17,2.026,2.03
2821,2021-12-02,2.25,2.27,2.1401,2.15
2820,2021-12-01,2.41,2.45,2.24,2.25
2819,2021-11-30,2.4,2.44,2.31,2.38
2818,2021-11-29,2.43,2.5,2.33,2.45
2817,2021-11-26,2.39,2.455,2.37,2.43
2816,2021-11-24,2.31,2.53,2.3,2.44
2815,2021-11-23,2.36,2.4068,2.32,2.36
2814,2021-11-22,2.5,2.5,2.31,2.44
2813,2021-11-19,2.58,2.5987,2.46,2.51
2812,2021-11-18,2.72,2.72,2.57,2.58
2811,2021-11-17,2.74,2.76,2.7,2.73
2810,2021-11-16,2.72,2.77,2.71,2.75
2809,2021-11-15,2.73,2.78,2.7,2.72
2808,2021-11-12,2.76,2.77,2.66,2.7
2807,2021-11-11,2.77,2.81,2.71,2.76
2806,2021-11-10,2.9,2.9,2.7,2.78
2805,2021-11-09,2.86,2.96,2.86,2.88
2804,2021-11-08,2.94,3.0,2.88,2.9
2803,2021-11-05,2.95,2.9874,2.83,2.93
2802,2021-11-04,3.06,3.0688,2.87,2.93
2801,2021-11-03,3.0,3.06,2.97,3.03
2800,2021-11-02,3.08,3.08,2.92,3.06
2799,2021-11-01,2.97,3.1,2.89,3.0
2798,2021-10-29,2.96,2.99,2.82,2.93
2797,2021-10-28,3.06,3.06,2.9,2.94
2796,2021-10-27,3.11,3.1513,3.0,3.01
2795,2021-10-26,3.34,3.34,3.04,3.11
2794,2021-10-25,3.23,3.42,3.22,3.35
2793,2021-10-22,3.59,3.59,3.2101,3.25
2792,2021-10-21,3.54,3.74,3.42,3.62
2791,2021-10-20,3.34,3.54,3.25,3.51
2790,2021-10-19,3.37,3.37,3.25,3.33
2789,2021-10-18,3.355,3.39,3.23,3.37
2788,2021-10-15,3.41,3.43,3.2601,3.3
2787,2021-10-14,3.36,3.44,3.3101,3.36
2786,2021-10-13,3.37,3.39,3.29,3.36
2785,2021-10-12,3.3126,3.4416,3.25,3.3
2784,2021-10-11,3.24,3.36,3.13,3.32
2783,2021-10-08,3.14,3.29,3.12,3.18
2782,2021-10-07,3.13,3.2,3.0924,3.16
2781,2021-10-06,3.06,3.115,2.994,3.1
2780,2021-10-05,3.09,3.15,3.02,3.09
2779,2021-10-04,3.13,3.13,3.005,3.06
2778,2021-10-01,3.09,3.196,3.05,3.13
2777,2021-09-30,3.11,3.116,2.99,3.02
2776,2021-09-29,3.22,3.2832,3.03,3.05
2775,2021-09-28,3.27,3.342,3.18,3.21
2774,2021-09-27,3.29,3.4799,3.2,3.33
2773,2021-09-24,3.34,3.41,3.19,3.29
2772,2021-09-23,3.27,3.43,3.24,3.4
2771,2021-09-22,3.23,3.32,3.2,3.27
2770,2021-09-21,3.23,3.33,3.13,3.17
2769,2021-09-20,3.29,3.3626,3.18,3.18
2768,2021-09-17,3.39,3.46,3.31,3.38
2767,2021-09-16,3.4,3.48,3.36,3.37
2766,2021-09-15,3.51,3.565,3.35,3.35
2765,2021-09-14,3.71,3.8543,3.41,3.51
2764,2021-09-13,3.93,3.95,3.67,3.7
2763,2021-09-10,3.63,3.9,3.57,3.84
2762,2021-09-09,3.53,3.73,3.5101,3.62
2761,2021-09-08,3.7,3.7099,3.45,3.56
2760,2021-09-07,3.68,3.72,3.63,3.67
2759,2021-09-03,3.58,3.647,3.53,3.64
2758,2021-09-02,3.56,3.65,3.55,3.55
2757,2021-09-01,3.46,3.61,3.4114,3.55
2756,2021-08-31,3.45,3.5,3.38,3.41
2755,2021-08-30,3.53,3.54,3.36,3.41
2754,2021-08-27,3.22,3.55,3.22,3.47
2753,2021-08-26,3.25,3.3104,3.16,3.24
2752,2021-08-25,3.34,3.34,3.2,3.27
2751,2021-08-24,3.21,3.32,3.2,3.32
2750,2021-08-23,3.05,3.23,3.04,3.16
2749,2021-08-20,2.99,3.07,2.95,3.07
2748,2021-08-19,3.04,3.07,2.9,2.92
2747,2021-08-18,3.11,3.14,3.02,3.07
2746,2021-08-17,2.99,3.09,2.905,3.09
2745,2021-08-16,3.13,3.17,2.975,2.975
2744,2021-08-13,3.43,3.43,3.06,3.1
2743,2021-08-12,3.51,3.51,3.35,3.4
2742,2021-08-11,3.52,3.56,3.42,3.42
2741,2021-08-10,3.59,3.64,3.5,3.52
2740,2021-08-09,3.55,3.68,3.4762,3.55
2739,2021-08-06,3.58,3.6437,3.4,3.57
2738,2021-08-05,3.4,3.55,3.31,3.51
2737,2021-08-04,3.38,3.4299,3.32,3.36
2736,2021-08-03,3.47,3.49,3.32,3.43
2735,2021-08-02,3.36,3.53,3.33,3.47
