,Date,Open,High,Low,Close
5578,2021-12-31,10.44,10.73,10.05,10.33
5577,2021-12-30,10.45,10.8,10.3,10.51
5576,2021-12-29,10.6,11.2,10.47,10.53
5575,2021-12-28,11.61,12.89,10.3601,10.55
5574,2021-12-27,11.47,14.4,11.18,11.8
5573,2021-12-23,11.88,11.9674,11.29,11.37
5572,2021-12-22,11.45,12.24,10.8,11.84
5571,2021-12-21,11.06,11.9,10.92,11.65
5570,2021-12-20,11.39,11.39,10.18,10.74
5569,2021-12-17,12.32,12.69,11.32,11.32
5568,2021-12-16,12.62,13.48,12.22,12.69
5567,2021-12-15,13.25,13.6394,11.405,12.67
5566,2021-12-14,13.52,15.21,12.87,13.81
5565,2021-12-13,15.12,17.3,13.05,14.0
5564,2021-12-10,8.16,15.15,7.85,14.94
5563,2021-12-09,8.08,8.47,7.99,8.09
5562,2021-12-08,7.93,8.15,7.75,8.07
5561,2021-12-07,7.69,8.14,7.69,7.93
5560,2021-12-06,7.31,7.94,7.02,7.52
5559,2021-12-03,7.62,7.82,7.18,7.31
5558,2021-12-02,8.03,8.0899,7.36,7.53
5557,2021-12-01,8.02,8.39,7.92,8.15
5556,2021-11-30,8.15,8.27,7.5893,8.0
5555,2021-11-29,8.45,8.7,7.92,8.27
5554,2021-11-26,8.38,8.4599,8.0001,8.37
5553,2021-11-24,8.36,8.9899,8.36,8.55
5552,2021-11-23,8.81,9.1099,8.24,8.49
5551,2021-11-22,8.88,8.88,8.5601,8.7
5550,2021-11-19,9.35,9.4,8.46,8.76
5549,2021-11-18,10.02,10.03,9.26,9.43
5548,2021-11-17,10.47,10.47,9.8801,10.0
5547,2021-11-16,10.3,10.74,10.05,10.43
5546,2021-11-15,9.38,10.3225,9.38,10.24
5545,2021-11-12,9.2,9.4299,9.0309,9.34
5544,2021-11-11,9.21,9.43,9.13,9.25
5543,2021-11-10,9.09,9.3407,8.89,9.12
5542,2021-11-09,9.34,9.59,9.09,9.09
5541,2021-11-08,9.42,9.64,9.15,9.32
5540,2021-11-05,9.59,9.76,9.33,9.37
5539,2021-11-04,9.62,9.67,9.52,9.55
5538,2021-11-03,9.05,9.69,8.96,9.6
5537,2021-11-02,8.89,9.1272,8.77,9.015
5536,2021-11-01,8.8,9.26,8.78,8.84
5535,2021-10-29,8.68,9.1699,8.59,8.8
5534,2021-10-28,8.63,9.1999,8.45,8.68
5533,2021-10-27,8.52,8.7,8.52,8.65
5532,2021-10-26,9.51,9.55,8.47,8.47
5531,2021-10-25,9.65,9.95,9.39,9.5
5530,2021-10-22,10.01,10.21,9.478,9.65
5529,2021-10-21,9.31,10.2061,9.31,9.87
5528,2021-10-20,9.41,9.6183,9.29,9.3
5527,2021-10-19,9.41,9.6672,9.32,9.38
5526,2021-10-18,8.99,9.77,8.99,9.39
5525,2021-10-15,9.0,9.2499,8.818,8.95
5524,2021-10-14,8.96,9.2199,8.614,8.95
5523,2021-10-13,8.9,9.25,8.32,8.83
5522,2021-10-12,9.3,9.41,8.7,8.93
5521,2021-10-11,9.32,9.4899,9.18,9.285
5520,2021-10-08,9.31,9.44,9.1449,9.32
5519,2021-10-07,9.06,9.43,9.0197,9.36
5518,2021-10-06,8.63,9.29,8.6065,8.9
5517,2021-10-05,8.65,8.934,8.405,8.81
5516,2021-10-04,8.72,9.1149,8.29,8.5
5515,2021-10-01,8.87,8.9684,8.6001,8.77
5514,2021-09-30,9.55,9.6199,8.5,8.88
5513,2021-09-29,10.19,10.3,9.45,9.54
5512,2021-09-28,9.5,10.4999,9.5,9.98
5511,2021-09-27,10.15,10.39,9.53,9.69
5510,2021-09-24,10.27,10.4603,9.75,10.15
5509,2021-09-23,9.44,10.15,9.22,9.89
5508,2021-09-22,9.51,9.73,9.2001,9.22
5507,2021-09-21,9.22,9.88,9.03,9.36
5506,2021-09-20,9.64,10.5641,8.84,9.15
5505,2021-09-17,11.37,11.9494,9.6,9.99
5504,2021-09-16,9.18,12.47,9.1,11.78
5503,2021-09-15,8.11,9.4,8.0,9.28
5502,2021-09-14,8.41,8.78,8.01,8.11
5501,2021-09-13,8.07,8.93,7.86,8.63
5500,2021-09-10,6.32,9.16,6.165,8.3
5499,2021-09-09,6.4191,6.4191,6.2,6.26
5498,2021-09-08,6.23,6.3499,6.23,6.28
5497,2021-09-07,6.36,6.3899,6.15,6.31
5496,2021-09-03,6.32,6.47,6.2701,6.305
5495,2021-09-02,6.315,6.61,6.26,6.28
5494,2021-09-01,6.08,6.3799,6.08,6.3
5493,2021-08-31,6.14,6.3146,6.0101,6.09
5492,2021-08-30,6.29,6.3888,6.085,6.15
5491,2021-08-27,6.23,6.3713,6.17,6.31
5490,2021-08-26,6.08,6.29,6.06,6.16
5489,2021-08-25,5.91,6.17,5.69,6.05
5488,2021-08-24,5.865,5.9499,5.8,5.88
5487,2021-08-23,5.74,5.95,5.74,5.82
5486,2021-08-20,5.56,5.8,5.55,5.74
5485,2021-08-19,5.61,5.79,5.55,5.59
5484,2021-08-18,5.58,5.8299,5.58,5.66
5483,2021-08-17,5.69,5.7899,5.56,5.64
5482,2021-08-16,5.94,6.0799,5.4,5.69
5481,2021-08-13,5.87,6.1899,5.87,6.04
5480,2021-08-12,5.94,6.05,5.8,5.84
5479,2021-08-11,6.05,6.2,5.665,5.9
5478,2021-08-10,5.99,6.2299,5.8577,5.99
5477,2021-08-09,5.94,6.1218,5.89,5.99
5476,2021-08-06,6.01,6.29,5.9,5.99
5475,2021-08-05,5.95,6.389,5.9,6.06
5474,2021-08-04,6.09,6.32,5.92,5.98
5473,2021-08-03,6.29,6.43,6.11,6.15
5472,2021-08-02,6.06,6.48,6.06,6.24
5471,2021-07-30,6.3,6.53,6.05,6.06
5470,2021-07-29,6.22,6.4499,6.14,6.22
5469,2021-07-28,6.33,6.4499,6.1399,6.17
5468,2021-07-27,6.27,6.5026,6.2,6.32
5467,2021-07-26,6.51,6.5799,6.2,6.27
5466,2021-07-23,7.02,7.95,5.87,6.67
5465,2021-07-22,5.25,7.2,4.93,7.07
5464,2021-07-21,5.0599,7.25,5.03,5.44
5463,2021-07-20,4.91,5.25,4.91,5.05
5462,2021-07-19,4.77,5.04,4.74,4.85
5461,2021-07-16,5.01,5.18,4.82,4.83
5460,2021-07-15,5.32,5.39,4.9,4.99
5459,2021-07-14,5.28,5.5525,4.93,5.2
5458,2021-07-13,5.27,6.49,5.21,5.34
5457,2021-07-12,5.08,5.3,4.844,5.2
5456,2021-07-09,4.79,4.9547,4.77,4.9547
5455,2021-07-08,4.75,4.8524,4.74,4.75
5454,2021-07-07,5.01,5.01,4.79,4.88
5453,2021-07-06,5.0,5.24,4.9301,4.96
5452,2021-07-02,5.0063,5.025,5.0,5.0001
5451,2021-07-01,5.06,5.06,4.95,5.0
5450,2021-06-30,4.9299,5.06,4.9,5.06
5449,2021-06-29,4.92,4.99,4.92,4.97
5448,2021-06-28,5.185,5.2255,4.7901,4.93
5447,2021-06-25,5.1184,5.3,5.06,5.2254
5446,2021-06-24,4.9222,5.11,4.9222,5.08
5445,2021-06-23,4.96,5.4,4.96,5.0
5444,2021-06-22,4.96,5.09,4.96,5.02
5443,2021-06-21,4.99,5.09,4.9,4.96
5442,2021-06-18,5.12,5.19,4.85,5.06
5441,2021-06-17,4.68,5.32,4.64,5.1
5440,2021-06-16,4.68,4.7499,4.68,4.7
5439,2021-06-15,4.78,4.78,4.6401,4.73
5438,2021-06-14,4.85,4.85,4.7002,4.73
5437,2021-06-11,4.7754,4.84,4.7754,4.78
5436,2021-06-10,4.9711,4.9711,4.7247,4.74
5435,2021-06-09,5.0143,5.0143,4.77,4.805
5434,2021-06-08,4.86,5.01,4.86,4.93
5433,2021-06-07,4.99,5.25,4.8673,4.87
5432,2021-06-04,4.95,5.21,4.9243,5.1597
5431,2021-06-03,5.1,5.41,4.94,4.95
5430,2021-06-02,5.1584,5.49,5.0429,5.11
5429,2021-06-01,5.0073,5.23,5.0073,5.1889
5428,2021-05-28,5.01,5.1,4.772,4.9712
5427,2021-05-27,4.7223,4.81,4.67,4.738
5426,2021-05-26,4.79,4.85,4.67,4.8285
5425,2021-05-25,4.89,4.89,4.72,4.86
5424,2021-05-24,4.73,4.9,4.71,4.79
5423,2021-05-21,4.81,4.95,4.66,4.73
5422,2021-05-20,4.73,5.25,4.7087,4.922
5421,2021-05-19,4.7,5.0,4.6322,4.6773
5420,2021-05-18,4.7,4.7,4.63,4.66
5419,2021-05-17,4.76,4.79,4.58,4.6285
5418,2021-05-14,4.84,4.84,4.73,4.765
5417,2021-05-13,4.85,5.0002,4.82,4.82
5416,2021-05-12,5.05,5.05,4.81,4.8111
5415,2021-05-11,5.03,5.03,4.76,4.98
5414,2021-05-10,5.0213,5.0499,4.959,5.0
5413,2021-05-07,5.0656,5.12,5.0201,5.07
5412,2021-05-06,5.06,5.15,5.0101,5.15
5411,2021-05-05,5.0899,5.11,5.05,5.0794
5410,2021-05-04,4.94,5.07,4.94,5.05
5409,2021-05-03,5.19,5.19,4.95,4.95
5408,2021-04-30,5.2004,5.23,5.1,5.11
5407,2021-04-29,5.1608,5.25,5.11,5.25
5406,2021-04-28,5.16,5.24,5.16,5.2399
5405,2021-04-27,5.3785,5.3785,5.21,5.21
5404,2021-04-26,5.3,5.33,5.23,5.33
5403,2021-04-23,5.41,5.48,5.25,5.28
5402,2021-04-22,5.11,5.74,5.11,5.41
5401,2021-04-21,4.86,4.95,4.83,4.93
5400,2021-04-20,4.88,5.08,4.83,4.86
5399,2021-04-19,5.49,5.49,4.75,4.94
5398,2021-04-16,5.45,5.48,5.4,5.4
5397,2021-04-15,5.5,5.565,5.45,5.45
5396,2021-04-14,5.48,5.705,5.48,5.49
5395,2021-04-13,5.72,5.9,5.46,5.48
5394,2021-04-12,5.46,5.79,5.4,5.7
5393,2021-04-09,5.65,5.71,5.54,5.54
5392,2021-04-08,5.5899,6.35,5.555,5.69
5391,2021-04-07,5.74,5.74,5.4401,5.6199
5390,2021-04-06,5.7209,5.79,5.525,5.7065
5389,2021-04-05,5.35,5.8999,5.3011,5.75
5388,2021-04-01,5.375,5.9,5.33,5.395
5387,2021-03-31,5.445,5.445,5.31,5.37
5386,2021-03-30,5.5651,5.58,5.3,5.445
5385,2021-03-29,5.2584,5.49,5.2584,5.31
5384,2021-03-26,5.4,5.59,5.4,5.56
5383,2021-03-25,5.46,5.5799,5.29,5.39
5382,2021-03-24,5.53,5.85,5.3954,5.57
5381,2021-03-23,5.63,5.93,5.49,5.49
5380,2021-03-22,5.68,5.925,5.56,5.56
5379,2021-03-19,5.75,6.0767,5.62,5.62
5378,2021-03-18,6.09,6.22,5.7811,5.83
5377,2021-03-17,6.02,6.2188,5.9,6.05
5376,2021-03-16,6.28,6.28,5.9501,6.19
5375,2021-03-15,5.7301,6.21,5.7017,6.19
5374,2021-03-12,5.9,5.93,5.7,5.71
5373,2021-03-11,5.77,5.95,5.53,5.91
5372,2021-03-10,5.75,6.5,5.48,5.56
5371,2021-03-09,5.51,5.8,5.44,5.79
5370,2021-03-08,5.5,5.65,5.34,5.42
5369,2021-03-05,5.3,5.59,5.17,5.5
5368,2021-03-04,5.37,5.8697,5.28,5.33
5367,2021-03-03,5.4186,5.425,5.2,5.36
5366,2021-03-02,5.85,5.9177,5.32,5.36
5365,2021-03-01,5.46,5.57,5.4,5.43
5364,2021-02-26,5.5645,5.642,5.1,5.21
5363,2021-02-25,5.5505,5.5505,5.34,5.34
5362,2021-02-24,5.8,5.8,5.5,5.6
5361,2021-02-23,5.65,5.9199,5.25,5.58
5360,2021-02-22,5.97,6.12,5.73,5.92
5359,2021-02-19,5.76,6.14,5.76,6.08
5358,2021-02-18,6.0,6.145,5.7,5.74
5357,2021-02-17,6.41,6.8,6.1,6.29
5356,2021-02-16,6.48,6.7653,6.2,6.41
5355,2021-02-12,5.72,6.21,5.72,6.18
5354,2021-02-11,5.94,6.03,5.86,5.9
5353,2021-02-10,5.93,6.1,5.8,5.96
5352,2021-02-09,5.71,5.98,5.71,5.82
5351,2021-02-08,5.5,5.7,5.5,5.618
5350,2021-02-05,5.07,5.65,5.0699,5.4476
5349,2021-02-04,5.01,5.2,5.01,5.07
5348,2021-02-03,5.16,5.18,5.03,5.11
5347,2021-02-02,5.0819,5.24,5.08,5.09
5346,2021-02-01,5.05,5.21,4.84,5.16
5345,2021-01-29,5.17,5.3592,5.02,5.08
5344,2021-01-28,5.22,5.2999,5.15,5.25
5343,2021-01-27,5.15,5.4088,5.15,5.27
5342,2021-01-26,5.34,5.63,5.25,5.42
5341,2021-01-25,5.49,5.66,5.31,5.39
5340,2021-01-22,5.25,5.4896,5.205,5.4
5339,2021-01-21,5.1101,5.28,5.11,5.21
5338,2021-01-20,5.32,5.58,4.92,5.1
5337,2021-01-19,5.36,5.38,5.101,5.32
5336,2021-01-15,5.13,5.149,5.0,5.09
5335,2021-01-14,5.4,5.4,4.85,5.12
5334,2021-01-13,4.79,5.58,4.77,5.11
5333,2021-01-12,4.84,4.84,4.7701,4.81
5332,2021-01-11,4.77,4.85,4.7,4.8
5331,2021-01-08,4.75,4.8044,4.57,4.77
5330,2021-01-07,4.79,4.83,4.67,4.74
5329,2021-01-06,4.93,4.946,4.7701,4.8
5328,2021-01-05,4.73,5.35,4.73,4.88
5327,2021-01-04,4.69,4.76,4.5,4.62
5326,2020-12-31,4.62,4.6994,4.61,4.68
5325,2020-12-30,4.7001,4.76,4.59,4.59
5324,2020-12-29,4.73,4.79,4.5,4.68
5323,2020-12-28,4.74,4.8,4.6301,4.72
5322,2020-12-24,4.6,4.75,4.4503,4.7
5321,2020-12-23,4.34,4.72,4.34,4.68
5320,2020-12-22,4.74,4.74,4.42,4.42
5319,2020-12-21,4.54,4.845,4.54,4.62
5318,2020-12-18,4.94,4.98,4.7,4.7
5317,2020-12-17,4.9186,4.95,4.82,4.89
5316,2020-12-16,4.66,4.95,4.66,4.865
5315,2020-12-15,4.58,4.8,4.5,4.8
5314,2020-12-14,4.35,4.58,4.22,4.51
5313,2020-12-11,4.34,4.35,4.0651,4.34
5312,2020-12-10,3.72,4.65,3.61,4.35
5311,2020-12-09,3.77,3.84,3.6001,3.8
5310,2020-12-08,3.6891,3.89,3.6805,3.77
5309,2020-12-07,3.66,3.75,3.601,3.72
5308,2020-12-04,3.64,3.695,3.57,3.6936
5307,2020-12-03,3.46,3.71,3.46,3.63
5306,2020-12-02,3.55,3.58,3.4536,3.46
5305,2020-12-01,3.507,3.77,3.45,3.55
5304,2020-11-30,3.38,3.56,3.36,3.43
5303,2020-11-27,3.36,3.38,3.3,3.38
5302,2020-11-25,3.33,3.37,3.27,3.37
5301,2020-11-24,3.274,3.35,3.26,3.3097
5300,2020-11-23,3.28,3.3634,3.2701,3.32
5299,2020-11-20,3.31,3.33,2.97,3.32
5298,2020-11-19,3.45,3.45,3.28,3.3384
5297,2020-11-18,3.414,3.45,3.32,3.39
5296,2020-11-17,3.3501,3.43,3.28,3.35
5295,2020-11-16,3.545,3.64,3.27,3.34
5294,2020-11-13,3.5,3.572,3.4806,3.56
5293,2020-11-12,3.4,3.61,3.3981,3.5
5292,2020-11-11,3.39,3.6,3.39,3.45
5291,2020-11-10,3.31,3.55,3.31,3.45
5290,2020-11-09,3.35,3.52,3.28,3.33
5289,2020-11-06,3.4,3.43,3.34,3.34
5288,2020-11-05,3.4045,3.46,3.38,3.4
5287,2020-11-04,3.345,3.4833,3.33,3.33
5286,2020-11-03,3.36,3.49,3.3,3.39
5285,2020-11-02,3.2829,3.52,3.2829,3.43
5284,2020-10-30,3.2774,3.2774,3.21,3.21
5283,2020-10-29,3.26,3.45,3.2,3.32
5282,2020-10-28,3.46,3.47,3.26,3.27
5281,2020-10-27,3.585,3.64,3.48,3.5
5280,2020-10-26,3.55,3.835,3.46,3.66
5279,2020-10-23,3.47,3.6,3.45,3.51
5278,2020-10-22,3.55,3.6694,3.4466,3.47
5277,2020-10-21,3.58,3.7,3.45,3.5
5276,2020-10-20,3.72,3.81,3.56,3.58
5275,2020-10-19,3.73,4.2,3.65,3.69
5274,2020-10-16,3.58,3.87,3.56,3.64
5273,2020-10-15,3.57,3.72,3.4,3.72
5272,2020-10-14,3.37,3.605,3.29,3.55
5271,2020-10-13,3.3156,3.38,3.25,3.26
5270,2020-10-12,3.34,3.39,3.3,3.31
5269,2020-10-09,3.48,3.49,3.33,3.37
5268,2020-10-08,3.22,3.55,3.12,3.53
5267,2020-10-07,3.22,3.2617,3.1375,3.22
5266,2020-10-06,3.49,3.49,3.15,3.21
5265,2020-10-05,3.2064,3.63,3.2064,3.35
5264,2020-10-02,3.0,3.23,3.0,3.22
5263,2020-10-01,3.08,3.18,3.08,3.14
5262,2020-09-30,3.09,3.15,3.07,3.13
5261,2020-09-29,3.0833,3.15,3.0243,3.14
5260,2020-09-28,2.92,3.15,2.92,3.15
5259,2020-09-25,2.91,3.04,2.85,2.96
5258,2020-09-24,3.08,3.08,2.83,2.95
5257,2020-09-23,3.06,3.09,2.98,3.03
5256,2020-09-22,3.08,3.1125,3.06,3.09
5255,2020-09-21,3.05,3.06,2.98,3.04
5254,2020-09-18,3.1,3.1,3.07,3.1
5253,2020-09-17,3.06,3.12,3.03,3.1
5252,2020-09-16,3.06,3.1725,3.06,3.1
5251,2020-09-15,3.05,3.14,3.05,3.14
5250,2020-09-14,3.03,3.095,3.02,3.09
5249,2020-09-11,3.02,3.1,3.02,3.07
5248,2020-09-10,3.02,3.14,3.02,3.05
5247,2020-09-09,2.98,3.25,2.97,3.07
5246,2020-09-08,2.85,2.89,2.81,2.82
5245,2020-09-04,2.97,3.03,2.85,2.91
5244,2020-09-03,3.15,3.15,2.95,3.04
5243,2020-09-02,2.99,3.1,2.88,3.1
5242,2020-09-01,2.96,2.99,2.8,2.99
5241,2020-08-31,3.0749,3.0998,2.87,2.93
5240,2020-08-28,3.012,3.1275,3.012,3.09
5239,2020-08-27,3.115,3.115,2.95,3.05
5238,2020-08-26,3.09,3.16,3.03,3.12
5237,2020-08-25,3.13,3.16,3.01,3.16
5236,2020-08-24,3.005,3.12,2.971,3.08
5235,2020-08-21,3.07,3.12,2.9807,3.05
5234,2020-08-20,3.05,3.15,3.02,3.07
5233,2020-08-19,2.97,3.26,2.86,3.17
5232,2020-08-18,2.82,3.09,2.76,3.0
5231,2020-08-17,2.82,2.9,2.71,2.88
5230,2020-08-14,2.85,2.8799,2.75,2.84
5229,2020-08-13,2.85,2.9578,2.75,2.91
5228,2020-08-12,2.99,3.11,2.88,2.91
5227,2020-08-11,3.1663,3.1935,3.04,3.07
5226,2020-08-10,3.1,3.1891,3.09,3.12
5225,2020-08-07,3.125,3.145,3.0373,3.13
5224,2020-08-06,3.08,3.176,3.07,3.09
5223,2020-08-05,3.08,3.23,3.08,3.14
5222,2020-08-04,3.05,3.2399,3.0,3.1
5221,2020-08-03,3.1,3.2665,3.06,3.08
5220,2020-07-31,3.07,3.225,3.0396,3.1
5219,2020-07-30,3.08,3.19,3.035,3.12
5218,2020-07-29,3.0701,3.18,3.02,3.12
5217,2020-07-28,3.1,3.1799,3.03,3.07
5216,2020-07-27,3.09,3.1343,3.03,3.07
5215,2020-07-24,3.11,3.22,3.02,3.09
5214,2020-07-23,3.2,3.21,3.0916,3.14
5213,2020-07-22,3.28,3.3301,3.159,3.2
5212,2020-07-21,3.38,3.57,3.22,3.32
5211,2020-07-20,3.32,3.43,3.3,3.41
5210,2020-07-17,3.23,3.45,3.22,3.3
5209,2020-07-16,3.17,3.31,3.17,3.23
5208,2020-07-15,3.17,3.33,3.15,3.2
5207,2020-07-14,3.35,3.35,3.12,3.18
5206,2020-07-13,3.4,3.44,3.22,3.26
5205,2020-07-10,3.5,3.55,3.32,3.32
5204,2020-07-09,3.64,3.7,3.43,3.5
5203,2020-07-08,3.57,3.97,3.35,3.72
5202,2020-07-07,3.54,3.79,3.34,3.39
5201,2020-07-06,3.21,4.26,3.18,3.86
5200,2020-07-02,3.2,3.26,3.15,3.22
5199,2020-07-01,3.04,3.35,3.04,3.27
5198,2020-06-30,3.32,3.48,3.22,3.37
5197,2020-06-29,3.13,4.52,3.13,3.56
5196,2020-06-26,3.16,3.33,3.12,3.12
5195,2020-06-25,3.16,3.2107,3.16,3.2107
5194,2020-06-24,3.231,3.231,3.16,3.19
5193,2020-06-23,3.2,3.335,3.2,3.335
5192,2020-06-22,3.42,3.42,3.21,3.3
5191,2020-06-19,3.22,3.42,3.2,3.42
5190,2020-06-18,3.3,3.34,3.2027,3.26
5189,2020-06-17,3.16,3.36,3.16,3.36
5188,2020-06-16,3.19,3.45,3.12,3.18
5187,2020-06-15,3.08,3.4,2.9434,3.09
5186,2020-06-12,3.08,3.1894,3.0575,3.16
5185,2020-06-11,3.26,3.26,3.0,3.1555
5184,2020-06-10,3.42,3.42,3.01,3.33
5183,2020-06-09,3.5,3.64,3.39,3.45
5182,2020-06-08,3.77,4.1528,3.5,3.55
5181,2020-06-05,4.26,4.43,3.65,3.65
5180,2020-06-04,3.59,5.67,3.23,4.15
5179,2020-06-03,3.11,3.65,3.11,3.59
5178,2020-06-02,3.27,3.45,3.06,3.44
5177,2020-06-01,3.135,3.155,3.05,3.155
5176,2020-05-29,3.16,3.16,3.09,3.09
5175,2020-05-28,3.19,3.43,3.07,3.09
5174,2020-05-27,3.1,3.19,3.1,3.1873
5173,2020-05-26,3.1,3.29,3.01,3.15
5172,2020-05-22,3.2,3.5026,2.86,3.26
5171,2020-05-21,3.07,3.27,2.995,3.27
5170,2020-05-20,2.88,3.2,2.88,3.17
5169,2020-05-19,2.9925,3.19,2.9752,3.19
5168,2020-05-18,3.146,3.1999,2.98,3.12
5167,2020-05-15,3.0,3.074,2.75,3.0
5166,2020-05-14,2.9691,3.01,2.89,3.0
5165,2020-05-13,2.97,2.97,2.97,2.97
5164,2020-05-12,2.98,3.0825,2.97,2.97
5163,2020-05-11,2.95,3.0442,2.87,2.88
5162,2020-05-08,2.9355,3.07,2.93,3.07
5161,2020-05-07,3.2,3.2,2.92,2.95
5160,2020-05-06,2.85,3.19,2.7,3.19
5159,2020-05-05,2.9,2.9,2.9,2.9
5158,2020-05-04,2.96,2.96,2.96,2.96
5157,2020-05-01,2.95,3.2,2.67,3.07
5156,2020-04-30,2.92,2.95,2.92,2.95
5155,2020-04-29,2.99,3.5,2.99,3.1193
5154,2020-04-28,3.22,3.26,3.0926,3.0926
5153,2020-04-27,3.1,3.4,3.1,3.26
5152,2020-04-24,2.9807,3.09,2.9807,3.09
5151,2020-04-23,2.89,3.07,2.85,2.98
5150,2020-04-22,3.13,3.13,3.0,3.05
5149,2020-04-21,2.99,2.99,2.99,2.99
5148,2020-04-20,2.99,2.99,2.99,2.99
5147,2020-04-17,3.07,3.1,3.0,3.0
5146,2020-04-16,2.81,2.81,2.81,2.81
5145,2020-04-15,2.76,2.76,2.76,2.76
5144,2020-04-14,2.76,2.76,2.76,2.76
5143,2020-04-13,2.84,3.03,2.84,3.03
5142,2020-04-09,2.84,2.84,2.84,2.84
5141,2020-04-08,2.84,2.84,2.84,2.84
5140,2020-04-07,2.98,3.11,2.9422,3.11
5139,2020-04-06,2.73,3.05,2.4598,2.97
5138,2020-04-03,2.81,2.81,2.81,2.81
5137,2020-04-02,2.85,2.85,2.81,2.81
5136,2020-04-01,2.61,2.61,2.61,2.61
5135,2020-03-31,2.9481,2.95,2.91,2.95
5134,2020-03-30,2.6,2.8,2.6,2.8
5133,2020-03-27,2.96,2.96,2.96,2.96
5132,2020-03-26,2.95,3.3013,2.74,2.74
5131,2020-03-25,2.7899,3.0,2.7254,2.9204
5130,2020-03-24,2.84,3.0099,2.45,2.45
5129,2020-03-23,2.53,2.94,2.2257,2.29
5128,2020-03-20,2.75,3.22,2.3,2.72
5127,2020-03-19,2.84,2.84,2.13,2.3
5126,2020-03-18,2.8137,2.82,2.8137,2.82
5125,2020-03-17,2.7,3.28,2.7,2.9901
5124,2020-03-16,2.8,2.8396,2.7972,2.8373
5123,2020-03-13,3.15,3.156,2.8714,3.1356
5122,2020-03-12,2.62,3.19,2.42,3.19
5121,2020-03-11,2.81,3.0,2.81,2.95
5120,2020-03-10,3.63,3.63,3.0,3.05
5119,2020-03-09,3.49,3.5,3.2,3.309
5118,2020-03-06,3.72,3.73,3.38,3.41
5117,2020-03-05,3.65,3.65,3.65,3.65
5116,2020-03-04,3.28,3.65,3.275,3.65
5115,2020-03-03,3.3,3.4863,3.3,3.45
5114,2020-03-02,3.36,3.6133,3.3,3.41
5113,2020-02-28,3.85,3.85,2.9,3.3529
5112,2020-02-27,3.26,3.88,3.21,3.4
5111,2020-02-26,3.47,3.6228,3.47,3.6207
5110,2020-02-25,3.66,3.7,3.43,3.7
5109,2020-02-24,3.48,3.7,3.3973,3.6868
5108,2020-02-21,3.71,3.806,3.35,3.7
