,Date,Open,High,Low,Close
5469,2021-12-31,7.78,7.91,7.49,7.5
5468,2021-12-30,7.93,8.18,7.79,7.81
5467,2021-12-29,8.01,8.15,7.84,7.92
5466,2021-12-28,8.17,8.53,8.09,8.11
5465,2021-12-27,8.56,8.58,8.215,8.24
5464,2021-12-23,8.35,8.65,8.31,8.58
5463,2021-12-22,8.2,8.45,8.1,8.37
5462,2021-12-21,8.29,8.34,8.1,8.28
5461,2021-12-20,7.8049,8.33,7.8049,8.25
5460,2021-12-17,7.65,8.28,7.53,8.17
5459,2021-12-16,7.84,7.905,7.59,7.63
5458,2021-12-15,7.43,7.76,7.05,7.75
5457,2021-12-14,7.21,7.535,7.15,7.39
5456,2021-12-13,7.77,7.865,7.26,7.29
5455,2021-12-10,8.03,8.37,7.7,7.73
5454,2021-12-09,8.67,8.71,8.14,8.14
5453,2021-12-08,8.49,8.74,8.3585,8.72
5452,2021-12-07,8.36,8.595,8.23,8.47
5451,2021-12-06,8.08,8.305,7.91,8.21
5450,2021-12-03,8.5,8.5,8.03,8.1
5449,2021-12-02,8.01,8.52,8.01,8.45
5448,2021-12-01,8.41,8.54,7.96,8.01
5447,2021-11-30,8.14,8.355,7.81,8.29
5446,2021-11-29,8.67,8.76,8.185,8.22
5445,2021-11-26,8.67,8.742,8.3412,8.45
5444,2021-11-24,8.83,9.02,8.72,8.94
5443,2021-11-23,8.9,8.97,8.595,8.93
5442,2021-11-22,9.1,9.3016,8.9,8.92
5441,2021-11-19,9.28,9.35,8.995,9.07
5440,2021-11-18,9.56,9.67,9.265,9.32
5439,2021-11-17,9.71,9.71,9.37,9.52
5438,2021-11-16,9.86,9.89,9.66,9.8
5437,2021-11-15,10.23,10.335,9.785,9.82
5436,2021-11-12,10.13,10.27,9.96,10.15
5435,2021-11-11,10.0,10.335,9.97,10.04
5434,2021-11-10,10.32,10.6,9.95,10.1
5433,2021-11-09,10.56,10.78,10.405,10.44
5432,2021-11-08,10.94,11.075,10.465,10.56
5431,2021-11-05,10.81,11.22,10.3,10.97
5430,2021-11-04,9.42,11.49,9.42,10.89
5429,2021-11-03,8.85,9.21,8.7286,9.14
5428,2021-11-02,8.5,9.02,8.285,8.77
5427,2021-11-01,8.12,8.79,8.12,8.66
5426,2021-10-29,8.34,8.4,8.065,8.12
5425,2021-10-28,8.0,8.345,7.8938,8.33
5424,2021-10-27,8.07,8.2,7.96,7.98
5423,2021-10-26,8.17,8.22,8.07,8.1
5422,2021-10-25,8.34,8.39,8.12,8.13
5421,2021-10-22,8.28,8.41,8.13,8.32
5420,2021-10-21,8.24,8.415,8.24,8.32
5419,2021-10-20,8.48,8.54,8.22,8.23
5418,2021-10-19,8.6,8.75,8.46,8.52
5417,2021-10-18,8.7,8.728,8.505,8.55
5416,2021-10-15,9.0,9.0,8.675,8.75
5415,2021-10-14,8.91,9.035,8.75,8.88
5414,2021-10-13,8.83,9.075,8.74,8.83
5413,2021-10-12,8.86,9.14,8.665,8.71
5412,2021-10-11,8.71,8.93,8.69,8.79
5411,2021-10-08,8.83,8.85,8.63,8.77
5410,2021-10-07,8.76,8.97,8.66,8.86
5409,2021-10-06,8.72,8.8128,8.6,8.72
5408,2021-10-05,8.82,8.93,8.7101,8.85
5407,2021-10-04,9.2,9.2,8.7871,8.81
5406,2021-10-01,9.01,9.28,8.78,9.26
5405,2021-09-30,9.17,9.3494,9.01,9.01
5404,2021-09-29,9.665,9.665,9.07,9.12
5403,2021-09-28,9.69,9.74,9.43,9.48
5402,2021-09-27,9.66,9.88,9.525,9.8
5401,2021-09-24,9.7,9.81,9.54,9.6
5400,2021-09-23,9.62,9.83,9.51,9.83
5399,2021-09-22,9.62,9.66,9.465,9.6
5398,2021-09-21,9.34,9.61,9.31,9.54
5397,2021-09-20,9.28,9.5,9.15,9.28
5396,2021-09-17,9.27,9.575,9.105,9.55
5395,2021-09-16,9.16,9.255,8.9,9.23
5394,2021-09-15,9.19,9.3101,9.14,9.16
5393,2021-09-14,9.58,9.61,9.11,9.14
5392,2021-09-13,9.68,9.835,9.455,9.52
5391,2021-09-10,10.0,10.0201,9.66,9.66
5390,2021-09-09,9.81,10.14,9.7601,9.95
5389,2021-09-08,10.04,10.04,9.58,9.82
5388,2021-09-07,10.03,10.26,9.96,10.03
5387,2021-09-03,10.33,10.339,10.0,10.08
5386,2021-09-02,10.29,10.37,10.14,10.34
5385,2021-09-01,9.99,10.345,9.96,10.22
5384,2021-08-31,9.88,10.105,9.79,9.91
5383,2021-08-30,10.06,10.15,9.76,9.88
5382,2021-08-27,9.55,10.18,9.55,9.99
5381,2021-08-26,9.83,9.98,9.58,9.66
5380,2021-08-25,9.72,9.98,9.43,9.87
5379,2021-08-24,9.95,9.97,9.62,9.81
5378,2021-08-23,9.46,10.09,9.43,9.94
5377,2021-08-20,8.99,9.45,8.951,9.36
5376,2021-08-19,9.38,9.53,9.0,9.01
5375,2021-08-18,9.71,9.81,9.42,9.42
5374,2021-08-17,9.39,9.74,9.3,9.69
5373,2021-08-16,10.05,10.05,9.505,9.53
5372,2021-08-13,10.21,10.31,10.02,10.05
5371,2021-08-12,10.04,10.26,10.01,10.21
5370,2021-08-11,10.15,10.26,9.93,10.13
5369,2021-08-10,9.95,10.2636,9.8396,10.12
5368,2021-08-09,9.805,10.0,9.58,9.9
5367,2021-08-06,9.56,9.87,9.145,9.76
5366,2021-08-05,9.4,9.98,9.39,9.97
5365,2021-08-04,9.52,9.8,9.348,9.46
5364,2021-08-03,9.63,9.63,9.38,9.58
5363,2021-08-02,9.63,9.77,9.6,9.63
5362,2021-07-30,9.73,9.9462,9.54,9.58
5361,2021-07-29,9.96,10.13,9.72,9.72
5360,2021-07-28,9.57,10.0,9.5439,9.95
5359,2021-07-27,9.63,9.695,9.2,9.6
5358,2021-07-26,9.88,10.0001,9.65,9.67
5357,2021-07-23,10.16,10.19,9.89,9.94
5356,2021-07-22,10.33,10.37,10.03,10.16
5355,2021-07-21,10.2523,10.43,10.03,10.38
5354,2021-07-20,9.79,10.19,9.71,10.17
5353,2021-07-19,9.67,10.02,9.56,9.81
5352,2021-07-16,9.89,9.98,9.73,9.82
5351,2021-07-15,9.79,9.94,9.61,9.83
5350,2021-07-14,10.13,10.17,9.79,9.83
5349,2021-07-13,10.14,10.305,9.94,10.14
5348,2021-07-12,10.65,10.71,10.16,10.19
5347,2021-07-09,10.55,10.73,10.41,10.64
5346,2021-07-08,10.625,10.87,10.49,10.53
5345,2021-07-07,11.21,11.25,10.69,10.88
5344,2021-07-06,11.67,11.7,11.19,11.25
5343,2021-07-02,12.01,12.14,11.67,11.71
5342,2021-07-01,12.155,12.21,11.81,12.01
5341,2021-06-30,11.65,12.45,11.34,11.97
5340,2021-06-29,12.04,12.17,11.65,11.72
5339,2021-06-28,12.7956,12.8297,12.04,12.15
5338,2021-06-25,11.78,12.05,11.73,12.02
5337,2021-06-24,11.63,12.01,11.62,11.8
5336,2021-06-23,11.48,11.745,11.46,11.62
5335,2021-06-22,11.55,11.61,11.165,11.45
5334,2021-06-21,11.37,11.57,11.26,11.57
5333,2021-06-18,11.27,11.46,11.06,11.34
5332,2021-06-17,11.19,11.515,11.19,11.45
5331,2021-06-16,11.25,11.42,10.8801,11.26
5330,2021-06-15,11.75,11.8,11.2,11.27
5329,2021-06-14,11.76,11.85,11.62,11.75
5328,2021-06-11,11.8,11.9,11.62,11.76
5327,2021-06-10,11.52,11.905,11.39,11.76
5326,2021-06-09,11.65,11.93,11.42,11.53
5325,2021-06-08,11.49,11.57,11.1,11.56
5324,2021-06-07,10.93,11.55,10.805,11.4
5323,2021-06-04,10.83,10.945,10.74,10.89
5322,2021-06-03,10.8,10.96,10.7,10.77
5321,2021-06-02,10.59,10.87,10.59,10.86
5320,2021-06-01,10.79,11.02,10.62,10.71
5319,2021-05-28,10.88,11.32,10.735,10.78
5318,2021-05-27,10.78,10.88,10.5629,10.84
5317,2021-05-26,10.5,10.89,10.44,10.79
5316,2021-05-25,10.74,10.83,10.42,10.43
5315,2021-05-24,10.93,10.935,10.625,10.68
5314,2021-05-21,11.05,11.17,10.8,10.82
5313,2021-05-20,10.63,11.16,10.6,10.94
5312,2021-05-19,10.7,10.95,10.54,10.61
5311,2021-05-18,10.91,11.22,10.8,10.82
5310,2021-05-17,10.84,11.1,10.8,10.89
5309,2021-05-14,10.51,10.935,10.38,10.85
5308,2021-05-13,10.55,10.68,10.09,10.4
5307,2021-05-12,10.47,10.61,10.31,10.47
5306,2021-05-11,9.85,10.84,9.76,10.65
5305,2021-05-10,10.39,10.46,10.05,10.17
5304,2021-05-07,10.51,10.845,10.47,10.54
5303,2021-05-06,10.32,10.43,9.87,10.4
5302,2021-05-05,11.27,11.35,10.35,10.39
5301,2021-05-04,11.84,11.84,10.95,11.36
5300,2021-05-03,11.88,11.92,11.57,11.63
5299,2021-04-30,11.88,12.08,11.67,11.78
5298,2021-04-29,12.4929,12.5,11.8,11.9
5297,2021-04-28,11.97,12.43,11.84,12.33
5296,2021-04-27,12.45,12.49,11.9401,12.07
5295,2021-04-26,11.65,12.4,11.65,12.36
5294,2021-04-23,12.02,12.17,11.7,11.71
5293,2021-04-22,11.9,12.17,11.6976,11.85
5292,2021-04-21,11.55,11.89,11.289,11.87
5291,2021-04-20,11.25,11.58,11.15,11.53
5290,2021-04-19,11.3,11.53,11.14,11.31
5289,2021-04-16,11.83,11.85,11.33,11.48
5288,2021-04-15,11.81,12.13,11.68,11.77
5287,2021-04-14,11.33,12.08,11.33,11.64
5286,2021-04-13,10.98,11.36,10.95,11.28
5285,2021-04-12,11.0,11.23,10.6004,11.06
5284,2021-04-09,11.25,11.25,10.8332,11.02
5283,2021-04-08,11.33,11.5,11.04,11.25
5282,2021-04-07,11.76,11.94,11.2,11.24
5281,2021-04-06,12.56,12.64,11.84,11.85
5280,2021-04-05,12.43,12.65,12.3,12.64
5279,2021-04-01,12.67,12.85,12.11,12.28
5278,2021-03-31,11.81,12.68,11.743,12.53
5277,2021-03-30,11.55,12.0,11.43,11.67
5276,2021-03-29,11.98,11.9928,11.55,11.59
5275,2021-03-26,12.12,12.4,11.795,12.0
5274,2021-03-25,11.2977,12.3699,11.232,12.27
5273,2021-03-24,12.66,12.79,11.52,11.56
5272,2021-03-23,13.49,13.5,12.5323,12.59
5271,2021-03-22,13.35,13.93,13.21,13.59
5270,2021-03-19,12.445,13.26,12.2,13.23
5269,2021-03-18,12.03,12.52,11.79,11.86
5268,2021-03-17,11.3765,11.86,11.2,11.86
5267,2021-03-16,11.82,11.97,11.11,11.48
5266,2021-03-15,11.52,11.87,11.28,11.825
5265,2021-03-12,11.51,11.63,11.3,11.54
5264,2021-03-11,11.45,11.74,11.35,11.64
5263,2021-03-10,11.7,11.9,11.37,11.4
5262,2021-03-09,11.265,11.76,11.08,11.52
5261,2021-03-08,11.34,11.67,10.84,10.88
5260,2021-03-05,11.25,11.39,10.51,11.36
5259,2021-03-04,11.26,11.62,10.9082,11.23
5258,2021-03-03,11.67,11.81,11.19,11.2
5257,2021-03-02,11.95,12.24,11.59,11.63
5256,2021-03-01,11.73,12.15,11.51,11.99
5255,2021-02-26,11.35,11.78,11.19,11.49
5254,2021-02-25,12.0,12.76,11.18,11.19
5253,2021-02-24,12.58,12.68,12.08,12.52
5252,2021-02-23,12.1,12.81,11.64,12.33
5251,2021-02-22,13.15,13.16,12.56,12.62
5250,2021-02-19,13.44,13.73,13.0,13.21
5249,2021-02-18,13.21,13.485,12.86,13.42
5248,2021-02-17,13.3,13.52,12.94,13.45
5247,2021-02-16,13.7,13.7052,13.12,13.51
5246,2021-02-12,13.75,13.95,13.48,13.68
5245,2021-02-11,14.22,14.2306,13.42,13.86
5244,2021-02-10,14.68,15.025,13.77,14.04
5243,2021-02-09,15.4543,15.4543,14.46,14.59
5242,2021-02-08,14.7,15.4,14.5301,15.32
5241,2021-02-05,14.7,14.73,14.3,14.64
5240,2021-02-04,14.05,14.3,13.59,14.19
5239,2021-02-03,14.07,14.83,13.8,13.88
5238,2021-02-02,14.26,14.4,13.61,14.11
5237,2021-02-01,13.93,14.1,13.48,14.08
5236,2021-01-29,14.44,15.0,13.66,13.66
5235,2021-01-28,14.21,14.65,13.9,14.19
5234,2021-01-27,14.25,15.0,13.97,14.07
5233,2021-01-26,15.39,15.4499,14.305,14.4
5232,2021-01-25,14.95,15.19,14.25,15.05
5231,2021-01-22,14.41,15.11,14.39,14.95
5230,2021-01-21,15.58,15.7,14.36,14.49
5229,2021-01-20,15.74,15.84,15.4,15.42
5228,2021-01-19,15.93,16.26,15.36,15.55
5227,2021-01-15,16.16,16.79,15.7318,15.75
5226,2021-01-14,15.84,16.537,15.4582,16.19
5225,2021-01-13,15.52,16.22,15.37,15.5
5224,2021-01-12,16.25,16.67,15.62,15.76
5223,2021-01-11,16.95,16.96,16.02,16.21
5222,2021-01-08,17.0,17.53,16.36,16.98
5221,2021-01-07,16.01,17.2,16.01,17.05
5220,2021-01-06,15.83,16.7,15.36,16.24
5219,2021-01-05,15.8,16.13,15.51,16.01
5218,2021-01-04,16.1,16.3,15.575,15.92
5217,2020-12-31,16.74,16.84,15.505,15.605
5216,2020-12-30,16.56,17.27,16.495,16.86
5215,2020-12-29,18.27,18.49,16.42,16.625
5214,2020-12-28,17.96,19.43,17.84,18.04
5213,2020-12-24,18.13,18.55,17.58,17.81
5212,2020-12-23,18.25,18.4,16.81,18.18
5211,2020-12-22,16.17,18.64,16.1,17.94
5210,2020-12-21,14.05,15.99,13.85,15.09
5209,2020-12-18,13.5,14.68,13.35,14.32
5208,2020-12-17,13.56,13.7,13.0,13.4
5207,2020-12-16,13.21,13.51,12.6853,13.29
5206,2020-12-15,13.25,13.26,12.62,12.98
5205,2020-12-14,12.57,13.85,12.57,13.08
5204,2020-12-11,14.93,15.36,12.22,12.28
5203,2020-12-10,10.22,15.69,10.07,15.65
5202,2020-12-09,9.69,10.255,9.643,10.23
5201,2020-12-08,9.29,9.7,9.21,9.68
5200,2020-12-07,9.93,9.99,9.05,9.28
5199,2020-12-04,9.92,10.02,9.77,9.99
5198,2020-12-03,10.0,10.03,9.82,9.86
5197,2020-12-02,10.05,10.09,9.85,9.98
5196,2020-12-01,10.14,10.32,10.04,10.09
5195,2020-11-30,10.15,10.2,9.795,9.99
5194,2020-11-27,9.81,10.13,9.81,10.12
5193,2020-11-25,9.97,10.0,9.75,9.77
5192,2020-11-24,9.95,10.21,9.915,9.97
5191,2020-11-23,10.26,10.3,9.86,9.99
5190,2020-11-20,10.25,10.365,9.9401,10.25
5189,2020-11-19,10.43,10.58,10.255,10.32
5188,2020-11-18,11.4,11.4,10.39,10.48
5187,2020-11-17,11.37,11.54,11.24,11.32
5186,2020-11-16,11.61,11.62,11.19,11.37
5185,2020-11-13,11.21,11.63,11.03,11.48
5184,2020-11-12,11.1427,11.42,11.02,11.11
5183,2020-11-11,11.84,11.97,11.09,11.22
5182,2020-11-10,11.63,12.14,11.29,11.86
5181,2020-11-09,11.6,11.76,11.26,11.58
5180,2020-11-06,11.91,11.91,11.155,11.185
5179,2020-11-05,12.01,12.49,11.75,11.99
5178,2020-11-04,10.77,12.0,10.55,11.82
5177,2020-11-03,10.45,10.74,10.15,10.65
5176,2020-11-02,10.43,10.66,9.91,10.38
5175,2020-10-30,10.58,10.6,10.0,10.34
5174,2020-10-29,10.8,10.8,10.31,10.61
5173,2020-10-28,10.97,11.11,10.75,10.825
5172,2020-10-27,11.15,11.3051,10.74,11.19
5171,2020-10-26,10.8,11.19,10.68,11.19
5170,2020-10-23,10.7,10.86,10.455,10.84
5169,2020-10-22,10.5,10.97,10.45,10.65
5168,2020-10-21,10.65,10.76,10.33,10.37
5167,2020-10-20,10.8,11.0,10.6,10.6
5166,2020-10-19,11.22,11.36,10.825,10.91
5165,2020-10-16,11.12,11.52,11.05,11.14
5164,2020-10-15,11.12,11.22,10.74,11.16
5163,2020-10-14,11.39,11.61,11.135,11.26
5162,2020-10-13,11.05,11.4,10.91,11.38
5161,2020-10-12,10.91,11.27,10.76,11.16
5160,2020-10-09,10.11,11.0148,10.01,10.83
5159,2020-10-08,10.4,10.435,9.825,9.89
5158,2020-10-07,9.52,10.24,9.52,10.18
5157,2020-10-06,9.8,9.92,9.65,9.7
5156,2020-10-05,9.39,9.82,9.39,9.78
5155,2020-10-02,9.15,9.365,9.14,9.23
5154,2020-10-01,9.605,9.66,9.23,9.36
5153,2020-09-30,9.92,10.03,9.41,9.45
5152,2020-09-29,9.88,9.96,9.5,9.89
5151,2020-09-28,10.07,10.17,9.83,9.91
5150,2020-09-25,9.8,10.06,9.74,9.97
5149,2020-09-24,9.75,9.93,9.61,9.81
5148,2020-09-23,10.5,10.5,9.88,9.89
5147,2020-09-22,10.32,10.54,10.12,10.51
5146,2020-09-21,10.62,10.735,10.25,10.31
5145,2020-09-18,10.88,11.18,10.52,10.82
5144,2020-09-17,10.58,10.81,10.41,10.78
5143,2020-09-16,10.69,10.84,10.55,10.6
5142,2020-09-15,10.94,10.99,10.625,10.67
5141,2020-09-14,10.27,10.83,10.27,10.82
5140,2020-09-11,10.28,10.47,9.92,10.095
5139,2020-09-10,10.49,10.72,10.0,10.17
5138,2020-09-09,10.26,10.44,10.18,10.43
5137,2020-09-08,9.88,10.37,9.795,10.195
5136,2020-09-04,10.04,10.17,9.45,10.03
5135,2020-09-03,10.03,10.275,9.94,10.08
5134,2020-09-02,10.15,10.37,9.975,10.12
5133,2020-09-01,11.0,11.09,9.34,9.995
5132,2020-08-31,10.82,11.28,10.78,11.035
5131,2020-08-28,10.9,11.07,10.72,10.85
5130,2020-08-27,10.8335,10.9647,10.67,10.79
5129,2020-08-26,11.27,11.29,10.96,10.98
5128,2020-08-25,11.13,11.39,10.94,11.29
5127,2020-08-24,11.57,11.66,11.17,11.21
5126,2020-08-21,11.62,11.745,11.44,11.53
5125,2020-08-20,12.09,12.16,11.38,11.66
5124,2020-08-19,12.71,13.1999,11.87,12.22
5123,2020-08-18,11.56,12.04,11.49,11.9
5122,2020-08-17,11.38,11.78,11.37,11.69
5121,2020-08-14,11.6,11.65,11.33,11.39
5120,2020-08-13,11.67,11.9099,11.57,11.62
5119,2020-08-12,12.19,12.24,11.35,11.68
5118,2020-08-11,12.65,12.71,12.08,12.14
5117,2020-08-10,12.33,12.72,12.1,12.48
5116,2020-08-07,11.82,12.59,11.54,12.33
5115,2020-08-06,11.2,12.91,11.13,11.72
5114,2020-08-05,11.45,11.56,11.195,11.5
5113,2020-08-04,11.47,11.61,11.28,11.44
5112,2020-08-03,10.84,11.605,10.825,11.54
5111,2020-07-31,11.38,11.44,10.41,10.83
5110,2020-07-30,10.35,11.48,10.16,11.34
5109,2020-07-29,10.03,10.2433,9.84,9.9
5108,2020-07-28,11.05,11.05,10.03,10.03
5107,2020-07-27,10.77,11.15,10.66,11.1
5106,2020-07-24,10.96,10.96,10.565,10.75
5105,2020-07-23,11.12,11.42,10.96,11.05
5104,2020-07-22,11.03,11.23,10.88,11.13
5103,2020-07-21,11.44,11.47,11.03,11.07
5102,2020-07-20,11.25,11.6,11.14,11.38
5101,2020-07-17,11.24,11.32,11.1,11.19
5100,2020-07-16,11.19,11.27,10.87,11.22
5099,2020-07-15,10.84,11.25,10.77,11.22
5098,2020-07-14,10.23,10.63,10.16,10.63
