,Date,Open,High,Low,Close
5578,2021-12-31,66.83,68.1093,65.83,66.83
5577,2021-12-30,65.27,70.66,65.021,67.18
5576,2021-12-29,65.64,66.6,65.26,65.6
5575,2021-12-28,66.8,67.96,65.9,66.01
5574,2021-12-27,68.1288,68.4,66.18,67.18
5573,2021-12-23,66.0,69.65,65.25,67.75
5572,2021-12-22,61.49,63.39,61.16,62.18
5571,2021-12-21,59.29,62.03,58.91,61.85
5570,2021-12-20,58.39,59.89,57.4,58.49
5569,2021-12-17,57.56,61.73,56.79,60.41
5568,2021-12-16,61.12,61.8,56.79,57.28
5567,2021-12-15,57.88,60.465,56.84,59.86
5566,2021-12-14,59.24,60.26,57.93,58.21
5565,2021-12-13,61.77,62.85,58.93,59.75
5564,2021-12-10,62.95,63.785,62.14,63.08
5563,2021-12-09,64.15,66.11,62.9,62.96
5562,2021-12-08,64.65,66.965,64.51,64.94
5561,2021-12-07,65.08,66.5,63.86,64.28
5560,2021-12-06,59.61,64.24,58.091,63.55
5559,2021-12-03,62.18,62.18,57.92,59.1
5558,2021-12-02,60.44,62.04,59.2,61.85
5557,2021-12-01,65.81,66.86,59.46,59.99
5556,2021-11-30,63.24,65.27,62.24,63.92
5555,2021-11-29,66.52,66.52,62.73,63.95
5554,2021-11-26,61.52,65.75,61.4,65.3
5553,2021-11-24,65.4,66.84,64.0,65.76
5552,2021-11-23,67.48,67.67,65.0,65.98
5551,2021-11-22,68.15,68.9,66.14,67.38
5550,2021-11-19,66.58,70.04,66.27,67.61
5549,2021-11-18,69.15,69.59,67.44,68.45
5548,2021-11-17,69.0,69.18,67.24,68.95
5547,2021-11-16,70.28,70.68,67.86,69.06
5546,2021-11-15,72.12,72.3,69.77,70.61
5545,2021-11-12,73.96,73.96,70.635,71.84
5544,2021-11-11,78.95,78.95,71.72,73.69
5543,2021-11-10,75.93,79.57,75.93,76.95
5542,2021-11-09,79.68,80.79,78.6,79.85
5541,2021-11-08,81.62,82.55,78.55,78.77
5540,2021-11-05,82.18,83.82,81.61,81.75
5539,2021-11-04,83.17,83.31,79.2,79.79
5538,2021-11-03,80.0,84.158,78.94,82.86
5537,2021-11-02,85.0,85.0,81.33,82.6
5536,2021-11-01,81.0,87.85,80.67,85.68
5535,2021-10-29,81.31,82.77,78.43,80.05
5534,2021-10-28,86.59,87.72,75.12,82.0
5533,2021-10-27,88.76,90.2,87.4,89.08
5532,2021-10-26,88.75,89.78,87.55,88.42
5531,2021-10-25,85.54,87.77,84.85,87.71
5530,2021-10-22,85.11,85.76,83.62,85.51
5529,2021-10-21,83.58,85.49,83.26,84.12
5528,2021-10-20,83.22,84.86,82.0,83.95
5527,2021-10-19,87.04,87.21,83.29,83.46
5526,2021-10-18,84.02,85.6,82.42,85.26
5525,2021-10-15,88.31,89.16,84.76,84.9
5524,2021-10-14,83.95,86.49,83.285,86.05
5523,2021-10-13,81.82,82.78,80.5,81.92
5522,2021-10-12,78.96,81.78,78.57,81.41
5521,2021-10-11,78.61,79.52,77.87,77.98
5520,2021-10-08,81.35,82.8031,78.87,78.89
5519,2021-10-07,80.71,82.76,80.06,81.61
5518,2021-10-06,77.59,80.2986,76.76,79.65
5517,2021-10-05,82.46,83.45,77.64,78.42
5516,2021-10-04,85.7,86.135,81.99,82.51
5515,2021-10-01,84.13,87.45,83.925,86.11
5514,2021-09-30,84.8,84.99,82.8,83.07
5513,2021-09-29,82.83,84.2,80.571,84.11
5512,2021-09-28,83.51,84.8,82.08,82.71
5511,2021-09-27,80.72,83.43,80.72,82.95
5510,2021-09-24,79.44,82.58,79.44,81.28
5509,2021-09-23,78.16,80.5,77.53,79.73
5508,2021-09-22,75.04,78.52,75.04,77.33
5507,2021-09-21,73.58,74.58,71.0132,73.73
5506,2021-09-20,73.38,75.675,72.31,73.43
5505,2021-09-17,79.2,80.84,76.3,76.52
5504,2021-09-16,79.06,81.0,78.45,79.39
5503,2021-09-15,74.88,79.2,73.88,78.57
5502,2021-09-14,73.78,75.45,72.54,74.88
5501,2021-09-13,72.45,74.12,70.57,73.8
5500,2021-09-10,73.9,74.0275,71.61,71.92
5499,2021-09-09,70.72,74.45,70.71,73.63
5498,2021-09-08,72.15,73.36,70.36,70.97
5497,2021-09-07,70.37,74.53,69.6,72.69
5496,2021-09-03,71.19,71.58,69.02,70.06
5495,2021-09-02,72.18,72.57,70.9,71.3
5494,2021-09-01,72.63,73.82,70.94,72.0
5493,2021-08-31,72.64,73.28,71.68,72.35
5492,2021-08-30,75.06,75.06,72.431,72.55
5491,2021-08-27,72.15,75.21,71.84,74.94
5490,2021-08-26,74.27,74.665,71.195,71.52
5489,2021-08-25,71.38,74.93,71.05,74.75
5488,2021-08-24,71.0,71.93,70.52,71.45
5487,2021-08-23,68.91,70.73,68.15,70.37
5486,2021-08-20,65.05,67.63,64.955,67.48
5485,2021-08-19,66.38,67.39,64.41,65.35
5484,2021-08-18,67.34,69.18,66.39,67.41
5483,2021-08-17,68.32,68.59,65.38,67.06
5482,2021-08-16,68.61,70.65,67.4878,69.57
5481,2021-08-13,72.43,72.75,69.77,69.89
5480,2021-08-12,71.41,72.19,69.47,71.95
5479,2021-08-11,67.17,71.11,67.03,71.03
5478,2021-08-10,70.27,71.17,66.2,67.29
5477,2021-08-09,67.52,70.125,64.75,69.97
5476,2021-08-06,64.57,64.57,62.62,64.04
5475,2021-08-05,61.5,63.84,61.5,63.46
5474,2021-08-04,61.58,62.62,60.855,61.01
5473,2021-08-03,63.77,64.05,60.55,62.1
5472,2021-08-02,62.72,65.15,62.04,63.01
5471,2021-07-30,61.25,62.5,60.511,61.71
5470,2021-07-29,62.68,63.42,61.43,62.19
5469,2021-07-28,61.99,63.16,60.13,62.35
5468,2021-07-27,61.9,62.06,58.68,61.1
5467,2021-07-26,62.75,63.36,60.88,62.68
5466,2021-07-23,62.26,62.4,60.26,60.93
5465,2021-07-22,63.93,64.0,61.26,62.05
5464,2021-07-21,63.72,65.02,63.06,63.89
5463,2021-07-20,60.34,63.36,59.16,62.64
5462,2021-07-19,58.165,61.4,57.64,60.21
5461,2021-07-16,65.1,65.1,60.84,60.96
5460,2021-07-15,67.32,67.655,63.09,64.37
5459,2021-07-14,70.72,71.17,67.32,68.07
5458,2021-07-13,71.1,71.38,68.88,69.63
5457,2021-07-12,70.66,71.79,69.63,71.21
5456,2021-07-09,71.41,72.195,70.22,71.23
5455,2021-07-08,70.0,72.545,69.37,70.65
5454,2021-07-07,74.75,75.39,71.79,72.4
5453,2021-07-06,76.73,76.88,73.3501,74.99
5452,2021-07-02,77.13,77.23,74.73,76.73
5451,2021-07-01,78.98,79.7599,76.61,76.8
5450,2021-06-30,78.0,79.13,76.31,77.44
5449,2021-06-29,75.97,80.81,75.44,77.68
5448,2021-06-28,75.93,76.1,73.82,75.96
5447,2021-06-25,78.57,78.57,76.07,76.23
5446,2021-06-24,79.04,79.98,77.35,78.1
5445,2021-06-23,77.7,79.17,76.79,78.14
5444,2021-06-22,75.3,78.09,74.7,77.85
5443,2021-06-21,72.89,76.3,72.33,76.08
5442,2021-06-18,74.3,75.035,71.615,72.34
5441,2021-06-17,75.17,77.64,73.51,75.66
5440,2021-06-16,73.71,76.02,73.66,75.63
5439,2021-06-15,74.61,75.5799,74.11,74.42
5438,2021-06-14,75.57,76.32,74.17,74.69
5437,2021-06-11,72.54,75.76,72.54,75.75
5436,2021-06-10,75.29,75.88,72.44,72.54
5435,2021-06-09,76.66,77.2899,74.565,75.27
5434,2021-06-08,75.57,76.84,75.14,76.52
5433,2021-06-07,73.79,76.12,73.79,75.29
5432,2021-06-04,74.29,75.2199,72.89,73.59
5431,2021-06-03,72.08,74.96,69.54,73.57
5430,2021-06-02,73.5,74.58,71.1287,74.15
5429,2021-06-01,73.24,75.04,71.49,74.53
5428,2021-05-28,72.08,72.988,70.86,72.54
5427,2021-05-27,70.0,72.55,68.71,72.2
5426,2021-05-26,68.6,69.9498,67.73,69.3
5425,2021-05-25,68.98,69.99,65.67,66.69
5424,2021-05-24,65.66,69.43,64.705,68.36
5423,2021-05-21,64.8,65.54,63.37,64.85
5422,2021-05-20,62.1,64.61,61.28,64.27
5421,2021-05-19,59.16,62.66,58.5,62.02
5420,2021-05-18,60.0,62.34,59.2,61.07
