,Date,Open,High,Low,Close
5578,2021-12-31,45.88,46.56,45.63,46.47
5577,2021-12-30,45.48,46.29,45.2815,45.96
5576,2021-12-29,45.05,46.1,45.035,45.68
5575,2021-12-28,44.97,45.34,44.7,45.0
5574,2021-12-27,44.61,45.05,44.2,44.94
5573,2021-12-23,44.79,44.91,44.07,44.44
5572,2021-12-22,44.43,45.045,43.66,44.74
5571,2021-12-21,43.43,44.48,43.405,44.41
5570,2021-12-20,44.24,44.25,42.6,42.98
5569,2021-12-17,44.61,45.72,44.42,44.6
5568,2021-12-16,47.12,47.12,44.8,45.01
5567,2021-12-15,46.79,47.1,45.83,47.05
5566,2021-12-14,47.05,48.07,45.54,46.99
5565,2021-12-13,48.49,48.49,46.49,47.45
5564,2021-12-10,48.29,48.58,47.44,48.49
5563,2021-12-09,48.19,49.21,47.97,47.98
5562,2021-12-08,48.63,48.9,48.01,48.56
5561,2021-12-07,48.2,49.465,48.16,48.51
5560,2021-12-06,49.7236,49.7236,46.87,47.76
5559,2021-12-03,47.06,47.09,45.63,46.03
5558,2021-12-02,46.24,47.245,45.89,46.94
5557,2021-12-01,48.33,48.77,46.08,46.08
5556,2021-11-30,47.69,47.84,46.1,47.45
5555,2021-11-29,48.14,48.505,47.085,47.78
5554,2021-11-26,47.27,47.58,46.23,47.44
5553,2021-11-24,48.42,49.09,47.84,48.88
5552,2021-11-23,49.37,49.98,48.95,49.22
5551,2021-11-22,49.38,50.36,47.81,49.62
5550,2021-11-19,50.18,50.64,48.39,49.33
5549,2021-11-18,51.04,51.51,50.5,50.67
5548,2021-11-17,51.05,51.56,50.35,50.53
5547,2021-11-16,49.97,51.29,49.63,51.28
5546,2021-11-15,50.27,50.27,49.53,49.86
5545,2021-11-12,49.46,50.27,49.32,49.81
5544,2021-11-11,49.82,50.12,48.9,49.27
5543,2021-11-10,50.07,50.84,49.205,49.83
5542,2021-11-09,49.57,50.69,49.53,50.52
5541,2021-11-08,49.96,50.265,49.36,49.91
5540,2021-11-05,50.61,51.4,49.74,49.77
5539,2021-11-04,48.69,49.89,48.63,49.81
5538,2021-11-03,46.55,49.405,46.2201,48.65
5537,2021-11-02,46.28,46.28,44.7,44.83
5536,2021-11-01,45.5,46.83,45.43,46.09
5535,2021-10-29,45.36,45.55,44.78,45.1
5534,2021-10-28,44.77,45.58,44.62,45.21
5533,2021-10-27,45.63,45.65,44.53,44.6
5532,2021-10-26,45.9,46.35,45.46,45.63
5531,2021-10-25,44.67,45.66,44.57,45.6
5530,2021-10-22,43.9,44.96,43.645,44.48
5529,2021-10-21,42.67,44.04,42.64,43.9
5528,2021-10-20,43.01,43.64,42.45,42.53
5527,2021-10-19,43.29,43.87,42.81,43.03
5526,2021-10-18,42.2,43.28,42.14,43.04
5525,2021-10-15,43.29,43.405,42.64,42.82
5524,2021-10-14,42.85,43.31,42.56,42.72
5523,2021-10-13,42.14,42.455,41.48,42.31
5522,2021-10-12,41.41,42.06,40.86,41.79
5521,2021-10-11,41.74,42.54,41.1,41.22
5520,2021-10-08,42.5,42.5,41.28,41.6
5519,2021-10-07,41.17,42.025,41.11,41.77
5518,2021-10-06,40.55,40.97,39.53,40.75
5517,2021-10-05,41.29,41.87,40.265,41.19
5516,2021-10-04,40.45,41.12,40.26,40.89
5515,2021-10-01,40.49,41.13,39.63,40.62
5514,2021-09-30,42.37,42.879,40.12,40.16
5513,2021-09-29,42.17,42.51,41.6,42.31
5512,2021-09-28,42.18,42.46,41.69,42.09
5511,2021-09-27,42.42,42.99,42.245,42.29
5510,2021-09-24,41.93,42.27,41.17,42.09
5509,2021-09-23,41.93,43.105,41.93,42.5
5508,2021-09-22,40.81,42.0022,40.81,41.66
5507,2021-09-21,40.9,41.41,40.11,40.55
5506,2021-09-20,38.81,39.51,38.51,39.15
5505,2021-09-17,38.97,40.01,38.88,39.68
5504,2021-09-16,38.77,39.4,38.58,38.63
5503,2021-09-15,39.2,39.33,38.52,38.8
5502,2021-09-14,39.18,39.84,37.91,39.08
5501,2021-09-13,39.75,40.11,38.7,39.03
5500,2021-09-10,39.73,40.1799,39.395,39.55
5499,2021-09-09,39.36,40.06,39.08,39.66
5498,2021-09-08,39.35,39.671,38.69,39.29
5497,2021-09-07,39.66,39.815,39.21,39.57
5496,2021-09-03,40.32,40.595,39.68,39.71
5495,2021-09-02,40.03,40.82,39.67,40.44
5494,2021-09-01,40.82,40.86,39.6511,39.94
5493,2021-08-31,40.87,41.15,40.33,40.47
5492,2021-08-30,41.46,41.48,40.79,40.89
5491,2021-08-27,40.29,41.49,40.29,41.38
5490,2021-08-26,41.32,41.32,39.77,40.25
5489,2021-08-25,41.52,41.79,41.0426,41.56
5488,2021-08-24,40.82,41.75,40.69,41.48
5487,2021-08-23,40.84,41.16,40.63,40.89
5486,2021-08-20,39.76,40.45,39.57,40.43
5485,2021-08-19,39.08,40.06,38.91,39.65
5484,2021-08-18,39.86,40.81,39.64,39.74
5483,2021-08-17,40.945,40.945,39.42,40.0
5482,2021-08-16,41.61,41.79,40.8,41.41
5481,2021-08-13,42.11,42.26,41.27,41.9
5480,2021-08-12,43.31,43.41,42.2101,42.29
5479,2021-08-11,43.18,43.5221,42.35,43.13
5478,2021-08-10,41.98,43.61,41.75,43.31
5477,2021-08-09,41.96,42.46,41.11,42.09
5476,2021-08-06,42.21,42.86,41.9,42.19
5475,2021-08-05,41.26,42.51,41.17,41.85
5474,2021-08-04,42.84,43.25,41.1,41.24
5473,2021-08-03,43.8,44.18,42.73,43.38
5472,2021-08-02,44.17,45.06,43.27,43.37
5471,2021-07-30,43.56,44.225,43.125,43.83
5470,2021-07-29,44.65,44.65,43.57,43.89
5469,2021-07-28,44.31,45.265,42.075,43.75
5468,2021-07-27,43.33,44.05,42.84,43.37
5467,2021-07-26,42.36,43.7,42.15,43.64
5466,2021-07-23,41.86,42.355,41.24,42.33
5465,2021-07-22,41.55,41.765,41.0,41.36
5464,2021-07-21,40.81,42.105,40.81,41.4
5463,2021-07-20,39.15,40.825,39.03,40.48
5462,2021-07-19,38.575,39.82,38.33,38.92
5461,2021-07-16,41.21,41.54,40.07,40.11
5460,2021-07-15,41.61,41.835,40.54,40.96
5459,2021-07-14,42.52,42.99,41.76,41.86
5458,2021-07-13,42.4,42.56,41.45,42.29
5457,2021-07-12,41.98,42.56,41.57,42.5
5456,2021-07-09,41.87,42.7,41.87,42.48
5455,2021-07-08,40.71,41.51,40.03,41.27
5454,2021-07-07,42.27,42.89,41.18,41.74
5453,2021-07-06,43.33,43.39,41.805,42.55
5452,2021-07-02,43.77,43.775,43.2,43.4
5451,2021-07-01,43.99,44.42,43.41,43.67
5450,2021-06-30,42.93,43.82,42.81,43.76
5449,2021-06-29,43.63,43.89,42.8,43.14
5448,2021-06-28,44.7,44.92,43.48,43.53
5447,2021-06-25,44.37,45.87,44.19,44.68
5446,2021-06-24,44.02,44.29,43.4338,44.04
5445,2021-06-23,42.365,44.45,42.365,43.97
5444,2021-06-22,41.975,43.47,41.975,43.24
5443,2021-06-21,42.25,43.5,42.25,43.1
5442,2021-06-18,42.0,42.92,41.74,42.02
5441,2021-06-17,43.83,44.0,42.31,42.59
5440,2021-06-16,43.55,43.85,42.78,43.66
5439,2021-06-15,44.05,44.2954,43.2,43.58
5438,2021-06-14,44.51,44.77,43.76,43.99
5437,2021-06-11,43.43,44.675,43.07,44.6
5436,2021-06-10,44.37,44.52,43.3,43.37
5435,2021-06-09,44.71,44.71,43.95,44.21
5434,2021-06-08,43.72,44.505,42.74,44.47
5433,2021-06-07,41.83,42.315,41.8,42.2
5432,2021-06-04,41.34,41.94,40.41,41.5
5431,2021-06-03,41.14,41.56,40.06,41.51
5430,2021-06-02,41.25,41.35,39.13,41.28
5429,2021-06-01,41.62,41.86,40.14,41.33
5428,2021-05-28,41.51,41.62,38.88,41.4
5427,2021-05-27,41.87,41.87,41.1,41.52
5426,2021-05-26,40.26,41.57,40.03,41.53
5425,2021-05-25,41.45,41.695,40.08,40.18
5424,2021-05-24,39.29,41.1141,39.01,40.94
5423,2021-05-21,40.45,40.68,39.12,39.15
5422,2021-05-20,40.27,41.07,39.25,39.92
5421,2021-05-19,40.78,41.34,39.85,40.31
5420,2021-05-18,41.88,42.4,41.31,41.39
5419,2021-05-17,41.14,42.03,41.07,41.9
5418,2021-05-14,40.24,41.18,39.905,41.04
5417,2021-05-13,39.07,40.39,39.07,40.13
5416,2021-05-12,40.65,41.04,38.8,38.86
5415,2021-05-11,40.87,41.5,40.51,41.0
5414,2021-05-10,43.31,43.56,41.54,41.57
5413,2021-05-07,42.46,43.28,42.46,43.12
5412,2021-05-06,42.64,43.19,42.09,42.83
5411,2021-05-05,42.66,43.02,41.86,42.46
5410,2021-05-04,41.7,42.645,41.64,42.49
5409,2021-05-03,41.13,42.175,40.991,42.04
5408,2021-04-30,40.39,40.94,40.2,40.67
5407,2021-04-29,40.84,40.84,39.16,40.51
5406,2021-04-28,40.35,40.53,38.93,40.02
5405,2021-04-27,41.04,42.625,41.04,42.49
5404,2021-04-26,41.63,42.0,40.93,41.01
5403,2021-04-23,40.88,41.72,40.66,41.62
5402,2021-04-22,39.77,41.14,38.745,40.48
5401,2021-04-21,38.6,39.9199,38.4,39.56
5400,2021-04-20,38.86,39.0,37.81,38.45
5399,2021-04-19,39.0,39.28,38.62,39.06
5398,2021-04-16,38.96,39.8,38.955,39.08
5397,2021-04-15,39.01,39.43,38.2,38.45
5396,2021-04-14,38.19,38.99,37.46,38.5
5395,2021-04-13,38.28,38.36,37.28,38.12
5394,2021-04-12,37.94,38.69,37.72,38.53
5393,2021-04-09,38.05,39.1604,37.41,38.13
5392,2021-04-08,38.86,38.86,37.75,37.88
5391,2021-04-07,38.61,39.69,38.04,38.71
5390,2021-04-06,38.49,39.49,38.24,38.53
5389,2021-04-05,37.74,38.52,36.87,38.3
5388,2021-04-01,37.4,37.76,36.831,37.16
5387,2021-03-31,37.42,37.81,36.52,37.26
5386,2021-03-30,37.0,37.79,36.77,37.28
5385,2021-03-29,38.39,39.02,36.63,36.83
5384,2021-03-26,37.48,38.72,36.94,38.65
5383,2021-03-25,35.36,37.2,34.92,36.85
5382,2021-03-24,36.01,36.82,35.79,35.825
5381,2021-03-23,36.57,37.05,35.105,35.43
5380,2021-03-22,38.03,38.22,36.8101,37.11
5379,2021-03-19,37.29,38.46,36.79,38.23
