,Date,Open,High,Low,Close
1666,2021-12-31,1399.91,1403.652,1377.04,1377.39
1665,2021-12-30,1388.09,1432.88,1388.09,1398.24
1664,2021-12-29,1368.99,1400.7888,1351.37,1392.08
1663,2021-12-28,1408.18,1414.99,1364.17,1375.62
1662,2021-12-27,1443.61,1457.0,1396.15,1400.59
1661,2021-12-23,1390.0,1443.61,1380.83,1439.33
1660,2021-12-22,1359.49,1392.35,1351.36,1385.63
1659,2021-12-21,1312.52,1371.29,1304.705,1370.11
1658,2021-12-20,1307.4,1320.0,1271.8888,1282.17
1657,2021-12-17,1305.37,1352.07,1280.01,1323.4
1656,2021-12-16,1428.0,1428.0,1297.915,1326.88
1655,2021-12-15,1352.0,1376.42,1288.94,1368.08
1654,2021-12-14,1368.0,1402.5499,1329.0001,1354.28
1653,2021-12-13,1447.6,1470.39,1371.01,1397.15
1652,2021-12-10,1508.49,1531.5,1442.0527,1461.58
1651,2021-12-09,1515.0,1533.98,1482.12,1494.95
1650,2021-12-08,1508.6,1534.94,1492.0,1520.29
1649,2021-12-07,1471.41,1535.99,1466.6214,1520.51
1648,2021-12-06,1373.12,1430.86,1340.0,1428.12
1647,2021-12-03,1465.98,1467.545,1357.03,1410.0
1646,2021-12-02,1457.49,1484.83,1431.0,1447.15
1645,2021-12-01,1546.6,1558.0,1457.98,1459.71
1644,2021-11-30,1600.5,1629.938,1516.64,1521.79
1643,2021-11-29,1577.32,1583.47,1524.71,1567.02
1642,2021-11-26,1650.0,1661.2699,1576.23,1576.7
1641,2021-11-24,1555.41,1642.02,1541.24,1628.7
1640,2021-11-23,1588.01,1613.6399,1532.12,1573.06
1639,2021-11-22,1701.01,1703.5,1580.52,1595.01
1638,2021-11-19,1718.0,1762.9184,1685.095,1690.6
1637,2021-11-18,1646.0,1697.55,1637.21,1681.3
1636,2021-11-17,1658.1,1676.7875,1635.6524,1637.81
1635,2021-11-16,1630.0,1714.51,1628.51,1675.32
1634,2021-11-15,1653.4,1704.39,1632.51,1656.5
1633,2021-11-12,1520.97,1674.785,1510.01,1669.52
1632,2021-11-11,1500.5,1512.0,1490.0,1490.34
1631,2021-11-10,1537.4,1544.87,1470.0,1474.0
1630,2021-11-09,1546.0,1563.0512,1519.81,1554.85
1629,2021-11-08,1540.0,1564.33,1522.001,1533.77
1628,2021-11-05,1535.0,1549.9987,1510.18,1528.06
1627,2021-11-04,1515.29,1549.21,1495.5,1540.56
1626,2021-11-03,1495.33,1497.18,1452.05,1495.34
1625,2021-11-02,1523.0,1534.02,1471.0201,1476.64
1624,2021-11-01,1465.1,1531.76,1460.0,1527.62
1623,2021-10-29,1435.0,1488.17,1419.82,1466.73
1622,2021-10-28,1350.04,1504.71,1328.54,1457.0
1621,2021-10-27,1364.0,1379.1666,1336.1101,1361.12
1620,2021-10-26,1428.0,1430.15,1357.71,1363.7
1619,2021-10-25,1428.88,1439.0,1395.01,1425.16
1618,2021-10-22,1470.0,1472.95,1404.48,1425.85
1617,2021-10-21,1472.2,1506.72,1472.2,1496.71
1616,2021-10-20,1497.95,1502.3155,1462.02,1487.47
1615,2021-10-19,1479.85,1501.9799,1470.0,1485.74
1614,2021-10-18,1425.03,1466.02,1418.0,1465.11
1613,2021-10-15,1414.81,1429.87,1397.05,1424.58
1612,2021-10-14,1413.15,1426.9999,1401.708,1406.75
1611,2021-10-13,1377.0,1399.51,1368.6801,1398.97
1610,2021-10-12,1369.94,1378.99,1351.0,1357.22
1609,2021-10-11,1369.0,1385.49,1353.0,1357.01
1608,2021-10-08,1417.78,1429.0,1372.3572,1378.03
1607,2021-10-07,1372.99,1406.46,1365.17,1398.5
1606,2021-10-06,1311.72,1359.0,1305.37,1349.88
1605,2021-10-05,1312.46,1356.0,1312.46,1318.08
1604,2021-10-04,1326.32,1339.0,1285.9,1314.9
1603,2021-10-01,1362.46,1369.83,1339.25,1350.76
1602,2021-09-30,1346.95,1376.9899,1346.95,1355.78
1601,2021-09-29,1381.0,1392.9899,1341.14,1346.55
