,Date,Open,High,Low,Close
1447,2021-09-01,17.1,17.1,17.09,17.1
1446,2021-08-31,17.08,17.1,17.08,17.1
1445,2021-08-30,17.09,17.12,17.08,17.09
1444,2021-08-27,17.09,17.105,17.08,17.09
1443,2021-08-26,17.07,17.1,17.065,17.1
1442,2021-08-25,17.09,17.09,17.03,17.08
1441,2021-08-24,16.97,17.03,16.95,17.0
1440,2021-08-23,16.95,17.035,16.95,16.98
1439,2021-08-20,16.98,16.98,16.91,16.95
1438,2021-08-19,16.99,17.01,16.665,16.95
1437,2021-08-18,16.99,17.04,16.98,16.99
1436,2021-08-17,17.01,17.02,16.95,16.99
1435,2021-08-16,16.99,17.04,16.99,17.02
1434,2021-08-13,16.96,17.04,16.96,17.02
1433,2021-08-12,16.99,17.04,16.99,17.01
1432,2021-08-11,16.99,17.05,16.99,17.01
1431,2021-08-10,16.95,17.035,16.88,17.01
1430,2021-08-09,17.0,17.084,16.96,17.0
1429,2021-08-06,16.91,17.0,16.9,17.0
1428,2021-08-05,16.9,17.03,16.9,16.97
1427,2021-08-04,16.91,17.01,16.91,16.97
1426,2021-08-03,16.99,17.03,16.9,16.92
1425,2021-08-02,16.96,17.02,16.95,16.96
1424,2021-07-30,16.82,16.99,16.82,16.99
1423,2021-07-29,16.82,16.86,16.81,16.82
1422,2021-07-28,16.85,16.9,16.8,16.84
1421,2021-07-27,16.84,16.88,16.81,16.82
1420,2021-07-26,16.84,16.9,16.8001,16.82
1419,2021-07-23,16.85,16.9,16.84,16.84
1418,2021-07-22,16.9,16.9,16.84,16.84
1417,2021-07-21,16.84,16.94,16.84,16.85
1416,2021-07-20,16.85,16.87,16.77,16.81
1415,2021-07-19,16.67,16.81,16.67,16.81
1414,2021-07-16,16.84,16.84,16.61,16.71
1413,2021-07-15,16.81,16.95,16.66,16.77
1412,2021-07-14,16.98,16.98,16.45,16.85
1411,2021-07-13,16.79,17.3499,16.7,16.99
1410,2021-07-12,16.75,16.88,16.35,16.72
1409,2021-07-09,16.8,16.88,16.77,16.8
1408,2021-07-08,16.59,16.84,16.59,16.81
1407,2021-07-07,16.89,16.89,16.76,16.8
1406,2021-07-06,16.85,16.9,16.8,16.81
1405,2021-07-02,16.84,16.9,16.77,16.83
1404,2021-07-01,16.9,16.95,16.87,16.89
1403,2021-06-30,16.82,16.9,16.82,16.89
1402,2021-06-29,16.86,16.97,16.86,16.89
1401,2021-06-28,16.8,16.95,16.8,16.86
1400,2021-06-25,16.85,16.95,16.7929,16.82
1399,2021-06-24,16.93,16.93,16.77,16.92
1398,2021-06-23,16.81,16.95,16.81,16.88
1397,2021-06-22,17.15,17.34,16.83,16.91
1396,2021-06-21,13.91,14.82,13.9,14.11
1395,2021-06-18,13.65,14.11,13.5666,14.0
1394,2021-06-17,13.52,13.9,13.42,13.69
1393,2021-06-16,13.56,13.91,13.31,13.43
1392,2021-06-15,13.89,14.11,13.65,13.82
1391,2021-06-14,14.07,14.51,13.86,13.9
1390,2021-06-11,13.66,14.12,13.66,13.83
1389,2021-06-10,13.86,14.13,13.595,13.7
1388,2021-06-09,14.36,14.36,13.66,13.84
1387,2021-06-08,14.03,14.43,13.6314,14.14
1386,2021-06-07,13.31,14.5385,13.1,13.98
1385,2021-06-04,13.53,13.66,12.035,13.36
1384,2021-06-03,14.385,14.385,13.19,13.22
1383,2021-06-02,13.38,14.5,13.2501,14.05
1382,2021-06-01,13.65,13.7975,13.09,13.29
1381,2021-05-28,13.95,14.2616,13.5,13.65
1380,2021-05-27,14.4,14.45,13.91,14.03
1379,2021-05-26,14.8,14.93,14.36,14.49
1378,2021-05-25,15.15,15.3,14.57,14.73
1377,2021-05-24,15.24,15.47,14.715,15.04
1376,2021-05-21,15.02,15.43,14.66,15.1
1375,2021-05-20,14.69,14.96,14.55,14.85
1374,2021-05-19,14.24,14.8,14.16,14.6
1373,2021-05-18,15.06,15.37,14.58,14.68
1372,2021-05-17,14.91,15.23,14.6,14.9
1371,2021-05-14,14.55,15.5945,14.05,15.29
1370,2021-05-13,15.37,15.5611,14.18,14.37
1369,2021-05-12,15.0,15.52,14.66,15.25
1368,2021-05-11,14.52,15.55,14.11,15.14
1367,2021-05-10,15.75,15.75,14.98,15.0
1366,2021-05-07,16.11,16.14,15.48,15.78
1365,2021-05-06,15.33,16.35,14.8,16.04
1364,2021-05-05,16.25,16.25,15.25,15.39
1363,2021-05-04,16.0,16.64,15.4655,16.12
1362,2021-05-03,16.53,16.53,15.99,15.99
1361,2021-04-30,16.16,16.863,16.0,16.5
1360,2021-04-29,16.71,16.975,16.29,16.35
1359,2021-04-28,16.33,16.9125,16.05,16.86
1358,2021-04-27,16.63,16.63,16.0,16.31
1357,2021-04-26,15.67,16.4999,15.66,16.41
1356,2021-04-23,15.14,15.72,15.08,15.72
1355,2021-04-22,15.1,15.655,15.0,15.11
1354,2021-04-21,14.81,15.35,14.77,15.0
1353,2021-04-20,15.78,15.97,14.76,14.9
1352,2021-04-19,16.2,16.49,15.75,15.86
1351,2021-04-16,16.78,16.78,15.95,16.34
1350,2021-04-15,15.84,16.96,15.62,16.78
1349,2021-04-14,16.06,16.42,15.51,15.53
1348,2021-04-13,15.64,16.17,15.54,15.98
1347,2021-04-12,15.59,15.83,15.38,15.63
1346,2021-04-09,15.83,16.3,15.65,15.79
1345,2021-04-08,16.0,16.25,15.65,16.0
1344,2021-04-07,16.22,16.565,15.7,15.82
1343,2021-04-06,15.47,16.38,15.47,16.22
1342,2021-04-05,16.61,16.61,15.61,15.61
1341,2021-04-01,16.35,16.9,16.0,16.3
1340,2021-03-31,16.12,16.43,15.85,16.0
1339,2021-03-30,15.54,16.07,15.0,15.72
1338,2021-03-29,16.01,16.25,15.01,15.58
1337,2021-03-26,15.87,16.2,15.42,16.09
1336,2021-03-25,15.32,16.29,14.71,15.9
1335,2021-03-24,16.6,17.61,15.5606,15.65
1334,2021-03-23,17.03,17.26,16.38,16.45
1333,2021-03-22,17.83,17.85,17.0,17.14
1332,2021-03-19,17.77,17.88,16.82,17.41
1331,2021-03-18,18.63,19.01,17.3,17.54
1330,2021-03-17,18.0,19.0,16.77,18.97
1329,2021-03-16,20.01,20.84,19.7,19.85
1328,2021-03-15,20.33,20.33,19.59,19.84
1327,2021-03-12,19.77,20.1326,19.0,19.87
1326,2021-03-11,20.0,20.34,19.71,20.06
1325,2021-03-10,20.26,20.56,18.84,19.51
1324,2021-03-09,19.33,20.62,19.26,19.91
1323,2021-03-08,20.75,21.3764,18.72,18.86
1322,2021-03-05,20.47,21.37,18.25,20.95
1321,2021-03-04,21.0,21.93,19.15,20.03
1320,2021-03-03,22.7,22.7,21.21,21.27
1319,2021-03-02,23.25,23.25,22.435,22.66
1318,2021-03-01,22.48,23.3648,22.3701,23.19
1317,2021-02-26,21.3,22.8,20.32,22.34
1316,2021-02-25,22.32,22.735,20.7801,21.25
1315,2021-02-24,23.0,23.4,22.58,23.0
1314,2021-02-23,23.05,23.2763,20.33,22.92
1313,2021-02-22,24.91,25.4976,23.35,23.8
1312,2021-02-19,25.92,26.22,24.7501,25.33
1311,2021-02-18,25.48,25.95,24.595,25.79
1310,2021-02-17,26.68,26.78,24.7329,25.77
1309,2021-02-16,26.59,26.77,25.1,26.5
1308,2021-02-12,22.78,26.675,22.46,24.26
1307,2021-02-11,22.54,23.33,22.0642,22.47
1306,2021-02-10,20.76,22.4,20.14,22.08
1305,2021-02-09,20.39,20.78,20.2,20.5
1304,2021-02-08,21.09,21.1,20.07,20.61
1303,2021-02-05,20.31,20.8,19.27,20.65
1302,2021-02-04,20.3,20.6,19.01,19.96
1301,2021-02-03,21.0,21.05,19.81,20.0
1300,2021-02-02,20.8,21.8918,20.41,20.97
1299,2021-02-01,20.87,21.1,19.66,20.74
1298,2021-01-29,21.0,21.07,19.33,19.54
1297,2021-01-28,20.6,21.53,20.405,20.68
1296,2021-01-27,21.54,21.7944,20.4,20.79
1295,2021-01-26,23.0,23.0,21.58,21.68
1294,2021-01-25,24.025,25.0,21.6,21.95
1293,2021-01-22,19.55,20.14,19.33,19.56
1292,2021-01-21,19.67,19.99,19.08,19.77
1291,2021-01-20,19.94,20.17,18.7711,19.47
1290,2021-01-19,20.1648,20.1648,19.01,19.81
1289,2021-01-15,18.6,19.13,18.4,18.77
1288,2021-01-14,18.55,18.98,18.04,18.7
1287,2021-01-13,18.13,19.5867,17.82,18.55
1286,2021-01-12,16.55,18.4076,16.55,18.05
1285,2021-01-11,16.24,17.49,16.14,16.39
1284,2021-01-08,16.12,16.83,15.6385,16.62
1283,2021-01-07,16.34,16.96,15.6524,15.97
1282,2021-01-06,16.3,17.0,15.8935,16.07
1281,2021-01-05,15.26,16.44,15.26,16.3
1280,2021-01-04,16.44,16.44,14.92,15.2
1279,2020-12-31,16.54,16.64,16.16,16.28
1278,2020-12-30,16.37,17.155,15.4868,16.39
1277,2020-12-29,16.59,16.8,15.98,16.42
1276,2020-12-28,17.25,17.76,16.45,16.69
1275,2020-12-24,16.93,17.65,16.89,17.0
1274,2020-12-23,17.68,18.05,16.68,16.83
1273,2020-12-22,17.4,18.16,17.3547,17.59
1272,2020-12-21,17.83,18.43,17.12,17.46
1271,2020-12-18,17.07,18.0,16.82,16.92
1270,2020-12-17,14.745,17.12,14.745,16.9
1269,2020-12-16,15.0,15.2,14.57,15.1
1268,2020-12-15,15.34,16.25,15.34,15.88
1267,2020-12-14,16.58,16.58,15.4735,15.54
1266,2020-12-11,16.4,16.9923,16.02,16.41
1265,2020-12-10,16.31,17.02,16.3,16.69
1264,2020-12-09,16.79,16.9996,16.27,16.31
1263,2020-12-08,16.9,17.0,16.3,16.75
1262,2020-12-07,16.66,17.25,16.64,16.9
1261,2020-12-04,17.08,17.3153,16.7541,16.87
1260,2020-12-03,17.09,17.239,16.7,16.93
1259,2020-12-02,16.59,17.4,16.3,17.08
1258,2020-12-01,15.63,17.38,15.52,16.6
1257,2020-11-30,15.78,15.85,15.06,15.52
1256,2020-11-27,15.12,15.77,15.0051,15.61
1255,2020-11-25,15.1,15.48,14.442,15.19
1254,2020-11-24,15.1,15.475,14.8,15.36
1253,2020-11-23,15.29,15.41,14.3101,14.6
1252,2020-11-20,15.98,17.35,15.95,16.0
1251,2020-11-19,17.6,17.91,15.87,16.18
1250,2020-11-18,17.0,18.295,16.5546,17.95
1249,2020-11-17,15.49,17.23,15.3466,16.71
1248,2020-11-16,14.43,15.45,14.35,15.2
1247,2020-11-13,13.99,14.35,13.74,14.25
1246,2020-11-12,13.1,14.59,12.56,14.05
1245,2020-11-11,12.4,13.5,10.96,13.06
1244,2020-11-10,14.31,14.72,13.14,13.2
1243,2020-11-09,14.73,14.73,13.77,14.38
1242,2020-11-06,11.78,13.73,11.42,13.56
1241,2020-11-05,11.74,11.79,11.2737,11.75
