,Date,Open,High,Low,Close
5578,2021-12-31,349.57,353.27,349.235,352.16
5577,2021-12-30,352.05,354.15,349.7714,350.36
5576,2021-12-29,347.77,352.37,347.75,351.36
5575,2021-12-28,347.7,349.665,346.08,348.4
5574,2021-12-27,339.26,346.525,339.26,345.55
5573,2021-12-23,338.52,342.13,337.76,338.38
5572,2021-12-22,334.0,339.21,333.67,338.72
5571,2021-12-21,336.78,339.3,332.54,334.49
5570,2021-12-20,337.61,338.0,329.0,335.69
5569,2021-12-17,346.66,346.66,338.68,340.44
5568,2021-12-16,347.46,349.72,345.54,348.25
5567,2021-12-15,338.79,345.7,338.1,345.64
5566,2021-12-14,346.35,346.35,340.06,342.76
5565,2021-12-13,346.77,348.55,343.19,346.0
5564,2021-12-10,346.41,348.12,343.79,346.46
5563,2021-12-09,343.89,347.31,343.12,343.87
5562,2021-12-08,342.5,344.08,339.08,342.22
5561,2021-12-07,344.62,345.82,341.09,341.77
5560,2021-12-06,345.3,345.39,339.84,341.13
5559,2021-12-03,340.16,347.04,336.89,342.4
5558,2021-12-02,331.73,342.92,330.76,339.67
5557,2021-12-01,333.4,339.665,330.83,330.95
5556,2021-11-30,332.94,337.53,329.4,331.24
5555,2021-11-29,325.34,335.26,323.61,334.28
5554,2021-11-26,323.92,328.73,323.0,323.3
5553,2021-11-24,327.0,328.56,326.24,328.02
5552,2021-11-23,329.0,331.25,326.09,327.49
5551,2021-11-22,332.69,335.505,329.77,329.81
5550,2021-11-19,331.92,334.77,329.32,332.25
5549,2021-11-18,333.38,335.49,330.38,330.74
5548,2021-11-17,338.03,340.45,332.9606,333.16
5547,2021-11-16,333.38,340.07,332.875,338.64
5546,2021-11-15,330.28,333.0,327.855,332.85
5545,2021-11-12,327.05,331.5,326.0,331.4
5544,2021-11-11,323.95,326.11,323.0,326.0
5543,2021-11-10,323.31,325.68,323.31,324.61
5542,2021-11-09,320.62,324.64,319.359,324.05
5541,2021-11-08,320.32,322.48,319.42,320.8
5540,2021-11-05,318.92,322.33,317.31,319.03
5539,2021-11-04,313.0,318.91,312.95,318.59
5538,2021-11-03,314.22,314.93,310.27,314.26
5537,2021-11-02,311.33,314.19,310.92,312.79
5536,2021-11-01,316.62,318.03,310.05,310.09
5535,2021-10-29,321.31,323.5,314.6,316.61
5534,2021-10-28,316.68,323.82,314.5,321.42
5533,2021-10-27,317.6,321.6739,316.3101,317.38
5532,2021-10-26,309.715,318.85,302.02,316.02
5531,2021-10-25,308.0,310.75,306.74,309.72
5530,2021-10-22,306.78,308.45,306.24,306.62
5529,2021-10-21,301.89,306.94,300.57,306.78
5528,2021-10-20,299.32,301.93,297.35,301.88
5527,2021-10-19,298.86,298.86,296.03,298.28
5526,2021-10-18,294.81,297.39,294.26,297.35
5525,2021-10-15,294.04,297.24,291.9,296.39
5524,2021-10-14,288.75,292.355,285.03,292.22
5523,2021-10-13,293.5,293.5,286.59,289.94
5522,2021-10-12,289.195,293.33,288.28,291.86
5521,2021-10-11,289.0,292.475,288.27,288.29
5520,2021-10-08,293.75,294.86,288.04,289.99
5519,2021-10-07,296.31,299.79,292.98,293.75
5518,2021-10-06,289.72,294.01,287.96,293.86
5517,2021-10-05,286.13,292.89,285.04,291.34
5516,2021-10-04,284.98,289.0,283.71,285.29
5515,2021-10-01,280.78,289.7,280.24,285.04
5514,2021-09-30,283.3,284.2,278.77,279.73
5513,2021-09-29,273.46,285.46,272.0125,282.26
5512,2021-09-28,285.73,286.46,278.7,279.62
5511,2021-09-27,289.97,291.36,287.45,287.61
5510,2021-09-24,292.97,293.84,291.07,291.8
5509,2021-09-23,293.34,295.63,292.33,294.25
5508,2021-09-22,291.86,294.3,290.475,291.99
5507,2021-09-21,293.48,293.75,289.66,290.36
5506,2021-09-20,289.02,293.34,288.14,291.77
5505,2021-09-17,296.41,297.04,293.02,293.74
5504,2021-09-16,298.91,299.25,296.33,298.02
5503,2021-09-15,300.44,300.62,296.76,299.41
5502,2021-09-14,302.06,302.51,297.87,298.86
5501,2021-09-13,303.57,304.85,300.7,302.07
5500,2021-09-10,297.26,304.075,296.01,300.64
5499,2021-09-09,294.19,299.32,293.35,297.3
5498,2021-09-08,298.68,299.38,294.1,296.69
5497,2021-09-07,302.35,305.06,300.096,302.84
5496,2021-09-03,307.01,310.43,305.7746,307.43
5495,2021-09-02,306.64,308.79,305.56,308.7
5494,2021-09-01,302.62,306.77,302.02,305.91
5493,2021-08-31,305.0,305.305,302.61,303.67
5492,2021-08-30,304.58,307.5,303.86,305.31
5491,2021-08-27,303.45,304.86,302.52,302.87
5490,2021-08-26,303.39,303.39,299.4,302.27
5489,2021-08-25,300.96,303.6,299.5725,302.73
5488,2021-08-24,305.03,305.0413,302.595,303.11
5487,2021-08-23,307.46,309.98,304.58,304.72
5486,2021-08-20,303.56,308.56,303.18,307.06
5485,2021-08-19,298.72,303.57,297.9366,302.64
5484,2021-08-18,304.92,305.61,300.88,301.11
5483,2021-08-17,306.03,306.46,302.5,304.92
5482,2021-08-16,305.34,308.82,303.61,307.76
5481,2021-08-13,303.71,307.33,303.705,305.66
5480,2021-08-12,301.56,304.34,299.55,303.71
5479,2021-08-11,297.33,303.03,297.08,302.33
5478,2021-08-10,297.71,298.095,295.79,296.07
5477,2021-08-09,297.14,297.85,295.7,297.41
5476,2021-08-06,295.55,298.27,295.55,296.95
5475,2021-08-05,297.29,298.99,294.56,295.66
5474,2021-08-04,295.28,297.71,294.56,296.23
5473,2021-08-03,291.43,296.09,291.01,295.98
5472,2021-08-02,292.39,293.19,290.62,291.57
5471,2021-07-30,289.53,291.68,288.86,291.03
5470,2021-07-29,289.11,289.75,287.12,289.39
5469,2021-07-28,287.77,289.34,286.13,287.54
5468,2021-07-27,282.99,288.67,279.4305,287.72
5467,2021-07-26,285.76,286.74,283.37,285.48
5466,2021-07-23,282.36,286.44,282.02,285.97
5465,2021-07-22,281.83,283.85,281.13,281.55
5464,2021-07-21,282.23,282.815,279.0,281.83
5463,2021-07-20,276.48,282.84,275.88,281.24
5462,2021-07-19,280.94,284.18,278.36,282.93
5461,2021-07-16,280.2,283.87,279.95,282.41
5460,2021-07-15,276.46,279.98,276.46,279.12
5459,2021-07-14,278.79,279.615,275.15,276.93
5458,2021-07-13,276.75,278.6,276.48,278.05
5457,2021-07-12,276.6,279.15,275.13,277.97
5456,2021-07-09,275.73,276.72,273.45,276.22
5455,2021-07-08,274.7,275.1413,271.155,273.09
5454,2021-07-07,272.99,277.66,272.65,277.41
5453,2021-07-06,275.0,275.22,269.6101,273.5
5452,2021-07-02,275.63,275.96,273.96,275.22
5451,2021-07-01,273.68,275.5293,270.8,275.34
5450,2021-06-30,272.68,273.34,271.13,272.45
5449,2021-06-29,273.25,275.58,272.16,272.78
5448,2021-06-28,273.74,273.74,270.24,272.49
5447,2021-06-25,269.8,274.06,269.79,273.99
5446,2021-06-24,273.19,273.19,269.17,270.08
5445,2021-06-23,273.5,274.56,271.22,271.37
5444,2021-06-22,273.43,275.17,271.99,273.46
5443,2021-06-21,270.0,274.5,269.16,273.1
5442,2021-06-18,266.86,270.03,266.11,268.16
5441,2021-06-17,269.64,270.01,265.72,269.23
5440,2021-06-16,272.25,272.77,267.51,268.48
5439,2021-06-15,274.92,274.92,271.12,271.62
5438,2021-06-14,276.05,277.195,271.5,273.76
5437,2021-06-11,277.86,278.795,275.05,276.74
5436,2021-06-10,281.95,282.46,276.42,277.86
5435,2021-06-09,279.51,280.455,276.11,276.96
5434,2021-06-08,281.94,282.19,278.74,281.0
5433,2021-06-07,283.02,284.2,280.44,280.81
5432,2021-06-04,283.64,284.33,281.43,283.2
5431,2021-06-03,280.77,283.0,278.13,282.57
5430,2021-06-02,285.0,285.57,281.49,282.41
5429,2021-06-01,285.9,288.64,282.66,282.84
5428,2021-05-28,286.61,286.88,283.38,283.53
5427,2021-05-27,286.16,288.37,285.58,285.77
5426,2021-05-26,286.05,287.09,285.12,285.64
5425,2021-05-25,285.5,286.68,284.57,285.59
5424,2021-05-24,283.84,285.69,282.7,284.97
5423,2021-05-21,283.95,287.35,282.84,283.13
5422,2021-05-20,280.38,285.46,280.01,282.59
5421,2021-05-19,280.61,282.18,277.21,281.27
5420,2021-05-18,284.23,286.47,282.84,283.17
5419,2021-05-17,286.43,287.58,282.87,284.23
5418,2021-05-14,287.35,289.29,285.59,286.09
5417,2021-05-13,281.04,287.02,280.18,285.81
5416,2021-05-12,284.5,286.84,279.75,279.84
5415,2021-05-11,287.36,287.99,283.185,285.84
5414,2021-05-10,288.71,293.045,288.06,288.65
5413,2021-05-07,284.74,287.77,283.01,287.23
5412,2021-05-06,283.91,286.35,283.58,285.39
5411,2021-05-05,284.84,285.26,280.45,283.28
5410,2021-05-04,276.51,283.6,276.04,283.5
5409,2021-05-03,275.0,279.46,274.56,277.91
5408,2021-04-30,272.61,274.63,271.51,273.87
5407,2021-04-29,270.8,274.1799,270.07,273.44
5406,2021-04-28,270.47,271.485,268.1,268.96
5405,2021-04-27,265.48,270.365,262.88,269.49
5404,2021-04-26,274.25,275.0,269.0,269.54
5403,2021-04-23,271.08,274.44,269.12,273.92
5402,2021-04-22,270.91,272.23,268.0,269.73
5401,2021-04-21,268.64,271.58,268.34,270.96
5400,2021-04-20,266.26,269.76,265.15,267.24
5399,2021-04-19,265.78,267.88,262.77,265.6
5398,2021-04-16,258.79,269.32,258.575,266.92
5397,2021-04-15,255.87,258.32,255.84,257.14
5396,2021-04-14,257.0,257.54,254.78,255.05
5395,2021-04-13,257.6,258.35,256.26,257.41
5394,2021-04-12,255.73,259.1847,255.04,257.6
5393,2021-04-09,254.2,255.39,252.75,255.29
5392,2021-04-08,251.72,254.97,251.11,253.48
5391,2021-04-07,258.92,259.69,250.36,251.7
5390,2021-04-06,255.07,259.58,254.33,258.95
