,Date,Open,High,Low,Close
5578,2021-12-31,49.17,49.62,48.89,49.13
5577,2021-12-30,49.5,50.07,48.92,49.12
5576,2021-12-29,49.72,50.12,49.2,49.23
5575,2021-12-28,49.93,50.5,48.98,49.91
5574,2021-12-27,48.5,50.44,47.84,50.2
5573,2021-12-23,48.36,48.6,47.81,48.42
5572,2021-12-22,46.92,48.1,46.27,48.05
5571,2021-12-21,45.77,46.89,44.27,46.61
5570,2021-12-20,45.48,45.67,44.48,45.28
5569,2021-12-17,46.14,46.66,45.02,46.24
5568,2021-12-16,47.8,48.0,46.43,46.49
5567,2021-12-15,48.46,48.46,46.25,47.44
5566,2021-12-14,48.51,49.07,47.51,47.96
5565,2021-12-13,49.28,49.89,48.5,49.0
5564,2021-12-10,48.52,49.48,47.7761,49.2
5563,2021-12-09,48.26,49.1,47.63,48.3
5562,2021-12-08,49.56,50.25,48.62,49.14
5561,2021-12-07,49.48,50.0635,49.2,49.42
5560,2021-12-06,48.52,49.42,47.401,48.67
5559,2021-12-03,49.53,49.7,47.69,48.41
5558,2021-12-02,48.23,50.35,47.9201,49.57
5557,2021-12-01,50.04,50.7352,47.84,47.86
5556,2021-11-30,49.33,49.36,47.65,48.61
5555,2021-11-29,50.87,50.98,49.05,49.43
5554,2021-11-26,49.77,50.1605,48.58,49.62
5553,2021-11-24,50.98,52.13,50.52,51.38
5552,2021-11-23,52.19,52.9383,51.1,51.21
5551,2021-11-22,52.0,53.4899,51.35,52.46
5550,2021-11-19,51.64,52.37,51.29,51.78
5549,2021-11-18,54.35,54.5,51.28,51.9
5548,2021-11-17,53.08,54.35,52.21,54.25
5547,2021-11-16,50.7,54.0671,50.7,53.3
5546,2021-11-15,52.79,52.9,50.12,52.26
5545,2021-11-12,51.74,52.7,50.9,52.17
5544,2021-11-11,51.73,52.81,51.11,51.5
5543,2021-11-10,48.89,51.878,48.6,51.57
5542,2021-11-09,50.18,50.3555,48.8856,49.11
5541,2021-11-08,49.2,50.85,49.16,50.14
5540,2021-11-05,47.77,48.99,46.99,48.57
5539,2021-11-04,44.99,47.68,43.6637,47.0
5538,2021-11-03,39.73,41.41,39.285,40.98
5537,2021-11-02,43.0,43.0,39.95,40.0
5536,2021-11-01,41.25,43.08,40.88,43.0
5535,2021-10-29,41.0,41.82,40.78,41.21
5534,2021-10-28,39.72,41.14,39.68,41.0
5533,2021-10-27,40.01,40.4,39.17,39.3
5532,2021-10-26,40.45,40.9,39.72,40.15
5531,2021-10-25,38.97,40.41,38.97,40.15
5530,2021-10-22,38.65,39.58,38.25,39.06
5529,2021-10-21,38.5379,39.21,37.62,38.64
5528,2021-10-20,36.17,36.87,35.7751,36.79
5527,2021-10-19,35.88,36.5898,35.88,36.44
5526,2021-10-18,36.73,36.73,34.53,35.58
5525,2021-10-15,39.39,39.44,36.85,37.03
5524,2021-10-14,39.04,39.38,38.52,38.69
5523,2021-10-13,39.15,39.21,38.15,38.66
5522,2021-10-12,39.28,40.1942,38.77,39.21
5521,2021-10-11,40.55,41.0429,39.14,39.2
5520,2021-10-08,40.89,41.18,40.3,40.49
5519,2021-10-07,40.18,41.263,40.16,40.95
5518,2021-10-06,40.79,40.79,39.1563,39.72
5517,2021-10-05,40.44,41.48,40.32,41.12
5516,2021-10-04,39.65,40.52,38.99,40.29
5515,2021-10-01,38.33,39.96,38.28,39.65
5514,2021-09-30,38.99,39.15,37.91,38.01
5513,2021-09-29,38.67,39.542,38.1,38.82
5512,2021-09-28,38.71,39.36,38.04,38.52
5511,2021-09-27,39.16,40.04,38.7,39.01
5510,2021-09-24,38.33,39.45,36.98,39.16
5509,2021-09-23,39.94,39.94,38.68,38.7
5508,2021-09-22,40.47,40.67,39.25,39.47
5507,2021-09-21,40.79,41.0,39.5,39.98
5506,2021-09-20,40.86,41.13,39.75,40.46
5505,2021-09-17,42.91,43.13,41.43,42.04
5504,2021-09-16,42.69,42.97,42.2865,42.81
5503,2021-09-15,42.29,42.58,41.72,42.51
5502,2021-09-14,43.15,43.15,42.03,42.2
5501,2021-09-13,42.7,42.89,42.01,42.88
5500,2021-09-10,42.61,43.42,42.12,42.34
5499,2021-09-09,42.97,43.26,42.18,42.29
5498,2021-09-08,43.62,43.62,42.7112,43.02
5497,2021-09-07,43.72,44.17,42.81,43.91
5496,2021-09-03,44.86,44.86,43.44,43.86
5495,2021-09-02,45.0,45.0781,44.0784,44.86
5494,2021-09-01,44.37,44.95,43.98,44.67
5493,2021-08-31,43.86,44.09,43.15,44.01
5492,2021-08-30,43.25,43.878,42.3,43.77
5491,2021-08-27,41.7,43.2799,41.69,43.09
5490,2021-08-26,42.08,42.5025,41.23,41.64
5489,2021-08-25,41.97,42.695,41.97,42.33
5488,2021-08-24,41.75,42.135,41.61,42.01
5487,2021-08-23,41.75,41.93,40.9438,41.5
5486,2021-08-20,40.28,41.64,40.02,41.32
5485,2021-08-19,40.89,41.22,40.1,40.18
5484,2021-08-18,40.32,41.66,40.21,41.5
5483,2021-08-17,41.76,42.15,40.14,40.62
5482,2021-08-16,42.34,42.57,40.5712,42.53
5481,2021-08-13,44.65,44.9,42.5,42.66
5480,2021-08-12,44.35,44.9,43.72,44.46
5479,2021-08-11,42.72,44.55,42.28,44.41
5478,2021-08-10,40.92,42.09,40.42,41.98
5477,2021-08-09,39.9,40.94,37.95,40.71
5476,2021-08-06,40.12,40.4,38.955,40.1
5475,2021-08-05,39.3,39.63,37.85,39.49
5474,2021-08-04,38.82,39.75,38.34,38.6
5473,2021-08-03,39.28,40.23,38.42,39.32
5472,2021-08-02,39.65,40.7771,38.8,38.98
5471,2021-07-30,39.63,39.9,38.96,39.44
5470,2021-07-29,39.51,40.68,39.51,39.95
5469,2021-07-28,39.04,39.69,38.4699,39.3
5468,2021-07-27,38.79,39.17,38.33,38.94
5467,2021-07-26,38.9,39.56,38.59,38.98
5466,2021-07-23,38.09,38.8055,37.78,38.71
5465,2021-07-22,38.66,38.66,37.665,37.72
5464,2021-07-21,38.38,39.1017,38.38,38.55
5463,2021-07-20,36.4,38.4492,35.88,37.99
5462,2021-07-19,36.36,36.76,35.54,36.12
5461,2021-07-16,38.62,38.7399,37.24,37.28
5460,2021-07-15,38.41,38.73,37.83,38.26
5459,2021-07-14,39.29,39.32,38.12,38.7
5458,2021-07-13,39.48,39.88,38.61,38.95
5457,2021-07-12,39.09,39.76,38.45,39.69
5456,2021-07-09,38.45,39.65,38.22,39.36
5455,2021-07-08,37.55,38.56,36.7,37.98
5454,2021-07-07,37.58,38.93,37.32,38.54
5453,2021-07-06,38.15,38.15,36.72,37.57
5452,2021-07-02,38.34,38.35,37.51,37.95
5451,2021-07-01,37.68,38.4,36.7,38.34
5450,2021-06-30,36.22,37.74,36.03,37.41
5449,2021-06-29,36.17,36.47,35.82,36.32
5448,2021-06-28,37.76,38.0514,35.99,36.04
5447,2021-06-25,36.9,38.01,36.825,37.91
5446,2021-06-24,36.69,36.84,36.01,36.83
5445,2021-06-23,36.95,37.0,35.93,36.27
5444,2021-06-22,35.87,36.94,35.5,36.94
5443,2021-06-21,34.85,36.3,34.475,36.05
5442,2021-06-18,34.36,34.6,33.92,34.34
5441,2021-06-17,35.42,35.71,33.77,35.09
5440,2021-06-16,36.89,36.89,35.51,35.74
5439,2021-06-15,37.13,37.58,35.98,37.18
5438,2021-06-14,41.03,41.03,36.9,37.13
5437,2021-06-11,41.43,41.43,39.8449,41.1
5436,2021-06-10,41.11,41.11,40.016,40.9
5435,2021-06-09,41.37,41.37,40.6246,40.97
5434,2021-06-08,41.15,42.0,40.55,41.57
5433,2021-06-07,40.28,41.21,39.97,41.15
5432,2021-06-04,39.46,40.29,38.895,40.25
5431,2021-06-03,38.26,39.36,37.5,39.2
5430,2021-06-02,39.66,40.4999,38.47,38.68
5429,2021-06-01,39.29,40.18,38.65,39.52
