,Date,Open,High,Low,Close
5578,2021-12-31,2.31,2.46,2.27,2.32
5577,2021-12-30,2.1,2.39,2.1,2.31
5576,2021-12-29,2.15,2.2,2.06,2.06
5575,2021-12-28,2.2,2.224,2.13,2.13
5574,2021-12-27,2.27,2.27,2.2,2.23
5573,2021-12-23,2.21,2.2899,2.2,2.23
5572,2021-12-22,2.26,2.2999,2.21,2.22
5571,2021-12-21,2.16,2.276,2.16,2.21
5570,2021-12-20,2.2,2.3116,2.16,2.16
5569,2021-12-17,2.23,2.32,2.21,2.21
5568,2021-12-16,2.212,2.29,2.212,2.22
5567,2021-12-15,2.3,2.35,2.1701,2.28
5566,2021-12-14,2.4376,2.46,2.2,2.3
5565,2021-12-13,2.53,2.5999,2.42,2.47
5564,2021-12-10,2.48,2.55,2.4527,2.55
5563,2021-12-09,2.5,2.57,2.4228,2.48
5562,2021-12-08,2.55,2.56,2.444,2.53
5561,2021-12-07,2.6,2.7999,2.5101,2.55
5560,2021-12-06,2.5,2.61,2.365,2.6
5559,2021-12-03,2.62,2.62,2.46,2.49
5558,2021-12-02,2.652,2.74,2.6,2.62
5557,2021-12-01,2.82,2.875,2.63,2.64
5556,2021-11-30,2.93,2.9499,2.72,2.81
5555,2021-11-29,2.88,3.2,2.8297,3.0
5554,2021-11-26,2.92,2.92,2.81,2.88
5553,2021-11-24,2.86,2.9791,2.8501,2.95
5552,2021-11-23,2.89,2.94,2.8,2.9
5551,2021-11-22,3.01,3.04,2.84,2.86
5550,2021-11-19,3.02,3.08,2.95,3.01
5549,2021-11-18,3.17,3.17,2.98,3.01
5548,2021-11-17,3.27,3.33,3.1,3.2
5547,2021-11-16,3.27,3.31,3.13,3.27
5546,2021-11-15,3.36,3.43,3.27,3.3
5545,2021-11-12,3.26,3.311,3.22,3.29
5544,2021-11-11,3.21,3.33,3.15,3.23
5543,2021-11-10,3.11,3.27,3.0813,3.19
5542,2021-11-09,3.19,3.2138,3.13,3.13
5541,2021-11-08,3.09,3.3499,2.94,3.22
5540,2021-11-05,3.25,3.29,3.03,3.09
5539,2021-11-04,3.5,3.58,3.19,3.25
5538,2021-11-03,3.38,3.75,3.35,3.46
5537,2021-11-02,3.31,3.44,3.29,3.37
5536,2021-11-01,3.15,3.48,3.15,3.37
5535,2021-10-29,3.16,3.27,3.16,3.17
5534,2021-10-28,3.09,3.18,3.09,3.16
5533,2021-10-27,3.1,3.16,3.07,3.08
5532,2021-10-26,3.23,3.25,3.08,3.08
5531,2021-10-25,3.09,3.3,3.07,3.2
5530,2021-10-22,3.09,3.14,3.03,3.06
5529,2021-10-21,3.08,3.12,3.0601,3.09
5528,2021-10-20,3.1019,3.1046,3.04,3.08
5527,2021-10-19,3.104,3.19,3.07,3.09
5526,2021-10-18,3.12,3.26,3.085,3.13
5525,2021-10-15,3.28,3.3,3.19,3.19
5524,2021-10-14,3.34,3.355,3.25,3.27
5523,2021-10-13,3.2286,3.39,3.2286,3.39
5522,2021-10-12,3.28,3.3728,3.2,3.21
5521,2021-10-11,3.36,3.3865,3.28,3.28
5520,2021-10-08,3.25,3.36,3.23,3.32
5519,2021-10-07,3.24,3.33,3.23,3.27
5518,2021-10-06,3.18,3.22,3.16,3.19
5517,2021-10-05,3.3,3.38,3.18,3.21
5516,2021-10-04,3.27,3.3,3.24,3.28
5515,2021-10-01,3.36,3.3703,3.255,3.27
5514,2021-09-30,3.29,3.37,3.25,3.35
5513,2021-09-29,3.37,3.44,3.28,3.3
5512,2021-09-28,3.47,3.47,3.35,3.36
5511,2021-09-27,3.36,3.59,3.35,3.5
5510,2021-09-24,3.36,3.4399,3.35,3.39
5509,2021-09-23,3.42,3.43,3.36,3.39
5508,2021-09-22,3.48,3.485,3.37,3.41
5507,2021-09-21,3.45,3.49,3.39,3.46
5506,2021-09-20,3.41,3.53,3.4,3.44
5505,2021-09-17,3.52,3.63,3.45,3.55
5504,2021-09-16,3.53,3.56,3.46,3.5
5503,2021-09-15,3.56,3.6,3.51,3.56
5502,2021-09-14,3.68,3.68,3.44,3.53
5501,2021-09-13,3.67,3.69,3.61,3.65
5500,2021-09-10,3.72,3.77,3.65,3.67
5499,2021-09-09,3.71,3.75,3.69,3.73
5498,2021-09-08,3.8,3.81,3.65,3.74
5497,2021-09-07,3.8,3.87,3.79,3.82
5496,2021-09-03,3.89,3.9,3.79,3.8
5495,2021-09-02,3.88,3.96,3.85,3.88
5494,2021-09-01,3.84,3.94,3.71,3.85
5493,2021-08-31,3.8,3.85,3.71,3.81
5492,2021-08-30,3.69,3.96,3.62,3.82
5491,2021-08-27,3.64,3.765,3.63,3.68
5490,2021-08-26,3.67,3.7581,3.6099,3.63
5489,2021-08-25,3.75,3.795,3.63,3.68
5488,2021-08-24,3.8,3.83,3.6,3.75
5487,2021-08-23,3.91,4.87,3.79,3.95
5486,2021-08-20,3.6,3.66,3.56,3.61
5485,2021-08-19,3.72,3.848,3.57,3.61
5484,2021-08-18,3.7,3.82,3.66,3.73
5483,2021-08-17,3.76,3.8186,3.65,3.7
5482,2021-08-16,4.16,4.16,3.78,3.8
5481,2021-08-13,4.3,4.35,4.15,4.2
5480,2021-08-12,4.4,4.4,4.19,4.3
5479,2021-08-11,4.4,4.53,4.3,4.36
5478,2021-08-10,4.44,4.66,4.36,4.44
5477,2021-08-09,4.21,4.56,4.13,4.44
5476,2021-08-06,4.23,4.32,4.148,4.21
5475,2021-08-05,4.11,4.2579,4.1,4.22
5474,2021-08-04,4.02,4.4346,4.0,4.15
5473,2021-08-03,4.2,4.2,4.01,4.08
5472,2021-08-02,4.16,4.24,4.1081,4.2
5471,2021-07-30,4.13,4.28,4.13,4.19
5470,2021-07-29,4.1,4.19,4.07,4.19
5469,2021-07-28,4.07,4.2199,4.04,4.13
5468,2021-07-27,4.29,4.29,4.02,4.05
5467,2021-07-26,4.32,4.62,4.32,4.35
5466,2021-07-23,4.32,4.34,4.17,4.31
5465,2021-07-22,4.24,4.37,4.155,4.31
5464,2021-07-21,4.09,4.3186,4.09,4.23
5463,2021-07-20,4.08,4.16,4.02,4.14
5462,2021-07-19,3.92,4.1841,3.92,4.08
5461,2021-07-16,4.21,4.31,3.91,3.93
5460,2021-07-15,4.0,4.25,3.91,4.23
5459,2021-07-14,4.22,4.23,4.01,4.03
5458,2021-07-13,4.26,4.37,4.14,4.25
5457,2021-07-12,4.55,4.6,4.21,4.31
5456,2021-07-09,5.04,5.0499,4.5,4.62
5455,2021-07-08,4.42,5.35,4.41,5.2
5454,2021-07-07,4.49,4.61,4.31,4.55
5453,2021-07-06,4.6,4.64,4.44,4.5
5452,2021-07-02,4.67,4.67,4.46,4.58
5451,2021-07-01,4.82,4.82,4.6,4.67
5450,2021-06-30,4.69,4.885,4.64,4.81
5449,2021-06-29,4.93,4.95,4.671,4.7
5448,2021-06-28,5.0,5.21,4.8335,4.96
5447,2021-06-25,4.71,4.965,4.56,4.95
5446,2021-06-24,4.63,4.78,4.39,4.73
5445,2021-06-23,4.53,4.8009,4.465,4.54
5444,2021-06-22,4.41,4.63,4.32,4.55
5443,2021-06-21,4.35,4.5,4.21,4.46
5442,2021-06-18,4.55,4.615,4.3453,4.38
5441,2021-06-17,4.29,4.58,4.29,4.55
5440,2021-06-16,4.41,4.47,4.2,4.35
5439,2021-06-15,4.59,4.6599,4.42,4.45
5438,2021-06-14,4.99,5.01,4.5,4.6
5437,2021-06-11,4.66,6.39,4.64,4.98
5436,2021-06-10,4.53,4.65,4.48,4.63
5435,2021-06-09,4.4,4.55,4.37,4.51
5434,2021-06-08,4.7,4.79,4.3,4.39
5433,2021-06-07,4.26,4.68,4.26,4.62
5432,2021-06-04,4.5,4.6,4.23,4.29
5431,2021-06-03,4.25,4.63,4.12,4.46
5430,2021-06-02,4.68,4.71,4.23,4.28
5429,2021-06-01,4.22,4.58,4.185,4.55
5428,2021-05-28,4.05,4.26,4.0173,4.14
5427,2021-05-27,3.93,4.05,3.8401,3.97
5426,2021-05-26,3.79,4.01,3.72,3.93
5425,2021-05-25,3.84,3.845,3.7,3.71
5424,2021-05-24,3.93,3.93,3.74,3.81
5423,2021-05-21,4.0,4.05,3.87,3.92
5422,2021-05-20,3.97,4.02,3.88,4.0
5421,2021-05-19,3.9,4.03,3.81,3.98
5420,2021-05-18,4.3,4.3,3.92,3.99
5419,2021-05-17,3.87,4.45,3.72,4.22
5418,2021-05-14,3.77,3.8725,3.71,3.8
5417,2021-05-13,3.71,3.8,3.66,3.77
5416,2021-05-12,3.69,3.83,3.61,3.7
5415,2021-05-11,3.56,3.815,3.55,3.77
5414,2021-05-10,3.54,3.74,3.44,3.71
5413,2021-05-07,3.45,3.56,3.39,3.54
5412,2021-05-06,3.64,3.64,3.29,3.42
5411,2021-05-05,3.68,3.69,3.49,3.61
5410,2021-05-04,3.9,3.9,3.6,3.63
5409,2021-05-03,4.07,4.07,3.89,3.96
5408,2021-04-30,3.93,4.07,3.87,4.01
5407,2021-04-29,4.0,4.04,3.825,3.99
5406,2021-04-28,3.93,4.01,3.85,3.94
5405,2021-04-27,4.03,4.0374,3.88,3.98
5404,2021-04-26,3.92,4.085,3.85,4.02
5403,2021-04-23,3.86,3.96,3.81,3.91
