,Date,Open,High,Low,Close
1806,2021-12-31,3.53,3.8847,3.51,3.67
1805,2021-12-30,3.6,3.73,3.41,3.55
1804,2021-12-29,3.53,3.65,3.36,3.61
1803,2021-12-28,3.54,3.57,3.38,3.51
1802,2021-12-27,3.69,3.69,3.485,3.52
1801,2021-12-23,3.64,3.77,3.53,3.72
1800,2021-12-22,3.72,3.74,3.53,3.65
1799,2021-12-21,3.64,3.73,3.59,3.73
1798,2021-12-20,3.68,3.68,3.53,3.6
1797,2021-12-17,3.855,3.855,3.6,3.74
1796,2021-12-16,4.07,4.2,3.67,3.7
1795,2021-12-15,3.85,4.1,3.56,4.01
1794,2021-12-14,3.85,3.92,3.72,3.85
1793,2021-12-13,4.03,4.03,3.7156,3.9
1792,2021-12-10,4.21,4.27,3.91,3.94
1791,2021-12-09,4.19,4.37,4.19,4.21
1790,2021-12-08,4.3,4.43,4.1503,4.28
1789,2021-12-07,4.12,4.36,4.07,4.27
1788,2021-12-06,3.82,4.14,3.73,4.02
1787,2021-12-03,4.06,4.06,3.73,3.81
1786,2021-12-02,3.84,4.03,3.76,4.03
1785,2021-12-01,4.08,4.21,3.81,3.83
1784,2021-11-30,4.01,4.07,3.9,4.02
1783,2021-11-29,4.22,4.365,4.0,4.02
1782,2021-11-26,4.22,4.3,3.94,4.115
1781,2021-11-24,4.27,4.55,4.17,4.38
1780,2021-11-23,4.28,4.34,4.11,4.29
1779,2021-11-22,4.59,4.65,4.2,4.3
1778,2021-11-19,4.64,4.7,4.515,4.55
1777,2021-11-18,4.95,5.04,4.63,4.64
1776,2021-11-17,4.74,5.1,4.7201,4.96
1775,2021-11-16,5.111,5.24,4.71,4.72
1774,2021-11-15,5.55,5.57,5.03,5.18
1773,2021-11-12,5.75,6.08,5.55,5.58
1772,2021-11-11,5.8,6.05,5.35,5.75
1771,2021-11-10,5.58,5.64,5.1,5.3
1770,2021-11-09,5.63,5.67,5.4,5.58
1769,2021-11-08,5.85,5.88,5.65,5.67
1768,2021-11-05,5.89,6.14,5.69,5.76
1767,2021-11-04,6.1,6.1,5.73,5.84
1766,2021-11-03,6.0,6.11,5.93,6.08
1765,2021-11-02,5.88,6.08,5.72,6.0
1764,2021-11-01,5.66,6.0,5.66,5.85
1763,2021-10-29,5.495,5.89,5.495,5.86
1762,2021-10-28,5.65,5.83,5.56,5.65
1761,2021-10-27,5.74,5.92,5.47,5.63
1760,2021-10-26,5.77,5.935,5.75,5.79
1759,2021-10-25,5.61,5.845,5.5,5.74
1758,2021-10-22,5.79,5.79,5.53,5.56
1757,2021-10-21,5.86,6.03,5.77,5.85
1756,2021-10-20,5.8,5.95,5.6,5.87
1755,2021-10-19,5.47,5.78,5.35,5.76
1754,2021-10-18,5.59,5.72,5.3,5.39
1753,2021-10-15,5.86,5.955,5.64,5.65
1752,2021-10-14,5.85,5.92,5.71,5.75
1751,2021-10-13,5.635,5.89,5.51,5.77
1750,2021-10-12,5.53,5.85,5.53,5.78
1749,2021-10-11,5.47,5.7,5.26,5.52
1748,2021-10-08,5.76,5.93,5.64,5.68
1747,2021-10-07,5.73,6.0,5.27,5.83
1746,2021-10-06,5.46,5.75,5.34,5.73
1745,2021-10-05,5.46,5.54,5.28,5.53
1744,2021-10-04,5.51,5.51,5.25,5.39
1743,2021-10-01,5.74,5.74,5.48,5.56
1742,2021-09-30,5.37,6.0,5.33,5.73
1741,2021-09-29,5.38,5.48,5.23,5.33
1740,2021-09-28,5.66,5.66,5.36,5.38
1739,2021-09-27,5.67,5.71,5.56,5.67
1738,2021-09-24,5.76,5.855,5.66,5.68
1737,2021-09-23,5.56,5.9,5.5,5.82
1736,2021-09-22,5.67,5.71,5.55,5.56
1735,2021-09-21,5.83,5.89,5.53,5.6
1734,2021-09-20,5.82,5.86,5.53,5.79
1733,2021-09-17,6.05,6.05,5.92,5.94
1732,2021-09-16,6.09,6.11,5.92,6.01
1731,2021-09-15,6.08,6.14,5.96,6.13
1730,2021-09-14,6.11,6.23,6.01,6.07
1729,2021-09-13,6.36,6.36,5.92,6.04
1728,2021-09-10,6.51,6.58,6.22,6.27
1727,2021-09-09,6.33,6.587,6.31,6.46
1726,2021-09-08,6.41,6.45,6.32,6.39
1725,2021-09-07,6.41,6.59,6.27,6.41
1724,2021-09-03,6.54,6.67,6.395,6.47
1723,2021-09-02,6.21,6.72,6.19,6.61
1722,2021-09-01,6.09,6.21,6.06,6.15
1721,2021-08-31,5.99,6.17,5.92,6.08
1720,2021-08-30,6.27,6.38,5.98,6.0
1719,2021-08-27,6.29,6.44,6.19,6.25
1718,2021-08-26,6.5,6.605,6.21,6.34
1717,2021-08-25,6.16,6.58,6.12,6.44
1716,2021-08-24,6.09,6.36,6.05,6.19
1715,2021-08-23,5.47,6.025,5.42,6.0
1714,2021-08-20,5.64,5.735,5.34,5.39
1713,2021-08-19,6.17,6.21,5.65,5.68
1712,2021-08-18,6.3,6.48,6.1,6.26
1711,2021-08-17,6.35,6.38,6.14,6.33
1710,2021-08-16,6.62,6.66,6.34,6.43
1709,2021-08-13,6.91,6.955,6.585,6.69
1708,2021-08-12,6.98,7.07,6.8,6.84
1707,2021-08-11,7.0,7.39,6.55,6.93
1706,2021-08-10,7.5,7.625,7.06,7.09
1705,2021-08-09,7.7,7.71,7.36,7.45
1704,2021-08-06,7.8,7.87,7.56,7.77
1703,2021-08-05,7.64,7.92,7.49,7.74
1702,2021-08-04,7.62,7.95,7.62,7.64
1701,2021-08-03,8.06,8.115,7.47,7.72
1700,2021-08-02,8.26,8.2999,7.95,7.99
1699,2021-07-30,8.18,8.51,8.11,8.25
1698,2021-07-29,7.91,8.26,7.85,8.25
1697,2021-07-28,7.61,7.995,7.48,7.89
1696,2021-07-27,7.58,7.65,7.35,7.51
1695,2021-07-26,7.54,7.76,7.42,7.62
1694,2021-07-23,7.8931,7.8931,7.32,7.48
1693,2021-07-22,7.768,7.77,7.55,7.6
1692,2021-07-21,7.47,7.74,7.39,7.71
1691,2021-07-20,7.3,7.47,7.04,7.39
1690,2021-07-19,7.1,7.5,7.0,7.26
1689,2021-07-16,7.5,7.71,7.23,7.36
1688,2021-07-15,7.66,7.67,7.1,7.41
1687,2021-07-14,8.3,8.3,7.66,7.69
1686,2021-07-13,8.4,8.47,7.86,8.24
1685,2021-07-12,8.43,8.932,8.42,8.53
1684,2021-07-09,8.28,9.14,8.14,8.42
1683,2021-07-08,7.69,8.27,7.59,8.12
1682,2021-07-07,7.92,8.22,7.79,7.89
1681,2021-07-06,8.03,8.03,7.44,7.86
1680,2021-07-02,7.84,8.15,7.57,7.98
1679,2021-07-01,8.0,8.9,7.85,7.89
1678,2021-06-30,7.27,7.99,7.14,7.96
1677,2021-06-29,7.34,7.4199,7.225,7.28
1676,2021-06-28,7.31,7.37,7.12,7.34
1675,2021-06-25,7.29,7.54,7.22,7.28
1674,2021-06-24,7.36,7.36,6.97,7.25
1673,2021-06-23,7.34,7.45,7.23,7.36
1672,2021-06-22,7.47,7.47,7.28,7.32
1671,2021-06-21,7.59,7.59,7.34,7.45
1670,2021-06-18,7.57,7.75,7.505,7.54
1669,2021-06-17,7.8,7.8899,7.5535,7.74
1668,2021-06-16,7.72,7.9,7.58,7.84
1667,2021-06-15,7.55,7.715,7.2,7.7
1666,2021-06-14,7.54,7.8,7.54,7.54
1665,2021-06-11,7.5,7.55,7.3701,7.44
1664,2021-06-10,7.58,7.66,7.28,7.41
1663,2021-06-09,7.495,7.63,7.35,7.58
1662,2021-06-08,7.18,7.47,7.15,7.37
1661,2021-06-07,7.06,7.3,7.045,7.1
1660,2021-06-04,7.06,7.16,7.02,7.06
1659,2021-06-03,6.94,7.14,6.84,7.02
1658,2021-06-02,7.22,7.31,7.01,7.01
1657,2021-06-01,7.0,7.3,6.97,7.25
1656,2021-05-28,7.12,7.21,6.89,6.96
1655,2021-05-27,7.05,7.12,7.01,7.05
1654,2021-05-26,7.13,7.17,6.92,6.99
1653,2021-05-25,7.19,7.3413,7.04,7.08
1652,2021-05-24,7.15,7.4399,7.11,7.16
1651,2021-05-21,7.11,7.25,6.96,7.06
1650,2021-05-20,6.88,7.14,6.77,7.01
1649,2021-05-19,6.75,6.91,6.67,6.87
1648,2021-05-18,6.92,7.2,6.86,6.96
1647,2021-05-17,6.495,7.0,6.32,6.855
1646,2021-05-14,6.41,7.08,6.38,6.815
1645,2021-05-13,6.26,6.35,6.0,6.29
1644,2021-05-12,7.06,7.42,5.98,6.17
1643,2021-05-11,6.38,6.8,6.16,6.74
1642,2021-05-10,7.15,7.22,6.56,6.64
1641,2021-05-07,6.96,7.24,6.96,7.195
1640,2021-05-06,6.89,7.09,6.76,6.98
1639,2021-05-05,6.9,7.23,6.84,6.93
1638,2021-05-04,6.79,6.9,6.605,6.75
1637,2021-05-03,6.7754,6.97,6.68,6.85
1636,2021-04-30,6.76,7.02,6.76,6.86
1635,2021-04-29,7.01,7.05,6.86,6.93
1634,2021-04-28,6.94,7.03,6.86,7.0
1633,2021-04-27,7.09,7.15,6.91,6.96
1632,2021-04-26,6.88,7.17,6.88,7.09
1631,2021-04-23,6.64,6.9,6.64,6.83
1630,2021-04-22,6.81,6.95,6.6,6.62
1629,2021-04-21,6.62,6.87,6.6,6.82
1628,2021-04-20,6.85,6.93,6.53,6.66
1627,2021-04-19,7.04,7.13,6.81,6.85
1626,2021-04-16,7.07,7.11,6.82,7.07
1625,2021-04-15,7.25,7.33,6.98,7.04
1624,2021-04-14,7.02,7.2,6.9672,7.15
1623,2021-04-13,7.02,7.16,6.85,6.98
1622,2021-04-12,7.16,7.22,6.93,7.07
1621,2021-04-09,7.28,7.34,7.08,7.17
1620,2021-04-08,7.1,7.35,7.05,7.34
1619,2021-04-07,7.22,7.22,6.99,7.05
1618,2021-04-06,7.34,7.45,7.0922,7.23
1617,2021-04-05,7.29,7.46,7.24,7.36
1616,2021-04-01,7.3,7.59,7.09,7.18
1615,2021-03-31,6.96,7.46,6.94,7.29
1614,2021-03-30,7.07,7.225,6.87,6.93
1613,2021-03-29,7.23,7.32,7.02,7.09
1612,2021-03-26,7.16,7.36,7.03,7.27
1611,2021-03-25,6.84,7.2,6.7284,7.19
1610,2021-03-24,7.19,7.29,6.87,6.89
1609,2021-03-23,7.36,7.365,7.02,7.09
1608,2021-03-22,7.22,7.55,7.13,7.4
1607,2021-03-19,7.37,7.64,7.1601,7.25
1606,2021-03-18,7.37,7.95,7.32,7.38
1605,2021-03-17,7.53,7.53,7.04,7.49
1604,2021-03-16,7.47,7.71,7.28,7.43
1603,2021-03-15,7.32,7.59,7.145,7.4
1602,2021-03-12,6.89,7.6,6.86,7.21
1601,2021-03-11,7.22,7.58,7.03,7.54
1600,2021-03-10,7.27,7.455,7.1,7.15
1599,2021-03-09,7.29,7.46,7.1,7.24
1598,2021-03-08,6.91,7.3614,6.91,7.11
1597,2021-03-05,7.18,7.24,6.61,7.12
1596,2021-03-04,7.36,7.4674,6.86,7.1
1595,2021-03-03,7.6,7.84,7.305,7.34
1594,2021-03-02,7.9,8.08,7.6,7.62
1593,2021-03-01,7.99,8.05,7.77,7.92
1592,2021-02-26,7.8,8.0,7.57,7.78
1591,2021-02-25,8.0,8.13,7.59,7.69
1590,2021-02-24,8.14,8.4291,7.96,8.04
1589,2021-02-23,7.75,8.2,7.4157,8.05
1588,2021-02-22,8.5,8.5762,8.0,8.0
1587,2021-02-19,8.26,8.6414,8.1,8.59
1586,2021-02-18,7.92,8.3,7.66,8.23
1585,2021-02-17,8.28,8.37,7.985,8.06
1584,2021-02-16,7.9562,8.45,7.84,8.39
1583,2021-02-12,7.58,7.915,7.5,7.83
1582,2021-02-11,7.14,7.74,7.13,7.71
1581,2021-02-10,7.7,7.73,6.96,7.13
1580,2021-02-09,7.8235,8.0833,7.48,7.64
1579,2021-02-08,5.9845,8.93,5.9845,7.99
1578,2021-02-05,6.37,6.85,5.74,5.85
1577,2021-02-04,5.0,5.29,4.94,5.2
1576,2021-02-03,4.88,5.0,4.72,5.0
1575,2021-02-02,4.67,5.02,4.61,4.87
1574,2021-02-01,4.75,4.82,4.55,4.62
1573,2021-01-29,4.64,4.7099,4.51,4.69
1572,2021-01-28,4.46,4.93,4.44,4.66
1571,2021-01-27,4.79,4.81,4.37,4.39
1570,2021-01-26,4.96,5.0,4.81,4.86
1569,2021-01-25,4.72,4.96,4.69,4.95
1568,2021-01-22,4.57,4.79,4.5,4.715
