,Date,Open,High,Low,Close
5578,2021-12-31,6.2,6.62,6.01,6.5
5577,2021-12-30,5.85,6.3,5.85,6.3
5576,2021-12-29,6.01,6.3347,5.8427,6.015
5575,2021-12-28,6.25,6.25,5.83,5.989
5574,2021-12-27,6.0,6.2501,5.77,5.77
5573,2021-12-23,5.5,6.49,5.5,6.0
5572,2021-12-22,5.76,5.99,5.3,5.99
5571,2021-12-21,6.07,6.07,5.51,5.7
5570,2021-12-20,6.1,6.13,6.0,6.07
5569,2021-12-17,5.96,6.4401,5.83,6.25
5568,2021-12-16,7.2,7.2,6.28,6.6249
5567,2021-12-15,7.56,7.8,7.2,7.33
5566,2021-12-14,7.9,7.9,7.5912,7.5912
5565,2021-12-13,8.3,8.3095,7.8801,7.9
5564,2021-12-10,8.795,9.0,8.5213,8.76
5563,2021-12-09,9.08,9.08,8.6501,8.8
5562,2021-12-08,8.99,9.0,8.72,8.825
5561,2021-12-07,9.0,9.0,8.42,8.42
5560,2021-12-06,8.33,8.97,8.33,8.97
5559,2021-12-03,8.866,8.866,8.47,8.6
5558,2021-12-02,8.8,8.8,8.46,8.78
5557,2021-12-01,8.25,8.66,8.1353,8.46
5556,2021-11-30,8.06,8.22,7.96,8.22
5555,2021-11-29,7.87,8.245,7.87,8.02
5554,2021-11-26,7.6551,8.0069,7.6551,7.86
5553,2021-11-24,7.56,8.04,7.56,8.0
5552,2021-11-23,7.6,7.7346,7.56,7.64
5551,2021-11-22,7.8,7.89,7.67,7.74
5550,2021-11-19,7.89,7.89,7.56,7.6
5549,2021-11-18,7.65,7.65,7.2878,7.6
5548,2021-11-17,7.57,7.64,7.35,7.37
5547,2021-11-16,7.55,7.64,7.52,7.5201
5546,2021-11-15,7.798,7.8521,7.56,7.67
5545,2021-11-12,7.8626,7.8626,7.5772,7.735
5544,2021-11-11,7.875,7.88,7.74,7.88
5543,2021-11-10,7.88,7.93,7.766,7.83
5542,2021-11-09,7.91,7.93,7.75,7.8398
5541,2021-11-08,7.76,7.86,7.75,7.78
5540,2021-11-05,7.92,7.92,7.565,7.75
5539,2021-11-04,7.9,7.9,7.52,7.7
5538,2021-11-03,7.67,7.8488,7.555,7.813
5537,2021-11-02,7.71,7.87,7.58,7.65
5536,2021-11-01,8.0,8.453,7.7061,8.0683
5535,2021-10-29,7.8006,7.8006,7.56,7.67
5534,2021-10-28,7.97,8.09,7.75,7.75
5533,2021-10-27,8.07,8.1647,8.0,8.0
5532,2021-10-26,8.4639,8.5,8.0248,8.0248
