,Date,Open,High,Low,Close
5577,2021-12-31,7.63,7.82,7.51,7.52
5576,2021-12-30,7.57,7.79,7.53,7.65
5575,2021-12-29,7.62,7.68,7.53,7.56
5574,2021-12-28,8.02,8.03,7.61,7.63
5573,2021-12-27,7.98,8.04,7.8809,8.02
5572,2021-12-23,7.87,8.03,7.82,7.99
5571,2021-12-22,7.75,7.945,7.66,7.91
5570,2021-12-21,7.64,7.79,7.59,7.75
5569,2021-12-20,7.32,7.52,7.27,7.52
5568,2021-12-17,7.36,7.54,7.26,7.4
5567,2021-12-16,7.57,7.57,7.32,7.36
5566,2021-12-15,7.25,7.53,7.175,7.51
5565,2021-12-14,7.39,7.48,7.22,7.29
5564,2021-12-13,7.74,7.74,7.48,7.48
5563,2021-12-10,7.78,7.855,7.63,7.69
5562,2021-12-09,8.0,8.02,7.75,7.76
5561,2021-12-08,8.02,8.0627,7.72,8.01
5560,2021-12-07,7.33,7.9499,7.3,7.9
5559,2021-12-06,7.56,7.585,7.25,7.33
5558,2021-12-03,7.82,7.91,7.59,7.65
5557,2021-12-02,7.78,8.02,7.76,7.93
5556,2021-12-01,8.2,8.3315,7.79,7.88
5555,2021-11-30,8.1,8.36,7.98,8.16
5554,2021-11-29,8.64,8.68,8.1,8.14
5553,2021-11-26,8.76,8.91,8.5,8.54
5552,2021-11-24,9.25,9.25,8.835,8.87
5551,2021-11-23,9.18,9.5799,8.99,9.18
5550,2021-11-22,9.48,9.7,8.75,9.18
5549,2021-11-19,9.0,9.82,8.97,9.26
5548,2021-11-18,8.74,9.65,8.56,8.95
5547,2021-11-17,7.94,8.41,7.85,8.27
5546,2021-11-16,7.65,7.82,7.64,7.75
5545,2021-11-15,7.56,7.73,7.55,7.62
5544,2021-11-12,7.65,7.65,7.3802,7.49
5543,2021-11-11,7.4,7.5,7.37,7.44
5542,2021-11-10,7.47,7.5998,7.41,7.41
5541,2021-11-09,7.46,7.56,7.42,7.44
5540,2021-11-08,7.57,7.57,7.381,7.43
5539,2021-11-05,7.41,7.55,7.3,7.39
5538,2021-11-04,7.43,7.51,7.25,7.37
5537,2021-11-03,7.29,7.54,7.23,7.44
5536,2021-11-02,7.24,7.28,7.18,7.26
5535,2021-11-01,7.2,7.2602,7.16,7.25
5534,2021-10-29,7.06,7.24,7.04,7.21
5533,2021-10-28,7.23,7.23,6.98,7.05
5532,2021-10-27,7.15,7.25,7.12,7.19
5531,2021-10-26,7.17,7.27,7.11,7.17
5530,2021-10-25,7.02,7.19,6.98,7.15
5529,2021-10-22,7.02,7.1099,7.0,7.04
5528,2021-10-21,7.06,7.12,6.98,7.03
5527,2021-10-20,7.02,7.1,6.96,7.06
5526,2021-10-19,6.96,7.09,6.94,6.99
5525,2021-10-18,7.08,7.09,6.95,6.96
5524,2021-10-15,7.25,7.31,7.1,7.11
5523,2021-10-14,7.11,7.26,7.11,7.15
5522,2021-10-13,7.1,7.209,7.04,7.07
5521,2021-10-12,7.06,7.16,7.025,7.11
5520,2021-10-11,7.1,7.2,7.02,7.06
5519,2021-10-08,7.41,7.41,7.1,7.12
5518,2021-10-07,7.58,7.58,7.35,7.37
5517,2021-10-06,7.49,7.68,7.38,7.61
5516,2021-10-05,7.5,7.55,7.36,7.5
5515,2021-10-04,7.5,7.69,7.4,7.49
5514,2021-10-01,7.44,7.7,7.4,7.55
5513,2021-09-30,7.38,7.58,7.35,7.39
5512,2021-09-29,7.25,7.36,7.15,7.31
5511,2021-09-28,7.22,7.3,7.09,7.21
5510,2021-09-27,6.93,7.28,6.88,7.21
5509,2021-09-24,6.84,7.0,6.84,6.91
5508,2021-09-23,6.76,6.89,6.7,6.84
5507,2021-09-22,6.75,6.82,6.7,6.74
5506,2021-09-21,6.61,6.79,6.61,6.75
5505,2021-09-20,6.62,6.72,6.52,6.59
5504,2021-09-17,6.79,6.89,6.6,6.77
5503,2021-09-16,6.66,6.85,6.55,6.77
5502,2021-09-15,6.6103,7.19,6.58,6.67
5501,2021-09-14,6.53,6.62,6.49,6.55
5500,2021-09-13,6.53,6.584,6.37,6.54
5499,2021-09-10,6.83,6.83,6.44,6.5
5498,2021-09-09,6.73,7.68,6.73,6.81
5497,2021-09-08,6.79,6.81,6.59,6.75
5496,2021-09-07,7.05,7.11,6.82,6.83
5495,2021-09-03,6.78,7.14,6.66,7.05
5494,2021-09-02,6.54,6.71,6.51,6.69
5493,2021-09-01,6.52,6.5807,6.49,6.54
5492,2021-08-31,6.51,6.58,6.43,6.53
5491,2021-08-30,6.44,6.55,6.4123,6.5
5490,2021-08-27,6.37,6.5187,6.37,6.4
5489,2021-08-26,6.4,6.41,6.28,6.36
5488,2021-08-25,6.45,6.46,6.33,6.38
5487,2021-08-24,6.4,6.49,6.35,6.48
5486,2021-08-23,6.5,6.5,6.39,6.42
5485,2021-08-20,6.32,6.52,6.3,6.47
5484,2021-08-19,6.4,6.54,6.35,6.37
5483,2021-08-18,6.44,6.44,6.34,6.38
5482,2021-08-17,6.29,6.444,6.22,6.42
5481,2021-08-16,6.31,6.35,6.24,6.29
5480,2021-08-13,6.27,6.35,6.24,6.32
5479,2021-08-12,6.13,6.28,6.0,6.24
5478,2021-08-11,6.21,6.225,6.06,6.16
5477,2021-08-10,6.37,6.37,6.2,6.2
5476,2021-08-09,6.23,6.385,6.23,6.34
5475,2021-08-06,6.26,6.45,6.16,6.27
5474,2021-08-05,6.44,6.48,6.24,6.3
5473,2021-08-04,6.42,6.53,6.395,6.46
5472,2021-08-03,6.45,6.49,6.39,6.46
5471,2021-08-02,6.43,6.51,6.37,6.44
5470,2021-07-30,6.38,6.42,6.35,6.37
5469,2021-07-29,6.37,6.445,6.3001,6.39
5468,2021-07-28,6.14,6.36,6.14,6.3
5467,2021-07-27,6.06,6.13,5.9601,6.1
5466,2021-07-26,6.07,6.1,6.0186,6.07
5465,2021-07-23,6.2752,6.285,5.99,6.05
5464,2021-07-22,6.57,6.65,6.21,6.23
5463,2021-07-21,6.09,7.08,6.09,6.65
5462,2021-07-20,5.99,6.18,5.91,6.07
5461,2021-07-19,5.81,6.09,5.7301,5.93
5460,2021-07-16,5.81,5.89,5.76,5.88
5459,2021-07-15,5.76,5.8,5.7,5.78
5458,2021-07-14,5.76,5.83,5.725,5.78
5457,2021-07-13,5.77,5.79,5.66,5.74
5456,2021-07-12,5.76,5.82,5.67,5.79
5455,2021-07-09,5.83,5.86,5.665,5.71
5454,2021-07-08,5.76,5.86,5.68,5.76
5453,2021-07-07,5.91,5.98,5.77,5.78
5452,2021-07-06,6.07,6.07,5.82,5.91
5451,2021-07-02,6.19,6.19,6.03,6.05
5450,2021-07-01,6.32,6.415,6.07,6.19
5449,2021-06-30,6.27,6.3281,6.17,6.28
5448,2021-06-29,6.36,6.39,6.195,6.31
5447,2021-06-28,6.39,6.4855,6.32,6.36
5446,2021-06-25,6.25,6.39,6.25,6.35
5445,2021-06-24,6.12,6.265,6.12,6.25
5444,2021-06-23,6.28,6.29,6.06,6.1
5443,2021-06-22,6.38,6.38,6.19,6.28
5442,2021-06-21,6.39,6.47,6.33,6.38
5441,2021-06-18,6.46,6.53,6.29,6.37
5440,2021-06-17,6.41,6.59,6.38,6.5
5439,2021-06-16,6.56,6.58,6.41,6.44
5438,2021-06-15,6.66,6.66,6.46,6.57
5437,2021-06-14,6.62,6.71,6.58,6.65
5436,2021-06-11,6.64,6.725,6.59,6.65
5435,2021-06-10,6.67,6.705,6.61,6.63
5434,2021-06-09,6.6,6.705,6.58,6.63
5433,2021-06-08,6.75,6.76,6.57,6.59
5432,2021-06-07,6.62,6.78,6.61,6.71
5431,2021-06-04,6.63,6.69,6.59,6.61
5430,2021-06-03,6.64,6.6778,6.59,6.63
5429,2021-06-02,6.82,6.82,6.62,6.65
5428,2021-06-01,7.06,7.11,6.79,6.82
5427,2021-05-28,7.24,7.27,7.03,7.05
5426,2021-05-27,7.06,7.28,7.06,7.2
5425,2021-05-26,6.93,7.11,6.93,7.0
5424,2021-05-25,7.0,7.09,6.92,6.92
5423,2021-05-24,6.96,7.05,6.91,6.96
5422,2021-05-21,7.06,7.1,6.915,6.94
5421,2021-05-20,6.91,7.07,6.9,7.01
5420,2021-05-19,6.84,6.99,6.76,6.87
5419,2021-05-18,6.88,7.03,6.84,6.86
5418,2021-05-17,6.99,7.05,6.82,6.88
5417,2021-05-14,6.84,7.04,6.76,7.03
5416,2021-05-13,7.345,7.345,6.72,6.79
5415,2021-05-12,6.78,6.94,6.75,6.82
5414,2021-05-11,6.87,6.93,6.75,6.76
5413,2021-05-10,7.31,7.36,6.92,6.95
5412,2021-05-07,7.31,7.3699,7.25,7.33
5411,2021-05-06,7.37,7.39,7.295,7.33
5410,2021-05-05,7.33,7.44,7.27,7.38
5409,2021-05-04,7.26,7.34,7.22,7.31
5408,2021-05-03,7.17,7.4,7.17,7.28
5407,2021-04-30,7.03,7.21,7.03,7.17
5406,2021-04-29,7.05,7.09,7.03,7.04
5405,2021-04-28,7.0,7.07,6.9,7.02
5404,2021-04-27,7.22,7.26,7.0,7.03
5403,2021-04-26,7.17,7.235,7.1,7.2
5402,2021-04-23,7.55,7.575,7.16,7.16
5401,2021-04-22,7.47,7.57,7.36,7.52
5400,2021-04-21,7.58,7.68,7.45,7.47
5399,2021-04-20,7.19,7.62,7.19,7.575
5398,2021-04-19,7.26,7.33,7.08,7.18
5397,2021-04-16,7.2,7.41,7.15,7.26
5396,2021-04-15,7.03,7.165,6.99,7.15
5395,2021-04-14,7.06,7.09,6.95,6.99
5394,2021-04-13,7.1,7.125,7.01,7.03
5393,2021-04-12,7.12,7.17,7.065,7.08
5392,2021-04-09,7.07,7.18,7.01,7.1
5391,2021-04-08,7.0,7.09,6.95,7.06
5390,2021-04-07,6.88,7.05,6.81,6.97
5389,2021-04-06,6.88,6.9801,6.83,6.88
5388,2021-04-05,6.68,6.97,6.68,6.88
5387,2021-04-01,6.53,6.67,6.49,6.62
5386,2021-03-31,6.53,6.56,6.42,6.5
5385,2021-03-30,6.48,6.535,6.37,6.52
5384,2021-03-29,6.7,6.7,6.47,6.49
5383,2021-03-26,6.85,6.9,6.63,6.7
5382,2021-03-25,6.61,6.82,6.52,6.79
5381,2021-03-24,6.73,6.75,6.59,6.6
5380,2021-03-23,6.73,7.0,6.61,6.71
5379,2021-03-22,6.8,6.87,6.68,6.74
5378,2021-03-19,6.49,6.84,6.49,6.82
5377,2021-03-18,6.55,6.71,6.49,6.5
5376,2021-03-17,6.56,6.6,6.45,6.58
5375,2021-03-16,6.66,6.7741,6.52,6.61
5374,2021-03-15,6.98,6.98,6.61,6.67
5373,2021-03-12,7.09,7.09,6.9,6.95
5372,2021-03-11,6.9,7.21,6.87,7.1
5371,2021-03-10,7.2,7.23,6.85,6.91
5370,2021-03-09,6.96,7.34,6.96,7.15
5369,2021-03-08,6.68,6.96,6.61,6.88
5368,2021-03-05,6.65,6.82,6.52,6.65
5367,2021-03-04,6.52,6.65,6.505,6.55
5366,2021-03-03,6.55,6.6397,6.41,6.54
5365,2021-03-02,6.48,6.68,6.45,6.55
5364,2021-03-01,6.42,6.54,6.36,6.52
5363,2021-02-26,6.43,6.44,6.11,6.32
5362,2021-02-25,6.44,6.5,6.34,6.38
5361,2021-02-24,6.49,6.62,6.43,6.5
5360,2021-02-23,6.37,6.65,6.2,6.47
5359,2021-02-22,6.33,6.42,6.25,6.38
5358,2021-02-19,6.41,6.46,6.315,6.37
5357,2021-02-18,6.46,6.49,6.32,6.37
5356,2021-02-17,6.31,6.5689,6.3,6.46
5355,2021-02-16,6.42,6.46,6.26,6.3
5354,2021-02-12,6.52,6.52,6.37,6.41
5353,2021-02-11,6.51,6.551,6.4,6.48
5352,2021-02-10,6.51,6.65,6.42,6.46
5351,2021-02-09,6.78,6.8688,6.39,6.45
5350,2021-02-08,6.83,6.88,6.71,6.75
5349,2021-02-05,6.64,6.84,6.63,6.8
5348,2021-02-04,6.59,6.746,6.48,6.59
5347,2021-02-03,6.83,6.9194,6.24,6.51
5346,2021-02-02,6.61,6.85,6.5,6.83
5345,2021-02-01,6.5,6.73,6.4501,6.5
5344,2021-01-29,6.52,7.4767,6.36,6.46
5343,2021-01-28,6.62,6.72,6.45,6.52
5342,2021-01-27,6.68,6.7766,6.42,6.58
5341,2021-01-26,6.92,7.075,6.72,6.75
5340,2021-01-25,7.03,7.1494,6.81,6.87
5339,2021-01-22,7.08,7.2,6.99,7.02
5338,2021-01-21,7.16,7.22,7.02,7.14
5337,2021-01-20,7.19,7.21,7.07,7.16
5336,2021-01-19,7.36,7.36,7.15,7.19
5335,2021-01-15,7.37,7.37,7.17,7.27
5334,2021-01-14,7.34,7.4499,7.3301,7.4
5333,2021-01-13,7.45,7.46,7.25,7.29
5332,2021-01-12,7.52,7.565,7.34,7.45
5331,2021-01-11,7.63,7.69,7.44,7.51
5330,2021-01-08,7.74,7.79,7.53,7.65
5329,2021-01-07,7.62,7.8,7.55,7.71
5328,2021-01-06,7.37,7.8,7.33,7.61
5327,2021-01-05,7.27,7.375,7.24,7.35
5326,2021-01-04,7.33,7.4144,7.16,7.26
5325,2020-12-31,7.3,7.37,7.15,7.27
5324,2020-12-30,7.26,7.41,7.26,7.28
5323,2020-12-29,7.38,7.3829,7.11,7.25
5322,2020-12-28,7.42,7.53,7.34,7.365
5321,2020-12-24,7.31,7.42,7.3,7.34
5320,2020-12-23,7.32,7.38,7.26,7.32
5319,2020-12-22,7.14,7.39,7.02,7.32
5318,2020-12-21,7.23,7.36,7.04,7.14
5317,2020-12-18,7.41,7.59,7.29,7.35
5316,2020-12-17,7.18,7.53,7.16,7.37
5315,2020-12-16,7.06,7.22,7.06,7.15
5314,2020-12-15,7.09,7.115,6.96,7.05
5313,2020-12-14,7.02,7.18,6.98,7.05
5312,2020-12-11,6.99,7.0299,6.9,6.96
5311,2020-12-10,6.99,7.13,6.96,7.0
5310,2020-12-09,7.06,7.14,6.93,6.99
5309,2020-12-08,6.95,7.075,6.95,7.0
5308,2020-12-07,7.01,7.0365,6.87,6.96
5307,2020-12-04,7.07,7.1,6.93,6.98
5306,2020-12-03,7.02,7.11,6.93,7.01
5305,2020-12-02,6.96,7.15,6.9,6.99
5304,2020-12-01,7.01,7.02,6.9,6.97
5303,2020-11-30,7.08,7.145,6.86,6.93
5302,2020-11-27,7.11,7.225,7.05,7.08
5301,2020-11-25,7.21,7.3,7.05,7.07
5300,2020-11-24,7.24,7.35,7.13,7.22
5299,2020-11-23,7.35,7.3675,7.06,7.22
5298,2020-11-20,7.6,7.6328,7.195,7.32
5297,2020-11-19,7.6,7.71,7.6,7.63
5296,2020-11-18,7.79,7.79,7.59,7.6
5295,2020-11-17,7.67,7.85,7.65,7.76
5294,2020-11-16,7.69,7.75,7.64,7.72
5293,2020-11-13,7.61,7.69,7.44,7.61
5292,2020-11-12,7.24,7.59,7.22,7.51
5291,2020-11-11,7.27,7.375,7.16,7.29
5290,2020-11-10,7.2,7.44,7.145,7.28
5289,2020-11-09,7.39,7.69,7.17,7.18
5288,2020-11-06,7.05,7.3,6.98,7.18
5287,2020-11-05,7.04,7.12,6.96,7.05
5286,2020-11-04,6.72,7.06,6.72,7.04
5285,2020-11-03,6.59,6.81,6.58,6.74
5284,2020-11-02,6.41,6.56,6.38,6.5
5283,2020-10-30,6.53,6.73,6.32,6.39
5282,2020-10-29,6.39,6.605,6.28,6.54
5281,2020-10-28,6.42,6.61,6.35,6.41
5280,2020-10-27,6.68,6.84,6.46,6.49
5279,2020-10-26,6.75,6.82,6.67,6.71
5278,2020-10-23,6.66,6.9,6.59,6.82
5277,2020-10-22,6.52,6.69,6.51,6.64
5276,2020-10-21,6.61,6.8,6.49,6.51
5275,2020-10-20,6.78,6.87,6.55,6.61
5274,2020-10-19,6.87,6.99,6.77,6.8
5273,2020-10-16,6.74,6.94,6.74,6.86
5272,2020-10-15,6.68,6.83,6.58,6.77
5271,2020-10-14,6.89,7.015,6.69,6.75
5270,2020-10-13,6.73,6.9417,6.73,6.9
5269,2020-10-12,7.08,7.08,6.71,6.79
5268,2020-10-09,7.12,7.1223,6.98,7.04
5267,2020-10-08,7.18,7.2499,6.98,7.05
5266,2020-10-07,7.05,7.19,6.98,7.06
5265,2020-10-06,7.08,7.14,6.97,7.0
5264,2020-10-05,6.9,7.08,6.9,7.03
5263,2020-10-02,6.88,7.09,6.78,6.83
5262,2020-10-01,6.91,7.15,6.89,7.01
5261,2020-09-30,7.01,7.0499,6.82,6.87
5260,2020-09-29,7.07,7.32,7.0,7.01
5259,2020-09-28,7.06,7.17,7.0,7.07
5258,2020-09-25,6.97,7.16,6.97,7.04
5257,2020-09-24,7.11,7.125,6.98,7.0
5256,2020-09-23,7.25,7.4,7.02,7.07
5255,2020-09-22,7.21,7.38,7.125,7.26
5254,2020-09-21,7.29,7.36,7.1,7.185
5253,2020-09-18,7.21,7.56,7.02,7.46
5252,2020-09-17,6.89,7.215,6.85,7.1
5251,2020-09-16,7.14,7.39,6.99,7.01
5250,2020-09-15,7.1,7.14,6.995,7.11
5249,2020-09-14,6.51,7.15,6.51,7.07
5248,2020-09-11,6.49,6.56,6.41,6.45
5247,2020-09-10,6.5,6.7,6.43,6.44
5246,2020-09-09,6.35,6.59,6.35,6.5
5245,2020-09-08,6.55,6.57,6.3,6.34
5244,2020-09-04,6.84,6.88,6.52,6.59
5243,2020-09-03,6.9,6.9,6.71,6.8
5242,2020-09-02,6.84,6.98,6.75,6.905
5241,2020-09-01,6.92,6.98,6.76,6.83
5240,2020-08-31,7.07,7.105,6.915,6.95
5239,2020-08-28,7.1,7.22,6.9956,7.125
5238,2020-08-27,7.22,7.2432,7.04,7.08
5237,2020-08-26,7.1,7.23,7.01,7.16
5236,2020-08-25,7.17,7.25,7.08,7.15
5235,2020-08-24,7.31,7.31,7.0,7.14
5234,2020-08-21,7.27,7.32,6.98,7.28
5233,2020-08-20,7.31,7.42,7.25,7.27
5232,2020-08-19,7.45,7.64,7.34,7.38
5231,2020-08-18,7.3,7.47,7.24,7.44
5230,2020-08-17,7.16,7.35,7.15,7.24
5229,2020-08-14,7.22,7.27,7.09,7.22
5228,2020-08-13,7.24,7.355,7.03,7.25
5227,2020-08-12,7.15,7.27,7.01,7.24
5226,2020-08-11,7.76,7.82,6.96,7.09
5225,2020-08-10,7.8,8.1,7.5,7.58
5224,2020-08-07,6.86,7.97,6.82,7.68
5223,2020-08-06,6.71,6.7895,6.45,6.52
5222,2020-08-05,6.64,6.73,6.535,6.72
5221,2020-08-04,6.48,6.65,6.48,6.6
5220,2020-08-03,6.44,6.57,6.43,6.51
5219,2020-07-31,6.71,6.73,6.39,6.42
5218,2020-07-30,6.8,6.8,6.6,6.63
5217,2020-07-29,6.74,6.81,6.57,6.61
5216,2020-07-28,6.78,6.88,6.68,6.74
5215,2020-07-27,6.89,7.02,6.71,6.81
5214,2020-07-24,7.08,7.15,6.86,6.9
5213,2020-07-23,7.13,7.235,7.03,7.1
5212,2020-07-22,7.25,7.31,7.05,7.14
5211,2020-07-21,7.03,7.25,6.99,7.24
5210,2020-07-20,6.98,7.18,6.86,6.95
5209,2020-07-17,6.6,7.2,6.6,6.96
5208,2020-07-16,6.24,6.6,6.17,6.58
5207,2020-07-15,5.95,6.32,5.92,6.23
5206,2020-07-14,5.79,5.9,5.6,5.88
5205,2020-07-13,5.73,5.83,5.61,5.62
5204,2020-07-10,5.7,5.76,5.6,5.7
5203,2020-07-09,5.58,5.77,5.58,5.7
5202,2020-07-08,5.81,5.87,5.35,5.62
5201,2020-07-07,5.85,5.95,5.79,5.8
5200,2020-07-06,6.06,6.07,5.8,5.86
5199,2020-07-02,5.93,6.01,5.89,5.97
5198,2020-07-01,5.91,6.15,5.85,5.87
5197,2020-06-30,5.92,6.0,5.84,5.91
5196,2020-06-29,6.03,6.11,5.89,5.94
5195,2020-06-26,6.08,6.28,6.0,6.02
5194,2020-06-25,5.96,6.2,5.95,6.19
5193,2020-06-24,5.88,6.135,5.86,5.97
5192,2020-06-23,6.08,6.19,6.03,6.05
5191,2020-06-22,5.89,6.08,5.84,6.06
5190,2020-06-19,5.79,6.04,5.78,5.91
5189,2020-06-18,5.7,5.85,5.7,5.78
5188,2020-06-17,5.9,5.95,5.67,5.74
5187,2020-06-16,5.82,5.93,5.76,5.88
5186,2020-06-15,5.53,5.84,5.47,5.73
5185,2020-06-12,5.8,5.87,5.52,5.62
5184,2020-06-11,5.84,5.8945,5.65,5.66
5183,2020-06-10,5.72,5.98,5.72,5.89
5182,2020-06-09,6.01,6.13,5.7,5.72
5181,2020-06-08,5.98,6.14,5.96,6.03
5180,2020-06-05,6.05,6.15,5.92,5.96
5179,2020-06-04,5.93,6.08,5.8,5.99
5178,2020-06-03,5.93,6.092,5.83,5.97
5177,2020-06-02,5.85,5.95,5.69,5.88
5176,2020-06-01,5.99,6.03,5.67,5.78
5175,2020-05-29,6.05,6.1399,5.94,5.99
5174,2020-05-28,6.21,6.26,6.0,6.08
5173,2020-05-27,6.1,6.32,5.95,6.14
5172,2020-05-26,6.14,6.16,5.94,6.015
5171,2020-05-22,6.01,6.04,5.9,6.0
5170,2020-05-21,5.96,6.2,5.91,5.99
5169,2020-05-20,5.82,6.12,5.82,5.96
