,Date,Open,High,Low,Close
267,2021-12-31,25.86,25.9,25.8211,25.9
266,2021-12-30,25.77,25.84,25.715,25.715
265,2021-12-29,25.6,25.77,25.59,25.68
264,2021-12-28,25.64,25.7203,25.6171,25.6171
263,2021-12-27,25.75,25.75,25.56,25.56
262,2021-12-23,25.77,25.8137,25.58,25.59
261,2021-12-22,25.57,25.71,25.55,25.63
260,2021-12-21,25.57,25.57,25.47,25.49
259,2021-12-20,25.47,25.51,25.45,25.51
258,2021-12-17,25.55,25.56,25.39,25.52
257,2021-12-16,25.3,25.585,25.2854,25.555
256,2021-12-15,25.37,25.37,25.31,25.3187
255,2021-12-14,25.4,25.4,25.2775,25.35
254,2021-12-13,25.4,25.42,25.3242,25.4
253,2021-12-10,25.49,25.49,25.2501,25.2501
252,2021-12-09,25.45,25.45,25.43,25.43
251,2021-12-08,25.5137,25.5137,25.4,25.47
250,2021-12-07,25.41,25.45,25.3957,25.3957
249,2021-12-06,25.33,25.4,25.2,25.4
248,2021-12-03,25.2517,25.33,25.1495,25.33
247,2021-12-02,25.24,25.24,25.06,25.2212
246,2021-12-01,25.11,25.31,25.11,25.23
245,2021-11-30,24.93,24.99,24.8646,24.8646
244,2021-11-29,24.93,25.08,24.88,25.04
243,2021-11-26,24.95,24.98,24.9,24.95
242,2021-11-24,24.95,25.035,24.95,25.0
241,2021-11-23,24.99,25.0386,24.81,24.8973
240,2021-11-22,25.05,25.14,24.97,25.06
239,2021-11-19,24.99,25.12,24.925,25.02
238,2021-11-18,25.09,25.141,24.8988,24.97
237,2021-11-17,25.0,25.12,25.0,25.0513
236,2021-11-16,25.1,25.21,25.05,25.05
235,2021-11-15,25.24,25.24,25.0996,25.0996
234,2021-11-12,25.28,25.31,25.12,25.218
233,2021-11-11,25.29,25.2999,25.13,25.13
232,2021-11-10,25.52,25.52,25.12,25.2241
231,2021-11-09,25.52,25.52,25.46,25.5
230,2021-11-08,25.55,25.55,25.48,25.5
229,2021-11-05,25.55,25.665,25.48,25.5
228,2021-11-04,25.52,25.57,25.4986,25.5
227,2021-11-03,25.52,25.57,25.47,25.5
226,2021-11-02,25.65,25.65,25.49,25.5
225,2021-11-01,25.47,25.62,25.47,25.585
224,2021-10-29,25.45,25.5,25.45,25.49
223,2021-10-28,25.56,25.56,25.46,25.46
222,2021-10-27,25.52,25.52,25.45,25.5
