,Date,Open,High,Low,Close
5578,2021-12-31,81.28,82.63,81.28,81.94
5577,2021-12-30,82.04,82.77,81.195,81.29
5576,2021-12-29,82.02,82.28,81.185,81.95
5575,2021-12-28,80.86,82.37,80.86,81.81
5574,2021-12-27,79.79,80.79,78.92,80.77
5573,2021-12-23,80.26,80.46,79.57,79.59
5572,2021-12-22,80.7,80.7,79.32,79.89
5571,2021-12-21,79.67,81.09,79.67,80.68
5570,2021-12-20,79.82,80.145,77.95,78.83
5569,2021-12-17,82.77,83.18,81.0,81.17
5568,2021-12-16,83.72,84.4332,82.13,82.88
5567,2021-12-15,82.63,83.46,81.78,83.21
5566,2021-12-14,82.1,84.2,81.51,82.49
5565,2021-12-13,81.49,83.15,80.74,82.31
5564,2021-12-10,82.0,82.98,80.0197,81.97
5563,2021-12-09,79.76,81.84,79.31,81.5
5562,2021-12-08,80.27,80.82,79.57,80.55
5561,2021-12-07,79.92,80.86,79.5068,80.5
5560,2021-12-06,77.97,79.975,77.5,79.34
5559,2021-12-03,77.95,78.2069,75.875,76.81
5558,2021-12-02,75.25,79.47,74.86,78.0
5557,2021-12-01,76.95,78.08,74.65,74.79
5556,2021-11-30,76.02,78.135,74.89,75.54
5555,2021-11-29,79.37,81.9052,77.055,77.15
5554,2021-11-26,79.18,80.57,77.1,78.09
5553,2021-11-24,81.64,82.35,81.34,81.72
5552,2021-11-23,80.47,82.22,80.39,82.1
5551,2021-11-22,78.56,81.35,77.041,80.36
5550,2021-11-19,78.55,78.95,77.82,78.15
5549,2021-11-18,78.97,79.13,77.87,78.89
5548,2021-11-17,79.6,79.6,77.88,78.95
5547,2021-11-16,80.0,80.67,79.3,79.59
5546,2021-11-15,80.29,80.49,79.59,79.98
5545,2021-11-12,79.66,91.46,79.29,79.98
5544,2021-11-11,79.67,80.605,79.295,79.93
5543,2021-11-10,79.98,80.28,79.53,79.73
5542,2021-11-09,80.04,81.105,79.33,79.81
5541,2021-11-08,81.49,81.92,79.84,80.2
5540,2021-11-05,79.93,81.76,79.93,81.46
5539,2021-11-04,80.38,80.73,78.67,79.18
5538,2021-11-03,78.7,81.71,78.7,80.54
5537,2021-11-02,78.55,79.61,77.85,79.27
5536,2021-11-01,78.52,78.61,74.5772,77.93
5535,2021-10-29,77.43,79.21,77.43,78.37
5534,2021-10-28,78.04,79.11,75.58,77.07
5533,2021-10-27,80.27,80.49,77.44,77.97
5532,2021-10-26,80.22,81.21,79.215,80.46
5531,2021-10-25,78.8,80.32,77.9742,79.87
5530,2021-10-22,78.49,79.41,77.905,78.59
5529,2021-10-21,77.86,78.63,77.77,78.52
5528,2021-10-20,76.81,78.95,76.205,77.98
5527,2021-10-19,78.44,79.685,76.91,77.09
5526,2021-10-18,78.16,79.25,77.295,77.44
5525,2021-10-15,79.29,80.445,77.88,78.58
5524,2021-10-14,77.72,78.42,77.42,78.1
5523,2021-10-13,77.26,77.76,76.35,77.35
5522,2021-10-12,76.16,77.705,74.66,77.33
5521,2021-10-11,78.25,78.78,76.12,76.15
5520,2021-10-08,79.25,79.54,78.05,78.19
5519,2021-10-07,78.29,79.71,78.05,79.09
5518,2021-10-06,76.52,77.66,75.66,77.52
5517,2021-10-05,75.03,77.2,74.2901,76.96
5516,2021-10-04,75.85,76.43,74.65,74.86
5515,2021-10-01,75.87,76.97,74.31,76.03
5514,2021-09-30,77.57,78.25,75.39,75.53
5513,2021-09-29,76.82,77.48,76.17,77.05
5512,2021-09-28,79.6,80.97,76.01,76.77
5511,2021-09-27,79.53,80.28,78.76,79.45
5510,2021-09-24,78.0,79.26,78.0,79.04
5509,2021-09-23,77.21,78.88,77.21,78.14
5508,2021-09-22,76.19,77.7,75.62,77.01
5507,2021-09-21,76.64,77.29,75.25,75.57
5506,2021-09-20,76.08,77.2,74.6,75.81
5505,2021-09-17,78.02,78.46,77.2,77.38
5504,2021-09-16,78.74,79.08,77.11,77.73
5503,2021-09-15,79.09,79.215,77.95,78.5
5502,2021-09-14,80.61,80.66,78.72,79.18
5501,2021-09-13,80.86,81.13,79.59,80.23
5500,2021-09-10,81.37,81.585,80.13,80.35
5499,2021-09-09,82.08,83.16,81.1408,81.3
5498,2021-09-08,81.75,82.3,81.29,82.14
5497,2021-09-07,83.46,83.74,81.62,81.82
5496,2021-09-03,82.99,83.74,82.65,83.37
5495,2021-09-02,84.44,85.27,82.97,83.32
5494,2021-09-01,83.85,84.62,83.06,84.04
5493,2021-08-31,83.75,84.42,79.3693,83.57
5492,2021-08-30,84.99,85.37,83.79,84.02
5491,2021-08-27,82.95,84.82,82.95,84.69
5490,2021-08-26,84.0,84.5775,82.84,82.93
5489,2021-08-25,84.25,85.0799,84.04,84.09
