,Date,Open,High,Low,Close
5578,2021-12-31,85.86,87.53,83.47,87.03
5577,2021-12-30,84.99,88.06,84.99,86.34
5576,2021-12-29,81.0,86.5,81.0,85.6
5575,2021-12-28,85.5,86.66,81.36,81.47
5574,2021-12-27,83.77,86.29,83.02,86.06
5573,2021-12-23,84.85,85.85,82.0803,83.54
5572,2021-12-22,84.84,85.49,81.89,84.29
5571,2021-12-21,80.99,86.65,80.635,84.95
5570,2021-12-20,82.19,83.5,76.66,79.61
5569,2021-12-17,80.82,85.06,79.02,83.7
5568,2021-12-16,85.27,85.8863,80.02,81.44
5567,2021-12-15,82.38,85.11,80.76,84.86
5566,2021-12-14,81.14,85.01,80.43,82.96
5565,2021-12-13,86.75,87.55,81.77,82.07
5564,2021-12-10,87.55,88.14,84.12,87.97
5563,2021-12-09,88.67,90.68,87.77,87.88
5562,2021-12-08,89.28,89.89,87.27,89.11
5561,2021-12-07,88.97,90.55,87.26,89.27
5560,2021-12-06,85.59,87.87,83.11,87.25
5559,2021-12-03,91.56,91.84,83.49,84.48
5558,2021-12-02,89.82,93.34,85.72,88.17
5557,2021-12-01,99.88,100.5,92.8,92.94
5556,2021-11-30,101.5,102.5,95.335,97.14
5555,2021-11-29,105.93,107.0,100.25,102.93
5554,2021-11-26,100.22,103.47,97.3,103.06
5553,2021-11-24,103.77,105.45,101.82,104.82
5552,2021-11-23,108.46,109.29,103.6,105.64
5551,2021-11-22,110.46,111.92,108.535,109.13
5550,2021-11-19,107.75,110.27,107.22,108.17
5549,2021-11-18,105.76,111.8,105.06,109.8
5548,2021-11-17,104.49,104.57,101.21,103.33
5547,2021-11-16,101.41,105.86,99.8533,105.03
5546,2021-11-15,104.59,104.9499,99.75,101.65
5545,2021-11-12,104.1,104.57,102.045,103.03
5544,2021-11-11,101.75,106.3299,101.0,104.08
5543,2021-11-10,102.01,102.87,99.56,100.76
5542,2021-11-09,104.34,106.46,102.62,103.6
5541,2021-11-08,107.76,108.89,103.7401,104.62
5540,2021-11-05,106.78,109.5,106.09,106.47
5539,2021-11-04,103.56,105.08,102.5,105.01
5538,2021-11-03,97.56,103.24,97.51,103.18
5537,2021-11-02,96.26,98.56,96.0,97.71
5536,2021-11-01,92.92,97.36,91.25,96.39
5535,2021-10-29,88.91,90.84,88.63,89.18
5534,2021-10-28,86.73,89.655,86.73,88.96
5533,2021-10-27,86.5,87.45,84.6,86.73
5532,2021-10-26,92.05,92.49,86.64,87.26
5531,2021-10-25,90.34,93.61,90.11,91.31
5530,2021-10-22,89.45,90.53,88.27,90.07
5529,2021-10-21,88.29,90.915,88.29,89.8
5528,2021-10-20,89.38,90.645,88.4,88.65
5527,2021-10-19,89.04,90.7226,88.295,89.13
5526,2021-10-18,85.8,88.82,85.04,88.59
5525,2021-10-15,88.08,89.32,86.45,86.48
5524,2021-10-14,85.01,87.3984,84.42,86.75
5523,2021-10-13,83.48,85.74,82.1,84.68
5522,2021-10-12,87.11,87.11,78.23,81.62
5521,2021-10-11,85.06,85.8,82.04,82.05
5520,2021-10-08,86.77,88.83,85.06,85.5
5519,2021-10-07,86.55,87.6769,85.72,87.12
5518,2021-10-06,84.86,87.61,83.33,84.83
5517,2021-10-05,85.28,87.865,83.3,86.74
5516,2021-10-04,80.98,84.21,80.75,84.15
5515,2021-10-01,79.39,81.97,78.16,81.54
5514,2021-09-30,85.07,85.07,78.0,78.96
5513,2021-09-29,84.85,86.34,84.11,85.4
5512,2021-09-28,83.6,85.88,83.4,84.29
5511,2021-09-27,81.05,84.83,81.01,84.48
5510,2021-09-24,81.85,82.525,80.515,80.97
5509,2021-09-23,81.7,83.37,81.655,82.66
5508,2021-09-22,79.79,82.5,79.59,81.16
5507,2021-09-21,80.86,81.75,79.205,79.45
5506,2021-09-20,78.19,80.94,77.29,79.67
5505,2021-09-17,82.4,84.17,80.9,81.74
5504,2021-09-16,80.19,83.65,79.33,81.8
5503,2021-09-15,76.84,78.5,76.03,78.43
5502,2021-09-14,77.28,77.35,74.57,77.19
5501,2021-09-13,77.28,78.535,75.13,76.83
5500,2021-09-10,77.74,79.0,76.72,76.91
5499,2021-09-09,75.48,78.56,73.14,77.48
5498,2021-09-08,77.61,77.74,74.38,74.89
5497,2021-09-07,83.56,83.99,77.89,77.98
5496,2021-09-03,83.58,85.42,81.11,83.3
5495,2021-09-02,88.0,88.4994,83.23,85.26
5494,2021-09-01,79.94,82.0,79.84,80.66
5493,2021-08-31,79.59,80.83,78.7701,79.2
5492,2021-08-30,81.01,82.01,79.58,80.1
5491,2021-08-27,76.3,80.565,75.76,80.29
5490,2021-08-26,75.3,75.72,72.36,75.72
5489,2021-08-25,74.98,76.27,73.85,75.3
5488,2021-08-24,72.39,75.1,71.62,73.88
5487,2021-08-23,71.19,72.14,69.21,70.5
5486,2021-08-20,67.11,71.02,66.655,70.46
5485,2021-08-19,65.34,67.7,64.51,66.61
5484,2021-08-18,64.23,67.8,64.23,66.22
5483,2021-08-17,67.21,67.615,63.06,64.68
5482,2021-08-16,68.82,69.41,67.07,68.82
5481,2021-08-13,68.14,70.12,67.42,68.98
5480,2021-08-12,68.8,70.34,65.83,68.59
5479,2021-08-11,67.54,68.8,66.08,68.66
5478,2021-08-10,63.59,68.46,63.59,67.94
5477,2021-08-09,62.35,64.21,61.36,63.3
5476,2021-08-06,63.22,64.48,62.55,63.1
5475,2021-08-05,61.38,63.7,60.47,61.8
5474,2021-08-04,64.61,65.1,61.7,61.73
5473,2021-08-03,65.62,66.86,62.37,65.76
5472,2021-08-02,64.81,67.36,64.13,65.4
5471,2021-07-30,64.84,67.49,64.0,64.34
5470,2021-07-29,65.12,67.01,65.02,65.44
5469,2021-07-28,66.01,66.79,63.9,65.12
5468,2021-07-27,67.04,68.27,64.08,65.65
5467,2021-07-26,67.67,68.58,66.18,67.7
5466,2021-07-23,67.95,67.95,65.64,67.23
5465,2021-07-22,68.56,68.56,65.04,66.91
5464,2021-07-21,66.19,69.295,66.1,68.57
5463,2021-07-20,63.29,66.23,62.12,65.21
5462,2021-07-19,64.69,65.86,62.19,62.89
5461,2021-07-16,71.2,71.92,66.97,67.25
5460,2021-07-15,72.0,72.25,68.62,70.3
5459,2021-07-14,75.86,76.99,72.94,73.11
5458,2021-07-13,76.51,76.875,74.012,75.2
5457,2021-07-12,75.51,77.96,74.11,76.93
5456,2021-07-09,75.0,77.95,75.0,76.63
5455,2021-07-08,73.58,75.23,70.61,73.96
5454,2021-07-07,77.04,77.86,74.27,76.12
5453,2021-07-06,79.2,79.61,75.28,77.93
5452,2021-07-02,79.48,80.16,78.105,79.02
5451,2021-07-01,81.1,82.0,79.22,79.8
5450,2021-06-30,76.17,81.0,76.17,80.79
5449,2021-06-29,78.26,78.98,76.1,76.37
5448,2021-06-28,78.58,78.66,76.46,78.13
5447,2021-06-25,80.09,83.0,77.92,78.01
5446,2021-06-24,79.5,80.2,77.82,79.52
5445,2021-06-23,75.72,79.185,75.19,78.71
5444,2021-06-22,75.07,78.46,74.53,76.09
5443,2021-06-21,73.44,76.05,72.85,75.49
5442,2021-06-18,73.1,74.8497,72.57,73.05
5441,2021-06-17,76.28,77.24,72.3437,74.28
5440,2021-06-16,74.03,75.91,71.51,75.38
5439,2021-06-15,75.88,76.51,71.92,74.25
5438,2021-06-14,74.75,76.76,73.3,75.57
5437,2021-06-11,68.85,74.78,68.28,74.75
5436,2021-06-10,65.5035,74.7967,65.0,69.58
5435,2021-06-09,61.44,62.45,59.57,61.04
5434,2021-06-08,58.78,62.28,58.14,61.44
5433,2021-06-07,59.19,60.68,57.44,58.7
5432,2021-06-04,60.53,61.31,57.917,58.87
5431,2021-06-03,62.43,62.43,59.26,60.7
5430,2021-06-02,63.18,63.18,60.535,62.1
5429,2021-06-01,60.87,64.04,60.6,63.04
5428,2021-05-28,63.0,63.0,60.09,60.58
5427,2021-05-27,60.51,62.89,59.77,62.46
5426,2021-05-26,57.8,61.27,57.57,59.77
5425,2021-05-25,57.91,59.14,56.81,56.89
5424,2021-05-24,57.49,58.29,56.2,57.62
5423,2021-05-21,58.33,59.05,56.35,57.54
5422,2021-05-20,58.69,58.775,55.75,57.45
5421,2021-05-19,60.64,61.125,57.77,58.68
5420,2021-05-18,66.01,66.2,61.76,62.77
5419,2021-05-17,63.0,65.72,62.59,65.53
5418,2021-05-14,60.94,63.55,60.83,63.46
5417,2021-05-13,58.58,61.61,58.1101,60.21
5416,2021-05-12,63.0,63.4,57.93,58.3
5415,2021-05-11,61.34,63.76,59.48,63.19
5414,2021-05-10,65.37,68.36,62.61,62.68
5413,2021-05-07,64.52,66.0,63.44,65.01
5412,2021-05-06,64.0,65.71,62.97,65.02
5411,2021-05-05,63.46,64.48,62.46,63.57
5410,2021-05-04,62.38,63.26,60.5,63.01
5409,2021-05-03,60.7,63.27,60.23,62.95
5408,2021-04-30,59.9,60.88,59.25,59.75
5407,2021-04-29,63.0,64.0,60.35,60.67
5406,2021-04-28,63.5,64.12,62.21,62.83
5405,2021-04-27,61.33,64.74,61.05,63.37
5404,2021-04-26,63.96,65.26,61.36,61.73
5403,2021-04-23,62.2,64.57,61.25,63.58
5402,2021-04-22,60.74,62.2,59.64,61.74
5401,2021-04-21,57.58,60.54,56.87,60.26
5400,2021-04-20,60.2,60.56,55.37,57.49
5399,2021-04-19,63.49,64.09,60.88,60.99
5398,2021-04-16,63.65,64.9,62.34,63.46
5397,2021-04-15,64.95,65.32,63.13,63.48
5396,2021-04-14,63.87,66.43,63.7728,64.89
5395,2021-04-13,67.36,67.36,61.52,64.36
5394,2021-04-12,64.22,68.287,63.01,65.92
5393,2021-04-09,57.82,61.37,56.95,61.08
5392,2021-04-08,56.12,57.75,54.38,57.59
5391,2021-04-07,57.74,58.475,56.26,56.73
5390,2021-04-06,59.36,61.485,57.37,57.98
5389,2021-04-05,58.0,59.93,56.61,58.98
5388,2021-04-01,58.82,58.905,55.83,57.32
5387,2021-03-31,58.39,59.18,56.98,57.98
5386,2021-03-30,57.19,59.81,57.19,58.61
5385,2021-03-29,59.08,59.9,56.28,57.02
5384,2021-03-26,58.23,59.63,56.37,58.88
5383,2021-03-25,50.75,58.27,50.01,57.1
5382,2021-03-24,55.16,56.8554,52.5,52.52
5381,2021-03-23,56.15,57.57,53.9,54.12
5380,2021-03-22,62.2,63.28,56.605,57.11
5379,2021-03-19,61.23,61.525,58.9,60.96
5378,2021-03-18,62.94,65.8399,60.1401,61.35
5377,2021-03-17,59.87,60.49,57.5,59.35
5376,2021-03-16,58.97,60.23,57.44,59.81
5375,2021-03-15,58.56,60.63,58.15,59.33
5374,2021-03-12,58.9,59.39,57.342,58.66
5373,2021-03-11,57.9,58.79,56.51,58.51
5372,2021-03-10,56.82,58.19,56.03,57.49
5371,2021-03-09,56.84,57.143,54.165,56.81
5370,2021-03-08,53.31,56.64,52.51,56.29
5369,2021-03-05,51.42,52.59,48.42,52.5
5368,2021-03-04,51.49,53.07,49.04,50.9
5367,2021-03-03,52.96,53.7,51.78,51.82
5366,2021-03-02,51.61,53.15,51.31,52.34
5365,2021-03-01,50.69,51.75,49.34,51.54
5364,2021-02-26,50.74,51.7499,48.7,49.78
5363,2021-02-25,50.0,51.59,49.72,51.0
5362,2021-02-24,49.75,50.88,46.95,49.01
5361,2021-02-23,48.74,49.46,46.23,49.4
5360,2021-02-22,45.82,49.13,45.22,49.12
5359,2021-02-19,42.98,46.27,42.01,46.16
5358,2021-02-18,42.44,43.05,41.09,42.52
5357,2021-02-17,45.07,45.21,41.9,42.47
5356,2021-02-16,44.12,45.85,43.635,45.25
5355,2021-02-12,44.45,45.0,42.88,43.61
5354,2021-02-11,44.35,46.74,44.02,44.95
5353,2021-02-10,41.01,44.55,40.61,44.21
5352,2021-02-09,43.21,43.82,40.4,40.55
5351,2021-02-08,43.55,43.7,41.24,43.33
5350,2021-02-05,45.47,45.94,42.89,43.36
5349,2021-02-04,44.6,46.35,44.18,45.31
5348,2021-02-03,42.6,44.92,42.05,44.58
5347,2021-02-02,42.02,43.87,41.01,42.24
5346,2021-02-01,41.14,42.87,39.8,41.6
5345,2021-01-29,37.94,40.85,37.24,40.62
5344,2021-01-28,41.34,41.81,36.2847,37.0
5343,2021-01-27,38.94,44.26,38.5,41.53
5342,2021-01-26,36.98,40.2299,36.1701,40.07
5341,2021-01-25,36.4,38.08,35.03,36.61
5340,2021-01-22,35.0,36.46,34.36,36.31
5339,2021-01-21,36.78,36.78,35.28,35.39
5338,2021-01-20,37.1,38.1,36.07,36.36
5337,2021-01-19,40.0,40.24,36.5,37.09
5336,2021-01-15,40.8,41.0,39.0,39.36
5335,2021-01-14,40.0,42.3599,39.41,41.39
5334,2021-01-13,42.44,42.56,38.657,39.01
5333,2021-01-12,40.93,42.91,38.88,42.78
5332,2021-01-11,36.27,40.05,35.4,39.17
5331,2021-01-08,36.24,38.44,34.91,37.3
5330,2021-01-07,33.0,35.5,32.97,35.18
5329,2021-01-06,29.82,33.85,29.76,33.06
5328,2021-01-05,27.47,29.79,27.25,29.62
5327,2021-01-04,27.44,28.61,27.17,27.65
5326,2020-12-31,27.86,28.1,27.15,27.27
5325,2020-12-30,27.05,28.41,27.05,27.75
5324,2020-12-29,27.9,28.1,26.3,27.0
5323,2020-12-28,26.74,28.75,26.5,27.87
5322,2020-12-24,27.0,27.29,26.03,26.16
5321,2020-12-23,27.5,28.2,26.67,27.06
5320,2020-12-22,27.75,28.39,27.34,27.37
5319,2020-12-21,26.01,27.57,25.64,27.46
5318,2020-12-18,26.94,27.97,26.62,26.92
5317,2020-12-17,26.94,27.2,26.45,26.86
5316,2020-12-16,27.22,28.21,26.36,26.8
5315,2020-12-15,25.18,27.09,25.1,27.07
5314,2020-12-14,26.67,26.93,24.92,24.93
5313,2020-12-11,27.0,27.17,26.2,26.39
5312,2020-12-10,27.0,27.63,26.6,27.23
5311,2020-12-09,28.68,28.84,27.17,27.43
5310,2020-12-08,28.57,29.25,27.97,28.3
5309,2020-12-07,29.15,30.13,28.71,29.34
5308,2020-12-04,29.83,29.83,27.46,29.28
5307,2020-12-03,29.83,31.0,28.19,29.47
5306,2020-12-02,30.17,30.3,28.79,29.81
5305,2020-12-01,31.11,31.18,28.78,30.51
5304,2020-11-30,31.5,31.93,30.08,30.29
5303,2020-11-27,31.39,31.75,31.0,31.43
5302,2020-11-25,30.76,32.03,30.6801,31.12
5301,2020-11-24,31.43,32.22,29.53,31.2
5300,2020-11-23,30.0,31.02,29.86,30.81
5299,2020-11-20,28.65,29.48,28.49,29.38
5298,2020-11-19,27.0,28.75,26.7,28.72
5297,2020-11-18,28.75,29.56,26.92,26.97
5296,2020-11-17,26.31,28.81,26.31,28.64
5295,2020-11-16,27.21,27.8401,26.29,26.8
5294,2020-11-13,25.18,26.27,24.8,26.25
5293,2020-11-12,24.69,25.25,24.13,24.77
5292,2020-11-11,25.77,26.07,24.29,25.12
5291,2020-11-10,24.72,25.9,23.94,25.77
5290,2020-11-09,24.845,26.24,23.8,24.6
5289,2020-11-06,23.49,23.6799,22.07,22.5
5288,2020-11-05,21.94,23.99,21.9067,23.42
5287,2020-11-04,21.96,22.0965,20.88,21.68
5286,2020-11-03,23.15,23.36,21.72,22.44
5285,2020-11-02,22.7,23.1216,21.32,22.72
5284,2020-10-30,24.15,24.4003,21.77,22.28
5283,2020-10-29,24.29,24.56,23.6,24.19
5282,2020-10-28,24.73,25.08,23.6,23.85
5281,2020-10-27,25.91,26.45,25.19,25.33
5280,2020-10-26,25.9,26.39,24.77,25.67
5279,2020-10-23,24.8,26.97,24.52,26.54
5278,2020-10-22,24.06,25.03,23.9201,24.59
5277,2020-10-21,23.92,24.26,23.15,24.01
5276,2020-10-20,23.51,24.47,23.46,23.59
5275,2020-10-19,22.84,23.44,22.455,23.07
5274,2020-10-16,22.62,23.4,22.61,22.79
5273,2020-10-15,21.78,22.76,21.525,22.54
5272,2020-10-14,22.02,22.52,21.387,22.15
5271,2020-10-13,19.73,22.14,19.73,21.84
5270,2020-10-12,20.83,21.287,20.59,21.04
5269,2020-10-09,21.01,21.59,20.82,20.83
5268,2020-10-08,20.49,20.97,20.3566,20.91
5267,2020-10-07,19.2,20.27,19.2,20.21
5266,2020-10-06,20.22,20.469,18.77,18.85
5265,2020-10-05,19.78,20.3293,19.61,20.04
5264,2020-10-02,18.3,19.66,18.25,19.51
5263,2020-10-01,18.83,19.34,18.36,19.11
5262,2020-09-30,18.13,19.04,18.06,18.7
5261,2020-09-29,19.31,19.56,17.91,17.95
5260,2020-09-28,18.58,19.435,18.41,19.39
5259,2020-09-25,17.52,18.22,17.48,18.15
5258,2020-09-24,17.35,18.11,16.87,17.66
5257,2020-09-23,18.07,18.63,17.5,17.51
5256,2020-09-22,17.42,17.93,16.74,17.86
5255,2020-09-21,17.53,17.75,16.56,17.32
5254,2020-09-18,18.86,18.99,18.21,18.26
5253,2020-09-17,17.89,19.34,17.85,18.79
5252,2020-09-16,18.43,19.06,18.06,18.3
5251,2020-09-15,18.83,19.12,18.21,18.28
5250,2020-09-14,18.11,19.58,18.0,18.7
5249,2020-09-11,17.85,18.32,17.4,17.78
5248,2020-09-10,18.05,18.44,17.53,17.65
5247,2020-09-09,18.06,18.4127,17.55,17.99
5246,2020-09-08,18.77,19.4,17.9,17.91
5245,2020-09-04,18.63,19.36,18.155,19.28
5244,2020-09-03,19.46,19.58,16.56,17.87
5243,2020-09-02,18.4,18.8,17.44,18.59
5242,2020-09-01,17.27,18.29,17.12,18.24
5241,2020-08-31,16.8,17.47,16.11,17.27
5240,2020-08-28,17.11,17.44,16.54,16.8
5239,2020-08-27,17.1,17.96,16.21,16.81
5238,2020-08-26,15.98,17.06,15.89,17.0
5237,2020-08-25,15.5,16.11,15.2402,15.89
5236,2020-08-24,14.1,15.64,13.93,15.6
5235,2020-08-21,13.53,14.06,13.524,13.77
5234,2020-08-20,13.36,13.9611,13.27,13.67
5233,2020-08-19,14.43,14.73,13.37,13.55
5232,2020-08-18,14.98,14.98,14.32,14.4
5231,2020-08-17,14.79,15.05,14.52,14.94
5230,2020-08-14,14.26,15.14,14.11,14.8
5229,2020-08-13,14.98,15.06,14.11,14.32
5228,2020-08-12,14.92,15.52,14.73,15.27
5227,2020-08-11,14.56,14.96,14.39,14.7
