,Date,Open,High,Low,Close
381,2021-12-31,45.53,45.53,44.93,45.09
380,2021-12-30,45.36,45.89,45.01,45.24
379,2021-12-29,45.2,45.63,44.84,45.26
378,2021-12-28,45.6,45.92,45.09,45.2
377,2021-12-27,44.68,45.85,44.645,45.56
376,2021-12-23,43.71,45.06,43.5002,44.88
375,2021-12-22,43.23,44.37,43.23,43.79
374,2021-12-21,42.67,43.5999,42.59,43.21
373,2021-12-20,42.58,42.95,41.72,42.45
372,2021-12-17,43.44,43.44,41.26,43.17
371,2021-12-16,42.1,43.81,42.1,43.65
370,2021-12-15,41.14,42.41,40.34,42.16
369,2021-12-14,42.76,42.87,41.19,41.48
368,2021-12-13,43.11,43.19,42.59,43.0
367,2021-12-10,43.87,44.0417,43.05,43.22
366,2021-12-09,46.91,46.91,43.36,43.8
365,2021-12-08,46.5,47.1823,46.17,46.98
364,2021-12-07,44.66,46.5,44.66,46.39
363,2021-12-06,44.16,44.83,43.65,44.43
362,2021-12-03,43.67,44.66,43.53,44.43
361,2021-12-02,44.0,44.34,43.2975,43.68
360,2021-12-01,44.0,44.6,43.99,44.01
359,2021-11-30,44.54,44.61,43.01,43.55
358,2021-11-29,45.4,45.71,44.57,44.57
357,2021-11-26,45.5,45.5,44.74,45.11
356,2021-11-24,45.6,46.12,45.1,45.87
355,2021-11-23,44.76,45.82,44.76,45.69
354,2021-11-22,44.62,45.285,44.06,44.95
353,2021-11-19,45.77,45.81,44.7,44.88
352,2021-11-18,46.05,46.27,45.45,45.75
351,2021-11-17,46.08,46.21,45.75,46.05
350,2021-11-16,45.59,46.6,45.58,46.08
349,2021-11-15,46.66,46.66,45.61,45.87
348,2021-11-12,45.12,46.9,45.12,46.58
347,2021-11-11,45.03,45.925,44.79,45.45
346,2021-11-10,44.65,45.13,44.5001,45.02
345,2021-11-09,43.8,44.77,43.4965,44.67
344,2021-11-08,43.06,44.4,43.05,43.94
343,2021-11-05,40.65,43.47,40.65,43.26
342,2021-11-04,41.94,42.0,40.88,41.94
341,2021-11-03,41.4,42.31,41.17,41.7
